Mot,Poids
be,0.4199485451473079
le,0.33495390052395135
you,0.30366050169935543
the,0.2700394946977234
to,0.21208944032183352
être,0.2068800315446576
un,0.20117184958668818
de,0.18999563572076109
je,0.1820891571511465
it,0.13505669351040198
vous,0.12846180367546645
on,0.12705784953693677
il,0.126947011052316
ne,0.12635587246767194
have,0.12086936747894407
que,0.11965014414811566
that,0.11327693128242167
we,0.10924979967453388
pa,0.1062386875090031
ce,0.09365851950454629
of,0.08857842229276124
in,0.0878764452234964
tu,0.08613997563110441
he,0.08416335598870077
son,0.07969287044232992
avoir,0.07581352348060316
this,0.07413247313052156
and,0.07394774232282028
en,0.06962504142261045
do,0.06947725677644943
what,0.06838734501101192
will,0.06820261420331064
eat,0.06341808628384762
know,0.06166314361068551
faire,0.059704997049051994
qu,0.05721113114508479
pour,0.057026400337383515
your,0.0556039731180837
for,0.05493894221035911
my,0.052131033933299736
they,0.05155836842942578
get,0.05019136045243635
ca,0.050006629644735075
aller,0.04924923333315985
sydney,0.0437073091021216
pouvoir,0.042561978094373704
as,0.0414166470866258
with,0.04136122784431542
savoir,0.040917873905832354
not,0.04010505835194675
no,0.03999421986732598
can,0.0391998773942105
go,0.03620723830944985
don,0.0356345728055759
du,0.035449841997874626
elle,0.035449841997874626
but,0.035283584270943476
moi,0.03513579962478246
dans,0.03445229563628774
qui,0.03441534947474748
mais,0.033528641597781364
si,0.03330696462853984
she,0.03327001846699958
tout,0.03325154538622945
if,0.03306681457852818
sur,0.033011395336217796
yes,0.03157049503614785
vouloir,0.031478129632297215
there,0.03144118347075696
nous,0.0313303449861362
bien,0.030776152563032372
sloane,0.029575402312974088
about,0.029076629132180645
just,0.02852243670907682
au,0.02850396362830669
her,0.02815297509367427
so,0.02713695565131726
want,0.025492851462775915
tell,0.02523422833199413
etait,0.0250125513627526
see,0.024846293635821453
voir,0.024772401312740944
out,0.024753928231970816
at,0.024606143585809797
etre,0.024458358939648775
vaughn,0.024088897324246225
mon,0.024051951162705972
avec,0.023959585758855335
here,0.023885693435774825
ou,0.023516231820372276
all,0.022925093235728194
need,0.022925093235728194
now,0.02288814707418794
one,0.02266647010494641
plus,0.022555631620325648
agent,0.022260062328003608
ton,0.022056858439532204
how,0.02187212763183093
sd,0.021244042885646595
non,0.020911527431784302
devoir,0.020856108189473917
from,0.020856108189473917
cia,0.02068985046254277
good,0.020394281170220734
like,0.020098711877898693
right,0.01982161566634678
make,0.019045746274001425
say,0.018897961627840406
oui,0.0182883499624262
his,0.018269876881656072
take,0.018029726831644416
dire,0.017900415266253522
when,0.017678738297011994
work,0.017660265216241866
who,0.01710607279313804
up,0.017069126631597785
se,0.017013707389287404
look,0.01682897658158613
would,0.016810503500816
think,0.016126999512321286
ok,0.016108526431551157
time,0.016053107189240776
mama,0.0158683763815395
come,0.015812957139229117
lui,0.015794484058458992
choose,0.015628226331527842
quoi,0.01500014158534351
bristow,0.014981668504573381
well,0.014981668504573381
where,0.014926249262262999
jack,0.014519841485320194
dit,0.01440900300069943
rien,0.014242745273768283
marshall,0.014150379869917646
trouver,0.014094960627607263
toi,0.014058014466067009
our,0.01403954138529688
why,0.013947175981446243
contact,0.013799391335285223
est,0.013780918254515096
okay,0.013633133608354076
could,0.013503822042963184
thank,0.013429929719882674
back,0.013356037396802163
ete,0.013226725831411271
oh,0.013171306589100889
let,0.013060468104480125
by,0.012949629619859359
croire,0.01287573729677885
quand,0.012857264216008722
rambaldi,0.012746425731387958
comme,0.01235849103521528
gonna,0.012229179469824387
venir,0.012118340985203624
man,0.012081394823663369
minute,0.011952083258272477
dixon,0.011878190935191966
call,0.011822771692881583
merci,0.011674987046720564
something,0.011674987046720564
give,0.01163804088518031
par,0.011582621642869927
comment,0.011508729319789416
sark,0.011434836996708907
ici,0.011305525431318015
kill,0.01126857926977776
should,0.01126857926977776
didn,0.011176213865927122
way,0.01112079462361674
quelque,0.01104690230053623
prendre,0.0108252253312947
find,0.010788279169754444
pere,0.01075133300821419
or,0.010714386846673935
pourquoi,0.010585075281283043
only,0.01052965603897266
into,0.010511182958202534
code,0.010418817554351896
meet,0.010400344473581768
autre,0.010363398312041514
some,0.010289505988961003
covenant,0.010141721342799984
etes,0.010067829019719473
thing,0.010067829019719473
falloir,0.009920044373558454
penser,0.009920044373558454
nadia,0.009864625131248072
father,0.009846152050477943
then,0.009809205888937689
alors,0.009606002000466287
more,0.009550582758155905
meme,0.009495163515845522
deux,0.009199594223523483
sure,0.009199594223523483
mr,0.009181121142753355
parler,0.009181121142753355
believe,0.009125701900442972
year,0.009125701900442972
two,0.009107228819672845
syd,0.009033336496592334
down,0.008977917254281953
use,0.008977917254281953
question,0.008959444173511825
any,0.008830132608120933
