Mot,Poids
be,0.35262108593280267
le,0.3472870654723324
you,0.3136573364739389
être,0.25682885182207155
un,0.21319148443593863
the,0.21305601724964096
je,0.19427687854912817
de,0.18159376323200999
it,0.16047781556786261
to,0.1590215433151628
ne,0.1583442073836745
pa,0.15306098711806587
tu,0.14152934288447777
on,0.12623848423112966
que,0.12415567624180317
il,0.1199561934665758
ce,0.11413110445577651
that,0.10722227795459598
we,0.10669734260769255
eat,0.09425129486659527
and,0.09421742807002084
he,0.09318449077450121
have,0.09133875036119563
vous,0.08974701092219815
of,0.08825687187292391
ca,0.08382032152167562
what,0.07675909443591022
do,0.07616642549585798
en,0.0727120122452677
faire,0.07140814057715275
avoir,0.07027360289190987
son,0.0693930661809751
in,0.0686818634529124
this,0.06619265390469294
qu,0.06478718184685474
will,0.06256890667123059
aller,0.06248423967979456
get,0.05760742097307889
angel,0.05606648172894303
not,0.05535527900088033
know,0.05503354443342339
pour,0.05389900674818051
pouvoir,0.04975032416781475
tout,0.04958099018494268
for,0.048869787456879976
as,0.04856498628771024
don,0.04853111949113583
they,0.0482263183219661
no,0.047227247823020874
can,0.0454153742062897
qui,0.04463643788507817
your,0.043163232234091145
my,0.0418762939642634
mais,0.04135135861735998
savoir,0.04131749182078556
elle,0.040690956084158895
moi,0.03901454965372538
just,0.038286413527375475
but,0.03762601099417439
all,0.037151875842132594
vouloir,0.03688094146953728
si,0.03644067311406989
with,0.03606813835175133
bien,0.03593267116545367
nous,0.03547546941169908
go,0.03379906298126557
du,0.033680529193255114
she,0.033612795600106285
dans,0.03332492782922376
so,0.03332492782922376
here,0.03285079267718197
out,0.03274919228745872
like,0.03213958994911926
there,0.031496120814205386
plus,0.030107582154654398
oh,0.02954878001117656
etre,0.029464113019740525
ou,0.028719043495103406
yes,0.028448109122508093
non,0.02839730892764647
right,0.028312641936210435
good,0.028177174749912777
about,0.02731357143726521
ton,0.02726277124240359
her,0.02712730405610593
if,0.02663623550577692
voir,0.026517701717766472
one,0.0263483677348944
toi,0.025941966176001426
sur,0.02568796520169332
up,0.024519560719876023
want,0.024434893728439988
how,0.024316359940429536
think,0.02406235896612143
avec,0.023960758576398185
mon,0.02387609158496215
se,0.023774491195238907
see,0.02248755292541116
now,0.022047284569943773
say,0.02201341777336936
etait,0.02159008281618918
au,0.021488482426465935
dire,0.02091274688470089
