Mot,Poids
be,0.37572351707448876
le,0.3372342210694176
the,0.3237484305458511
you,0.32296567321861264
to,0.2252551942841816
de,0.17571783771751537
être,0.17359321068643938
un,0.17350375270618357
it,0.15737895176507008
je,0.14941719152230115
we,0.14762803191718454
that,0.13584194301847885
on,0.12729870590404702
of,0.12629230362616892
vous,0.12179704011831344
have,0.11808453393769647
and,0.11694394468943463
ne,0.1119342977951081
pa,0.10272012582875754
que,0.09824722681596601
il,0.09632388024046566
ce,0.08717680175930698
this,0.08547710013444619
son,0.08113838809203841
eat,0.08044508874505571
do,0.07919267702147409
in,0.07456322654323486
what,0.07304244087888573
they,0.0725280574924147
avoir,0.06470048422002952
get,0.06183782885184294
he,0.061055071524604425
your,0.05664926599700476
nous,0.05658217251181289
for,0.05649271453155706
en,0.056447985541429144
tu,0.05492719987708002
know,0.05412207805477755
no,0.05293675981638779
will,0.05237764743978885
ca,0.05141597415203867
faire,0.050700310309992024
not,0.050208291418584954
all,0.04978336601236976
qu,0.04830730933814855
pour,0.04649578523796798
go,0.04620504680213653
can,0.045959037356432995
aller,0.04578012139592134
don,0.04519864452425844
tout,0.04213470870049624
my,0.04101648394729836
with,0.03987589469903651
there,0.03875766994583863
but,0.03790781913340824
out,0.03786309014328033
just,0.03687905236046619
right,0.036431762459187035
she,0.03605156604309975
here,0.035850285587524136
as,0.03571609861714039
pouvoir,0.03515698624054145
one,0.03462023835900646
so,0.034351864418238974
sur,0.03345728461568066
if,0.03307708819959339
yes,0.031757582990819884
savoir,0.031064283643837193
about,0.030281526316598677
president,0.03012497485115097
cylon,0.02970004944493578
her,0.029498768989360158
galactic,0.029319853028848496
cylons,0.02918566605846475
up,0.028380544236162274
elle,0.028000347820074996
want,0.027910889839819163
dans,0.02775433837437146
du,0.02755305791879584
moi,0.02748596443360397
see,0.02746359993854001
now,0.02708340352245273
si,0.026926852057005027
qui,0.02621118821495838
our,0.026166459224830466
mais,0.025875720788999017
se,0.025227150432144244
bien,0.024802225025929048
like,0.024623309065417386
take,0.024444393104905725
vouloir,0.024332570629585937
good,0.023907645223370744
come,0.023124887896132224
gonna,0.0226105045096612
say,0.022521046529405366
how,0.02249868203434141
back,0.022275037083701835
let,0.022252672588637876
sir,0.0220290276379983
plus,0.021760653697230806
au,0.021671195716974977
etre,0.021604102231783103
make,0.02142518627127144
ship,0.021313363795951654
think,0.02095553187492833
at,0.020731886924288755
avec,0.020530606468713134
voir,0.02048587747858522
time,0.02001622308224211
tell,0.01992676510198628
need,0.01988203611185836
from,0.019859671616794406
non,0.019524204190835042
ici,0.01923346575500359
ou,0.019076914289555887
people,0.017958689536358003
look,0.017846867061038215
vaisseau,0.017578493120270725
well,0.017489035140014892
oui,0.01731011917950323
god,0.017243025694311357
when,0.017243025694311357
devoir,0.017198296704183443
down,0.016706277812776376
starbuck,0.016504997357200756
choose,0.01625898791149722
thing,0.016057707455921603
way,0.015856427000345983
adama,0.015431501594130788
mon,0.01523022113855517
why,0.015140763158299339
fleet,0.014894753712595804
dire,0.014693473257020185
quoi,0.014693473257020185
would,0.014402734821188735
give,0.01417908987054916
comme,0.0141567253754852
or,0.014044902900165412
who,0.014044902900165412
frak,0.014000173910037498
etait,0.013977809414973539
gaius,0.013955444919909582
okay,0.01379889345446188
jump,0.013731799969270006
baltar,0.013709435474206048
man,0.013709435474206048
monsieur,0.013709435474206048
par,0.01368707097914209
their,0.01368707097914209
then,0.01368707097914209
some,0.013619977493950218
thank,0.013530519513694387
est,0.013239781077862937
more,0.01310559410747919
something,0.012949042642031488
where,0.012792491176583784
by,0.012747762186455869
his,0.012613575216072122
penser,0.012613575216072122
oh,0.01243465925556046
caprica,0.012166285314792968
ton,0.012143920819729011
kara,0.012009733849345266
autre,0.011987369354281307
could,0.011897911374025478
raptor,0.011875546878961519
any,0.011696630918449857
really,0.011495350462874239
lui,0.011472985967810281
ok,0.011271705512234663
toi,0.011249341017170705
new,0.011025696066531128
find,0.01100333157146717
over,0.01091387359121134
didn,0.010779686620827594
because,0.010757322125763637
two,0.010734957630699678
flotte,0.01062313515537989
off,0.01062313515537989
prendre,0.01053367717512406
dieu,0.010354761214612398
meme,0.010354761214612398
da,0.010287667729420526
etes,0.010287667729420526
maintenant,0.010175845254100736
admiral,0.010153480759036779
quelque,0.010131116263972822
trouver,0.010041658283716991
lee,0.009885106818269287
pourquoi,0.009885106818269287
merci,0.009795648838013456
love,0.009773284342949499
dit,0.009706190857757625
venir,0.00966146186762971
only,0.009594368382437837
sharon,0.009460181412054092
alors,0.009393087926862219
never,0.009393087926862219
should,0.00928126545154243
day,0.009214171966350557
keep,0.0091918074712866
quand,0.0091918074712866
croire,0.009169442976222643
die,0.009079984995966812
please,0.009035256005838896
maybe,0.009012891510774938
still,0.009012891510774938
try,0.008945798025583065
hear,0.008923433530519108
rien,0.00890106903545515
doing,0.008856340045327234
work,0.008766882065071405
kobol,0.008677424084815574
sorry,0.008632695094687658
vraiment,0.0086103305996237
before,0.008543237114431827
ete,0.008543237114431827
apollo,0.00852087261936787
comment,0.00852087261936787
too,0.00852087261936787
question,0.008498508124303913
plan,0.008476143629239954
mission,0.008453779134175997
minute,0.00843141463911204
other,0.00843141463911204
mama,0.008386685648984123
roslin,0.008364321153920166
believe,0.008319592163792251
into,0.008252498678600378
sam,0.00823013418353642
call,0.008185405193408504
hell,0.00814067620328059
long,0.00814067620328059
put,0.008095947213152674
viper,0.008073582718088716
besoin,0.008051218223024759
than,0.007939395747704971
again,0.007917031252641014
help,0.007894666757577055
very,0.00784993776744914
deux,0.007827573272385183
even,0.007827573272385183
temp,0.007805208777321225
start,0.0077604797871933095
bon,0.007738115292129351
juste,0.007738115292129351
chief,0.007693386302001436
raider,0.007693386302001436
aimer,0.007626292816809563
kill,0.007626292816809563
order,0.007626292816809563
stop,0.007603928321745605
much,0.007581563826681648
wait,0.007559199331617691
sure,0.007536834836553733
away,0.007514470341489775
lose,0.007492105846425817
thought,0.007492105846425817
madame,0.007425012361233945
human,0.0074026478661699865
point,0.007380283371106029
happen,0.007357918876042071
colonel,0.007335554380978114
earth,0.007313189885914156
chef,0.0071790029155304105
hey,0.0071790029155304105
jamais,0.0071790029155304105
little,0.0071790029155304105
place,0.007134273925402495
homme,0.007067180440210622
five,0.007044815945146664
avant,0.007000086955018749
move,0.006977722459954791
chance,0.006955357964890834
pegasus,0.0069329934698268755
anything,0.006910628974762918
battlestar,0.006910628974762918
mean,0.00688826447969896
peut,0.00688826447969896
life,0.006865899984635003
gaeta,0.006776442004379172
encore,0.0067093485191872995
tres,0.006642255033995426
through,0.006619890538931469
mort,0.006552797053739595
personne,0.006552797053739595
amiral,0.006485703568547723
feel,0.006485703568547723
first,0.006485703568547723
listen,0.006485703568547723
captain,0.0064633390734837644
six,0.006440974578419807
terre,0.006418610083355849
vie,0.006418610083355849
won,0.0063738810932279346
after,0.006329152103100019
every,0.006306787608036061
stay,0.006306787608036061
mr,0.006284423112972104
doesn,0.006262058617908146
moment,0.006194965132716273
hand,0.006150236142588358
talk,0.006150236142588358
aussi,0.0061278716475243996
three,0.006083142657396484
use,0.006083142657396484
aux,0.006060778162332527
doit,0.006060778162332527
understand,0.006038413667268569
lot,0.0060160491722046116
nothing,0.005971320182076696
child,0.005948955687012739
aucun,0.005926591191948781
toujours,0.005926591191948781
jour,0.005859497706756908
wrong,0.005859497706756908
fois,0.00583713321169295
live,0.00583713321169295
colonial,0.005814768716628993
san,0.005814768716628993
leave,0.005770039726501077
contact,0.005725310736373162
last,0.005702946241309204
zarek,0.005680581746245247
laura,0.0056582172511812885
pos,0.0056582172511812885
lieutenant,0.005635852756117331
enough,0.0055463947758615005
gotta,0.005524030280797543
parce,0.005501665785733585
192,0.005479301290669628
celer,0.005479301290669628
seul,0.005479301290669628
accord,0.00545693679560567
boomer,0.00545693679560567
capitaine,0.00545693679560567
bring,0.005412207805477754
being,0.005389843310413797
parler,0.005367478815349839
hold,0.005345114320285882
machine,0.005345114320285882
change,0.005300385330157966
head,0.005300385330157966
cally,0.005278020835094008
colony,0.005278020835094008
commandant,0.005278020835094008
own,0.005278020835094008
thrace,0.005255656340030051
ask,0.005233291844966093
isn,0.005233291844966093
tigh,0.005233291844966093
another,0.005210927349902136
coming,0.005210927349902136
stand,0.005210927349902136
helo,0.00516619835977422
www,0.00516619835977422
passe,0.005099104874582348
hera,0.0050767403795183895
baseship,0.005054375884454432
face,0.005054375884454432
left,0.005054375884454432
same,0.005054375884454432
old,0.005032011389390474
remember,0.005032011389390474
donc,0.005009646894326517
team,0.005009646894326517
apres,0.004987282399262559
dead,0.0049649179041986015
commander,0.004942553409134643
dradis,0.004942553409134643
run,0.004920188914070686
humain,0.004875459923942771
putain,0.004853095428878813
job,0.004830730933814855
laisser,0.004808366438750897
ftl,0.004763637448622983
saul,0.004763637448622983
suppose,0.004763637448622983
essayer,0.004741272953559025
many,0.004741272953559025
open,0.004741272953559025
part,0.004718908458495067
turn,0.004718908458495067
around,0.004696543963431109
hope,0.004674179468367152
kat,0.004674179468367152
na,0.004674179468367152
peu,0.004674179468367152
lord,0.004651814973303194
bill,0.004629450478239237
home,0.004629450478239237
ready,0.004629450478239237
ellen,0.0046070859831752785
force,0.0046070859831752785
may,0.0046070859831752785
pilot,0.0046070859831752785
until,0.0046070859831752785
quel,0.004584721488111321
report,0.004562356993047363
ordre,0.004539992497983406
sto,0.004539992497983406
attack,0.004517628002919448
celui,0.004517628002919448
year,0.004517628002919448
falloir,0.0044952635078554905
someone,0.0044952635078554905
reste,0.004472899012791532
arrive,0.004450534517727575
serum,0.004450534517727575
talke,0.004450534517727575
decision,0.004428170022663617
course,0.00440580552759966
gen,0.00440580552759966
line,0.00440580552759966
position,0.0043834410325357025
problem,0.0043834410325357025
quelqu,0.0043834410325357025
sommer,0.0043834410325357025
air,0.004361076537471744
fire,0.004361076537471744
woman,0.004361076537471744
enfant,0.004338712042407787
found,0.004338712042407787
frakkin,0.004316347547343829
lie,0.004316347547343829
vrai,0.004316347547343829
cottle,0.004271618557215914
eye,0.004271618557215914
name,0.004271618557215914
send,0.004271618557215914
sortir,0.004249254062151956
care,0.004226889567087998
end,0.004226889567087998
guess,0.004226889567087998
depuis,0.004204525072024041
madam,0.004204525072024041
monde,0.004182160576960083
net,0.004182160576960083
entre,0.004159796081896126
idea,0.004159796081896126
always,0.0041374315868321675
major,0.00411506709176821
must,0.00411506709176821
jusqu,0.004092702596704252
continue,0.004070338101640295
deja,0.004070338101640295
everything,0.004070338101640295
yourself,0.004070338101640295
etais,0.004047973606576337
trust,0.004047973606576337
raison,0.0040256091115123795
resurrection,0.0040256091115123795
without,0.0040256091115123795
word,0.0040256091115123795
check,0.004003244616448421
father,0.004003244616448421
comprendre,0.003980880121384464
heure,0.003958515626320507
mere,0.003958515626320507
might,0.003958515626320507
mind,0.003958515626320507
ouais,0.003958515626320507
deck,0.003936151131256549
pilote,0.0039137866361925915
arme,0.0038914221411286334
docteur,0.0038914221411286334
mi,0.0038914221411286334
quorum,0.0038690576460646757
matt,0.003846693151000718
doctor,0.0038243286559367603
nouveau,0.0038243286559367603
trop,0.0038243286559367603
four,0.0038019641608728026
hour,0.0038019641608728026
12,0.0037795996658088454
anna,0.0037572351707448877
attention,0.0037572351707448877
donne,0.0037572351707448877
fine,0.0037572351707448877
mourir,0.0037572351707448877
rester,0.0037572351707448877
hard,0.00373487067568093
certain,0.0037125061806169723
gin,0.0037125061806169723
parle,0.0037125061806169723
planet,0.0037125061806169723
attaque,0.0036901416855530146
command,0.0036901416855530146
less,0.0036901416855530146
lt,0.0036901416855530146
saut,0.0036901416855530146
truth,0.0036901416855530146
commence,0.003667777190489057
set,0.003667777190489057
wanna,0.003667777190489057
watch,0.003667777190489057
save,0.003600683705297184
which,0.003600683705297184
bord,0.003578319210233226
ever,0.003578319210233226
mieux,0.003578319210233226
aboard,0.0035559547151692685
clear,0.0035559547151692685
everyone,0.0035559547151692685
moins,0.0035559547151692685
passer,0.0035559547151692685
break,0.003533590220105311
control,0.003533590220105311
important,0.003533590220105311
miss,0.003533590220105311
athena,0.003511225725041353
kind,0.003511225725041353
second,0.003511225725041353
marine,0.0034888612299773954
test,0.0034888612299773954
vote,0.0034888612299773954
alive,0.0034664967349134377
base,0.0034664967349134377
desole,0.0034664967349134377
different,0.0034664967349134377
dis,0.0034664967349134377
once,0.0034664967349134377
system,0.0034664967349134377
civil,0.00344413223984948
close,0.00344413223984948
excuse,0.00344413223984948
signal,0.00344413223984948
vers,0.00344413223984948
laisse,0.0034217677447855224
beaucoup,0.0033994032497215647
com,0.0033994032497215647
great,0.0033994032497215647
main,0.0033770387546576074
pere,0.0033770387546576074
pull,0.0033770387546576074
mettre,0.0033546742595936497
next,0.0033546742595936497
true,0.0033546742595936497
both,0.003332309764529692
femme,0.003332309764529692
show,0.003332309764529692
demande,0.0033099452694657343
dr,0.0033099452694657343
haven,0.0032875807744017767
rest,0.0032875807744017767
launch,0.003265216279337819
possible,0.003265216279337819
vice,0.003265216279337819
ago,0.0032428517842738613
grand,0.0032428517842738613
guy,0.0032428517842738613
already,0.0032204872892099036
attendre,0.0032204872892099036
combat,0.003198122794145946
defense,0.003198122794145946
thinke,0.003198122794145946
bonne,0.0031757582990819882
cause,0.0031757582990819882
else,0.0031757582990819882
under,0.0031757582990819882
combien,0.0031533938040180305
tyrol,0.0031533938040180305
