Mot,Poids
be,0.3449574768105934
le,0.34366931013225194
you,0.28509162539083044
un,0.24509066011601713
être,0.23281917754865916
de,0.20902199312245665
je,0.1966827123088702
the,0.19281821227384585
to,0.17390250157609513
vous,0.16610570325981797
ne,0.16135982602382318
que,0.15485119438588746
il,0.1494273346876077
pa,0.14725779080829576
ce,0.1347151152560238
it,0.13335915033145385
he,0.11166371153833478
that,0.10888398344296639
eat,0.10495168516171356
tu,0.10440929919188559
have,0.09173102714715661
and,0.09125643942355714
avoir,0.08840891308196026
on,0.08820551834327477
ca,0.08210367618271003
son,0.08203587793648152
of,0.0802053252883121
do,0.07878156211751366
en,0.07274751820317742
faire,0.07057797432386552
qu,0.06976439536912354
what,0.06935760589175256
this,0.06901861466061009
know,0.06237438653021736
we,0.06122181634433291
pouvoir,0.05830649175650753
pour,0.05688272858570909
in,0.05573015839982464
aller,0.053831807505426724
elle,0.053831807505426724
savoir,0.049357123254345915
get,0.04840794780714695
qui,0.047323175867491
tout,0.046984184636348514
for,0.04305188635509568
bien,0.04298408810886718
go,0.04278069337018169
don,0.041153535460697756
no,0.04101793896824076
not,0.04101793896824076
vicki,0.040950140722012265
she,0.03918738632007134
oh,0.03878059684270036
si,0.03810261438041539
they,0.03803481613418689
moi,0.03796701788795839
your,0.037695824903044406
henry,0.037289035425673425
etre,0.03681444770207394
vouloir,0.03661105296338845
my,0.03633985997847446
dans,0.03613646523978897
sur,0.035526281023732495
can,0.03518728979259001
with,0.03498389505390452
yes,0.034712702068990534
as,0.03417031609916255
voir,0.03417031609916255
etait,0.03403471960670556
all,0.033695728375563075
her,0.03356013188310608
so,0.033288938898192094
just,0.0332211406519636
choose,0.032678754682135616
non,0.032678754682135616
mais,0.03254315818967862
nous,0.03240756169722163
will,0.03220416695853614
du,0.03125499151133718
there,0.03125499151133718
like,0.030644807295280702
plus,0.03050921080282371
ou,0.03030581606413822
right,0.03023801781790972
if,0.02956003535562475
about,0.029017649385796773
but,0.02813627218482631
avec,0.027932877446140817
out,0.026848105506484865
okay,0.02644131602911388
want,0.025695535320600413
well,0.025627737074371916
see,0.025424342335686426
think,0.02501755285831544
say,0.02454296513471596
devoir,0.024475166888487464
here,0.02433957039603047
au,0.024271772149801973
comme,0.02413617565734498
quelque,0.024068377411116483
mon,0.02386498267243099
one,0.023525991441288505
lui,0.023051403717689024
dire,0.02271241248654654
est,0.022509017747861047
who,0.02244121950163255
mike,0.022373421255404053
look,0.02196663177803307
penser,0.02081406159214862
his,0.020746263345920123
oui,0.02033947386854914
vampire,0.019932684391178155
quoi,0.01959369316003567
trouver,0.019525894913807174
se,0.019458096667578677
at,0.01939029842135018
dit,0.01939029842135018
how,0.01939029842135018
autre,0.019254701928893184
up,0.019254701928893184
come,0.018576719466608212
good,0.018576719466608212
kill,0.01844112297415122
ton,0.01844112297415122
croire,0.018102131743008735
tell,0.017830938758094744
something,0.017559745773180757
take,0.017356351034495267
alors,0.01722075454203827
or,0.016678368572210295
mort,0.0166105703259818
now,0.016407175587296305
meme,0.015661394878782837
ouais,0.015525798386325843
ici,0.015458000140097346
guy,0.01539020189386885
need,0.015322403647640351
ok,0.01511900890895486
quand,0.01511900890895486
time,0.014712219431583878
some,0.01464442118535538
make,0.014576622939126883
pourquoi,0.014373228200441393
when,0.014237631707984397
would,0.014237631707984397
could,0.0141698334617559
thing,0.0141698334617559
etes,0.014034236969298907
peut,0.014034236969298907
why,0.014034236969298907
accord,0.013966438723070409
coreen,0.013830842230613415
vraiment,0.013627447491927923
juste,0.01349185099947093
demon,0.013152859768328444
ete,0.013152859768328444
par,0.01301726327587145
more,0.012949465029642952
from,0.012881666783414455
work,0.012813868537185958
comment,0.012746070290957461
find,0.012746070290957461
rien,0.012746070290957461
toi,0.012678272044728964
tres,0.012678272044728964
venir,0.01254267555227197
let,0.012474877306043472
didn,0.012407079059814976
mama,0.012407079059814976
prendre,0.01206808782867249
toujours,0.012000289582443993
where,0.012000289582443993
quelqu,0.011932491336215495
besoin,0.011864693089986998
bon,0.011864693089986998
way,0.011729096597530004
personne,0.011661298351301507
eh,0.011525701858844512
hey,0.011254508873930523
then,0.01111891238147353
people,0.010915517642788038
call,0.010779921150331044
merci,0.010712122904102547
any,0.010440929919188558
maybe,0.010373131672960062
nelson,0.010373131672960062
sure,0.010373131672960062
jamais,0.010237535180503066
mean,0.010237535180503066
femme,0.010034140441817576
dead,0.009830745703132084
temp,0.009830745703132084
parler,0.009762947456903587
thank,0.009762947456903587
too,0.009762947456903587
back,0.00969514921067509
help,0.00969514921067509
blood,0.009627350964446592
try,0.009627350964446592
peu,0.009559552718218095
maintenant,0.009491754471989598
affaire,0.009356157979532605
give,0.009356157979532605
anything,0.009288359733304106
aussi,0.009288359733304106
really,0.009288359733304106
aimer,0.00922056148707561
night,0.00922056148707561
deux,0.009017166748390119
fois,0.008881570255933124
kind,0.008813772009704627
