Mot,Poids
be,0.4025212514064018
le,0.3662187508673244
ne,0.27067968997345215
the,0.26443275505599423
un,0.2562336529768307
you,0.22688086753342523
être,0.21391847757970003
de,0.21388724290511274
vous,0.16792541924991602
to,0.15615775559915465
je,0.14523342816225007
il,0.1306858784732199
that,0.12238526370164769
pa,0.11944920429044247
it,0.11222618579213174
que,0.11000852389643417
on,0.09979478530639045
ce,0.0980378348608554
of,0.09544535687011037
eat,0.09475819402919
he,0.09443022994602346
avoir,0.0915175965407587
son,0.08988558479357281
and,0.08905786591700963
have,0.07647810072697872
in,0.07251910572303977
we,0.06749813178313295
ca,0.06536636524255043
what,0.06425753429470164
do,0.06424972562605483
en,0.06233660180758333
this,0.06199302038712315
pour,0.05588664150530802
qu,0.054863705912574286
faire,0.05345033688749942
know,0.050818815553520275
du,0.04749232270997392
for,0.04416582986642757
get,0.043751970428145985
no,0.042572861462475804
not,0.04112044909416683
dans,0.04005847015819899
with,0.03984763610473478
pouvoir,0.03865290980177095
qui,0.038606057789890014
they,0.03848892776018768
sur,0.038371797730485345
elle,0.038332754387251235
aller,0.03673978598329946
your,0.03621660518396236
tout,0.03445965473842731
my,0.034428420063840025
booth,0.03395209127638386
yes,0.033850578583975166
etait,0.03379591790344741
she,0.03357727518133638
savoir,0.033491379826221336
tu,0.032726130298832735
bone,0.03185155941038863
avec,0.03183594207309498
all,0.03169538603745218
so,0.03155483000180938
mais,0.03104726653976592
but,0.03091451917276994
nous,0.030570937752309752
can,0.030227356331849566
just,0.02969636686386564
vouloir,0.029633897514691063
go,0.02952457615363555
don,0.029415254792580035
there,0.028837413312715176
her,0.02865781393383826
like,0.028509449229548633
non,0.028400127868493122
si,0.02801750310479882
bien,0.027736391033513216
right,0.02723663624011658
au,0.026572899405136675
etre,0.026518238724608918
moi,0.026244935321970135
dr,0.02526104307247051
will,0.025151721711414995
about,0.024284959491617707
voir,0.024284959491617707
if,0.024277150822970887
his,0.024183446799209016
at,0.023496283958288646
plus,0.023496283958288646
say,0.02329325857347126
as,0.02316051120647528
out,0.02305899851406659
from,0.022918442478423787
here,0.022746651768193692
look,0.022621713069844535
ou,0.022457731028261263
oui,0.021786185524634537
dire,0.021708098838166313
quoi,0.021559734133876685
brennan,0.02086476262430949
see,0.02077105860054762
oh,0.02050556386655566
why,0.02020883445797641
want,0.020185408452035942
well,0.02009170442827407
ete,0.01995895706127809
mon,0.019943339723984446
one,0.01979497501969482
lui,0.019787166351047998
okay,0.019740314339167064
good,0.019482628273821925
comme,0.018826700107488843
how,0.018217623953036693
pourquoi,0.01807706791739389
up,0.017936511881751084
trouver,0.017671017147759125
tell,0.017444565757001273
se,0.017194688360302957
dit,0.01717126235436249
think,0.01674959424743408
devoir,0.01635916081509296
who,0.015921875370870902
would,0.015773510666581277
par,0.01575008466064081
make,0.015437737914767912
when,0.014750575073847541
penser,0.01461782770685156
est,0.014399184984740531
choose,0.014305480960978664
etes,0.013961899540518477
could,0.013633935457351936
come,0.013555848770883712
didn,0.01348557075306231
or,0.013259119362304459
quand,0.013056093977487077
take,0.012946772616431563
time,0.012892111935903805
agent,0.012868685929963338
kill,0.012868685929963338
ok,0.012720321225673712
need,0.012642234539205488
mort,0.012626617201911845
mean,0.012478252497622218
work,0.01232207912468577
hodgins,0.012314270456038947
tres,0.012158097083102498
autre,0.012150288414455677
by,0.012103436402574741
guy,0.011994115041519229
quelque,0.011923837023697826
now,0.01183794166858278
because,0.011822324331289135
back,0.011767663650761378
found,0.011627107615118575
man,0.011260100188717922
ici,0.01122105684548381
people,0.010885284093670445
some,0.010861858087729978
