Mot,Poids
be,0.37785444205711793
le,0.33603969728735805
you,0.3261153116616239
être,0.24784499036000066
un,0.21482986751172506
je,0.19749527395210942
the,0.18432892235530213
de,0.18174858209261124
it,0.1732136104544799
to,0.16580340252059841
pa,0.1421172021605129
that,0.13589792050171953
on,0.13543478250585192
il,0.13139886568472003
tu,0.12101134206311831
que,0.114527410120972
and,0.10420604907020849
ce,0.1032797730784733
ca,0.10268430994092925
vous,0.09739130427387105
what,0.09421550087363613
eat,0.09143667289843056
he,0.08607750466053413
we,0.0860113420896959
this,0.08349716439784324
ne,0.08190926269772579
of,0.08058601128096124
en,0.07965973528922604
do,0.07529300561390302
get,0.07443289219300607
have,0.07370510391378557
faire,0.07112476365109469
aller,0.06689035911744812
in,0.06550094512984533
son,0.061597353450389906
know,0.06106805288368409
avoir,0.060869565171169406
qu,0.06040642717530181
just,0.05637051035416993
your,0.05597353492914056
pour,0.053988657803993735
tout,0.053128544383096776
for,0.052202268391361585
not,0.05034971640789122
right,0.05021739126621476
all,0.04982041584118539
as,0.04816635157022971
my,0.048100188999391474
go,0.04697542529514161
don,0.04644612472843578
moi,0.04578449902005351
no,0.045189035882509464
so,0.04333648389903909
like,0.04307183361568618
pouvoir,0.04300567104484795
vouloir,0.04201323248227454
bien,0.04141776934473049
they,0.040954631348862895
will,0.040954631348862895
savoir,0.040028355357127704
quoi,0.03923440450706898
mais,0.03910207936539252
qui,0.03870510394036315
good,0.03672022681521633
about,0.03546313796929
but,0.03533081282761354
here,0.035066162544260635
can,0.0347353496900695
up,0.03394139884001077
out,0.03341209827330494
si,0.03334593570246672
there,0.03308128541911381
say,0.03268430999408444
ton,0.03241965971073153
dans,0.032287334569055075
du,0.03208884685654039
with,0.031427221148158116
yes,0.031228733435643433
plus,0.02931001888133483
ou,0.029045368597981923
voir,0.028119092606246735
sur,0.027920604893732052
how,0.027854442322893826
dire,0.027589792039540914
want,0.02752362946870269
come,0.027126654043673322
toi,0.02666351604780573
mon,0.026200378051938134
at,0.025935727768585225
non,0.025671077485232313
au,0.02553875234355586
look,0.025340264631041175
if,0.02441398863930599
walt,0.02441398863930599
bon,0.024281663497629533
etre,0.02388468807260017
tell,0.023553875218409032
now,0.022826086939188528
one,0.022826086939188528
man,0.022032136089129795
see,0.022032136089129795
okay,0.021701323234938657
se,0.02130434780990929
etait,0.021238185239071065
lui,0.02103969752655638
avec,0.020642722101527015
comme,0.020378071818174106
think,0.02024574667649765
elle,0.020047258963982968
oui,0.019319470684762464
some,0.01912098297224778
nous,0.01905482040140955
falloir,0.018922495259733097
devoir,0.01865784497638019
mean,0.01859168240554196
why,0.01859168240554196
est,0.017996219267997913
make,0.017930056697159684
need,0.017863894126321455
or,0.017863894126321455
rien,0.01779773155548323
alors,0.017731568984645
time,0.01766540641380677
his,0.017334593559615634
take,0.01726843098877741
vraiment,0.016805292992909813
who,0.016474480138718675
really,0.01640831756788045
dit,0.016275992426203992
pourquoi,0.015945179572012854
thing,0.0158128544303364
would,0.015415879005307035
let,0.015349716434468806
mama,0.015349716434468806
well,0.015283553863630579
back,0.015217391292792351
call,0.015085066151115897
jesse,0.014489603013571847
oh,0.014489603013571847
guy,0.01442344044273362
prendre,0.014357277871895393
comment,0.013894139876027799
tres,0.013894139876027799
down,0.013827977305189572
where,0.013827977305189572
something,0.013761814734351344
hank,0.013695652163513115
juste,0.013166351596807296
when,0.013100189025969067
work,0.01303402645513084
could,0.012967863884292613
then,0.012967863884292613
way,0.012967863884292613
gonna,0.012901701313454386
meme,0.012835538742616157
par,0.012835538742616157
quand,0.01276937617177793
choose,0.012703213600939702
deux,0.012703213600939702
from,0.012703213600939702
thank,0.012637051030101475
she,0.012504725888425019
accord,0.012306238175910336
penser,0.012173913034233881
venir,0.01190926275088097
more,0.011710775038366287
our,0.011710775038366287
croire,0.011578449896689833
dis,0.011578449896689833
autre,0.011446124755013377
merci,0.01137996218417515
mec,0.011313799613336922
give,0.011115311900822239
sorry,0.011115311900822239
yo,0.011115311900822239
didn,0.011049149329984012
doing,0.010916824188307556
white,0.010916824188307556
dollar,0.010784499046631101
money,0.010784499046631101
off,0.010586011334116418
ici,0.01051984876327819
hey,0.010453686192439963
little,0.010387523621601736
maybe,0.010122873338248826
skyler,0.010122873338248826
trouver,0.009924385625734142
even,0.009792060484057686
truc,0.009725897913219459
god,0.009659735342381232
two,0.009659735342381232
hell,0.009593572771543005
parle,0.009593572771543005
parler,0.009593572771543005
quelque,0.009527410200704776
very,0.009527410200704776
try,0.009262759917351865
her,0.009196597346513638
talk,0.009196597346513638
day,0.009064272204837184
please,0.009064272204837184
by,0.008998109633998956
marier,0.008931947063160727
peut,0.008931947063160727
peu,0.0088657844923225
000,0.008799621921484273
much,0.008799621921484273
talke,0.008733459350646046
www,0.008733459350646046
keep,0.00860113420896959
trop,0.00860113420896959
