Mot,Poids
be,0.3941658694810933
le,0.33543371535292754
you,0.313789571690129
être,0.2580628470787346
je,0.21644143662798548
the,0.20515213415742428
un,0.1968682612036344
de,0.16571534264113497
pa,0.15640861342323384
ne,0.15519633933243532
to,0.15296120897752555
tu,0.15238032764235127
it,0.15197623627875176
on,0.12439700071308547
que,0.11819672385285554
that,0.1093193417087789
and,0.10507638239098407
il,0.10378834116951065
ce,0.09626213952246986
we,0.09522665540324612
have,0.09438058911070965
eat,0.09227173730692473
ca,0.08537692841550816
of,0.08401312006335983
do,0.07892409445302855
what,0.07615859418339442
faire,0.07017299086007674
en,0.06961736523512742
this,0.0689733446243907
vous,0.06712967777796795
he,0.06547542875823248
aller,0.06454096747990862
qu,0.05999493963941418
in,0.059957056074076726
know,0.058883688389515534
buffy,0.05847959702591603
will,0.05822703992366634
get,0.05803762209697907
not,0.05706527725331776
avoir,0.056812720151068065
elle,0.05197625164298648
no,0.05176157810607424
don,0.05172369454073678
pouvoir,0.049728493432964226
just,0.04886979928531527
son,0.04832680151547844
can,0.048225778674578564
for,0.04724080597580477
she,0.04715241099001737
tout,0.046899853887767684
as,0.04671043606108041
pour,0.04607904330545618
mais,0.04340193802160946
savoir,0.04294733523756001
but,0.042884195961997586
they,0.042732661700647774
my,0.04269477813531032
with,0.04179820042232391
moi,0.04141936476894938
like,0.0396009536327516
so,0.03864123664420278
all,0.03832554026639066
si,0.03832554026639066
vouloir,0.038287656701053205
go,0.037984588178353575
your,0.03750472968407916
qui,0.03630508344839313
there,0.034133092369045784
bien,0.03317337538049696
du,0.03241570407374788
yes,0.03199898485503589
her,0.031923217724360985
out,0.031809567028348626
here,0.03111503499716197
oh,0.03091298931536222
non,0.030698315778449982
etre,0.030635176502887558
about,0.030559409372212652
plus,0.030559409372212652
good,0.02914508959961438
ton,0.028526324699102636
think,0.028412674003090273
ok,0.02820431439373428
voir,0.028172744755953067
right,0.027137260636729332
dans,0.026834192114029706
if,0.026783680693579767
ou,0.026366961474867775
well,0.02602600938683069
toi,0.025950242256155786
avec,0.025836591560143424
see,0.02563454587834367
up,0.025394616631206464
nous,0.025066292398281866
one,0.024737968165357265
se,0.024371760367095215
quoi,0.023412043378546386
now,0.023361531958096447
say,0.023348904102983965
thing,0.02324788126208409
devoir,0.023209997696746632
etait,0.022553349230897437
mon,0.022300792128647745
oui,0.022212397142860354
sur,0.022161885722410415
au,0.02206086288151054
look,0.021909328620160724
choose,0.021884072909935753
dire,0.021581004387236126
comme,0.021442097980998793
gonna,0.021328447284986434
how,0.021189540878749104
come,0.02051395063023118
make,0.020330846731100152
want,0.0196363146999135
at,0.019396385452776294
demon,0.01938375759766381
willow,0.019181711915864055
rien,0.018727109131814614
need,0.018247250637540197
est,0.0179189264046156
time,0.017843159273940694
giles,0.0174264400552287
tell,0.017262277938766404
something,0.017224394373428948
mean,0.01687081443027938
really,0.016656140893367144
or,0.01650460663201733
let,0.016277305239992608
take,0.01601212028263043
could,0.015885841731505587
lui,0.015746935325268253
vampire,0.015746935325268253
guy,0.015544889643468502
back,0.01548175036790608
croire,0.015342843961668748
spike,0.015342843961668748
mama,0.015330216106556264
some,0.014989264018519181
why,0.014951380453181727
when,0.014900869032731788
aimer,0.01482510190205688
who,0.014648311930482097
didn,0.014623056220257129
dit,0.014496777669132283
more,0.014256848421995075
quand,0.014067430595307807
way,0.013903268478845508
kill,0.01385275705839557
then,0.013612827811258364
quelque,0.01327187572322128
trouver,0.013233992157883826
from,0.013196108592546373
where,0.013069830041421527
