Mot,Poids
be,0.40002829469994966
you,0.32637387468661727
le,0.32055467671716664
être,0.2399172191404935
the,0.2369244887562046
to,0.19951535895259334
un,0.19469373777790566
it,0.17640482987391795
je,0.17623856707479077
de,0.16177370355072776
that,0.14182216765546843
on,0.13434034169474618
pa,0.13035003451569432
and,0.11522011979512266
tu,0.1085696078300362
il,0.10723950543701892
vous,0.09892636548066086
of,0.09726373748938925
have,0.0919433279173201
we,0.09177706511819293
que,0.0906132255243028
eat,0.08579160434961514
ne,0.08529281595223365
ce,0.08396271355921636
this,0.08363018796096204
what,0.08213382276881759
know,0.08047119477754598
son,0.07814351558976572
ca,0.0778109899915114
do,0.0756495736028583
in,0.07465199680809534
zoe,0.06118471007879529
aller,0.060685921681413804
elle,0.060685921681413804
faire,0.060685921681413804
en,0.06018713328403232
avoir,0.05952208208752368
my,0.05652935170323478
she,0.05636308890410762
he,0.05503298651109033
qu,0.05486672371196317
get,0.053869146917200204
for,0.053370358519818716
can,0.05270530732331007
your,0.05253904452418291
no,0.05120894213116562
not,0.05021136533640266
all,0.049878839738148335
but,0.048715000144258204
just,0.04804994894774956
they,0.0478836861486224
don,0.04605479535822363
savoir,0.04605479535822363
go,0.045722269759969306
pour,0.045556006960842145
pouvoir,0.04439216736695202
mais,0.04405964176869769
her,0.042397013777426086
tout,0.03990307179051867
like,0.03923802059401002
du,0.03907175779488286
will,0.03873923219662854
there,0.038240443799247056
moi,0.037907918200992735
dans,0.036910341406229764
so,0.036744078607102604
here,0.03541397621408532
graystone,0.035081450615831
right,0.035081450615831
as,0.033917611021940866
if,0.033418822624559384
si,0.033418822624559384
with,0.033252559825432224
sur,0.03308629702630506
out,0.03192245743241493
voir,0.030758617838524807
vouloir,0.030758617838524807
about,0.030592355039397646
qui,0.02843093865074455
bien,0.02826467585161739
etait,0.02826467585161739
see,0.02826467585161739
want,0.02826467585161739
quoi,0.027765887454235905
ton,0.026934573458600102
nous,0.026602047860345777
think,0.026602047860345777
say,0.026103259462964296
yes,0.026103259462964296
now,0.02560447106558281
okay,0.02560447106558281
one,0.02427436867256552
plus,0.02410810587343836
gonna,0.0239418430743112
up,0.02377558027518404
au,0.02344305467692972
devoir,0.02344305467692972
good,0.023276791877802554
look,0.022778003480421073
need,0.022611740681293912
at,0.02244547788216675
come,0.02227921508303959
how,0.021780426685658105
mama,0.021614163886530945
mon,0.021614163886530945
take,0.021614163886530945
make,0.021447901087403784
etre,0.019951535895259335
fille,0.019785273096132174
comme,0.019120221899623528
let,0.018953959100496368
well,0.018787696301369207
caprica,0.018621433502242046
avatar,0.018455170703114882
tell,0.018455170703114882
god,0.01828890790398772
thing,0.01828890790398772
dieu,0.01812264510486056
toi,0.01812264510486056
avec,0.0179563823057334
daughter,0.0179563823057334
