Mot,Poids
be,0.3769389800860851
you,0.33766579690130294
le,0.3149603077091256
être,0.222310071519267
the,0.20497624138827578
je,0.19415456843356857
to,0.19382373691926535
ne,0.17591530468448438
un,0.16809723363595094
pa,0.15768474702788188
de,0.1542371344051433
it,0.14952713837256357
tu,0.1324893153859489
on,0.1298948998264133
we,0.12871087124890712
that,0.12775320107592417
il,0.12451453467274551
que,0.11709694387836855
have,0.10117350072940676
what,0.0971077555404701
ce,0.09685527885850187
and,0.09615879145996882
vous,0.09226716812066542
do,0.09104831517323259
he,0.08782706095501724
of,0.07856377855452772
eat,0.07849412981467442
ca,0.076256664046887
know,0.07118971822255908
pouvoir,0.06530439970495483
en,0.06379824570562712
this,0.06345870809884226
faire,0.06279704507023587
qu,0.06228338561381774
aller,0.06217891250403779
son,0.061917729729587895
don,0.06180455052732627
no,0.06038545745281519
not,0.05966285177683715
get,0.05941037509486892
avoir,0.05870518160385421
just,0.056937844830076606
can,0.05654607066840177
they,0.05464814250739921
in,0.05416930742090774
pour,0.05342928955996638
for,0.050181917064306046
will,0.04697807503105403
but,0.04591593174829113
your,0.0442008315294035
as,0.0438961182925453
okay,0.04362622942561374
so,0.043373752743645515
all,0.04325186744890223
go,0.0425989105127775
my,0.0424334947556259
mais,0.04205913277891438
yes,0.04165865252475788
savoir,0.041092756513449784
tout,0.04059650924199499
phoebe,0.04014379243294851
well,0.03884658465318071
si,0.03843739830654254
qui,0.03832421910428092
elle,0.038036918052386036
vouloir,0.037775735277936144
demon,0.037053129601958106
non,0.03697477476962314
nous,0.036765828550063225
piper,0.0363479361109434
she,0.03631311174101674
right,0.03593004367182357
moi,0.03590392539437858
with,0.035459914677813766
if,0.03419753126797261
here,0.034119176435637645
about,0.033205036725063024
out,0.0329264417656498
bien,0.032795850378424855
oh,0.031855592390405245
think,0.03135934511895045
leo,0.031202635454280512
her,0.02992283985947604
how,0.029252470738387982
etre,0.028999994056419752
good,0.028904227039121457
there,0.02834703712029502
plus,0.02801620560599182
ou,0.027354542577385427
du,0.027345836484903765
now,0.026901825768338945
voir,0.02663193690140739
one,0.026553582069072424
like,0.02649263942170078
oui,0.026414284589365813
gonna,0.026100865260025943
ton,0.02601380433520931
see,0.025622030173534472
why,0.0241768188215784
want,0.024141994451651747
devoir,0.023541274070416993
come,0.02300149633655388
up,0.02277513793203064
prue,0.022531367342544076
dans,0.022130887088387573
look,0.021852292128974354
toi,0.021817467759047703
quoi,0.021652052001896103
paige,0.021591109354524463
need,0.021460517967299517
say,0.021425693597372862
se,0.021147098637959643
back,0.02091203414095474
au,0.020703087921394827
time,0.02059861481161487
at,0.02040708077701828
mean,0.02031131375971999
est,0.019910833505563486
who,0.019762829933375213
tell,0.019745417748411886
avec,0.019606120268705278
mon,0.019458116696517005
sur,0.019292700939365408
etait,0.018970575517543872
dire,0.018622331818277348
power,0.018361149043827456
let,0.018108672361859226
lui,0.01803902362200592
comment,0.017969374882152618
really,0.01769948601522106
rien,0.017238063113692918
make,0.017124883911431295
pourquoi,0.016672167102384818
from,0.01631521731063663
take,0.016262980755746653
didn,0.01614109546100337
ici,0.016106271091076714
croire,0.015766733484291855
where,0.015618729912103583
help,0.015575199449695267
choose,0.015435901969988657
falloir,0.015261780120355397
could,0.015009303438387167
comme,0.014809063311308915
trouver,0.01479165112634559
or,0.014730708478973948
maybe,0.01453917444437736
venir,0.014495643981969043
because,0.014460819612042392
try,0.014452113519560729
thing,0.014373758687225761
too,0.014365052594744097
our,0.014356346502262434
find,0.014251873392482477
would,0.014164812467665846
something,0.013851393138325976
then,0.013703389566137703
way,0.013572798178912757
mama,0.013477031161614462
cole,0.013346439774389516
hey,0.01321584838716457
work,0.013137493554829602
wait,0.013015608260086318
when,0.012876310780379709
little,0.012797955948044741
dit,0.012684776745783121
sure,0.012510654896149859
kill,0.012493242711186533
should,0.01228429649162662
guy,0.012223353844254978
his,0.0120057015322134
happen,0.011883816237470117
more,0.011735812665281845
peut,0.011648751740465214
passe,0.011587809093093572
autre,0.01152686644572193
bon,0.01150074816827694
witch,0.011492042075795277
sorry,0.011431099428423637
doing,0.011056737451712123
thank,0.011030619174267134
tres,0.010978382619377156
only,0.010891321694560524
call,0.010760730307335578
quand,0.010717199844927264
temp,0.010673669382518947
alors,0.010612726735147305
aussi,0.010325425683252424
some,0.010325425683252424
still,0.01031671959077076
prendre,0.010220952573472468
soeur,0.010099067278729184
love,0.009933651521577585
penser,0.009924945429095921
by,0.009881414966687607
wyatt,0.00977694185690765
par,0.009567995637347735
never,0.00949834689749443
meme,0.009463522527567778
any,0.009419992065159463
mal,0.009402579880196136
hello,0.009367755510269485
vraiment,0.009324225047861168
etes,0.00929810677041618
before,0.009280694585452854
merci,0.00927198849297119
quelque,0.009141397105746244
sister,0.009123984920782919
use,0.009115278828301255
aimer,0.009080454458374602
after,0.0088453899613697
keep,0.00881927168392471
san,0.008801859498961383
doit,0.00873221075910808
give,0.00870609248166309
besoin,0.008697386389181426
even,0.008688680296699763
doesn,0.008610325464364795
vie,0.008575501094438142
accord,0.00856679500195648
essayer,0.008558088909474817
potion,0.008558088909474817
anything,0.008549382816993153
avant,0.008253375672616609
seul,0.008192433025244967
again,0.008166314747799977
peu,0.008131490377873326
spell,0.008122784285391663
jamais,0.008105372100428337
wanna,0.00808795991546501
aider,0.00806184163802002
encore,0.008035723360575031
arrive,0.007939956343276738
great,0.007879013695905096
over,0.007818071048533454
stop,0.007800658863570128
maintenant,0.007791952771088465
long,0.007757128401161812
parler,0.00774842230868015
nothing,0.007583006551528551
talk,0.007583006551528551
save,0.0074698273492669305
please,0.007452415164303604
down,0.007435002979340279
sort,0.007365354239486974
ete,0.007304411592115332
gotta,0.007295705499633669
very,0.00726958722218868
much,0.007234762852262027
toujours,0.007208644574817038
juste,0.007199938482335375
tuer,0.0071912323898537115
life,0.007165114112408722
mort,0.007043228817665439
actually,0.006964873985330472
into,0.006964873985330472
magic,0.006895225245477167
than,0.006869106968032178
believe,0.006834282598105525
thought,0.006816870413142199
trop,0.0067820460432155465
change,0.006773339950733884
won,0.006773339950733884
comprendre,0.006738515580807231
off,0.006634042471027274
other,0.006634042471027274
evil,0.006590512008618959
sorcier,0.006573099823655632
everything,0.0065295693612473175
god,0.0065295693612473175
sauver,0.006503451083802327
question,0.006494744991320665
parle,0.006477332806357338
first,0.006433802343949023
old,0.006433802343949023
book,0.0063728596965773815
deux,0.006233562216870772
chance,0.00619873784694412
kind,0.00619873784694412
quel,0.006181325661980794
grand,0.00617261956949913
away,0.006163913477017467
bad,0.006163913477017467
halliwell,0.006129089107090815
which,0.006042028182274184
magie,0.0059984977198658685
worry,0.0059984977198658685
vanquish,0.005972379442420879
wrong,0.005972379442420879
feel,0.005937555072494227
deja,0.005911436795049237
their,0.005841788055195933
suppose,0.005815669777750943
place,0.005806963685269281
home,0.005798257592787618
two,0.005798257592787618
trois,0.005789551500305954
etais,0.005780845407824291
problem,0.005780845407824291
last,0.005772139315342629
appeler,0.005763433222860965
livre,0.005737314945415976
fine,0.005702490575489324
fois,0.005658960113081008
understand,0.005641547928117682
dis,0.0056241357431543555
chris,0.00560672355819103
monde,0.00560672355819103
isn,0.00558060528074604
apres,0.005537074818337725
moment,0.005519662633374399
raison,0.00549354435592941
late,0.00546742607848442
remember,0.00546742607848442
sorciere,0.005450013893521094
source,0.005415189523594442
leave,0.005406483431112778
people,0.005406483431112778
vrai,0.005362952968704463
parce,0.005345540783741137
attend,0.0053107164138144845
lose,0.0053107164138144845
minute,0.0053107164138144845
desolee,0.005302010321332822
hear,0.005302010321332822
day,0.005232361581479517
must,0.0052149493965161905
die,0.005206243304034528
baby,0.005197537211552864
quelqu,0.005197537211552864
new,0.0051801250265895386
lot,0.005171418934107875
might,0.005162712841626212
plan,0.005162712841626212
bonne,0.005093064101772907
three,0.005093064101772907
aide,0.005075651916809581
innocent,0.005066945824327918
stay,0.005032121454401265
talke,0.005032121454401265
