Mot,Poids
be,0.4499458369464179
you,0.3447958632540917
le,0.2804926101114768
être,0.22202821368110412
the,0.22137102634552708
ne,0.21538051101738254
to,0.19839474603631446
je,0.17739002773383297
un,0.17423047323586643
de,0.1557786749677419
it,0.13292877683844792
that,0.12645800922661246
on,0.12089719331019137
pa,0.11414838490253486
tu,0.11060968386481235
and,0.09928584054410029
que,0.0990583526202467
we,0.09708679061351559
chuck,0.09597462743023137
have,0.09405361829546773
what,0.08864446099494902
il,0.08717842770789255
of,0.08427163756976333
do,0.08298253933459299
ce,0.08161761179147145
vous,0.07668870677464366
he,0.07514684417963599
no,0.07390829881643311
this,0.07370608732856325
in,0.07355442871266087
eat,0.07175980175781588
know,0.07024321559879193
get,0.06726059615271153
faire,0.06104259290071339
aller,0.0601831940772665
my,0.05998098258939664
ca,0.059096307329966014
en,0.05859077861029137
go,0.05859077861029137
for,0.05267609259009802
your,0.05179141733066739
just,0.050982571379187956
son,0.05088146563525303
pour,0.04890990362852191
avoir,0.04878352144860325
yes,0.0485054806527822
qu,0.047266935289579315
not,0.04653391864605108
can,0.04587673131047404
don,0.045775625566539115
okay,0.041984160168979275
oh,0.04195888373299554
pouvoir,0.03950706944257351
as,0.03945651657060605
so,0.03927958151871992
will,0.0390268171588826
here,0.03809158902748451
with,0.036954149408216556
savoir,0.036853043664281625
moi,0.03665083217641177
tout,0.036246409200672056
right,0.03543756324919262
but,0.034350676501892136
sarah,0.034123188578038546
about,0.03374404203828256
uh,0.03321323688262418
bien,0.03318796044664045
they,0.03311213113868925
all,0.031671374287616516
vouloir,0.03162082141564905
like,0.03136805705581173
good,0.03131750418384426
hey,0.030963634080072012
out,0.030104235256625117
qui,0.029623982972934202
casey,0.02949760079301554
want,0.029118454253259558
there,0.02894151920137343
if,0.028764584149487307
si,0.02868875484153611
dans,0.028435990481698786
mais,0.028309608301780125
mon,0.027879908890056676
well,0.027854632454072943
du,0.02712161581054471
non,0.026666639962837527
ton,0.02626221698709781
morgan,0.026186387679146616
now,0.02611055837119542
sur,0.025706135395455704
up,0.02565558252348824
quoi,0.02466980152012268
guy,0.02444231359626909
think,0.0242148256724155
avec,0.024164272800448035
nous,0.024164272800448035
ou,0.02365874408077339
look,0.023557638336838462
at,0.023456532592903534
she,0.0234312561569198
how,0.02322904466904994
more,0.023127938925115013
one,0.022951003873228886
etre,0.022698239513391564
plus,0.02231909297363558
au,0.021914669997895864
see,0.021864117125928402
agent,0.021712458510026008
toi,0.021661905638058542
elle,0.02163662920207481
say,0.02153552345813988
really,0.020701401070676716
voir,0.02042336027485566
need,0.020296978094937
devoir,0.02017059591501834
tell,0.020094766607067143
come,0.019766172939278622
bartowski,0.01938702639952264
dire,0.019210091347636512
who,0.01915953847566905
work,0.018097928164352295
take,0.01771878162459631
let,0.017289082212872862
est,0.017086870725003003
her,0.016985764981068074
why,0.01683410636516568
wait,0.016733000621230752
time,0.01670772418524702
make,0.016379130517458502
thank,0.016303301209507303
se,0.016202195465572375
man,0.01612636615762118
oui,0.016101089721637447
sorry,0.016025260413686248
intersect,0.01592415466975132
mama,0.015873601797783857
back,0.01582304892581639
or,0.015368073078109211
where,0.015165861590239353
would,0.015115308718271889
etait,0.015090032282288156
thing,0.015090032282288156
buy,0.014913097230402031
comme,0.014862544358434565
mission,0.014811991486467101
ellie,0.014761438614499637
lui,0.014584503562613512
penser,0.014205357022857527
mean,0.013876763355069007
our,0.01380093404711781
gonna,0.013725104739166613
his,0.013725104739166613
some,0.013522893251296757
could,0.013472340379329291
from,0.013219576019491969
choose,0.013194299583508236
vraiment,0.012789876607768522
something,0.01256238868391493
little,0.012410730068012537
pourquoi,0.01187992491235416
bon,0.011349119756695782
ici,0.01132384332071205
venir,0.011273290448744585
call,0.011172184704809657
way,0.011146908268825924
cia,0.011121631832842193
merci,0.011071078960874727
please,0.010944696780956066
spy,0.010793038165053673
juste,0.01076776172906994
then,0.010717208857102476
comment,0.01064137954915128
when,0.010616103113167547
bryce,0.010489720933248885
prendre,0.010464444497265154
help,0.010439168061281421
big,0.010388615189313957
very,0.01031278588136276
rien,0.010262233009395296
sure,0.010186403701444099
walker,0.010161127265460366
down,0.01008529795750917
didn,0.00985781003365558
too,0.009832533597671847
give,0.009807257161688114
quelque,0.009630322109801989
over,0.009605045673818256
dit,0.009579769237834525
talk,0.009579769237834525
by,0.009554492801850792
tres,0.009554492801850792
great,0.009453387057915864
meme,0.009453387057915864
two,0.00942811062193213
shaw,0.0094028341859484
aimer,0.009352281313980934
off,0.00930172844201347
fulcrum,0.009276452006029737
par,0.009200622698078541
doing,0.009124793390127344
life,0.009124793390127344
never,0.009074240518159879
vie,0.009023687646192415
general,0.008998411210208683
hello,0.00897313477422495
should,0.008922581902257486
god,0.00874564685037136
maybe,0.008593988234468967
parler,0.008593988234468967
desole,0.008543435362501501
peu,0.008492882490534037
friend,0.008442329618566573
secret,0.008341223874631643
um,0.008315947438647912
jeff,0.008214841694712982
night,0.008214841694712982
quand,0.008214841694712982
croire,0.008189565258729251
kind,0.008139012386761787
listen,0.008113735950778054
love,0.008113735950778054
minute,0.008113735950778054
try,0.00806318307881059
alors,0.008037906642826857
fine,0.008037906642826857
kill,0.008037906642826857
trouver,0.008037906642826857
ok,0.007987353770859393
besoin,0.007911524462908196
mec,0.007810418718973267
passe,0.007810418718973267
autre,0.007759865847005802
job,0.007608207231103409
jamais,0.007532377923152212
devon,0.00750710148716848
maintenant,0.00750710148716848
anything,0.0074565486152010155
etes,0.0074565486152010155
into,0.0074565486152010155
last,0.0074059957432335505
plan,0.0073807193072498185
vrai,0.007355442871266086
happen,0.0073301664352823535
doit,0.0073048899992986215
any,0.007254337127331157
find,0.007254337127331157
only,0.007254337127331157
espion,0.0072290606913474244
everything,0.0072290606913474244
first,0.00717850781937996
people,0.007102678511428763
flash,0.007052125639461299
move,0.007052125639461299
buddy,0.006976296331510102
donc,0.006976296331510102
ete,0.006925743459542638
peut,0.006900467023558905
because,0.006875190587575173
real,0.006849914151591441
nothing,0.006824637715607709
thought,0.006824637715607709
temp,0.006799361279623976
huh,0.006748808407656512
meet,0.006748808407656512
new,0.006748808407656512
jill,0.00672353197167278
day,0.006672979099705315
use,0.006672979099705315
aussi,0.006622426227737851
toujours,0.006597149791754118
charles,0.006571873355770386
question,0.006521320483802922
still,0.006470767611835457
believe,0.006445491175851725
actually,0.006420214739867993
ami,0.006420214739867993
font,0.006420214739867993
falloir,0.006319108995933064
