Mot,Poids
le,0.36841263746517144
be,0.3540379570281797
you,0.295182391299156
the,0.24586406224857424
un,0.21962191307871723
de,0.21424369816829691
être,0.18724446938582132
to,0.1736072041559256
je,0.15908504067751464
vous,0.1582689678483284
ne,0.15280226311305656
il,0.13768033526620752
que,0.1323119525585485
it,0.1279267901270175
that,0.1279267901270175
ce,0.12769081726074677
pa,0.1257735377222971
he,0.12246991759450694
avoir,0.11046479802298374
on,0.10725949992280638
son,0.0995805495662465
eat,0.08980734002153391
and,0.0890699248144379
in,0.08770324863061994
of,0.08243318795057372
tu,0.07852980345434546
get,0.07730077810918543
have,0.07658302730761196
we,0.07354487665437637
what,0.0735252122488538
en,0.07141128865517854
do,0.07130313442480446
faire,0.06961199554986426
qu,0.06677048895185426
ca,0.06616089238065488
pour,0.061657743515988524
for,0.05607305234758134
etait,0.0555912744122786
this,0.05473587277204722
know,0.054106611795325284
elle,0.05254329155628172
your,0.051933694985082345
my,0.049996751041110135
she,0.0488168867097565
no,0.04659480888570716
her,0.04561158860957914
with,0.04390078532911637
aller,0.04389095312635509
tout,0.04217031764313105
par,0.042091660021040804
qui,0.041855687154770074
dans,0.041452566841557584
don,0.03954511950586922
they,0.039240321220269526
but,0.03852257041869607
like,0.0383554229717543
pouvoir,0.0383062619579479
so,0.03822760433585766
about,0.03821777213309638
du,0.03807028909167717
go,0.03781465181988389
out,0.037234551856968355
vouloir,0.036310324797408006
nous,0.03559257399583455
mais,0.035356601129563826
up,0.03523861469642846
savoir,0.03473717235560317
not,0.034540528300377564
just,0.034304555434106834
sur,0.032829725019914796
yes,0.03257408774812151
moi,0.03234794708461206
say,0.032131638623863895
all,0.03174818271617397
at,0.03136472680848404
will,0.03118774715878099
avec,0.03107959292840691
au,0.0307354658317621
can,0.030224191288175526
see,0.02970308454182767
voir,0.029368789647944142
one,0.02812009989726155
etre,0.027943120247558507
lui,0.02744167790673321
want,0.027117215215610963
as,0.026999228782475602
non,0.02695989997143048
his,0.02655677965821799
there,0.026497786441650305
plus,0.0261536593450055
si,0.02590785427597349
tell,0.02552439836828356
ou,0.02537691532686436
right,0.024826311972232663
bien,0.0247574865529037
here,0.02431503742864609
comme,0.024128225576181765
look,0.02400040694028512
mon,0.023911917115433598
