Mot,Poids
be,0.42511463297720437
you,0.34393037468851223
le,0.32223355382428026
être,0.24867894682850483
un,0.23365807084557502
the,0.20838485093778833
to,0.1874033098822673
je,0.18251556452274253
de,0.1714287274877229
it,0.14591708097703257
that,0.14353281494799608
on,0.13506867054491659
pa,0.1292272187737772
and,0.1148024092981065
tu,0.10657669149793064
eat,0.10097366632969491
have,0.09811254709485115
of,0.09346322833823001
we,0.09012525589757894
ca,0.08464144403079503
vous,0.08261481790611402
il,0.08130347159014396
en,0.07915763216401113
in,0.07689257943642647
what,0.07665415283352282
do,0.07605808632626371
he,0.07367382029722723
this,0.07319696709141993
que,0.07224326067980534
get,0.06997820795222068
my,0.06842843503334697
ce,0.06747472862173237
son,0.06675944881302144
faire,0.06628259560721414
pour,0.06258698326220759
for,0.05924901082155652
your,0.0591297975201047
ne,0.05197699943299526
not,0.05173857283009161
with,0.05066565311702519
avoir,0.04995037330831425
as,0.049473520102506954
like,0.04887745359524784
aller,0.04875824029379601
don,0.048281387087988716
can,0.04637397426475953
will,0.04291678852265664
know,0.042559148618301165
but,0.04148622890523475
mais,0.0377906165602282
so,0.0377906165602282
qu,0.036717696847161786
go,0.03647927024425814
moi,0.036360056942806314
si,0.03624084364135449
vouloir,0.03612163033990267
ton,0.035644777134095376
tout,0.035644777134095376
qui,0.03457185742102896
du,0.03445264411957713
avec,0.03433343081812531
pouvoir,0.03421421751667349
they,0.033856577612318015
dans,0.03314129780360707
jeff,0.032426017994896125
just,0.0323068046934443
out,0.03159152488473336
good,0.031233884980377886
if,0.03111467167892606
say,0.030995458377474236
want,0.030637818473118767
abed,0.030518605171666942
all,0.030280178568763295
about,0.030041751965859644
at,0.030041751965859644
no,0.029922538664407822
plus,0.029803325362955997
quoi,0.029684112061504172
mon,0.02896883225279323
etre,0.02861119234843776
there,0.028491979046985933
make,0.027895912539726814
she,0.02753827263537134
voir,0.026703779525208575
right,0.02658456622375675
here,0.026465352922304924
au,0.02598849971649763
comme,0.02598849971649763
savoir,0.02598849971649763
britta,0.025630859812142158
sur,0.02539243320923851
pierce,0.02503479330488304
ou,0.024915580003431213
gonna,0.024319513496172094
see,0.02420030019472027
how,0.024081086893268447
one,0.024081086893268447
se,0.023365807084557502
bien,0.023246593783105677
look,0.02300816718020203
up,0.02300816718020203
think,0.022888953878750205
mama,0.022292887371491085
elle,0.021935247467135613
toi,0.02181603416568379
guy,0.02121996765842467
etait,0.02098154105552102
dire,0.02002783464390643
now,0.019550981438099135
devoir,0.019074128232291838
nous,0.018716488327936365
her,0.018120421820677246
why,0.018120421820677246
let,0.01800120851922542
annie,0.0178819952177736
lui,0.017524355313418127
when,0.01704750210761083
who,0.01704750210761083
tell,0.016928288806159007
troy,0.016928288806159007
or,0.016809075504707182
cool,0.01668986220325536
need,0.01645143560035171
his,0.016213008997448063
take,0.016213008997448063
time,0.016213008997448063
would,0.016213008997448063
from,0.016093795695996237
class,0.015616942490188943
non,0.015616942490188943
thing,0.015616942490188943
man,0.015259302585833471
come,0.015020875982929822
because,0.014782449380026175
really,0.014782449380026175
pourquoi,0.014663236078574352
people,0.014544022777122526
call,0.014424809475670703
car,0.01430559617421888
greendale,0.013947956269863407
prendre,0.013947956269863407
dit,0.013590316365507935
aimer,0.013471103064056111
could,0.013232676461152462
yes,0.013113463159700639
more,0.012994249858248815
our,0.012994249858248815
par,0.012994249858248815
sorry,0.012875036556796992
friend,0.012755823255345166
rien,0.012755823255345166
thank,0.012755823255345166
back,0.01251739665244152
shirley,0.01227897004953787
day,0.012159756748086047
venir,0.012159756748086047
merci,0.012040543446634223
being,0.011563690240826928
some,0.011444476939375102
by,0.011325263637923279
winger,0.011325263637923279
meme,0.011206050336471455
never,0.011206050336471455
