Mot,Poids
le,0.38450307882367557
be,0.3414590406281358
un,0.24765917628448217
the,0.24666965816504446
il,0.22724498725521322
être,0.22386771889104543
de,0.2127463956791044
you,0.2098423751111894
ne,0.19381648382899194
to,0.1687988844179911
he,0.15514998774879074
vous,0.13960809989457912
je,0.13430557345020103
on,0.12690569881788435
pa,0.12516328647713537
it,0.11492392506730183
que,0.11361173799587358
son,0.11141758912233783
ce,0.11095509695781804
that,0.10014568706613453
we,0.09927448089576003
avoir,0.0955207654209366
eat,0.0937675974484546
of,0.09258447795782257
and,0.09141211409892357
qu,0.08517384769377288
have,0.08447473163112668
in,0.07716090205267416
this,0.07435368217035634
en,0.07244993535361209
do,0.06894359940864808
ca,0.06890057688171601
faire,0.06314631390455115
they,0.06247946473710401
what,0.06175883741099177
pour,0.05661764544260897
get,0.05176685553101766
aller,0.051616276686755405
tu,0.04990613124120548
know,0.049024169439097966
tout,0.04734629088874709
pouvoir,0.04705588883195559
elle,0.047023621936756535
nous,0.04614166013464903
for,0.04444227032083212
dans,0.04328066209366613
no,0.04216207639343221
qui,0.04176411801931053
savoir,0.03865574044846821
she,0.03680577179038904
with,0.036128166991208875
du,0.035870031829616435
there,0.03550434035069381
not,0.03471917923418347
sur,0.03439651028219291
all,0.03425668706966367
his,0.03414913075233349
mais,0.033406992162755215
vouloir,0.03304130068383259
can,0.03295525562996844
your,0.03252503036064771
don,0.03223462830385621
her,0.03120208765748644
just,0.031169820762287387
but,0.031126798235355312
si,0.030976219391093053
so,0.03092244123242796
go,0.030750351124699666
will,0.03010501322071856
etait,0.02991141184952423
non,0.029739321741795936
ou,0.02963176542446575
moi,0.02923380705034407
etre,0.029223051418611052
as,0.029050961310882757
out,0.028792826149290313
if,0.028233533299173358
voir,0.02814748824530921
lui,0.028050687559712042
my,0.027631217922124324
here,0.027362327128798863
right,0.027018146913342273
avec,0.026716989224817758
like,0.026673966697885684
plus,0.02642658716802626
se,0.026071651320836654
au,0.025942583740040433
at,0.025781249264045156
bien,0.025092888833131977
about,0.02495306562060274
yes,0.024877776198471608
one,0.023823724288635804
look,0.02212433447481889
see,0.021984511262289654
up,0.021435974043905712
ok,0.02133917335830855
want,0.021102549460182144
oui,0.021081038196716105
say,0.020381922134069908
need,0.02023134328980765
agent,0.0196182722810256
think,0.019381648382899196
dit,0.019327870224234104
how,0.01928484769730203
choose,0.019263336433835994
penser,0.019177291379971845
dire,0.018779333005850163
comme,0.018757821742384127
tell,0.01859648726638885
who,0.018456664053859612
from,0.018392130263461502
trouver,0.0179834162576068
ete,0.017273544563227584
well,0.01718749950936344
take,0.017026165033368162
why,0.016940119979504013
autre,0.016854074925639867
pourquoi,0.016714251713110626
est,0.016574428500581388
mon,0.016531405973649313
come,0.01647762781498422
garcia,0.01647762781498422
quoi,0.016402338392853093
good,0.01621949265339178
now,0.01613344759952763
make,0.016122691967794613
victime,0.015767756120605006
time,0.01567095543500784
kill,0.015606421644609729
oh,0.015326775219551251
quelque,0.015219218902221067
victim,0.015100906953157864
when,0.015079395689691827
