Mot,Poids
be,0.3833895537745642
you,0.36365898812518166
le,0.3155657343548118
être,0.22036575509654108
je,0.21309010901333125
the,0.198415500811603
un,0.19274296318740552
to,0.1578445251950602
de,0.157227945018517
il,0.1463761339113566
que,0.14082691232246777
vous,0.12812536068567776
tu,0.12713883240320864
pa,0.12664556826197407
on,0.12405593152049263
ce,0.1236859834145667
it,0.12294608720271485
that,0.10777821485975204
he,0.10568184225950515
what,0.09606319150543116
this,0.09298029062271515
ne,0.09150049819901146
do,0.08952744163407321
eat,0.08422485211580165
have,0.08311500779802389
ca,0.08089531916246835
and,0.08003210691530786
avoir,0.07781241827975233
aller,0.07744247017382641
get,0.07670257396197457
know,0.07398962118518447
qu,0.07324972497333262
faire,0.07189324858493758
of,0.07041345616123389
we,0.06794713545506106
in,0.06770050338444379
hopper,0.06572744681950554
son,0.061411385583703106
en,0.06067148937185126
savoir,0.057711904524443886
tout,0.05610879606543155
pour,0.054752319677036504
they,0.05327252725333281
your,0.051916050864937766
don,0.051052838617777284
qui,0.051052838617777284
for,0.050806206547160004
garza,0.049942994299999516
my,0.048216569805678546
as,0.04784662169975262
just,0.046736777381974855
moi,0.04562693306419709
about,0.04365387649925884
pouvoir,0.043530560463950194
with,0.03946113129876505
yes,0.03884455112222185
mais,0.038721235086913205
all,0.038474603016295926
go,0.037488074733826794
can,0.03736475869851816
vouloir,0.03736475869851816
but,0.03613159834543175
here,0.034651805921728056
rita,0.034651805921728056
dans,0.034405173851110776
sur,0.034035225745184854
no,0.03329532953333301
will,0.03304869746271573
right,0.032925381427407086
not,0.032678749356789806
quoi,0.03169222107432068
du,0.031075640897777475
tell,0.030829008827160196
up,0.030829008827160196
brett,0.030582376756542913
gonna,0.030582376756542913
so,0.030459060721234273
out,0.03021242865061699
non,0.02996579657999971
ou,0.029349216403456505
avec,0.02860932019160466
say,0.02860932019160466
si,0.02860932019160466
voir,0.028116056050370097
bien,0.027992740015061458
there,0.027992740015061458
she,0.027499475873826895
elle,0.027376159838518252
who,0.027252843803209612
now,0.026636263626666407
ton,0.026389631556049127
how,0.026019683450123204
est,0.02527978723827136
etait,0.024663207061728157
think,0.024416574991110874
oui,0.02379999481456767
if,0.02343004670864175
come,0.023306730673333106
like,0.023306730673333106
at,0.023060098602715826
call,0.023060098602715826
need,0.023060098602715826
au,0.022936782567407187
mon,0.022936782567407187
why,0.022936782567407187
want,0.022813466532098543
day,0.02244351842617262
dire,0.02219688635555534
her,0.021950254284938058
lui,0.021950254284938058
se,0.021950254284938058
see,0.02170362221432078
chad,0.021087042037777573
look,0.021087042037777573
devoir,0.02059377789654301
toi,0.020347145825925728
man,0.020223829790617088
dit,0.019853881684691165
pourquoi,0.019730565649382525
guy,0.019483933578765242
one,0.01911398547283932
didn,0.01886735340222204
make,0.018620721331604757
comment,0.018374089260987474
plus,0.018374089260987474
where,0.018374089260987474
croire,0.018004141155061555
murder,0.018004141155061555
okay,0.018004141155061555
time,0.017634193049135632
kill,0.01751087701382699
some,0.01738756097851835
booth,0.01726424494320971
take,0.01714092890790107
nous,0.016894296837283787
etre,0.016647664766666504
thing,0.016647664766666504
trouver,0.016647664766666504
comme,0.016401032696049225
choose,0.016031084590123302
ici,0.016031084590123302
let,0.016031084590123302
his,0.01578445251950602
mama,0.01578445251950602
rien,0.01566113648419738
accord,0.015537820448888738
meme,0.015414504413580098
andrea,0.015044556307654175
down,0.015044556307654175
meurtre,0.014674608201728253
good,0.014551292166419611
over,0.014427976131110971
back,0.01418134406049369
something,0.014058028025185049
cop,0.013934711989876407
from,0.013811395954567767
passe,0.013811395954567767
well,0.013441447848641845
affaire,0.013318131813333203
when,0.013318131813333203
name,0.013194815778024564
venir,0.013194815778024564
damien,0.012948183707407282
prendre,0.012948183707407282
falloir,0.01282486767209864
etes,0.012701551636790001
parler,0.01257823560148136
detective,0.012454919566172718
dominguez,0.012454919566172718
alors,0.012331603530864078
quelque,0.012331603530864078
gotta,0.012208287495555437
appeler,0.012084971460246797
happen,0.012084971460246797
quand,0.012084971460246797
help,0.011961655424938156
could,0.011838339389629514
flic,0.011838339389629514
journee,0.011838339389629514
today,0.011838339389629514
penser,0.011715023354320874
inspecteur,0.011591707319012233
way,0.01122175921308631
eddie,0.010975127142469029
give,0.010975127142469029
juste,0.010975127142469029
alberto,0.01085181110716039
jour,0.01085181110716039
or,0.01085181110716039
find,0.010605179036543106
hop,0.010605179036543106
ok,0.010605179036543106
par,0.010605179036543106
same,0.010605179036543106
everything,0.010481863001234467
last,0.010235230930617185
talke,0.010235230930617185
aujourd,0.010111914895308544
hui,0.010111914895308544
parle,0.009988598859999902
quelqu,0.009988598859999902
would,0.009988598859999902
doing,0.009865282824691263
question,0.009865282824691263
try,0.009865282824691263
work,0.009865282824691263
autre,0.009741966789382621
people,0.009741966789382621
wanna,0.009741966789382621
deux,0.009618650754073981
encore,0.009618650754073981
pere,0.009618650754073981
sorry,0.009618650754073981
anything,0.009372018683456699
dis,0.009372018683456699
jen,0.009372018683456699
keep,0.009372018683456699
oh,0.009372018683456699
tue,0.009372018683456699
arrive,0.009248702648148059
ouais,0.009248702648148059
talk,0.009002070577530778
then,0.009002070577530778
bon,0.008878754542222136
ete,0.008878754542222136
hell,0.008878754542222136
hey,0.008878754542222136
never,0.008878754542222136
case,0.008755438506913495
besoin,0.008632122471604855
maintenant,0.008632122471604855
should,0.008632122471604855
jamais,0.008508806436296213
police,0.008508806436296213
put,0.008508806436296213
hear,0.008385490400987574
merci,0.008385490400987574
night,0.008385490400987574
thank,0.008385490400987574
vraiment,0.008385490400987574
homme,0.008262174365678932
ask,0.00813885833037029
too,0.00813885833037029
aussi,0.008015542295061651
avant,0.008015542295061651
away,0.008015542295061651
etais,0.008015542295061651
quel,0.008015542295061651
torrez,0.008015542295061651
wait,0.008015542295061651
any,0.00789222625975301
fois,0.00789222625975301
gun,0.00789222625975301
really,0.00789222625975301
aimer,0.007768910224444369
club,0.007768910224444369
decision,0.007768910224444369
parce,0.007768910224444369
place,0.007768910224444369
temp,0.007768910224444369
two,0.007768910224444369
wrong,0.007768910224444369
deja,0.007645594189135728
disciple,0.007645594189135728
essayer,0.007645594189135728
listen,0.007645594189135728
message,0.007645594189135728
shelton,0.007645594189135728
because,0.007522278153827088
comprendre,0.007522278153827088
detweiler,0.007522278153827088
sure,0.007522278153827088
mean,0.007398962118518447
personne,0.007398962118518447
peut,0.007398962118518447
secret,0.007398962118518447
arme,0.0072756460832098056
maybe,0.0072756460832098056
morning,0.0072756460832098056
please,0.0072756460832098056
thought,0.0072756460832098056
dossier,0.007152330047901165
into,0.007152330047901165
little,0.007152330047901165
more,0.007152330047901165
off,0.007152330047901165
run,0.007152330047901165
type,0.007152330047901165
understand,0.007152330047901165
battle,0.007029014012592524
consequence,0.007029014012592524
billy,0.006905697977283884
by,0.006905697977283884
danger,0.006905697977283884
important,0.006905697977283884
kid,0.006905697977283884
laisse,0.006905697977283884
meet,0.006905697977283884
every,0.006782381941975243
ex,0.006782381941975243
found,0.006782381941975243
baxter,0.006659065906666602
before,0.006659065906666602
car,0.006659065906666602
lie,0.006659065906666602
truc,0.006659065906666602
different,0.006535749871357961
ecoute,0.006535749871357961
stop,0.006535749871357961
donc,0.00641243383604932
nom,0.00641243383604932
toujours,0.00641243383604932
attend,0.00628911780074068
desole,0.00628911780074068
leave,0.00628911780074068
again,0.006165801765432039
arrete,0.006165801765432039
believe,0.006165801765432039
depuis,0.006165801765432039
minute,0.006165801765432039
sortir,0.006165801765432039
chez,0.006042485730123399
shelten,0.006042485730123399
after,0.005919169694814757
safe,0.005919169694814757
still,0.005919169694814757
aider,0.0057958536595061165
chance,0.0057958536595061165
dad,0.0057958536595061165
old,0.0057958536595061165
aide,0.005672537624197476
demain,0.005672537624197476
femme,0.005672537624197476
matin,0.005672537624197476
nick,0.005672537624197476
send,0.005672537624197476
apres,0.005549221588888835
even,0.005549221588888835
nothing,0.005549221588888835
nuit,0.005549221588888835
only,0.005549221588888835
our,0.005549221588888835
problem,0.005549221588888835
air,0.005425905553580195
bring,0.005425905553580195
father,0.005425905553580195
miguel,0.005425905553580195
move,0.005425905553580195
than,0.005425905553580195
tomorrow,0.005425905553580195
tres,0.005425905553580195
year,0.005425905553580195
care,0.005302589518271553
frere,0.005302589518271553
gar,0.005302589518271553
partner,0.005302589518271553
soir,0.005302589518271553
brother,0.005179273482962913
hier,0.005179273482962913
mort,0.005179273482962913
sister,0.005179273482962913
soeur,0.005179273482962913
someone,0.005179273482962913
use,0.005179273482962913
appele,0.005055957447654272
aux,0.005055957447654272
chaque,0.005055957447654272
el,0.005055957447654272
gen,0.005055957447654272
occuper,0.005055957447654272
package,0.005055957447654272
empreindre,0.004932641412345631
fencik,0.004932641412345631
fine,0.004932641412345631
isabella,0.004932641412345631
paquet,0.004932641412345631
part,0.004932641412345631
print,0.004932641412345631
procure,0.004932641412345631
reste,0.004932641412345631
stay,0.004932641412345631
www,0.004932641412345631
