Mot,Poids
be,0.42927013840474015
you,0.3207852893570828
le,0.2970022324387553
être,0.2257258563485862
je,0.22366680725814944
ne,0.2225228910967957
un,0.19388339011163003
de,0.1852832204258159
to,0.17831573107938853
the,0.16431835695955085
tu,0.1428751285530833
que,0.14182480553220395
pa,0.1402961175711221
it,0.12917933233032977
that,0.11584750943164333
and,0.1085680429503013
on,0.10659218776250845
il,0.09920872890286153
have,0.09818960359547364
eat,0.0973160676177126
ce,0.09591217051059664
vous,0.09321876791250008
we,0.07901340903605261
faire,0.07628880872446459
son,0.07263867624596308
ca,0.07157795398725324
en,0.07129717456583004
avoir,0.07077721267430562
he,0.07073561572298366
do,0.0706004256311873
of,0.06802141464922613
what,0.06801101541139563
aller,0.06337295533899771
qu,0.06305057896625256
pour,0.059390047249920565
this,0.059130066304158346
in,0.05781976233751678
my,0.056519857608705704
know,0.054315219188642114
just,0.053868051961931104
get,0.05348328016220302
for,0.05191299524979924
oh,0.0504882996670223
so,0.04959396521360027
don,0.046994155755978116
elle,0.046120619778217076
pouvoir,0.045735847978488994
your,0.045663053313675574
not,0.04446714096316938
no,0.04341681794229003
as,0.04338562022879856
vouloir,0.04305284461822293
mais,0.04285525909944364
can,0.04265767358066436
tout,0.04129537342487035
she,0.04112898561958253
go,0.04076501229551543
but,0.040546628301075166
moi,0.04008906183653367
savoir,0.0400578641230422
will,0.0374060584762676
with,0.03728126762230174
si,0.03655332097416753
bien,0.036324537741896784
well,0.03500383453742473
qui,0.033651933619461206
her,0.033152770203597755
yes,0.031374500534584196
about,0.03119771349146589
ton,0.03113531806448296
want,0.029398645346791357
they,0.02936744763329989
if,0.028878683455266924
avec,0.028805888790453506
non,0.028421116990725425
mon,0.0280779421423193
dans,0.027713968818252197
all,0.027516383299472914
out,0.027194006926727767
plus,0.026892429029643596
du,0.02664284732171187
say,0.025998094576221573
there,0.025842106008764246
here,0.02565491972781545
etait,0.025571725825171542
voir,0.025561326587341053
etre,0.025249349452426392
nous,0.025072562409308087
like,0.024802182225715383
good,0.024490205090800722
au,0.02374145996700554
up,0.023335889691616485
oui,0.023273494264633553
dire,0.023034311794532317
tell,0.022867923989244497
think,0.022867923989244497
how,0.02283672627575303
okay,0.02283672627575303
sur,0.022815927800092055
gonna,0.022368760573381042
quoi,0.022337562859889578
right,0.022337562859889578
come,0.021817600968365145
see,0.021505623833450487
se,0.02139123221731511
mama,0.021204045936366316
at,0.020923266514943122
devoir,0.020892068801451658
now,0.020684084044841886
toi,0.020673684807011396
why,0.020611289380028465
lui,0.019924939683216215
make,0.019477772456505203
one,0.01944657474301374
ou,0.019248989224234455
look,0.01883301971101491
dit,0.01881222123535393
alors,0.01808427458721973
when,0.017855491354948978
really,0.01760590964701725
need,0.017522715744373342
would,0.01730433174993308
pourquoi,0.017200339371628195
susan,0.016753172144917183
mike,0.016576385101798877
time,0.016441195010002525
quand,0.01639959805868057
comme,0.016233210253392753
bree,0.016181214064240307
take,0.015682050648376855
penser,0.015650852934885388
choose,0.0156404536970549
let,0.015349275037801218
could,0.0151828872325134
who,0.015047697140717048
venir,0.01480851467061581
vraiment,0.0147253207679719
sorry,0.014558932962684082
back,0.014538134487023105
carlos,0.014475739060040172
hey,0.014236556589938934
uh,0.014142963449464536
some,0.013976575644176719
croire,0.0138101878388889
est,0.013726993936244991
lynette,0.013519009179635218
prendre,0.013508609941804731
thing,0.013238229758212025
didn,0.013123838142076651
his,0.01305104347726323
aimer,0.012780663293670527
thank,0.012583077774891243
our,0.012531081585738799
sure,0.01230229835346805
little,0.012281499877807071
love,0.011969522742892412
rien,0.011865530364587526
bon,0.01184473188892655
from,0.01183433265109606
mean,0.011803134937604595
autre,0.011751138748452152
merci,0.011439161613537493
then,0.011355967710893583
comment,0.011303971521741141
something,0.011283173046080163
juste,0.011210378381266742
because,0.01114798295428381
edie,0.01107518828947039
give,0.011023192100317948
way,0.010378439354827653
par,0.010316043927844722
tres,0.010284846214353254
meme,0.010243249263031301
quelque,0.010149656122556902
femme,0.010108059171234949
doing,0.010066462219912994
mere,0.010056062982082505
parler,0.010045663744252016
falloir,0.009900074414625176
call,0.009827279749811756
jamais,0.0097856827984898
never,0.0097856827984898
by,0.00972328737150687
should,0.00971288813367638
guy,0.00964009346886296
ok,0.009619294993201983
trouver,0.009525701852727586
temp,0.009369713285270255
talk,0.009348914809609279
aussi,0.009317717096117813
peu,0.009307317858287324
work,0.009286519382626347
ici,0.009276120144795858
over,0.00925532166913488
orson,0.009224123955643414
day,0.009203325479982438
besoin,0.009192926242151948
god,0.009151329290829993
gaby,0.008974542247711688
try,0.008943344534220223
enfant,0.008901747582898268
tom,0.008828952918084847
parce,0.008818553680254358
please,0.008745759015440937
hello,0.00873535977761045
more,0.008704162064118982
thought,0.00865216587496654
off,0.008610568923644585
home,0.00856897197232263
or,0.008496177307509211
where,0.008454580356187257
font,0.008402584167034812
maintenant,0.008381785691373836
passe,0.008308991026560415
too,0.008215397886086018
wait,0.008184200172594552
kid,0.008132203983442108
people,0.008101006269950643
encore,0.007945017702493314
ete,0.007945017702493314
vie,0.007830626086357938
toujours,0.007799428372866473
man,0.007778629897205495
much,0.007778629897205495
help,0.0077474321837140295
etais,0.007612242091917677
etes,0.0075706451405957225
friend,0.007549846664934745
maison,0.007456253524460348
accord,0.007383458859646927
house,0.007321063432663996
mom,0.007310664194833507
um,0.007300264957003018
fois,0.007269067243511553
down,0.0072586680056810635
keep,0.007154675627376177
fille,0.007144276389545689
quel,0.0070818809625627565
jour,0.007071481724732268
essayer,0.007029884773410314
moment,0.006988287822088359
fine,0.006925892395105428
parle,0.006894694681613961
mal,0.006884295443783473
chez,0.006853097730292007
even,0.006853097730292007
life,0.0068219000168005415
great,0.006790702303309075
stop,0.006790702303309075
into,0.006780303065478587
hear,0.006769903827648098
dieu,0.0067283068763261435
vrai,0.006717907638495655
only,0.006707508400665166
again,0.006665911449343212
find,0.006613915260190769
happen,0.006593116784529791
yellow,0.006593116784529791
feel,0.0065515198332078365
still,0.006541120595377348
andrew,0.00653072135754686
julie,0.006520322119716371
maybe,0.006499523644055393
dis,0.006468325930563928
woman,0.00644752745490295
year,0.006416329741411484
quelqu,0.006385132027920019
start,0.00637473279008953
apres,0.006353934314428553
desolee,0.00630193812527611
question,0.00630193812527611
night,0.0062915388874456215
peut,0.006249941936123667
arrive,0.006229143460462689
deux,0.006135550319988292
maman,0.006135550319988292
avant,0.0061147518443273145
very,0.006104352606496825
mari,0.0060211587038529165
seul,0.005989960990361451
color,0.005906767087717542
anything,0.005854770898565099
mrs,0.005854770898565099
petit,0.005854770898565099
any,0.005833972422904121
wanna,0.005833972422904121
care,0.005823573185073633
husband,0.005813173947243144
other,0.005813173947243144
first,0.005792375471582167
minute,0.005781976233751678
trop,0.005781976233751678
two,0.005729980044599235
new,0.005667584617616303
place,0.005667584617616303
laisse,0.00561558842846386
appeler,0.005605189190633371
ever,0.005521995287989462
doesn,0.005501196812328486
long,0.005501196812328486
cause,0.005480398336667508
sous,0.005459599861006531
bonjour,0.005449200623176042
police,0.005449200623176042
problem,0.005428402147515065
bonne,0.005397204434023599
homme,0.00538680519619311
meet,0.00538680519619311
gabrielle,0.005376405958362622
karl,0.005376405958362622
san,0.005376405958362622
after,0.005334809007040667
away,0.005324409769210179
katherine,0.005324409769210179
pere,0.005324409769210179
course,0.0053140105313796895
mieux,0.0053140105313796895
nice,0.005303611293549201
personne,0.005293212055718713
excuse,0.005262014342227246
mother,0.005262014342227246
talke,0.0052308166287357806
always,0.005220417390905292
remember,0.005210018153074804
wrong,0.005210018153074804
lot,0.005199618915244315
before,0.005178820439583337
grand,0.005178820439583337
mme,0.005178820439583337
use,0.005147622726091872
gen,0.005106025774769918
car,0.0050956265369394285
girl,0.0050540295856174745
aux,0.005033231109956497
titre,0.005033231109956497
solis,0.005022831872126008
put,0.00501243263429552
their,0.005002033396465031
aider,0.004970835682973565
ami,0.004960436445143076
leave,0.004960436445143076
move,0.004960436445143076
everything,0.004939637969482099
late,0.004939637969482099
donc,0.004929238731651611
celui,0.0049188394938211215
baby,0.004898041018160145
point,0.004887641780329656
salut,0.0048772425424991675
ask,0.004866843304668679
big,0.004866843304668679
comprendre,0.00485644406683819
depuis,0.004794048639855259
change,0.004731653212872326
honey,0.004721253975041838
sortir,0.004721253975041838
probleme,0.00471085473721135
ah,0.0047004554993808605
part,0.004690056261550372
someone,0.004669257785889395
believe,0.00462766083456744
every,0.00462766083456744
pos,0.004596463121075974
passer,0.004575664645414997
kind,0.004544466931923531
last,0.004534067694093043
soir,0.004534067694093043
zach,0.004513269218432065
job,0.004502869980601577
than,0.004502869980601577
eh,0.0044820715049405995
being,0.004461273029279622
voiler,0.004440474553618645
air,0.004430075315788156
bring,0.004430075315788156
might,0.004398877602296691
won,0.004378079126635713
chance,0.004357280650974736
donne,0.004357280650974736
desole,0.0043468814131442475
family,0.0043468814131442475
nothing,0.004315683699652782
amie,0.004294885223991804
mariage,0.004284485986161315
marry,0.004284485986161315
cherie,0.004274086748330827
deja,0.004274086748330827
monde,0.004274086748330827
partir,0.004253288272669849
192,0.004222090559178384
beaucoup,0.004211691321347895
actually,0.004201292083517406
demande,0.004201292083517406
secret,0.004201292083517406
certain,0.004159695132195452
guess,0.004159695132195452
attend,0.004138896656534475
old,0.004138896656534475
porter,0.004138896656534475
hell,0.0041284974187039865
heure,0.0041284974187039865
raison,0.0041284974187039865
around,0.004118098180873497
isn,0.004118098180873497
boy,0.00409729970521252
kill,0.00409729970521252
serum,0.00409729970521252
plait,0.004086900467382032
famille,0.004076501229551543
bad,0.004066101991721054
doit,0.004066101991721054
bebe,0.004055702753890566
laisser,0.004055702753890566
money,0.004045303516060077
fils,0.004003706564738123
rentrer,0.004003706564738123
surprise,0.0039933073269076335
mort,0.003920512662094214
wife,0.003910113424263725
rex,0.0038997141864332363
truc,0.003878915710772259
argent,0.003858117235111282
name,0.003858117235111282
arrete,0.003847717997280793
regarde,0.0038373187594503044
stay,0.0038373187594503044
thinke,0.0038373187594503044
happy,0.0038269195216198157
souvenir,0.0038269195216198157
mind,0.003816520283789327
worry,0.003816520283789327
live,0.0038061210459588387
commence,0.00379572180812835
donner,0.00379572180812835
connaître,0.0037853225702978613
run,0.0037541248568063955
plan,0.003733326381145418
attendre,0.0037021286676539524
hope,0.0037021286676539524
while,0.0037021286676539524
suppose,0.0036917294298234636
next,0.003650132478501509
through,0.003650132478501509
wisteria,0.003650132478501509
left,0.0036293340028405317
