Mot,Poids
be,0.3930413911069992
le,0.35908439626590355
you,0.29729379909604087
être,0.23312188261582817
the,0.22879221114246442
un,0.22347290047518895
de,0.2094323944115665
je,0.20479346069010534
to,0.17612485029147537
it,0.13440537302313468
pa,0.13360129117808142
il,0.12429249751034935
on,0.1223750715721454
que,0.11798354764916218
tu,0.11096329461735095
that,0.10926235225281519
he,0.10561305772526575
ne,0.10221117299619423
ce,0.10041745195722925
and,0.09197459258416993
have,0.09008809287077572
eat,0.08662435569208472
of,0.08622231476955809
vous,0.0832843234126327
son,0.0822328317691015
ca,0.07419201331856883
en,0.07397552974490063
in,0.07366626749680322
this,0.07326422657427659
faire,0.0689036288761031
get,0.06856344040319595
we,0.06856344040319595
do,0.06797584213181086
avoir,0.06655323579056277
pour,0.06574915394550951
what,0.06562544904627055
my,0.06308949861187178
for,0.05622387670410926
qu,0.05526516373500728
aller,0.053224032897564375
know,0.05269828707579878
no,0.04873973030015192
your,0.04781194355585969
not,0.04573988649360704
pouvoir,0.04521414067184144
mais,0.04376060810578361
as,0.04363690320654465
but,0.04317300983439853
moi,0.04212151819086733
so,0.0417194772683407
will,0.04153391991948225
just,0.04128651012100432
can,0.04122465767138484
tout,0.04116280522176536
with,0.04026594470228287
qui,0.038101108965601
don,0.03779184671750358
dexter,0.03711146977168928
all,0.03701869109726006
sur,0.03701869109726006
savoir,0.03683313374840161
vouloir,0.03658572394992368
si,0.0365238715003042
du,0.036338314151445755
they,0.03442088821324181
dans,0.03435903576362233
like,0.032534388499847605
mon,0.03225605247655993
there,0.030864372360121586
bien,0.030833446135311842
right,0.030833446135311842
elle,0.03070974123607288
about,0.030647888786453397
here,0.030555110112024175
out,0.030493257662404693
ton,0.030462331437594952
up,0.03015306918949754
go,0.029998438065448836
good,0.029627323367731943
plus,0.02928713489482479
au,0.029132503770776086
avec,0.029132503770776086
yes,0.029070651321156604
want,0.027957307228005924
etre,0.02783360232876696
she,0.027740823654337738
if,0.026782110685235765
voir,0.026782110685235765
at,0.026441922212328613
one,0.02610173373942146
fuck,0.025699692816894826
his,0.025050242095890265
see,0.024710053622983112
devoir,0.024555422498934408
non,0.024524496274124667
look,0.024308012700456478
etait,0.024215234026027255
need,0.023967824227549325
ou,0.02381319310350062
now,0.02201947206453564
how,0.021957619614916157
her,0.02143187379315056
toi,0.02124631644429211
mama,0.02121539021948237
who,0.021122611545053148
come,0.020906127971384962
comme,0.02031852969999988
morgan,0.02028760347519014
dire,0.020040193676712212
tell,0.01997834122709273
gonna,0.019885562552663508
oh,0.01970000520380506
lui,0.019607226529375837
okay,0.019545374079756355
say,0.019483521630136873
think,0.019421669180517392
make,0.019359816730897907
well,0.01917425938203946
time,0.019019628257990757
se,0.01883407090913231
quoi,0.017813505490410855
nous,0.017535169467123184
take,0.017256833443835516
why,0.017194980994216034
choose,0.017071276094977068
from,0.016978497420547845
trouver,0.015555891079299757
when,0.015494038629680275
autre,0.015277555056012087
let,0.015277555056012087
kill,0.014968292807914677
rita,0.014968292807914677
quand,0.014813661683865971
pourquoi,0.01478273545905623
bon,0.014720883009436747
work,0.014659030559817265
could,0.01450439943576856
miguel,0.014349768311719855
rien,0.014287915862100374
guy,0.014164210962861409
hey,0.014164210962861409
alors,0.014133284738051668
thing,0.014071432288432186
some,0.014040506063622444
dit,0.013978653614002962
venir,0.013978653614002962
didn,0.013824022489954258
back,0.013700317590715293
way,0.013669391365905552
est,0.013576612691476328
prendre,0.013514760241856846
ici,0.013298276668188658
really,0.013267350443378918
call,0.013143645544139954
something,0.01305086686971073
or,0.012958088195281508
oui,0.012958088195281508
lundy,0.012865309520852283
would,0.01271067839680358
sure,0.012494194823135392
meme,0.01246326859832565
man,0.012061227675799016
penser,0.011999375226179535
vraiment,0.011999375226179535
croire,0.011968449001369792
off,0.01190659655175031
thank,0.011844744102130829
jamais,0.011813817877321088
where,0.011813817877321088
juste,0.011751965427701605
too,0.011751965427701605
putain,0.01156640807884316
sing,0.011380850729984713
more,0.011318998280365231
dex,0.011102514706697044
our,0.011102514706697044
never,0.011071588481887301
little,0.010978809807458079
deb,0.010916957357838597
over,0.010886031133028856
then,0.010824178683409373
keep,0.010762326233789891
quelque,0.010638621334550928
case,0.010607695109741185
merci,0.010607695109741185
sorry,0.010607695109741185
par,0.010576768884931444
should,0.010453063985692481
besoin,0.010360285311263257
aussi,0.010298432861643775
harry,0.010236580412024293
maintenant,0.010174727962404812
night,0.010174727962404812
falloir,0.010020096838356106
blood,0.009958244388736624
comment,0.009958244388736624
doakes,0.009958244388736624
miami,0.009958244388736624
give,0.009927318163926882
down,0.009741760815068437
killer,0.009741760815068437
maybe,0.009741760815068437
uh,0.009710834590258696
toujours,0.009679908365448953
find,0.009648982140639212
ete,0.00958712969101973
vie,0.00955620346620999
passe,0.00952527724140025
kid,0.009463424791780766
seul,0.009463424791780766
deux,0.009308793667732062
enfant,0.00927786744292232
try,0.00927786744292232
encore,0.009216014993302837
mean,0.009216014993302837
day,0.009092310094063874
help,0.009061383869254133
peut,0.009061383869254133
tres,0.009061383869254133
life,0.00899953141963465
only,0.008937678970015168
freebo,0.008844900295585946
still,0.008844900295585946
temp,0.008813974070776205
aimer,0.00872119539634698
affaire,0.008628416721917758
shit,0.008597490497108017
by,0.008442859373059311
tueur,0.00841193314824957
any,0.008319154473820346
police,0.008319154473820346
even,0.008257302024200865
mort,0.008226375799391124
people,0.008226375799391124
doing,0.008195449574581383
accord,0.008102670900152159
anything,0.008102670900152159
parler,0.008071744675342418
last,0.008009892225722936
into,0.007948039776103455
talk,0.007948039776103455
pere,0.007917113551293714
fois,0.00785526110167423
peu,0.00785526110167423
place,0.00785526110167423
wait,0.00785526110167423
question,0.007793408652054749
quelqu,0.007762482427245008
etes,0.007576925078386561
paul,0.007576925078386561
because,0.00754599885357682
vrai,0.0073604415047183736
always,0.007236736605479409
soir,0.0072058103806696685
angel,0.007113031706240445
etais,0.007113031706240445
femme,0.007113031706240445
long,0.007082105481430704
parle,0.007082105481430704
use,0.0070511792566209635
avant,0.007020253031811222
donc,0.007020253031811222
much,0.007020253031811222
quel,0.007020253031811222
than,0.007020253031811222
before,0.006989326807001481
car,0.006989326807001481
thought,0.006989326807001481
found,0.00695840058219174
happen,0.00695840058219174
ouais,0.00695840058219174
essayer,0.006927474357381999
home,0.006896548132572258
tue,0.006896548132572258
crime,0.006865621907762517
family,0.006865621907762517
san,0.006834695682952776
doesn,0.006803769458143035
two,0.006803769458143035
again,0.006772843233333293
first,0.006772843233333293
feel,0.006741917008523553
put,0.006741917008523553
apres,0.006710990783713812
famille,0.006618212109284588
other,0.006618212109284588
god,0.006525433434855365
dad,0.006494507210045624
trop,0.006494507210045624
year,0.006401728535616401
love,0.00637080231080666
deja,0.006339876085996918
someone,0.006339876085996918
jour,0.0063089498611871775
merde,0.0063089498611871775
hear,0.006278023636377437
petit,0.006278023636377437
wrong,0.006278023636377437
chez,0.006216171186757954
bad,0.006185244961948213
personne,0.006185244961948213
ami,0.006154318737138472
lieutenant,0.006154318737138472
appeler,0.006123392512328732
part,0.00609246628751899
cause,0.006061540062709249
kind,0.006061540062709249
travail,0.006061540062709249
arrive,0.006030613837899508
victime,0.006030613837899508
after,0.005999687613089767
anton,0.005999687613089767
aux,0.005968761388280026
