Mot,Poids
be,0.36272901605483465
you,0.34677048123584403
le,0.32711141660375415
être,0.23544620935844102
the,0.20507102714258452
je,0.2048397440292658
un,0.1981325337430234
de,0.1945861926721366
to,0.17215173068022227
it,0.15017983491494535
tu,0.14254749217542811
pa,0.1365341312291418
que,0.12882469411851832
on,0.1245845037076754
that,0.11448514109275865
il,0.1099365731974908
ne,0.10893434637310974
and,0.10369192913788577
eat,0.09783275693381194
ce,0.09767856819159947
don,0.0942093214918189
have,0.08765629994778894
vous,0.08449543073243332
do,0.08264516582588369
ca,0.08071780654822781
faire,0.07832788104393454
son,0.07817369230172207
of,0.07655471050849114
he,0.07347093566424175
get,0.07308546380871057
aller,0.07131229327326717
in,0.07108101015994847
avoir,0.06899946214008013
what,0.06869108465565518
en,0.06853689591344271
this,0.0658385929247245
know,0.06506764921366215
we,0.06468217735813098
pour,0.062215157482731466
qu,0.05990232634954442
elle,0.05758949521635738
my,0.056895645876401266
your,0.05658726839197633
lucy,0.05458281474321422
she,0.05412024851657681
no,0.05334930480551447
for,0.05327221043440823
savoir,0.05126775678564613
just,0.04880073691024661
oh,0.04779851008586556
vouloir,0.04756722697254686
moi,0.0463337170348471
her,0.044020885901660055
pouvoir,0.04201643225289795
yes,0.041708054768473016
tout,0.04163096039736678
not,0.041553866026260544
with,0.0410142054285169
so,0.04016616734634832
qui,0.039241034893073505
they,0.039241034893073505
okay,0.03877846866643609
as,0.03870137429532986
want,0.03854718555311739
will,0.03808461932647998
bien,0.037853336213161275
can,0.03754495872873634
non,0.03677401501767399
go,0.03631144879103658
all,0.036234354419930344
mais,0.03584888256439917
right,0.035540505079974236
sur,0.03523212759554929
but,0.03515503322444306
si,0.03515503322444306
mon,0.03407571202895577
like,0.03338186268899966
ton,0.033304768317893425
dans,0.03222544712240614
avec,0.03160869215355626
out,0.03145450341134379
good,0.0301438991025378
about,0.02952714413368792
du,0.02921876664926298
here,0.029064577907050512
if,0.02790816234045699
come,0.02729140737160711
voir,0.02675174677386347
toi,0.026597558031650998
holt,0.02520985935173877
look,0.02520985935173877
plus,0.025055670609526303
up,0.024901481867313835
well,0.024747293125101363
quoi,0.024593104382888895
gonna,0.024130538156251484
one,0.023822160671826548
julia,0.022819933847445493
now,0.022665745105233025
how,0.02258865073412679
say,0.022511556363020557
see,0.02243446199191432
at,0.02228027324970185
there,0.02228027324970185
au,0.02174061265195821
etre,0.0215093295386395
ok,0.02143223516753327
dire,0.021278046425320798
tell,0.021278046425320798
etait,0.021046763312002094
who,0.021046763312002094
nous,0.020275819600939746
se,0.020121630858727278
think,0.01981325337430234
really,0.019581970260983635
oui,0.019273592776558695
ou,0.01919649840545246
vraiment,0.01873393217881505
make,0.018579743436602583
magazine,0.018348460323283876
merci,0.018348460323283876
devoir,0.018117177209965172
rien,0.018117177209965172
lui,0.017885894096646468
story,0.017808799725540232
dit,0.017731705354434
hey,0.01757751661222153
comme,0.01742332787000906
photo,0.017346233498902824
thank,0.017346233498902824
aimer,0.01726913912779659
when,0.016960761643371652
his,0.016883667272265417
call,0.01672947853005295
god,0.016652384158946713
mama,0.016652384158946713
need,0.016575289787840477
synchro,0.01649819541673424
give,0.01642110104562801
take,0.01611272356120307
love,0.015958534818990597
from,0.01580434607677813
alors,0.015727251705671894
let,0.015573062963459425
quand,0.015573062963459425
sorry,0.015573062963459425
est,0.015418874221246956
yellow,0.015418874221246956
penser,0.015110496736822016
dieu,0.014802119252397078
some,0.014802119252397078
venir,0.014725024881290842
back,0.014647930510184608
time,0.014570836139078372
bon,0.014416647396865904
falloir,0.014416647396865904
prendre,0.014262458654653434
could,0.013954081170228495
ouais,0.01387698679912226
salut,0.01387698679912226
why,0.013799892428016025
cover,0.013414420572484851
choose,0.013337326201378617
spiller,0.013260231830272381
people,0.013106043088059913
traduction,0.013106043088059913
or,0.012874759974741207
little,0.012720571232528738
great,0.012643476861422503
work,0.012643476861422503
croire,0.0124121937481038
mean,0.0124121937481038
autre,0.012335099376997564
pourquoi,0.012335099376997564
didn,0.012180910634785096
shit,0.012026721892572626
meme,0.011795438779253922
sub,0.011795438779253922
hello,0.011564155665935216
dirt,0.011487061294828982
over,0.011487061294828982
comment,0.011332872552616512
tres,0.011255778181510278
guy,0.011024495068191573
accord,0.010870306325979105
would,0.010870306325979105
man,0.010793211954872869
thing,0.010639023212660399
par,0.010484834470447929
sharlee,0.010330645728235461
because,0.010176456986022991
something,0.010022268243810521
parler,0.009713890759385582
please,0.009636796388279347
way,0.009636796388279347
anything,0.009559702017173112
juste,0.009328418903854408
star,0.009328418903854408
then,0.009251324532748174
sure,0.009097135790535704
trouver,0.00902004141942947
appeler,0.008942947048323234
uh,0.008788758306110764
aussi,0.00871166393500453
jamais,0.00871166393500453
should,0.00871166393500453
toujours,0.00871166393500453
off,0.008634569563898294
our,0.008634569563898294
quelque,0.008634569563898294
talk,0.008634569563898294
by,0.00855747519279206
ici,0.00855747519279206
willa,0.00855747519279206
personne,0.00840328645057959
peu,0.00840328645057959
titre,0.00840328645057959
film,0.008326192079473356
baby,0.00824909770836712
much,0.00824909770836712
sous,0.00824909770836712
super,0.00824909770836712
two,0.00824909770836712
