Mot,Poids
be,0.3764133953773607
you,0.3349782004380042
le,0.3200009218171679
être,0.24086028225648423
je,0.22425123787151013
de,0.19604500109141373
to,0.19307285630673415
the,0.1924318054708229
un,0.17168506932678504
que,0.1549011928956533
tu,0.15373564592126915
ne,0.14033185571585144
pa,0.139923914274817
it,0.1289094953668868
and,0.11900234608462154
eat,0.11725402562304532
that,0.1146898222794002
ce,0.11037729847417885
have,0.092719261812259
il,0.09248615241738216
vous,0.08939745293526417
son,0.08770740982240716
what,0.08316177662230897
do,0.08287038987871294
of,0.08141345616073276
he,0.08077240532482148
on,0.07657643621703854
pour,0.07529433454521597
faire,0.07179769362206354
for,0.06748516981684219
this,0.06480441177575864
en,0.06258987252442876
know,0.062473317826990345
in,0.06136604820132541
we,0.06107466145772937
my,0.060783274714133334
aller,0.0604918879705373
avoir,0.05979255978590681
nick,0.057752852580734544
your,0.057519743185857716
ca,0.05705352439610406
not,0.054431043703739725
darling,0.05291583263704033
qu,0.05157545361649856
oh,0.051050957478025696
no,0.05075957073442966
savoir,0.048952972924134225
just,0.04761259390359246
ton,0.04732120715999642
vouloir,0.04662187897536593
as,0.045631164047139405
tout,0.044990113211228124
with,0.0448152811650705
moi,0.04417423032915922
get,0.042659019262459824
pouvoir,0.04225107782142538
mais,0.04102725349832202
so,0.04056103470856836
yes,0.04026964796497232
non,0.040211370616253114
don,0.03962859712906104
but,0.038579604852115305
want,0.037763721970046404
will,0.037763721970046404
qui,0.03753061257516958
bien,0.03723922583157354
go,0.03718094848285433
well,0.03630678825206622
can,0.03607367885718939
all,0.03601540150847018
elle,0.03578229211359335
about,0.03502468658024366
mon,0.034558467790489995
si,0.03426708104689396
avec,0.03286842467763298
karen,0.03269359263147536
she,0.03106182686733755
mama,0.030304221333987854
right,0.02861417822113084
da,0.027856572687781144
dans,0.027157244503150654
okay,0.027157244503150654
toi,0.027157244503150654
quoi,0.02704068980571224
patrick,0.026807580410835412
brian,0.026516193667239372
tell,0.026457916318520167
here,0.026283084272362544
out,0.02587514283132809
voir,0.025583756087732053
gonna,0.025525478739012848
plus,0.024709595856943944
there,0.024651318508224735
dire,0.024418209113347907
nous,0.02430165441590949
say,0.024185099718471076
if,0.024010267672313453
oui,0.02389371297487504
like,0.023777158277436625
est,0.023544048882559794
jeremy,0.023544048882559794
tripp,0.023544048882559794
good,0.02272816600049089
her,0.02272816600049089
simon,0.022436779256894853
du,0.02232022455945644
sur,0.022203669862018025
au,0.02208711516457961
up,0.02185400576970278
at,0.021737451072264366
devoir,0.021679173723545157
come,0.02115467758507229
juste,0.02092156819019546
see,0.020455349400441802
lui,0.019930853261968935
they,0.019639466518372898
choose,0.019522911820934484
ok,0.01917324772861924
think,0.01894013833374241
etre,0.01876530628758479
look,0.01864875159014637
make,0.018590474241427166
dit,0.018357364846550334
etait,0.01783286870807747
venir,0.017716314010639053
se,0.017658036661919847
take,0.017658036661919847
ou,0.01754148196448143
thank,0.017308372569604602
how,0.017191817872166188
now,0.01707526317472777
assa,0.016783876431131734
who,0.016783876431131734
when,0.01672559908241253
merci,0.01660904438497411
one,0.01660904438497411
comme,0.016550767036254906
his,0.016492489687535698
penser,0.016317657641378075
why,0.016317657641378075
hey,0.016142825595220452
thing,0.016142825595220452
lisa,0.015909716200343624
vraiment,0.015618329456747586
time,0.015501774759309172
really,0.015152110666993927
quand,0.015035555969555513
alors,0.014802446574678683
would,0.014744169225959475
let,0.014685891877240268
love,0.014685891877240268
little,0.014569337179801854
from,0.014219673087486609
uh,0.014161395738767402
family,0.013986563692609779
pere,0.013870008995171365
ici,0.01375345429773295
old,0.01375345429773295
pourquoi,0.013636899600294536
rien,0.013578622251575327
aimer,0.01352034490285612
sorry,0.01352034490285612
could,0.01328723550797929
back,0.012354797928471972
famille,0.012354797928471972
mean,0.012354797928471972
need,0.012238243231033556
prendre,0.01217996588231435
dad,0.011830301789999106
sure,0.011830301789999106
because,0.011772024441279897
quelque,0.011772024441279897
jamais,0.011655469743841483
george,0.01148063769768386
parler,0.01148063769768386
or,0.011422360348964654
didn,0.011364083000245445
father,0.011364083000245445
never,0.010897864210491786
ra,0.010897864210491786
croire,0.010839586861772579
way,0.010839586861772579
some,0.010723032164334165
ellen,0.010606477466895749
papa,0.010548200118176542
new,0.010489922769457335
our,0.010489922769457335
then,0.010431645420738126
ja,0.010315090723299713
vie,0.010256813374580506
aatre,0.01014025867714209
bon,0.01014025867714209
work,0.009965426630984467
ouais,0.00990714928226526
something,0.00990714928226526
parce,0.009848871933546053
par,0.009732317236107638
where,0.009732317236107638
taire,0.00967403988738843
call,0.009557485189950015
femme,0.009557485189950015
life,0.009440930492511601
hello,0.009324375795073185
mr,0.009324375795073185
toujours,0.009266098446353978
please,0.009207821097634772
letitia,0.009032989051477149
over,0.009032989051477149
comment,0.008858157005319526
kiki,0.008858157005319526
autre,0.00879987965660032
na,0.00879987965660032
peu,0.008741602307881112
passe,0.008683324959161905
wait,0.00856677026172349
maintenant,0.008508492913004283
aussi,0.008275383518127453
night,0.008275383518127453
doing,0.008217106169408244
by,0.008158828820689037
fois,0.008042274123250624
talk,0.008042274123250624
accord,0.007983996774531415
give,0.007983996774531415
should,0.007983996774531415
font,0.007925719425812208
qua,0.007925719425812208
dis,0.007867442077093001
donc,0.007867442077093001
too,0.007867442077093001
try,0.007867442077093001
god,0.007809164728373793
minute,0.007809164728373793
more,0.007750887379654586
down,0.007692610030935378
meme,0.007692610030935378
quel,0.007692610030935378
deux,0.007634332682216171
million,0.0075760553334969635
part,0.0075760553334969635
day,0.0075177779847777565
long,0.007401223287339342
euh,0.007342945938620134
happen,0.007342945938620134
nola,0.007342945938620134
very,0.007342945938620134
juliet,0.007284668589900927
man,0.007284668589900927
moment,0.007284668589900927
thought,0.007226391241181719
even,0.007168113892462512
still,0.007168113892462512
fils,0.007051559195024097
maybe,0.0069932818463048895
peut,0.0069932818463048895
monde,0.0069350044975856825
place,0.0069350044975856825
dieu,0.006876727148866475
encore,0.006876727148866475
trouver,0.006876727148866475
year,0.006876727148866475
carmelite,0.006818449800147268
essayer,0.006818449800147268
temp,0.006818449800147268
anything,0.00676017245142806
freddy,0.00676017245142806
besoin,0.006701895102708853
york,0.006701895102708853
ever,0.006643617753989645
find,0.006643617753989645
last,0.006585340405270437
brother,0.00652706305655123
into,0.00652706305655123
personne,0.0064105083591128155
wife,0.0064105083591128155
listen,0.006352231010393608
only,0.006352231010393608
two,0.006352231010393608
guy,0.006293953661674401
hell,0.006293953661674401
much,0.006293953661674401
people,0.006293953661674401
petit,0.006293953661674401
everything,0.006235676312955193
meet,0.006177398964235986
nothing,0.006177398964235986
off,0.006177398964235986
passer,0.006177398964235986
tres,0.006177398964235986
doesn,0.006119121615516778
money,0.006119121615516778
soir,0.006119121615516778
away,0.006060844266797571
mariage,0.006060844266797571
quelqu,0.006060844266797571
feel,0.006002566918078363
homme,0.006002566918078363
keep,0.006002566918078363
again,0.005944289569359156
chase,0.005944289569359156
help,0.005944289569359156
seul,0.005944289569359156
dutch,0.0058860122206399485
jour,0.0058860122206399485
enfant,0.0058277348719207415
than,0.005769457523201534
plan,0.005711180174482327
vrai,0.005711180174482327
first,0.005652902825763119
home,0.005652902825763119
parle,0.005652902825763119
bonne,0.005594625477043912
pra,0.005594625477043912
start,0.005594625477043912
ba,0.005536348128324704
care,0.005536348128324704
depuis,0.005536348128324704
etais,0.005478070779605497
grand,0.005478070779605497
chez,0.005419793430886289
great,0.005419793430886289
someone,0.005419793430886289
stay,0.005419793430886289
any,0.005361516082167082
ask,0.005361516082167082
chance,0.005361516082167082
ecoute,0.005361516082167082
laisse,0.005361516082167082
san,0.005361516082167082
arrive,0.0053032387334478745
being,0.0053032387334478745
always,0.005244961384728668
fille,0.005244961384728668
desole,0.00518668403600946
appeler,0.005128406687290253
question,0.005128406687290253
um,0.005128406687290253
before,0.005070129338571045
ete,0.005070129338571045
fine,0.005070129338571045
demande,0.005011851989851838
isn,0.005011851989851838
affaire,0.00495357464113263
talke,0.00495357464113263
won,0.00495357464113263
after,0.004895297292413422
hear,0.004895297292413422
lie,0.004895297292413422
mother,0.004895297292413422
avant,0.004837019943694215
ha,0.004837019943694215
serum,0.004837019943694215
tra,0.004837019943694215
beaucoup,0.0047787425949750075
oa1,0.0047787425949750075
point,0.0047787425949750075
change,0.0047204652462558006
clark,0.0047204652462558006
excuse,0.0047204652462558006
idea,0.0047204652462558006
kind,0.0047204652462558006
laisser,0.0047204652462558006
fra,0.004662187897536593
salut,0.004662187897536593
attend,0.004603910548817386
guess,0.004603910548817386
marry,0.004603910548817386
plait,0.004603910548817386
comprendre,0.004545633200098178
demain,0.004545633200098178
other,0.004545633200098178
police,0.004545633200098178
problem,0.004545633200098178
late,0.004487355851378971
actually,0.004429078502659763
ah,0.004429078502659763
car,0.004429078502659763
maison,0.004429078502659763
mom,0.004429078502659763
truth,0.004429078502659763
coming,0.004370801153940556
daddy,0.004370801153940556
falloir,0.004370801153940556
kid,0.004370801153940556
leave,0.004370801153940556
tomorrow,0.004370801153940556
entre,0.004312523805221348
mieux,0.004312523805221348
trop,0.004312523805221348
argent,0.004254246456502141
bonjour,0.004254246456502141
mere,0.004254246456502141
nuit,0.004254246456502141
propos,0.004254246456502141
put,0.004254246456502141
raison,0.004254246456502141
aates,0.0041959691077829335
bad,0.0041959691077829335
important,0.0041959691077829335
matt,0.0041959691077829335
travail,0.0041959691077829335
job,0.004137691759063727
today,0.004079414410344519
kill,0.004021137061625312
lyons,0.004021137061625312
moins,0.004021137061625312
stop,0.004021137061625312
www,0.004021137061625312
girl,0.003962859712906104
own,0.003962859712906104
show,0.003962859712906104
voiler,0.003962859712906104
woman,0.003962859712906104
baby,0.0039045823641868965
com,0.0039045823641868965
friend,0.0039045823641868965
run,0.0039045823641868965
their,0.0039045823641868965
which,0.0039045823641868965
whole,0.0039045823641868965
both,0.003846305015467689
every,0.003846305015467689
maman,0.003846305015467689
occuper,0.003846305015467689
trust,0.003846305015467689
understand,0.003846305015467689
world,0.003846305015467689
case,0.0037880276667484817
cause,0.0037880276667484817
happy,0.0037880276667484817
information,0.0037880276667484817
puis,0.0037880276667484817
wrong,0.0037880276667484817
celui,0.0037297503180292743
mort,0.0037297503180292743
nice,0.0037297503180292743
reste,0.0037297503180292743
second,0.0037297503180292743
tonight,0.0037297503180292743
wasn,0.0037297503180292743
yourself,0.0037297503180292743
andrea,0.003671472969310067
arriver,0.003671472969310067
big,0.003671472969310067
parent,0.003671472969310067
pendant,0.003671472969310067
use,0.003671472969310067
air,0.0036131956205908596
bring,0.0036131956205908596
celer,0.0036131956205908596
child,0.0036131956205908596
live,0.0036131956205908596
maame,0.0036131956205908596
monsieur,0.0036131956205908596
partir,0.0036131956205908596
sola,0.0036131956205908596
sortir,0.0036131956205908596
wend,0.0036131956205908596
10,0.003554918271871652
aucun,0.003554918271871652
color,0.003554918271871652
etes,0.003554918271871652
name,0.003554918271871652
paddy,0.003554918271871652
suppose,0.003554918271871652
avocat,0.0034966409231524448
else,0.0034966409231524448
heure,0.0034966409231524448
jusqu,0.0034966409231524448
mentir,0.0034966409231524448
might,0.0034966409231524448
send,0.0034966409231524448
together,0.0034966409231524448
ami,0.0034383635744332374
around,0.0034383635744332374
aux,0.0034383635744332374
hope,0.0034383635744332374
lose,0.0034383635744332374
partie,0.0034383635744332374
promise,0.0034383635744332374
rentrer,0.0034383635744332374
tant,0.0034383635744332374
certain,0.00338008622571403
commence,0.00338008622571403
enfin,0.00338008622571403
mal,0.00338008622571403
