Mot,Poids
be,0.40252620387213567
you,0.3689400249703672
le,0.31347513270064475
être,0.2444940024442645
je,0.20642305896763796
un,0.18708406034511468
to,0.1771358118544765
the,0.17598364857972015
de,0.17396426563579234
pa,0.1543898788173511
it,0.15187494177675392
on,0.13953564476968588
tu,0.1338367726579878
que,0.11153683830786487
that,0.10563974455749903
il,0.10550346718091495
he,0.09743832425762049
and,0.09328805869801428
what,0.09193767378459017
do,0.09104567641058524
have,0.08923690395774193
eat,0.0858175806907231
aller,0.08227436889953689
we,0.08211331381811933
get,0.08175403709803403
ca,0.08098592824819645
faire,0.08087442857644583
ne,0.07948687710577153
ce,0.07824799186409803
this,0.06932801812404886
en,0.06915457419021456
in,0.06777941157195698
of,0.06621841616744838
vous,0.06225398339409319
pour,0.06222920568925972
avoir,0.056988721116980834
my,0.05640644505339429
for,0.05561355849872325
don,0.0549941158778865
qu,0.0549569493206363
not,0.0539658411272975
no,0.05330923194921055
as,0.051686292282618264
vouloir,0.04891118934126964
know,0.04872535655501861
will,0.048056358524514925
vince,0.047932470000347574
moi,0.04694136180700877
your,0.046718362463507544
ari,0.046705973611090815
son,0.04664402934900714
just,0.04393087066974218
so,0.04354681624482339
yes,0.04318753952473808
can,0.04311320641023767
want,0.04276631854256909
pouvoir,0.04089560182764211
with,0.04042482543580619
go,0.040350492321305775
tout,0.039297439865883306
quoi,0.03819483200079389
mais,0.03815766544354369
good,0.03684444708736978
but,0.036522336924534674
like,0.03579139463194731
non,0.03553122873119587
ton,0.03545689561669547
all,0.03498611922485954
si,0.03462684250477422
fuck,0.033957844474270533
qui,0.03336317955826726
savoir,0.03275612578984724
up,0.032211016283510904
avec,0.03135618546675619
gonna,0.031343796614339454
right,0.03130663005708925
toi,0.030365077273417394
about,0.03000580055333208
plus,0.02983235661949779
dans,0.029708468095330443
elle,0.02925008055591125
tell,0.028742137606825115
if,0.02850674941090715
bien,0.02848197170607368
mon,0.028469582853656944
out,0.028184639248072043
they,0.028048361871487956
how,0.027924473347320608
oui,0.02773864056106958
voir,0.02772625170865285
du,0.02720591990714998
say,0.0268590320394814
see,0.026425422204895677
sur,0.026301533680728326
she,0.025967034665476483
there,0.025719257617141784
come,0.02568209105989158
at,0.025347592044639735
here,0.025322814339806266
lui,0.024183039917466648
think,0.0240591513932993
au,0.0238113743449646
