Mot,Poids
be,0.4273483128098242
le,0.3484520414636693
you,0.31200243140443884
the,0.24097242205824607
être,0.22025533599893984
un,0.20304302013763656
to,0.1853634015832662
je,0.1827932367713974
de,0.1583377291675547
on,0.15078300229630393
it,0.14229367003891905
pa,0.1250034703954379
vous,0.12227753801921341
that,0.11853911647467696
il,0.1142555084548956
we,0.11075073825689266
have,0.10311812760346406
que,0.10171621952426288
of,0.0943172602173678
ce,0.09143556027678762
ne,0.09135767649460977
in,0.08972211706887508
and,0.08909904681145232
what,0.0870740684748284
tu,0.08543850904909371
eat,0.08286834423722489
this,0.08185585506891294
avoir,0.0756251524946855
son,0.0745347795441957
do,0.07243191742539394
ca,0.07212038229668256
he,0.06923868235610238
en,0.06705793645512277
aller,0.06269644465316357
get,0.05950320958387201
know,0.058958023108627106
faire,0.057478231247248095
qu,0.052805204316577516
my,0.04906678277204105
pour,0.04883313142550753
your,0.04867736386115184
tout,0.04852159629679615
out,0.04602931526710518
they,0.045328361227504596
see,0.045094709880971064
for,0.04501682609879322
dans,0.04454952340572616
voir,0.04454952340572616
don,0.04384856936612558
pouvoir,0.0435370342374142
but,0.04322549910870283
can,0.04291396397999146
not,0.04182359102950166
savoir,0.04151205590079029
as,0.040110147821589115
all,0.03870823974238794
mais,0.03870823974238794
moi,0.03800728570278736
go,0.036916912752297554
about,0.036605377623586184
qui,0.036605377623586184
with,0.03606019114834128
du,0.03567077223745207
just,0.035592888455274224
will,0.035437120890918536
vouloir,0.0353592371087407
here,0.03419098037607305
there,0.03286695607904972
no,0.03169869934638208
si,0.03169869934638208
so,0.03068621017807012
right,0.03045255883153659
sur,0.02936218588104679
gonna,0.028972766970157576
elle,0.028894883187979732
if,0.028661231841446203
want,0.028427580494912674
at,0.02749297510877856
now,0.02749297510877856
she,0.0270256724157115
say,0.02671413728700013
au,0.026558369722644443
etait,0.026324718376110914
flash,0.025390112989976798
bien,0.025234345425621113
etre,0.025234345425621113
mon,0.0248449265147319
nous,0.02461127516819837
ou,0.02461127516819837
quoi,0.02437762382166484
come,0.023910321128597783
tell,0.02383243734641994
one,0.023676669782064255
mark,0.02359878599988641
good,0.02328725087117504
like,0.022975715742463668
se,0.022586296831574454
up,0.022118994138507396
plus,0.022041110356329552
how,0.02196322657415171
ton,0.021807459009796023
devoir,0.021262272534551124
avec,0.021028621188017595
from,0.021028621188017595
make,0.020794969841484066
need,0.020794969841484066
her,0.020717086059306222
who,0.01986036445534995
black,0.019782480673172106
blackout,0.019548829326638578
think,0.019548829326638578
why,0.01908152663357152
dire,0.01876999150486015
thing,0.018224805029615248
his,0.01791326990090388
agent,0.01744596720783682
look,0.017368083425658976
toi,0.017368083425658976
rien,0.017290199643481132
something,0.017134432079125447
our,0.01690078073259192
time,0.016745013168236234
choose,0.01666712938605839
back,0.016589245603880545
dit,0.01612194291081349
take,0.015888291564279962
let,0.015810407782102118
lui,0.015810407782102118
pourquoi,0.015810407782102118
when,0.015498872653390746
yes,0.015498872653390746
didn,0.01534310508903506
mama,0.01534310508903506
vision,0.015265221306857217
happen,0.01510945374250153
people,0.01510945374250153
or,0.015031569960323688
call,0.014953686178145844
some,0.014486383485078788
cause,0.01425273213854526
okay,0.01425273213854526
autre,0.013941197009833886
benford,0.013863313227656044
could,0.013707545663300357
ici,0.013551778098944672
man,0.01347389431676683
comment,0.013318126752411143
where,0.013318126752411143
etais,0.013240242970233301
quand,0.013240242970233301
work,0.012928707841521928
venir,0.012772940277166243
demetri,0.012695056494988399
trouver,0.012539288930632714
guy,0.012227753801921343
croire,0.011994102455387814
sorry,0.01191621867320997
parler,0.011838334891032127
day,0.01168256732667644
non,0.01168256732667644
frost,0.011604683544498598
meme,0.011604683544498598
then,0.011604683544498598
mort,0.011293148415787227
really,0.011293148415787227
comme,0.011215264633609385
etes,0.011215264633609385
forward,0.011215264633609385
fbi,0.010981613287075856
find,0.010981613287075856
give,0.010903729504898011
future,0.010825845722720169
because,0.010747961940542327
penser,0.010747961940542327
anything,0.010670078158364482
sure,0.010670078158364482
deux,0.01059219437618664
help,0.01059219437618664
way,0.01059219437618664
thank,0.010514310594008798
try,0.010514310594008798
down,0.010280659247475269
falloir,0.010124891683119582
quelque,0.010124891683119582
dr,0.01004700790094174
would,0.00981335655440821
aussi,0.009735472772230368
charlie,0.009735472772230368
more,0.009735472772230368
prendre,0.009735472772230368
lloyd,0.009657588990052524
minute,0.009657588990052524
monde,0.009657588990052524
question,0.009579705207874682
gibbon,0.009423937643518995
kill,0.009423937643518995
doing,0.009190286296985468
into,0.009190286296985468
ete,0.009112402514807624
by,0.009034518732629782
aimer,0.00895663495045194
dylan,0.00895663495045194
never,0.00895663495045194
par,0.00895663495045194
peut,0.00895663495045194
simcoe,0.00895663495045194
even,0.008878751168274095
arrive,0.008800867386096253
too,0.008800867386096253
homme,0.00872298360391841
only,0.00872298360391841
any,0.008645099821740566
est,0.008645099821740566
vie,0.008645099821740566
jour,0.008567216039562724
change,0.008489332257384881
everything,0.008411448475207037
maybe,0.008411448475207037
moment,0.008411448475207037
mean,0.008333564693029195
oui,0.008333564693029195
doit,0.008255680910851352
merci,0.008255680910851352
janis,0.008177797128673508
alors,0.008099913346495666
simon,0.008099913346495666
little,0.007944145782139981
talk,0.007944145782139981
well,0.007944145782139981
two,0.007866261999962137
over,0.007788378217784294
please,0.007788378217784294
temp,0.007788378217784294
bon,0.007554726871250765
name,0.007554726871250765
still,0.007476843089072922
apres,0.00739895930689508
san,0.00739895930689508
vraiment,0.00739895930689508
avant,0.0073210755247172365
before,0.0073210755247172365
die,0.0073210755247172365
futur,0.0073210755247172365
olivia,0.007243191742539394
passe,0.007243191742539394
tres,0.007243191742539394
besoin,0.007165307960361551
jamais,0.007165307960361551
encore,0.0070874241781837075
believe,0.007009540396005865
depuis,0.007009540396005865
off,0.007009540396005865
tuer,0.007009540396005865
personne,0.006931656613828022
maintenant,0.006853772831650179
bureau,0.006775889049472336
again,0.006698005267294493
gen,0.006698005267294493
than,0.006698005267294493
comprendre,0.0066201214851166505
nothing,0.0066201214851166505
place,0.0066201214851166505
start,0.0066201214851166505
talke,0.0066201214851166505
tracy,0.0066201214851166505
suppose,0.006542237702938807
through,0.006542237702938807
use,0.006542237702938807
move,0.006464353920760964
parle,0.006464353920760964
first,0.0063864701385831215
love,0.0063864701385831215
world,0.0063864701385831215
jericho,0.006308586356405278
other,0.006308586356405278
keep,0.006230702574227436
part,0.006230702574227436
thought,0.006230702574227436
after,0.006152818792049593
doesn,0.006152818792049593
important,0.006152818792049593
remember,0.006152818792049593
seul,0.006152818792049593
peu,0.006074935009871749
should,0.006074935009871749
stop,0.006074935009871749
suspect,0.006074935009871749
toujours,0.006074935009871749
kind,0.005997051227693907
life,0.005997051227693907
hell,0.005919167445516064
noh,0.005919167445516064
phone,0.005919167445516064
coming,0.00584128366333822
office,0.00584128366333822
wait,0.00584128366333822
deja,0.005763399881160378
hear,0.005763399881160378
put,0.005763399881160378
run,0.005763399881160378
appeler,0.005685516098982535
arme,0.005685516098982535
connaître,0.005685516098982535
friend,0.005685516098982535
gotta,0.005685516098982535
juste,0.005685516098982535
might,0.005685516098982535
wedeck,0.005685516098982535
another,0.005607632316804692
home,0.005607632316804692
aider,0.005529748534626849
car,0.005529748534626849
dead,0.005529748534626849
every,0.005529748534626849
point,0.005529748534626849
possible,0.005529748534626849
ami,0.005451864752449006
fois,0.005451864752449006
meet,0.005451864752449006
today,0.005451864752449006
year,0.005451864752449006
ask,0.005373980970271163
celui,0.005373980970271163
mal,0.005373980970271163
peur,0.005373980970271163
six,0.005373980970271163
team,0.005373980970271163
very,0.005373980970271163
gun,0.00529609718809332
hand,0.00529609718809332
message,0.00529609718809332
arriver,0.005140329623737634
away,0.005140329623737634
desole,0.005140329623737634
same,0.005140329623737634
dis,0.005062445841559791
last,0.005062445841559791
live,0.005062445841559791
main,0.005062445841559791
number,0.005062445841559791
someone,0.005062445841559791
aux,0.004984562059381949
avenir,0.004984562059381949
baby,0.004984562059381949
date,0.004984562059381949
parce,0.004984562059381949
second,0.004984562059381949
stay,0.004984562059381949
bad,0.004906678277204105
information,0.004906678277204105
quelqu,0.004906678277204105
their,0.004906678277204105
chance,0.004828794495026262
found,0.004828794495026262
heure,0.004828794495026262
hey,0.004828794495026262
quel,0.004828794495026262
being,0.00475091071284842
big,0.00475091071284842
bring,0.00475091071284842
listen,0.00475091071284842
aucun,0.0046730269306705765
certain,0.0046730269306705765
lie,0.0046730269306705765
mourir,0.0046730269306705765
much,0.0046730269306705765
partir,0.0046730269306705765
accord,0.004595143148492734
god,0.004595143148492734
reste,0.004595143148492734
send,0.004595143148492734
understand,0.004595143148492734
around,0.004517259366314891
fine,0.004517259366314891
house,0.004517259366314891
photo,0.004517259366314891
wrong,0.004517259366314891
different,0.0044393755841370475
essayer,0.0044393755841370475
late,0.0044393755841370475
month,0.0044393755841370475
next,0.0044393755841370475
night,0.0044393755841370475
passer,0.0044393755841370475
perdu,0.0044393755841370475
souvenir,0.0044393755841370475
campo,0.004361491801959205
else,0.004361491801959205
mosaic,0.004361491801959205
nom,0.004361491801959205
pendant,0.004361491801959205
which,0.004361491801959205
dyson,0.004283608019781362
enquete,0.004283608019781362
idea,0.004283608019781362
mr,0.004283608019781362
serum,0.004283608019781362
since,0.004283608019781362
demande,0.0042057242376035186
end,0.0042057242376035186
leave,0.0042057242376035186
lose,0.0042057242376035186
raison,0.0042057242376035186
seem,0.0042057242376035186
care,0.004127840455425676
mieux,0.004127840455425676
sortir,0.004127840455425676
15,0.004049956673247833
always,0.004049956673247833
donne,0.004049956673247833
experience,0.004049956673247833
head,0.004049956673247833
together,0.004049956673247833
travail,0.004049956673247833
already,0.0039720728910699905
angeles,0.0039720728910699905
grand,0.0039720728910699905
los,0.0039720728910699905
million,0.0039720728910699905
plan,0.0039720728910699905
seconde,0.0039720728910699905
shot,0.0039720728910699905
zero,0.0039720728910699905
ever,0.003894189108892147
hope,0.003894189108892147
mosaique,0.003894189108892147
chez,0.0038163053267143044
femme,0.0038163053267143044
fille,0.0038163053267143044
lead,0.0038163053267143044
long,0.0038163053267143044
regarde,0.0038163053267143044
soir,0.0038163053267143044
worry,0.0038163053267143044
yet,0.0038163053267143044
aide,0.003738421544536461
death,0.003738421544536461
desolee,0.003738421544536461
donc,0.003738421544536461
person,0.003738421544536461
tonight,0.003738421544536461
20,0.0036605377623586182
bonne,0.0036605377623586182
hour,0.0036605377623586182
save,0.0036605377623586182
vrai,0.0036605377623586182
wasn,0.0036605377623586182
aujourd,0.0035826539801807754
hospital,0.0035826539801807754
hui,0.0035826539801807754
investigation,0.0035826539801807754
isn,0.0035826539801807754
lot,0.0035826539801807754
matt,0.0035826539801807754
nicole,0.0035826539801807754
petit,0.0035826539801807754
three,0.0035826539801807754
trop,0.0035826539801807754
won,0.0035826539801807754
alive,0.0035047701980029326
exactly,0.0035047701980029326
new,0.0035047701980029326
papa,0.0035047701980029326
patient,0.0035047701980029326
problem,0.0035047701980029326
trois,0.0035047701980029326
truc,0.0035047701980029326
week,0.0035047701980029326
hellinger,0.0034268864158250893
murder,0.0034268864158250893
thinke,0.0034268864158250893
wend,0.0034268864158250893
17,0.0033490026336472464
boulot,0.0033490026336472464
gin,0.0033490026336472464
haven,0.0033490026336472464
laisser,0.0033490026336472464
maison,0.0033490026336472464
may,0.0033490026336472464
moins,0.0033490026336472464
sauver,0.0033490026336472464
service,0.0033490026336472464
turn,0.0033490026336472464
wanna,0.0033490026336472464
check,0.0032711188514694036
everyone,0.0032711188514694036
great,0.0032711188514694036
partie,0.0032711188514694036
pere,0.0032711188514694036
walk,0.0032711188514694036
aaron,0.0031932350692915608
air,0.0031932350692915608
answer,0.0031932350692915608
face,0.0031932350692915608
feel,0.0031932350692915608
mettre,0.0031932350692915608
pay,0.0031932350692915608
red,0.0031932350692915608
show,0.0031932350692915608
sound,0.0031932350692915608
trust,0.0031932350692915608
voiler,0.0031932350692915608
zoey,0.0031932350692915608
bleu,0.003115351287113718
cia,0.003115351287113718
connaissance,0.003115351287113718
continue,0.003115351287113718
excuse,0.003115351287113718
family,0.003115351287113718
guess,0.003115351287113718
many,0.003115351287113718
police,0.003115351287113718
real,0.003115351287113718
telephone,0.003115351287113718
accident,0.0030374675049358747
ago,0.0030374675049358747
coup,0.0030374675049358747
course,0.0030374675049358747
hard,0.0030374675049358747
hello,0.0030374675049358747
hopital,0.0030374675049358747
job,0.0030374675049358747
means,0.0030374675049358747
piece,0.0030374675049358747
reason,0.0030374675049358747
super,0.0030374675049358747
tue,0.0030374675049358747
whole,0.0030374675049358747
actually,0.002959583722758032
attendre,0.002959583722758032
cas,0.002959583722758032
em,0.002959583722758032
famille,0.002959583722758032
kid,0.002959583722758032
laisse,0.002959583722758032
less,0.002959583722758032
president,0.002959583722758032
woman,0.002959583722758032
yourself,0.002959583722758032
29,0.002881699940580189
anyone,0.002881699940580189
april,0.002881699940580189
drink,0.002881699940580189
fini,0.002881699940580189
idee,0.002881699940580189
marcie,0.002881699940580189
piste,0.002881699940580189
revenir,0.002881699940580189
somalie,0.002881699940580189
type,0.002881699940580189
washington,0.002881699940580189
while,0.002881699940580189
affaire,0.002803816158402346
afghanistan,0.002803816158402346
arrete,0.002803816158402346
blue,0.002803816158402346
entre,0.002803816158402346
experiment,0.002803816158402346
figure,0.002803816158402346
impossible,0.002803816158402346
mere,0.002803816158402346
miss,0.002803816158402346
octobre,0.002803816158402346
perdre,0.002803816158402346
play,0.002803816158402346
room,0.002803816158402346
attend,0.002725932376224503
aura,0.002725932376224503
avril,0.002725932376224503
bebe,0.002725932376224503
case,0.002725932376224503
most,0.002725932376224503
nuit,0.002725932376224503
probleme,0.002725932376224503
rentrer,0.002725932376224503
rester,0.002725932376224503
sens,0.002725932376224503
tard,0.002725932376224503
without,0.002725932376224503
00,0.00264804859404666
29th,0.00264804859404666
forwards,0.00264804859404666
importer,0.00264804859404666
mentir,0.00264804859404666
ni,0.00264804859404666
own,0.00264804859404666
porte,0.00264804859404666
puis,0.00264804859404666
somalia,0.00264804859404666
video,0.00264804859404666
10,0.002570164811868817
appel,0.002570164811868817
base,0.002570164811868817
board,0.002570164811868817
boy,0.002570164811868817
changer,0.002570164811868817
dad,0.002570164811868817
daddy,0.002570164811868817
dieu,0.002570164811868817
dites,0.002570164811868817
ecoute,0.002570164811868817
entier,0.002570164811868817
envoyer,0.002570164811868817
etaient,0.002570164811868817
happening,0.002570164811868817
left,0.002570164811868817
myself,0.002570164811868817
nice,0.002570164811868817
pigeon,0.002570164811868817
restaurant,0.002570164811868817
ring,0.002570164811868817
shut,0.002570164811868817
tour,0.002570164811868817
true,0.002570164811868817
2010,0.0024922810296909743
afraid,0.0024922810296909743
al,0.0024922810296909743
alda,0.0024922810296909743
both,0.0024922810296909743
building,0.0024922810296909743
cell,0.0024922810296909743
chaque,0.0024922810296909743
close,0.0024922810296909743
combien,0.0024922810296909743
couldn,0.0024922810296909743
damn,0.0024922810296909743
ensemble,0.0024922810296909743
far,0.0024922810296909743
fils,0.0024922810296909743
geyer,0.0024922810296909743
line,0.0024922810296909743
morning,0.0024922810296909743
ned,0.0024922810296909743
security,0.0024922810296909743
sense,0.0024922810296909743
simple,0.0024922810296909743
stan,0.0024922810296909743
until,0.0024922810296909743
whatever,0.0024922810296909743
agir,0.002414397247513131
anymore,0.002414397247513131
dem,0.002414397247513131
fou,0.002414397247513131
gabriel,0.002414397247513131
game,0.002414397247513131
histoire,0.002414397247513131
hold,0.002414397247513131
matin,0.002414397247513131
normal,0.002414397247513131
securite,0.002414397247513131
semaine,0.002414397247513131
soon,0.002414397247513131
tire,0.002414397247513131
utah,0.002414397247513131
wouldn,0.002414397247513131
ambulance,0.0023365134653352882
attention,0.0023365134653352882
boire,0.0023365134653352882
bryce,0.0023365134653352882
couple,0.0023365134653352882
enough,0.0023365134653352882
entendu,0.0023365134653352882
jouer,0.0023365134653352882
lieu,0.0023365134653352882
mom,0.0023365134653352882
nlap,0.0023365134653352882
nouveau,0.0023365134653352882
occuper,0.0023365134653352882
test,0.0023365134653352882
transfer,0.0023365134653352882
1991,0.0022586296831574454
alone,0.0022586296831574454
appele,0.0022586296831574454
chercher,0.0022586296831574454
clemente,0.0022586296831574454
compris,0.0022586296831574454
daughter,0.0022586296831574454
deal,0.0022586296831574454
donner,0.0022586296831574454
entrer,0.0022586296831574454
few,0.0022586296831574454
force,0.0022586296831574454
keiko,0.0022586296831574454
mar,0.0022586296831574454
march,0.0022586296831574454
mind,0.0022586296831574454
nouvelle,0.0022586296831574454
pre,0.0022586296831574454
present,0.0022586296831574454
rappeler,0.0022586296831574454
recherche,0.0022586296831574454
