Mot,Poids
le,0.3836440508449931
être,0.3367390217044947
be,0.30240714620860215
un,0.2661208944985221
you,0.24664227823045407
je,0.2248835563791673
de,0.1884670129214748
pa,0.16866266728437548
the,0.15882564033963206
tu,0.15100813548288233
que,0.13563370926460785
on,0.13367933305042043
it,0.1329627284385517
il,0.12351657673664578
ce,0.10696952478985884
ne,0.1065135036732151
that,0.10455912745902766
faire,0.10227902187580899
to,0.10143212551632777
eat,0.1006503750306528
ca,0.10006406216639657
vous,0.09576443449518422
bret,0.09302830779532181
yes,0.09068305633829689
oh,0.08136719638400346
have,0.08104146701497222
non,0.07452687963434745
aller,0.07185589880829128
en,0.07139987769164756
we,0.06944550147746012
avoir,0.06579733254431025
oui,0.065471603175279
and,0.0641035398253478
of,0.06390810220392906
qu,0.06364751870870407
do,0.06338693521347907
no,0.06214916361116037
he,0.059934203901747946
what,0.058500994678010496
get,0.05615574322098558
jemaine,0.0553739927353106
pour,0.05055319807364827
pouvoir,0.048598821859460836
tout,0.048598821859460836
son,0.048273092490429596
as,0.047947363121398356
mais,0.04755648787856087
just,0.046644445645273404
vouloir,0.04560211166437344
in,0.04449463180966723
du,0.044234048314442234
bien,0.04332200608115477
ouais,0.04306142258592977
moi,0.041693359235998574
qui,0.04130248399316108
murray,0.040260150012261124
this,0.03856635729329868
plus,0.03798004442904245
savoir,0.03798004442904245
dans,0.03745887743859247
si,0.03661198107911125
my,0.03622110583627376
not,0.03615595996246751
know,0.036090814088661265
don,0.03602566821485502
go,0.03583023059343627
ton,0.03569993884582378
like,0.03563479297201753
well,0.03524391772918004
they,0.035113625981567545
avec,0.0350484801077613
elle,0.0349181883601488
your,0.03485304248634256
nous,0.03426672962208633
voir,0.0335501250102176
quoi,0.03127001942699893
all,0.030879144184161444
okay,0.030553414815130204
sur,0.030423123067517707
bon,0.02951108083423024
good,0.02944593496042399
there,0.029380789086617745
etait,0.028924767969974008
for,0.028794476222361514
mon,0.028468746853330274
with,0.027817288115267798
dire,0.027491558746236558
toi,0.026970391755786575
but,0.02690524588198033
can,0.026709808260561584
so,0.02657951651294909
au,0.026449224765336593
guy,0.02599320364869286
about,0.02566747427966162
right,0.025081161415405392
comme,0.02390853568689293
one,0.023647952191667942
ou,0.023647952191667942
etre,0.023582806317861693
se,0.023191931075024205
aimer,0.02306163932741171
accord,0.022931347579799213
will,0.02280105583218672
merci,0.02273590995838047
look,0.022540472336961728
lui,0.02162843010367426
see,0.02162843010367426
dit,0.021237554860836772
here,0.021237554860836772
vraiment,0.021237554860836772
devoir,0.021172408987030523
say,0.02097697136561178
out,0.020846679617999287
hey,0.02078153374419304
alors,0.0204558043751618
think,0.020325512627549305
salut,0.01986949151090557
want,0.01986949151090557
groupe,0.0189574492776181
deux,0.018501428160974366
quand,0.018501428160974366
ok,0.018305990539555624
she,0.01811055291813688
penser,0.017393948306268156
prendre,0.017393948306268156
really,0.01726365655865566
cool,0.01693792718962442
new,0.016807635442011925
at,0.016677343694399428
peu,0.016612197820593182
up,0.016612197820593182
mel,0.016416760199174436
if,0.015960739082530703
venir,0.01583044733491821
ah,0.01576530146111196
est,0.015569863839693217
how,0.015113842723049482
thank,0.014983550975436986
croire,0.01491840510163074
gonna,0.014462383984987004
come,0.014397238111180757
choose,0.014332092237374508
pourquoi,0.014332092237374508
some,0.013876071120730775
super,0.013876071120730775
now,0.013810925246924528
make,0.013680633499312032
vrai,0.013680633499312032
comment,0.013615487625505783
tres,0.013615487625505783
trop,0.013485195877893288
aussi,0.013354904130280792
band,0.01315946650886205
man,0.01315946650886205
parce,0.013094320635055801
autre,0.012768591266024563
tell,0.012768591266024563
falloir,0.012638299518412067
rien,0.012638299518412067
ici,0.012442861896993325
nouvelle,0.01224742427557458
meme,0.011986840780349589
from,0.011856549032737093
could,0.011661111411318351
mama,0.011465673789899607
when,0.01140052791609336
who,0.011270236168480864
her,0.010879360925643377
time,0.010879360925643377
love,0.01081421505183713
femme,0.010749069178030882
temp,0.010683923304224635
bonne,0.01055363155661214
juste,0.01055363155661214
par,0.01055363155661214
thing,0.010423339808999644
etais,0.010358193935193395
too,0.010358193935193395
gar,0.010293048061387148
two,0.010162756313774652
would,0.010162756313774652
let,0.010097610439968404
bite,0.010032464566162157
dis,0.010032464566162157
soir,0.009967318692355908
passe,0.009902172818549661
uh,0.009902172818549661
meet,0.009837026944743412
trouver,0.009706735197130917
desole,0.009576443449518421
jamais,0.009511297575712174
then,0.009511297575712174
why,0.009511297575712174
need,0.009446151701905927
fa,0.009381005828099679
eh,0.009315859954293432
greg,0.009315859954293432
back,0.009185568206680936
doing,0.009185568206680936
um,0.009185568206680936
besoin,0.008990130585262192
quelque,0.008990130585262192
very,0.008990130585262192
etes,0.008924984711455945
beaucoup,0.008664401216230954
didn,0.008664401216230954
little,0.008664401216230954
parle,0.008599255342424705
truc,0.008599255342424705
fan,0.008534109468618458
mean,0.00846896359481221
petit,0.008403817721005962
photo,0.008403817721005962
air,0.008338671847199714
great,0.008273525973393467
hello,0.008273525973393467
maintenant,0.008273525973393467
sorry,0.008273525973393467
concert,0.008208380099587218
mec,0.008208380099587218
peut,0.008143234225780971
down,0.008078088351974723
quel,0.008078088351974723
voiler,0.008078088351974723
chien,0.008012942478168476
more,0.008012942478168476
should,0.008012942478168476
boum,0.00788265073055598
fille,0.00788265073055598
friend,0.00788265073055598
actually,0.007817504856749733
because,0.007817504856749733
fete,0.007817504856749733
mmm,0.007817504856749733
ami,0.007752358982943484
hein,0.007752358982943484
sally,0.007752358982943484
personne,0.007491775487718493
present,0.007491775487718493
amour,0.007426629613912245
bowie,0.007426629613912245
take,0.007361483740105998
call,0.007231191992493502
or,0.007231191992493502
cause,0.007100900244881007
night,0.007100900244881007
where,0.007100900244881007
zealand,0.007100900244881007
belle,0.007035754371074759
hmm,0.007035754371074759
reste,0.007035754371074759
dave,0.006970608497268512
zelande,0.006970608497268512
mettre,0.006905462623462264
encore,0.006840316749656016
give,0.006840316749656016
jambe,0.006840316749656016
heure,0.006775170875849768
minute,0.00671002500204352
thought,0.00671002500204352
chanson,0.006644879128237273
deja,0.006644879128237273
gen,0.006644879128237273
work,0.006644879128237273
rock,0.006579733254431025
subtitle,0.006579733254431025
appeler,0.006514587380624777
flight,0.006514587380624777
mal,0.006514587380624777
monde,0.006514587380624777
something,0.006514587380624777
bizarre,0.006449441506818529
conchords,0.006449441506818529
put,0.006449441506818529
todd,0.006449441506818529
moment,0.006319149759206034
our,0.006319149759206034
party,0.006254003885399786
aux,0.006188858011593538
chez,0.006188858011593538
doug,0.006188858011593538
gig,0.006188858011593538
trois,0.006188858011593538
way,0.006188858011593538
maybe,0.00612371213778729
regarde,0.00612371213778729
seul,0.006058566263981042
his,0.0059934203901747946
into,0.0059934203901747946
parler,0.0059934203901747946
big,0.005928274516368547
essayer,0.005928274516368547
off,0.005928274516368547
please,0.005928274516368547
toujours,0.005928274516368547
any,0.005863128642562299
plait,0.005732836894949803
try,0.005732836894949803
woman,0.0056676910211435555
ete,0.005602545147337308
ouaf,0.005602545147337308
people,0.005602545147337308
girl,0.005537399273531061
jouer,0.005537399273531061
sortir,0.005537399273531061
nuit,0.005472253399724813
gang,0.005407107525918565
homme,0.005407107525918565
sure,0.005407107525918565
arrive,0.005341961652112317
bonjour,0.005341961652112317
donne,0.005341961652112317
jim,0.005341961652112317
nice,0.005341961652112317
other,0.005341961652112317
mm,0.00527681577830607
probleme,0.00527681577830607
saut,0.00527681577830607
combien,0.005211669904499822
pay,0.005211669904499822
coco,0.005146524030693574
hear,0.005146524030693574
jour,0.005146524030693574
part,0.005146524030693574
boulot,0.005081378156887326
apres,0.005016232283081078
ba,0.005016232283081078
fois,0.005016232283081078
many,0.005016232283081078
regarder,0.005016232283081078
crazy,0.0049510864092748305
question,0.0049510864092748305
type,0.0049510864092748305
grand,0.004885940535468583
much,0.004820794661662335
nouveau,0.004820794661662335
argent,0.004755648787856087
carte,0.004755648787856087
musique,0.004755648787856087
over,0.004690502914049839
tard,0.004690502914049839
never,0.0046253570402435915
pretty,0.0046253570402435915
talke,0.0046253570402435915
dog,0.004560211166437344
point,0.004560211166437344
reunion,0.004560211166437344
font,0.004495065292631096
kind,0.004495065292631096
sort,0.004495065292631096
car,0.004429919418824848
euh,0.004429919418824848
joue,0.004429919418824848
gel,0.0043647735450186
only,0.0043647735450186
boom,0.0042996276712123525
day,0.0042996276712123525
move,0.0042996276712123525
still,0.0042996276712123525
by,0.004234481797406105
donner,0.004234481797406105
ensemble,0.004234481797406105
might,0.004234481797406105
mort,0.004234481797406105
neo,0.004234481797406105
travail,0.004234481797406105
again,0.004169335923599857
david,0.004169335923599857
lot,0.004169335923599857
manager,0.004169335923599857
revoir,0.004169335923599857
around,0.004104190049793609
chance,0.004104190049793609
mieux,0.004104190049793609
probably,0.004104190049793609
terrible,0.004104190049793609
zelandais,0.004104190049793609
celui,0.004039044175987361
john,0.004039044175987361
la,0.004039044175987361
porte,0.004039044175987361
raison,0.004039044175987361
tete,0.004039044175987361
arrete,0.0039738983021811135
copiner,0.0039738983021811135
place,0.0039738983021811135
sommer,0.0039738983021811135
ben,0.0039087524283748665
fou,0.0039087524283748665
happen,0.0039087524283748665
laisse,0.0039087524283748665
lisa,0.0039087524283748665
san,0.0039087524283748665
song,0.0039087524283748665
stop,0.0039087524283748665
though,0.0039087524283748665
bus,0.0038436065545686183
doesn,0.0038436065545686183
isn,0.0038436065545686183
ressembler,0.0038436065545686183
use,0.0038436065545686183
œil,0.0038436065545686183
donc,0.0037784606807623705
idee,0.0037784606807623705
ju,0.0037784606807623705
long,0.0037784606807623705
passer,0.0037784606807623705
premier,0.0037784606807623705
different,0.0037133148069561227
feeling,0.0037133148069561227
lady,0.0037133148069561227
quelqu,0.0037133148069561227
stay,0.0037133148069561227
main,0.003648168933149875
money,0.003648168933149875
music,0.003648168933149875
ecoute,0.003583023059343627
ooh,0.003583023059343627
wear,0.003583023059343627
cassette,0.0035178771855373797
nom,0.0035178771855373797
roll,0.0035178771855373797
stefan,0.0035178771855373797
top,0.0035178771855373797
bounce,0.003452731311731132
even,0.003452731311731132
rentrer,0.003452731311731132
show,0.003452731311731132
sound,0.003452731311731132
than,0.003452731311731132
weird,0.003452731311731132
attend,0.003387585437924884
bring,0.003387585437924884
dick,0.003387585437924884
dollar,0.003387585437924884
ecoutez,0.003387585437924884
eye,0.003387585437924884
keep,0.003387585437924884
papier,0.003387585437924884
pendant,0.003387585437924884
revenir,0.003387585437924884
together,0.003387585437924884
bye,0.0033224395641186363
genial,0.0033224395641186363
name,0.0033224395641186363
assez,0.0032572936903123885
australien,0.0032572936903123885
charlie,0.0032572936903123885
dance,0.0032572936903123885
dieu,0.0032572936903123885
gay,0.0032572936903123885
genre,0.0032572936903123885
idea,0.0032572936903123885
last,0.0032572936903123885
late,0.0032572936903123885
occuper,0.0032572936903123885
puis,0.0032572936903123885
same,0.0032572936903123885
wow,0.0032572936903123885
another,0.0031921478165061407
partir,0.0031921478165061407
rester,0.0031921478165061407
soiree,0.0031921478165061407
souvenir,0.0031921478165061407
albi,0.003127001942699893
arf,0.003127001942699893
date,0.003127001942699893
doit,0.003127001942699893
feel,0.003127001942699893
home,0.003127001942699893
meilleur,0.003127001942699893
monsieur,0.003127001942699893
plan,0.003127001942699893
talk,0.003127001942699893
vie,0.003127001942699893
bad,0.003061856068893645
dogggz,0.003061856068893645
ever,0.003061856068893645
hewitt,0.003061856068893645
imagine,0.003061856068893645
play,0.003061856068893645
start,0.003061856068893645
turn,0.003061856068893645
wasn,0.003061856068893645
10,0.0029967101950873973
beau,0.0029967101950873973
break,0.0029967101950873973
check,0.0029967101950873973
enfin,0.0029967101950873973
haven,0.0029967101950873973
leave,0.0029967101950873973
partie,0.0029967101950873973
serum,0.0029967101950873973
sexy,0.0029967101950873973
shirt,0.0029967101950873973
whoa,0.0029967101950873973
won,0.0029967101950873973
always,0.0029315643212811495
aucun,0.0029315643212811495
commence,0.0029315643212811495
connaître,0.0029315643212811495
dingue,0.0029315643212811495
eau,0.0029315643212811495
ecrit,0.0029315643212811495
end,0.0029315643212811495
girlfriend,0.0029315643212811495
mets,0.0029315643212811495
situation,0.0029315643212811495
suppose,0.0029315643212811495
tonight,0.0029315643212811495
boire,0.0028664184474749017
bouger,0.0028664184474749017
comprendre,0.0028664184474749017
depuis,0.0028664184474749017
excuse,0.0028664184474749017
hand,0.0028664184474749017
laisser,0.0028664184474749017
listen,0.0028664184474749017
payer,0.0028664184474749017
president,0.0028664184474749017
50,0.002801272573668654
away,0.002801272573668654
maison,0.002801272573668654
phone,0.002801272573668654
pose,0.002801272573668654
quatre,0.002801272573668654
telephone,0.002801272573668654
their,0.002801272573668654
20,0.0027361266998624065
entre,0.0027361266998624065
etaient,0.0027361266998624065
jusqu,0.0027361266998624065
real,0.0027361266998624065
stand,0.0027361266998624065
three,0.0027361266998624065
tour,0.0027361266998624065
vendre,0.0027361266998624065
video,0.0027361266998624065
voiture,0.0027361266998624065
anneau,0.0026709808260561587
cote,0.0026709808260561587
ledje,0.0026709808260561587
leggy,0.0026709808260561587
manger,0.0026709808260561587
marche,0.0026709808260561587
news,0.0026709808260561587
porter,0.0026709808260561587
water,0.0026709808260561587
akazab,0.002605834952249911
aujourd,0.002605834952249911
demon,0.002605834952249911
each,0.002605834952249911
exacteming,0.002605834952249911
hui,0.002605834952249911
joli,0.002605834952249911
