Mot,Poids
you,0.3808268442505216
be,0.3710505015080203
le,0.31246002345906687
être,0.23767325409246737
je,0.21176819843837416
the,0.1814705463907608
to,0.17906024990816255
un,0.16637803570533258
de,0.1576829474596978
it,0.15281730222379855
that,0.14919059443222552
tu,0.14621714456584264
pa,0.13506670756690686
on,0.13303935538528217
que,0.1268446681636512
and,0.1194335696330454
aller,0.103687801022427
ce,0.10285433401442574
eat,0.1023137067659925
il,0.09884468192187915
ca,0.0915011617973275
get,0.09060011638327209
what,0.08996938459343329
he,0.08420269394347862
we,0.08244565538607057
have,0.07962988846714739
do,0.07857116010563228
this,0.07843600329352396
faire,0.07478676936659953
know,0.07199352858302774
vous,0.07064196046194461
ne,0.07001122867210582
of,0.06962828437113228
go,0.06829924238540054
en,0.06737567083599373
in,0.06381654145047484
just,0.06287044376571665
all,0.05766690649954662
don,0.05638291678451766
pour,0.05525661001694839
qu,0.053296836241377855
right,0.05253094763943075
for,0.05079643521737408
gonna,0.049625076179102036
not,0.04888171371250632
your,0.04800319443380229
son,0.04739498877931488
avoir,0.04732741037326073
savoir,0.04728235810255796
my,0.04647141722990808
vouloir,0.044534169589688935
yes,0.04408364688266123
can,0.04365565031098491
bien,0.04334028441606551
good,0.04329523214536274
tout,0.042979866250443345
pouvoir,0.041560719723306064
no,0.04144808904654914
here,0.041267879963738055
as,0.041155249286981124
about,0.04108767088092697
will,0.03912789710535644
coach,0.03831695623270657
up,0.0379565380670844
so,0.03777632898427332
like,0.03710054492373176
with,0.03710054492373176
ton,0.0357940290733514
out,0.035073192742107066
moi,0.03448751322297105
there,0.03439740868156551
let,0.03151406335658818
come,0.03140143267983125
mais,0.03135638040912848
si,0.030860805431398
voir,0.03036523045366752
but,0.030252599776910593
want,0.03018502137085644
quoi,0.029261449821449636
toi,0.028878505520476085
think,0.028540613490205303
how,0.02827029986598868
qui,0.028135143053880367
they,0.028135143053880367
sur,0.027662094211501273
du,0.027256623775176334
oh,0.027211571504473564
non,0.026175369278309837
avec,0.025882529518741825
plus,0.025589689759173816
see,0.025589689759173816
at,0.025386954541011347
now,0.025251797728903035
dans,0.024913905698632253
look,0.024891379563280868
say,0.02459853980371286
hey,0.024553487533010086
dire,0.024215595502739305
au,0.02414801709668515
elle,0.02394528187852268
etre,0.023922755743171296
she,0.023584863712900514
tell,0.023404654630089432
okay,0.023292023953332505
well,0.023089288735170035
if,0.022999184193764493
one,0.022886553517007566
mon,0.022255821727168775
devoir,0.020994358147491194
se,0.020791622929328724
need,0.020633939981869028
matt,0.020205943410192703
penser,0.019822999109219152
panther,0.019620263891056686
mama,0.019597737755705297
nous,0.019417528672894216
etait,0.019282371860785904
oui,0.01925984572543452
ou,0.01919226731938036
make,0.01910216277797482
comme,0.01905711050727205
really,0.018967005965866507
thank,0.018876901424460964
ok,0.018741744612352652
venir,0.018696692341649883
juste,0.01831374804067633
merci,0.01822364349927079
some,0.017840699198297238
take,0.01772806852154031
bon,0.01768301625083754
back,0.017457754897323687
mean,0.017074810596350135
doing,0.01671439243072797
time,0.016421552671159956
ouais,0.01630892199440303
est,0.016286395859051644
man,0.016286395859051644
dillon,0.016241343588348875
comment,0.016128712911591948
lui,0.015385350444996228
ici,0.015272719768239303
choose,0.015250193632887916
prendre,0.015205141362185145
aimer,0.014979880008671292
thing,0.01493482773796852
football,0.014574409572346354
tim,0.014484305030940814
her,0.014416726624886656
vraiment,0.0143491482188325
down,0.01430409594812973
why,0.013966203917858949
sorry,0.013943677782507564
riggins,0.013921151647156177
rien,0.013898625511804793
something,0.013853573241102021
saracen,0.013448102804777085
game,0.013357998263371543
who,0.013020106233100761
smash,0.012975053962397991
little,0.012952527827046605
over,0.012907475556343835
talk,0.012749792608884137
dit,0.012727266473532752
or,0.012502005120018898
alors,0.012366848307910586
taylor,0.012254217631153658
pourquoi,0.012209165360450887
accord,0.012028956277639804
love,0.011600959705963481
passe,0.011578433570612097
wanna,0.011488329029206554
work,0.011375698352449627
great,0.011263067675692701
guy,0.011240541540341315
parler,0.011240541540341315
team,0.01101528018682746
match,0.010902649510070535
would,0.01067738815655668
lyla,0.010587283615151138
cause,0.010519705209096982
from,0.010519705209096982
when,0.010519705209096982
night,0.010497179073745597
par,0.010474652938394212
could,0.010429600667691441
call,0.01038454839698867
his,0.01038454839698867
off,0.01038454839698867
tres,0.010271917720231743
falloir,0.010204339314177586
autre,0.010181813178826202
give,0.010069182502069274
try,0.010069182502069274
tyra,0.009934025689960962
jason,0.009911499554609576
gotta,0.009866447283906806
didn,0.00984392114855542
temp,0.009776342742501264
quelque,0.009618659795041565
meme,0.009460976847581869
our,0.009393398441527713
way,0.009393398441527713
play,0.009325820035473557
sure,0.009258241629419399
quand,0.00921318935871663
besoin,0.009123084817311087
then,0.009100558681959702
where,0.009078032546608317
pos,0.009055506411256931
equipe,0.00896540186985139
aussi,0.008942875734500004
school,0.008942875734500004
buddy,0.008785192787040307
too,0.008740140516337536
peu,0.00867256211028338
listen,0.008537405298175068
uh,0.008537405298175068
192,0.008514879162823681
baby,0.008514879162823681
honey,0.008514879162823681
mere,0.008492353027472296
croire,0.008402248486066754
salut,0.008402248486066754
car,0.008357196215363984
parle,0.008334670080012598
kid,0.008267091673958442
because,0.00822203940325567
donc,0.00822203940325567
dad,0.008109408726498745
julie,0.008109408726498745
hell,0.008064356455795974
job,0.008064356455795974
much,0.008041830320444587
voiler,0.008041830320444587
even,0.007996778049741818
happen,0.007974251914390431
day,0.007951725779039047
start,0.007951725779039047
deux,0.007929199643687662
maybe,0.007906673508336275
big,0.00783909510228212
dis,0.00783909510228212
year,0.00783909510228212
girl,0.007816568966930735
minute,0.007816568966930735
grand,0.007748990560876578
parce,0.007726464425525193
hear,0.007703938290173807
soir,0.007703938290173807
fille,0.007658886019471036
mec,0.00759130761341688
anything,0.00754625534271411
by,0.007523729207362724
bonne,0.007478676936659953
fine,0.007433624665957182
lot,0.007366046259903026
desole,0.007343520124551641
monsieur,0.007320993989200255
landry,0.0072984678538488695
ecoute,0.007253415583146099
maintenant,0.007140784906389172
nice,0.007140784906389172
should,0.007140784906389172
sir,0.007140784906389172
more,0.0070957326356864015
garrity,0.007073206500335016
home,0.007073206500335016
talke,0.00705068036498363
two,0.00705068036498363
understand,0.00705068036498363
gar,0.006938049688226704
please,0.006825419011469777
boy,0.006780366740767005
pere,0.006712788334712849
hello,0.006667736064010079
help,0.006667736064010079
any,0.006600157657955922
keep,0.006577631522604537
put,0.006419948575144839
jamais,0.006397422439793454
street,0.006397422439793454
place,0.0063748963044420685
run,0.006329844033739298
feel,0.0063073178983879125
san,0.0063073178983879125
wait,0.006284791763036527
jouer,0.006262265627685141
mom,0.0062397394923337565
question,0.0062397394923337565
encore,0.006217213356982371
quel,0.006149634950928215
passer,0.006127108815576829
peut,0.006127108815576829
god,0.006082056544874058
into,0.006059530409522673
ball,0.0060370042741712876
first,0.0060370042741712876
quarterback,0.0060370042741712876
stop,0.0060370042741712876
personne,0.006014478138819902
around,0.005991952003468516
again,0.0059694258681171316
everything,0.0059694258681171316
second,0.0059694258681171316
kind,0.005946899732765746
em,0.00592437359741436
essayer,0.005901847462062975
care,0.005834269056008819
house,0.005834269056008819
point,0.005834269056008819
ready,0.005834269056008819
ask,0.005811742920657433
meet,0.005789216785306048
ever,0.005766690649954663
cherie,0.005744164514603277
late,0.005744164514603277
williams,0.005744164514603277
mal,0.005721638379251891
long,0.005676586108549121
real,0.005676586108549121
other,0.005654059973197735
laisse,0.005631533837846351
texas,0.005631533837846351
ete,0.005586481567143579
touchdown,0.005586481567143579
toujours,0.005586481567143579
arrive,0.005563955431792194
etais,0.005563955431792194
never,0.005563955431792194
people,0.005563955431792194
rentrer,0.005541429296440809
truc,0.005541429296440809
beaucoup,0.005518903161089423
fois,0.005428798619683882
maison,0.005428798619683882
monde,0.005428798619683882
very,0.005428798619683882
vrai,0.005428798619683882
wrong,0.005428798619683882
bring,0.005406272484332496
trouver,0.005406272484332496
thought,0.00533869407827834
chez,0.0052485895368727985
moment,0.0052485895368727985
problem,0.0052485895368727985
tonight,0.0052485895368727985
lose,0.005226063401521413
damn,0.005203537266170027
important,0.005203537266170027
jour,0.005203537266170027
week,0.005203537266170027
chance,0.005158484995467257
cheri,0.005158484995467257
coming,0.005135958860115871
life,0.005135958860115871
last,0.005113432724764486
pretty,0.005113432724764486
super,0.005068380454061715
regarde,0.00504585431871033
hit,0.005023328183358944
nothing,0.004978275912656174
seul,0.004933223641953403
dieu,0.004865645235899246
money,0.004843119100547862
billy,0.004820592965196476
leave,0.004820592965196476
field,0.00479806682984509
new,0.00479806682984509
vie,0.00479806682984509
state,0.00475301455914232
appeler,0.004707962288439549
comprendre,0.004707962288439549
doit,0.004707962288439549
serum,0.004707962288439549
away,0.004662910017736778
eric,0.004662910017736778
friday,0.004640383882385393
aux,0.004617857747034007
left,0.004617857747034007
friend,0.0045953316116826215
part,0.0045953316116826215
trop,0.0045953316116826215
avant,0.0045277532056284655
etes,0.0045277532056284655
gagner,0.00450522707027708
probleme,0.00450522707027708
225,0.004482700934925695
bye,0.004482700934925695
than,0.004482700934925695
suppose,0.0044601747995743094
win,0.0044601747995743094
air,0.004437648664222924
arrete,0.004437648664222924
only,0.004437648664222924
every,0.004415122528871538
whole,0.0043925963935201534
actually,0.004370070258168768
apres,0.004370070258168768
boulot,0.004370070258168768
petit,0.004370070258168768
break,0.004325017987465997
mieux,0.004325017987465997
move,0.004325017987465997
next,0.004302491852114612
quelqu,0.004302491852114612
desolee,0.004279965716763226
reste,0.004279965716763226
sortir,0.0042574395814118406
watch,0.0042574395814118406
aider,0.004234913446060456
serious,0.004234913446060456
deja,0.0041898611753576846
doesn,0.0041898611753576846
papa,0.0041898611753576846
plait,0.0041898611753576846
semaine,0.0041898611753576846
family,0.0041222827693035285
stay,0.0041222827693035285
before,0.004099756633952143
commence,0.004099756633952143
guess,0.004099756633952143
terrain,0.004099756633952143
mccoy,0.004077230498600757
tard,0.004077230498600757
joue,0.0040547043632493725
change,0.004032178227897987
miss,0.004032178227897987
um,0.004032178227897987
attend,0.004009652092546601
parent,0.004009652092546601
cool,0.003987125957195216
excuse,0.003987125957195216
rester,0.003987125957195216
today,0.003987125957195216
use,0.003987125957195216
bonjour,0.003964599821843831
else,0.003964599821843831
pass,0.003964599821843831
thinke,0.003964599821843831
hard,0.003942073686492445
being,0.00391954755114106
throw,0.00391954755114106
hein,0.0038970214157896745
vas,0.003874495280438289
always,0.0038519691450869037
www,0.0038519691450869037
depuis,0.003829443009735518
might,0.003829443009735518
hand,0.003806916874384133
meilleur,0.003806916874384133
