Mot,Poids
be,0.40898475641926696
le,0.3351967511607213
you,0.27161303753848137
the,0.2540502726504969
un,0.2331538347976636
être,0.20912699672174048
to,0.1912389954469415
de,0.1904259044799052
je,0.16269950250396684
il,0.15839012037867436
it,0.14363251932696522
vous,0.14062408274893085
that,0.13989230087859816
on,0.12676088176096167
pa,0.117857535671914
ne,0.11639397193124863
he,0.11301964441804792
que,0.10940138961473632
have,0.10635229848835014
of,0.105498552972962
ce,0.09980691620370778
we,0.09736764330259884
son,0.0923671338553255
and,0.08948066092234658
avoir,0.08606567886079404
what,0.0841142605399069
this,0.08382967870144417
in,0.08139040580033523
eat,0.07842262377065268
do,0.07826000557724541
ca,0.07777215099702363
en,0.0656164410398307
tu,0.0622827680749818
faire,0.057160294982653015
qu,0.05545280395187675
they,0.05529018575846949
aller,0.05179389460021333
pouvoir,0.051143421826584275
know,0.05098080363317701
pour,0.049679858085918904
get,0.04813498524854991
walter,0.047687785216679934
for,0.04654945786282909
can,0.04553309415403369
no,0.044963930477108276
but,0.04406953041336833
qui,0.042524657575999325
mais,0.041183057480389404
not,0.040410621061704906
dans,0.03927229370785406
your,0.03923163915950224
there,0.03817462090235504
will,0.037849384515540506
don,0.03764611177378143
savoir,0.03719891174191146
du,0.03671105716168967
with,0.036629748064986034
so,0.03658909351663422
my,0.03618254803311606
tout,0.03593862074300517
as,0.034881602485857956
just,0.03484094793750614
sur,0.03419047516387708
agent,0.03272691142321172
moi,0.0311413840374909
ou,0.031100729489139087
etait,0.03106007494078727
elle,0.031019420392435455
voir,0.031019420392435455
go,0.030246983973750953
here,0.030125020328695507
all,0.03008436578034369
si,0.029677820296825533
bien,0.029393238458362822
peter,0.029352583910011006
if,0.028702111136381953
see,0.02817360200780835
yes,0.028092292911104717
she,0.0280516383627529
at,0.026669383718791163
think,0.026384801880328452
need,0.02634414733197664
etre,0.026181529138569373
nous,0.026181529138569373
vouloir,0.02601891094516211
one,0.025896947300106665
his,0.02565302000999577
like,0.025205819978125796
quoi,0.0249618926880149
plus,0.02467731084955219
how,0.024636656301200374
say,0.024514692656144928
dunham,0.024433383559441295
from,0.024026838075923138
right,0.023782910785812243
choose,0.02370160168910861
devoir,0.023579638044053164
avec,0.023538983495701347
her,0.023538983495701347
out,0.023254401657238636
au,0.022888510722072295
about,0.022197383400091426
tell,0.021384292433055112
non,0.02097774694953695
want,0.020449237820963348
look,0.0203272741759079
mon,0.02012400143414882
now,0.020083346885797004
