Mot,Poids
you,0.4387668653774744
be,0.42986912529632176
the,0.2440522993687583
le,0.23096461819118985
to,0.21359283993751088
it,0.17207005289213187
être,0.17061063520686343
that,0.15446288468921604
je,0.14942553977554762
un,0.14532975465882655
and,0.14283462119691603
on,0.12682810464881072
de,0.12499206304476336
have,0.11157483593826334
tu,0.10380696761344754
what,0.09989949445611596
my,0.09909916862871068
pa,0.09858131074038963
of,0.09608617727847911
in,0.09236701608053699
know,0.0874238271465633
get,0.08704720322778435
que,0.08601148745114225
do,0.08431667981663697
we,0.08337512001968961
eat,0.08224524826335276
this,0.07678420144105802
your,0.07282965029387907
gary,0.06906341110608959
for,0.06689782357311064
he,0.06477931402997905
ok,0.0644026901112001
all,0.0632257403650159
just,0.06317866237516852
don,0.06115430881173168
go,0.060918918862494835
with,0.058753331329515886
faire,0.056587743796536936
ce,0.05606988590821588
il,0.055504950030047455
right,0.05479878018233693
ca,0.05390429837523693
aller,0.05385722038538956
like,0.05164455486256324
no,0.05107961898439482
so,0.048443251552942185
yes,0.047972471654468496
not,0.04787831567477376
but,0.047548769745842184
out,0.046607209948894814
son,0.046136430050421125
can,0.04415915447683165
en,0.043029282720494805
pour,0.04255850282202112
here,0.04194648895400533
look,0.041193241116447434
she,0.04114616312660006
avoir,0.04053414925858428
as,0.03921596554285796
want,0.03893349760377375
allison,0.03879226363423164
will,0.038603951674842166
at,0.037756547857589536
up,0.03742700192865796
gonna,0.03709745599972637
qu,0.03700330002003164
ne,0.036814988060642165
they,0.03615589620277901
vous,0.03535557037537374
there,0.034366932588579
about,0.03413154263934216
good,0.033754918720563215
if,0.03309582686270005
guy,0.03206011108605795
hey,0.031165629278957944
savoir,0.03074192737033163
mon,0.030600693400789525
ton,0.030506537421094788
vouloir,0.03036530345155268
say,0.030176991492163206
come,0.029376665664757943
her,0.029329587674910573
pouvoir,0.02909419772567373
mais,0.02876465179674215
how,0.027964325969336887
moi,0.02725815612162636
avec,0.02721107813177899
one,0.027069844162236886
si,0.026551986273915834
tell,0.02608120637544215
see,0.02603412838559478
really,0.025845816426205304
tout,0.025751660446510567
think,0.02565750446681583
why,0.025610426476968463
well,0.025563348487121093
elle,0.025469192507426356
would,0.025233802558189515
let,0.024810100649563196
quoi,0.02452763271047899
dans,0.02438639874093688
du,0.024009774822157933
bien,0.023774384872921092
time,0.023586072913531618
make,0.022879903065821088
louise,0.022644513116584247
dad,0.022503279147042143
qui,0.022173733218110562
when,0.022126655228263195
thing,0.02127925141101056
oh,0.021090939451621087
mean,0.02071431553284214
take,0.02033769161406319
sur,0.020008145685131613
non,0.019913989705436876
now,0.019913989705436876
toi,0.0197256777460474
back,0.019301975837421083
plus,0.01878411794910003
kid,0.018642883979557923
tom,0.018360416040473716
didn,0.018077948101389504
etait,0.018077948101389504
dire,0.017701324182610556
his,0.017324700263831608
au,0.0171834662942895
great,0.017136388304442134
thank,0.017136388304442134
voir,0.017136388304442134
devoir,0.01694807634505266
sorry,0.01690099835520529
man,0.016194828507494763
comme,0.016147750517647396
over,0.015818204588715815
because,0.015206190720700025
could,0.015206190720700025
etre,0.014970800771463183
ou,0.014970800771463183
mama,0.014641254842531603
then,0.014452942883142129
who,0.014264630923752655
from,0.014170474944057918
oui,0.014123396954210549
se,0.01407631896436318
some,0.013982162984668443
something,0.013935084994821075
way,0.013935084994821075
little,0.0137467730354316
tommy,0.013605539065889495
call,0.013417227106500021
quand,0.013087681177568443
doing,0.012946447208026337
house,0.012946447208026337
need,0.012805213238484232
dit,0.012711057258789495
pourquoi,0.012569823289247389
where,0.012428589319705283
try,0.011863653441536861
love,0.011769497461842124
lui,0.011487029522757913
our,0.011487029522757913
by,0.011439951532910544
give,0.011110405603978966
accord,0.011063327614131598
choose,0.011016249624284229
or,0.011016249624284229
off,0.01096917163443686
put,0.01096917163443686
should,0.010875015654742123
divorce,0.01068670369535265
vraiment,0.01068670369535265
never,0.01063962570550528
too,0.010545469725810544
down,0.01035715776642107
hello,0.010310079776573701
venir,0.010310079776573701
god,0.010215923796878964
talk,0.010215923796878964
est,0.010121767817184227
alors,0.009980533847642121
day,0.009933455857794753
ex,0.009839299878100016
wait,0.009745143898405279
even,0.009650987918710541
team,0.009650987918710541
brook,0.009509753949168436
friend,0.009274363999931593
lot,0.009274363999931593
ici,0.009180208020236858
only,0.009180208020236858
vanessa,0.00913313003038949
aimer,0.00908605204054212
big,0.00908605204054212
mitch,0.00908605204054212
night,0.00908605204054212
sure,0.00908605204054212
merci,0.009038974050694752
minute,0.008944818071000015
prendre,0.008944818071000015
penser,0.008897740081152647
first,0.008850662091305278
into,0.00880358410145791
comment,0.008709428121763172
work,0.008709428121763172
year,0.008709428121763172
cause,0.008662350131915804
croire,0.008521116162373698
happen,0.00847403817252633
place,0.008426960182678961
thought,0.008426960182678961
mom,0.008379882192831593
super,0.008379882192831593
bon,0.008332804202984224
keep,0.008332804202984224
use,0.008332804202984224
juste,0.008285726213136856
please,0.008285726213136856
more,0.008238648223289487
show,0.008238648223289487
anything,0.008191570233442119
enfant,0.008191570233442119
mec,0.008191570233442119
start,0.008191570233442119
wrong,0.008191570233442119
new,0.008097414253747381
date,0.008050336263900013
walter,0.008003258274052644
kind,0.007956180284205276
krandall,0.007956180284205276
other,0.007956180284205276
very,0.007956180284205276
parce,0.007909102294357907
school,0.007909102294357907
help,0.007862024304510539
tres,0.00781494631466317
truc,0.00781494631466317
car,0.007579556365426328
people,0.007579556365426328
nous,0.00753247837557896
dieu,0.007485400385731591
rien,0.007485400385731591
still,0.007485400385731591
much,0.007438322395884223
paint,0.007438322395884223
maybe,0.007344166416189486
papa,0.007344166416189486
any,0.007297088426342117
long,0.007297088426342117
stuff,0.007250010436494749
girl,0.00720293244664738
addict,0.0070616984771052745
subs,0.0070616984771052745
dennis,0.007014620487257906
doesn,0.007014620487257906
leave,0.007014620487257906
passe,0.007014620487257906
before,0.006967542497410537
par,0.006967542497410537
etais,0.0068733865177158
ever,0.0068733865177158
fun,0.0068733865177158
home,0.0068733865177158
sasha,0.006779230538021063
last,0.006685074558326326
nice,0.006685074558326326
second,0.006685074558326326
marry,0.0066379965684789585
wife,0.0066379965684789585
femme,0.00659091857863159
meme,0.00659091857863159
than,0.00659091857863159
falloir,0.0065438405887842215
listen,0.0065438405887842215
cool,0.006496762598936853
desole,0.006496762598936853
gosh,0.006449684609089484
life,0.006402606619242116
every,0.006355528629394747
fois,0.006355528629394747
parler,0.006355528629394747
talke,0.006355528629394747
their,0.006308450639547379
autre,0.00626137264970001
old,0.00626137264970001
two,0.00626137264970001
hear,0.006214294659852642
jamais,0.006214294659852642
miss,0.006167216670005273
trop,0.006167216670005273
again,0.006120138680157905
meet,0.006120138680157905
pretty,0.006120138680157905
away,0.006073060690310536
around,0.005978904710615799
bring,0.005978904710615799
stay,0.005978904710615799
trouver,0.005978904710615799
name,0.0059318267207684305
quelque,0.0059318267207684305
room,0.0059318267207684305
woman,0.0059318267207684305
curtis,0.005884748730921062
aussi,0.005837670741073693
job,0.005790592751226325
voiler,0.005790592751226325
chez,0.005743514761378956
pere,0.005743514761378956
always,0.005696436771531588
together,0.005696436771531588
