Mot,Poids
be,0.40798653190633416
you,0.33003152357486676
le,0.276910365582941
être,0.22210774897427543
je,0.206664198294373
to,0.19969261218342876
the,0.1950362652447647
de,0.16486055022281126
un,0.1560910968216606
it,0.15367238327296567
that,0.15272817958818102
que,0.14760619795565055
il,0.1473863149057692
ne,0.14357069727547503
he,0.14183750147052787
vous,0.12958872216243103
pa,0.12698892845501025
ce,0.11433918593830625
and,0.10973457618784957
have,0.09537750646030208
tu,0.09191111485040772
do,0.08925958395477958
what,0.0885999348051355
eat,0.08711249064417337
know,0.08634936711811454
avoir,0.0799598243745033
qu,0.07901562068971865
on,0.07856292029290408
son,0.06998748134753112
ca,0.06994867845637559
of,0.06978053259470161
she,0.06871992023645035
this,0.06780158514576938
elle,0.06467148525922299
faire,0.06283481507786105
in,0.0626149320279797
just,0.05976938667657389
en,0.05842421978318205
we,0.057480016098397396
they,0.05641940374014614
savoir,0.05343158112117004
my,0.052784866268577806
don,0.05181479398968946
aller,0.0504049556110384
but,0.04971943786729063
no,0.04951248911446112
so,0.049473686223305585
for,0.048995117232387336
get,0.048982182935335496
can,0.04851654824146909
pouvoir,0.04759821315078812
pour,0.04664107516895162
not,0.04616250617803337
tout,0.04587795164289279
her,0.04570980578121881
qui,0.04334282942073125
mais,0.04184245096271728
ok,0.041299210486539804
yes,0.04120867040717689
your,0.041182801813073204
vouloir,0.04115693321896951
go,0.03907451139362253
there,0.03850540232334137
all,0.03769054160907516
about,0.03738011847983089
like,0.037056761053534774
with,0.0368886151918608
etait,0.036720469330186814
see,0.036384177606838854
want,0.03622896604221672
moi,0.03502607641639517
tell,0.03502607641639517
voir,0.033383420690810905
oh,0.03274964013527052
right,0.03273670583821868
here,0.03252975708538917
si,0.03238747981781887
non,0.031624356291760046
say,0.03124926167725655
dans,0.030951772845064125
if,0.0308871013598049
bien,0.0296971460310352
will,0.029503131575257528
as,0.02894695680202821
think,0.028895219613820834
out,0.028390782028798894
well,0.028119161790710157
lui,0.028067424602502777
look,0.027886344443776953
how,0.02779580436441404
why,0.02736897256170317
dire,0.0271749581059255
etre,0.027071483729510744
avec,0.02545469659803017
ou,0.02480798174543794
choose,0.024432887130934448
est,0.024174201189897555
at,0.024083661110534643
come,0.024083661110534643
one,0.023579223525512703
who,0.02348868344614979
mon,0.0233464061785795
oui,0.0233464061785795
ghost,0.022143516552757952
sur,0.02213058225570611
melinda,0.022040042176343196
plus,0.021923633502876592
his,0.021897764908772904
du,0.021587341779528636
dit,0.021509735997217568
mean,0.021225181462076987
nous,0.020888889738729027
really,0.02086302114462534
now,0.020837152550521647
up,0.020552598015381066
good,0.020410320747810778
quoi,0.020125766212670194
didn,0.020074029024462817
devoir,0.019763605895218545
make,0.0196342629247001
penser,0.01954372284533719
comme,0.01942731417187059
thing,0.01937557698366321
when,0.019091022448522628
could,0.018379636110671175
pourquoi,0.018353767516567487
se,0.018185621654893507
au,0.01803041009027137
something,0.017952804307960302
would,0.01721554937600516
time,0.016943929137916425
mort,0.016775783276242445
quelque,0.0167628489791906
from,0.01673698038508691
help,0.016439491552894484
or,0.016400688661738952
ton,0.016361885770583416
mama,0.01631014858237604
gonna,0.01589625107671701
maybe,0.01589625107671701
alors,0.015741039512094875
croire,0.01530127341233216
sorry,0.015262470521176626
hey,0.01510725895655449
back,0.0148485730155176
toi,0.01479683582731022
need,0.014783901530258376
vraiment,0.014745098639102842
take,0.014447609806910417
let,0.014357069727547505
happen,0.014344135430495659
because,0.014175989568821679
never,0.014072515192406923
then,0.013826763548421876
jim,0.013723289172007118
ici,0.013710354874955274
some,0.013710354874955274
try,0.013710354874955274
quand,0.013645683389696052
venir,0.013180048695829645
where,0.013141245804674111
juste,0.013037771428259355
comment,0.012973099943000133
too,0.012908428457740909
rien,0.01268854540785955
sure,0.012610939625548483
autre,0.01240399087271897
talk,0.012365187981563436
die,0.01226171360514868
love,0.01226171360514868
parler,0.012171173525785768
jamais,0.012119436337578388
guy,0.01192542188180072
over,0.011821947505385963
peut,0.01175727602012674
wait,0.011640867346660139
trouver,0.011446852890882469
meme,0.011291641326260335
aimer,0.011265772732156645
call,0.011239904138052956
way,0.011188166949845578
uh,0.01077426944418655
thank,0.010644926473668104
etes,0.010580254988408882
people,0.010528517800201503
even,0.010450912017890435
parce,0.010334503344423833
little,0.010308634750320145
passe,0.010295700453268301
find,0.010037014512231409
please,0.010037014512231409
aussi,0.010024080215179563
thought,0.00998527732402403
toujours,0.009972343026972185
pere,0.009700722788883448
anything,0.009687788491831604
feel,0.009687788491831604
maintenant,0.009636051303624226
tres,0.009610182709520536
essayer,0.009467905441950246
much,0.009416168253742868
more,0.0093385624714318
keep,0.009248022392068888
mere,0.00917041660975782
dead,0.009157482312705975
fantome,0.009041073639239373
by,0.008937599262824617
give,0.008924664965772773
hear,0.008924664965772773
par,0.008872927777565395
minute,0.008821190589358017
accord,0.008717716212943259
aider,0.008640110430632193
etais,0.008640110430632193
should,0.008588373242424813
still,0.008549570351269279
remember,0.008510767460113746
font,0.008433161677802678
night,0.008394358786647144
personne,0.008394358786647144
ete,0.008329687301387922
merci,0.008329687301387922
mom,0.008329687301387922
work,0.00823914722202501
friend,0.008200344330869476
prendre,0.008200344330869476
any,0.008148607142662096
quelqu,0.008058067063299184
day,0.008019264172143652
believe,0.00792872409278074
stop,0.007915789795728894
ned,0.007864052607521516
only,0.007838184013417827
into,0.007760578231106759
besoin,0.007747643934054914
temp,0.007721775339951225
bon,0.007605366666484624
doesn,0.007592432369432779
away,0.00756656377532909
everything,0.00756656377532909
other,0.00756656377532909
doing,0.007540695181225401
encore,0.007514826587121712
kid,0.007488957993018022
before,0.007437220804810644
peu,0.007437220804810644
hello,0.007411352210706955
name,0.007385483616603266
talke,0.007359615022499577
um,0.007243206349032975
vie,0.007191469160825597
always,0.0071656005667219075
arrive,0.0071009290814626844
deux,0.007075060487358995
ouais,0.007075060487358995
house,0.006971586110944238
vrai,0.006971586110944238
cause,0.00691984892273686
dad,0.006855177437477637
year,0.006842243140425792
down,0.00675170306106288
seul,0.006725834466959191
