Mot,Poids
be,0.39047009217959733
you,0.32802381007122083
le,0.30771068548577407
être,0.2510107472264953
je,0.24170809966659235
de,0.18768041221825763
tu,0.1855506484140466
to,0.1827980291576606
un,0.1758662507382945
que,0.17405796071585117
the,0.16375070758792415
ne,0.15906924564093197
pa,0.15302152012142706
it,0.12750453869361555
and,0.11394236352529054
eat,0.11255600784141732
ce,0.11010477025543858
that,0.09819014821867306
on,0.09274518603998257
il,0.09244380436957535
have,0.09033413267672478
faire,0.07227132456365193
pour,0.06967944219814981
ca,0.06748940205985733
do,0.06736884939169445
of,0.06694691505312433
what,0.06590212526237929
avoir,0.06537973036700677
qu,0.06477696702619233
we,0.06455595380122703
en,0.06431484846490125
know,0.06103983431314277
he,0.06009550507920014
aller,0.0600352287451187
my,0.059713754963351
son,0.05708168837512792
this,0.05676021459336022
for,0.05563505635717325
in,0.054027687448334735
as,0.053002989768950175
your,0.051616634085076954
no,0.049044843830935325
vous,0.048663093715086175
mais,0.048522448935562804
just,0.04834161993331847
not,0.048100514596992695
oh,0.04779913292658547
but,0.047457567033457285
pouvoir,0.04737719858801536
savoir,0.04729683014257343
tout,0.04627213246318888
so,0.045950658681421175
with,0.04484559255659469
elle,0.04460448722026891
vouloir,0.044242829215780245
ton,0.043037302534151355
get,0.042776105086465094
don,0.04249481552741836
avec,0.0414701178480338
moi,0.0412491046230685
si,0.04094772295266128
blair,0.040083762164160576
serena,0.03942072248926469
will,0.03905906448477602
yes,0.03845630114396158
she,0.03797409047131002
can,0.037612432466821354
go,0.03747178768729798
bien,0.03696948490328594
etre,0.03395566819921372
about,0.03335290485839928
non,0.03329262852431783
qui,0.03287069418574772
well,0.032649680960782426
like,0.0323482992903752
want,0.03138387794507209
mon,0.030399364488408496
her,0.0301783512634432
toi,0.02973632481351261
plus,0.029655956368070682
if,0.029314390474942498
all,0.029173745695419126
chuck,0.029133561472698164
devoir,0.029093377249977202
dire,0.02867144291140709
sur,0.027767297900185423
voir,0.027707021566103978
nous,0.027646745232022533
dans,0.027124350336650015
here,0.02680287655488231
at,0.026782784443521827
tell,0.02652158699583557
out,0.025959007877742087
penser,0.025959007877742087
dan,0.025677718318695347
au,0.025617441984613902
good,0.02557725776189294
etait,0.025516981427811496
du,0.02543661298236957
ou,0.0247534811961132
uh,0.02451237585978742
right,0.0242109941893802
nate,0.024190902078019716
say,0.023407309734960937
see,0.023246572844077086
they,0.02302555961911179
choose,0.022945191173669863
okay,0.02276436217142553
think,0.022583533169181196
est,0.02232233572149494
hey,0.022181690941971567
look,0.022181690941971567
mama,0.022141506719250605
there,0.021739664492040973
up,0.021619111823878087
one,0.021478467044354715
quoi,0.021297638042110382
girl,0.021096716928505566
jenny,0.020554229921772565
come,0.020232756140004863
comme,0.0201925719172839
how,0.019991650803679085
dit,0.019730453355992824
se,0.019730453355992824
lui,0.019308519017422712
now,0.019208058460620306
