Mot,Poids
be,0.39428441413468895
le,0.3533986586648701
you,0.30538375881445023
être,0.2590555650477688
the,0.21274986069553717
un,0.21081577105285046
je,0.1991212755389309
de,0.19534305391135687
to,0.1891134861087497
pa,0.14593381036504657
on,0.14388727365011067
it,0.14260537702646947
tu,0.13102332858479912
que,0.12357933240190029
and,0.11815938351948756
that,0.1125820087359259
eat,0.11067040850768906
we,0.10333885939703946
have,0.096861908035484
of,0.08649428797410529
ce,0.08235623571533374
il,0.07612666791272657
ca,0.07383274763884234
faire,0.07250587218630146
pour,0.07248338277185162
ne,0.07072920844476367
do,0.07021195191241723
en,0.06893005528877605
what,0.06782807398073362
this,0.06632128321259399
in,0.06427474649765806
for,0.062070783881573215
avoir,0.06058648252788342
aller,0.058045178695050895
son,0.0563134937824128
my,0.05586370549341589
get,0.053322401660583364
he,0.05260274039818831
as,0.052332867424790167
know,0.05217544152364125
with,0.05215295210919141
qu,0.05206299445139202
not,0.051185907287848054
so,0.051095949630048675
just,0.05003894715090594
your,0.04911688115846228
pouvoir,0.04814983633711893
can,0.044731445340742436
but,0.04365195344714986
vous,0.04353950637490063
mais,0.04317967574370311
avec,0.04306722867145388
vouloir,0.042370056823508674
no,0.041560437903314235
go,0.04050343542417151
don,0.039693816503977075
like,0.039671327089527225
about,0.039019134070481715
tout,0.038996644656031865
si,0.037872173933539595
savoir,0.03739989623009284
ton,0.036860150283296554
will,0.03647783023764919
all,0.03596057370530274
etre,0.03584812663305351
qui,0.03573567956080429
moi,0.03546580658740615
elle,0.035060997127308924
du,0.03422888879266465
plus,0.034093952305965576
she,0.03323935455687145
want,0.03135024374308444
they,0.031147839013035833
out,0.030765518967388463
dans,0.03000087887609372
good,0.029775984731595265
right,0.02955109058709681
up,0.029348685857048203
devoir,0.02838164103570485
if,0.0281567468912064
mon,0.027841895088908563
think,0.02748206445771104
bien,0.027054765583163977
toi,0.027054765583163977
sur,0.026087720761820626
at,0.02543552774277511
voir,0.025278101841626193
one,0.024940760624878513
au,0.024873292381528977
quoi,0.02485080296707913
yes,0.024401014678082224
guy,0.024288567605832995
nous,0.024153631119133923
non,0.024086162875784387
etait,0.023771311073486553
here,0.023703842830137017
ou,0.023411480442289027
comme,0.023074139225541346
casey,0.023029160396641657
there,0.023029160396641657
her,0.022421946206495832
how,0.022309499134246603
dire,0.022242030890897067
really,0.022197052061997378
see,0.02165730611520109
say,0.02145490138515248
make,0.021297475484003563
penser,0.020802708366106964
evan,0.02019549417596114
cappie,0.019768195301414077
now,0.019678237643614697
ok,0.01956579057136547
gonna,0.01952081174246578
come,0.019093512867918716
our,0.018936086966769797
who,0.018936086966769797
look,0.018778661065620882
let,0.01835136219107382
se,0.018283893947724283
why,0.01814895746102521
rusty,0.017744148000927995
tell,0.017429296198630158
need,0.01738431736973047
pourquoi,0.01668714552178526
time,0.016282336061688045
mama,0.0160124630882899
vraiment,0.015944994844940365
dit,0.015855037187140982
or,0.015787568943791446
when,0.01572010070044191
zbz,0.01563014304264253
back,0.015427738312593921
