Mot,Poids
be,0.39025412510730517
you,0.36155298445812045
le,0.3188483681794335
être,0.24344503786672966
je,0.22398379737649846
to,0.18616244439425333
un,0.18384050057192564
de,0.16974127468170894
tu,0.16399625903883627
the,0.16339781990937036
ne,0.14697665019682596
pa,0.1420215742048483
que,0.13742556169055015
it,0.1276590350976666
il,0.12617490605659115
ce,0.11291349494762673
vous,0.10886804643243722
that,0.10618703913242997
on,0.0954869474975796
have,0.09419431897793326
he,0.09254262698060736
we,0.08706092455469969
do,0.08663004838148423
eat,0.08507410664487289
and,0.08505016907969425
what,0.08141165917254155
faire,0.08069353221718246
pouvoir,0.07688745935377932
this,0.07437401501002253
ca,0.07116638127608528
of,0.0707833802332271
son,0.06855718667161394
avoir,0.06606767989303577
aller,0.0643681127653526
en,0.062022231377846265
in,0.05812040825372858
qu,0.05800072042783539
my,0.05754590668944131
your,0.05709109295104722
know,0.056612341647474494
pour,0.056396903560866775
can,0.05601390251800859
tout,0.053165332261750894
as,0.04885657052959638
get,0.0486650700081673
don,0.047468191749235486
not,0.046343126185839585
no,0.04466749662333506
moi,0.04445205853672733
for,0.04428449558047688
savoir,0.04351849349476052
nous,0.04145986288939781
just,0.041316237498326
they,0.04122048723761145
qui,0.03913791906707011
ton,0.038898543415283746
will,0.037893165677781025
vouloir,0.037845290547423756
go,0.037653790025994664
all,0.0362175361152765
mais,0.035666972116167865
but,0.03420678064027106
mon,0.033560466380447886
si,0.03322534046794698
dans,0.03176514899205017
here,0.03147789820990654
so,0.03071189612419018
etre,0.030137394559902914
with,0.030065581864367006
elle,0.03004164429918837
about,0.029443205169722465
bien,0.028749015779542017
plus,0.02810270151971884
want,0.02810270151971884
like,0.02805482638936157
there,0.027719700476860662
ou,0.02762395021614612
devoir,0.0274803248250743
toi,0.02736063699918112
claire,0.02724094917328794
right,0.026786135434893853
out,0.026474947087571584
non,0.02618769630542795
how,0.025230193698282503
gonna,0.024703567264352508
voir,0.024679629699173873
she,0.024081190569707967
est,0.023961502743814787
if,0.023937565178636152
du,0.02388969004827888
need,0.02388969004827888
now,0.02374606465720706
come,0.02331518848399161
see,0.02281249961524025
comme,0.022525248833096617
quoi,0.02214224779023844
one,0.022046497529523895
yes,0.021998622399166622
sur,0.021974684833987988
tell,0.021807121877737534
make,0.021424120834879355
her,0.021328370574164812
avec,0.020945369531306633
good,0.020801744140234814
who,0.020801744140234814
think,0.020538430923269818
etait,0.02046661822773391
choose,0.020418743097376638
mama,0.020107554750054366
say,0.01960486588130301
peter,0.019509115620588463
ici,0.01915005214290892
up,0.01910217701255165
lui,0.019054301882194376
take,0.018743113534872107
back,0.0186713008393362
dire,0.018551613013443016
why,0.018503737883085746
look,0.01828829979647802
comment,0.017833486058083933
pourquoi,0.0175462352759403
se,0.017426547450047118
au,0.01716323423308212
nathan,0.01716323423308212
penser,0.01697173371165303
let,0.01637329458218713
dit,0.016253606756293948
okay,0.01622966919111531
pere,0.01591848084379304
time,0.015894543278614403
oh,0.015870605713435768
venir,0.015391854409863044
his,0.015320041714327137
trouver,0.0152961041491485
from,0.015200353888433956
where,0.015200353888433956
help,0.015128541192898047
hiro,0.01510460362771941
at,0.015008853367004867
could,0.01467372745450396
people,0.01467372745450396
rien,0.014458289367896235
kill,0.014386476672360328
thing,0.014003475629502148
sylar,0.013979538064323511
oui,0.013859850238430331
when,0.01374016241253715
juste,0.013381098934857609
matt,0.013165660848249883
vie,0.013141723283071246
something,0.013069910587535339
stop,0.013022035457178066
alors,0.012806597370570341
quelque,0.012758722240213068
find,0.01268690954467716
didn,0.012662971979498524
croire,0.012591159283962615
would,0.012543284153605344
well,0.012519346588426707
besoin,0.011968782589318076
sauver,0.011896969893782167
autre,0.01175334450271035
try,0.01175334450271035
maintenant,0.011681531807174442
man,0.011681531807174442
quand,0.011681531807174442
prendre,0.01163365667681717
monde,0.011609719111638533
etes,0.01101127998217263
our,0.01101127998217263
or,0.010963404851815357
really,0.010963404851815357
sorry,0.010915529721458084
par,0.010867654591100813
temp,0.010867654591100813
jamais,0.010843717025922177
way,0.010676154069671723
life,0.01062827893931445
then,0.010556466243778543
meme,0.010532528678599907
vraiment,0.010484653548242634
happen,0.010364965722349453
mean,0.010293153026813546
personne,0.010125590070563092
aider,0.010101652505384456
father,0.01007771494020582
petrelli,0.010005902244669912
dad,0.009981964679491275
never,0.009981964679491275
