Mot,Poids
le,0.387891407614583
be,0.3353134933553984
you,0.281011713054929
un,0.2692571014859187
être,0.25048850996143107
the,0.21325300346968062
de,0.19891259283874319
vous,0.1867377889221697
pa,0.17218189503607165
to,0.15757213033618345
je,0.1551587178783848
ne,0.14816628624842357
it,0.14036579241161012
il,0.14001024504059514
on,0.12488332052832153
son,0.11788011473560227
que,0.11326877307516559
he,0.10045829355586834
eat,0.09615940261541452
avoir,0.09510353466512761
that,0.09361670020451952
have,0.09082619205018985
ca,0.08370447046713225
and,0.08231460347134643
we,0.07935170871288828
ce,0.07552688093378776
faire,0.07408314312421178
of,0.07275792110497414
do,0.06964418806790358
tu,0.06864219093140682
in,0.0646018798971457
qu,0.06330898036618215
en,0.0630719487855055
pour,0.06258711146139416
elle,0.06108950283802805
not,0.05887002530987394
get,0.05823434970715019
aller,0.05792189898716733
pouvoir,0.05672596692102604
what,0.05663977361896181
your,0.0536553305349876
she,0.05032611424275644
for,0.048537603224923516
no,0.0472231553684439
si,0.046468963975381826
her,0.04624270655746321
this,0.04567167593128763
can,0.043710778309326244
if,0.03908866248613153
du,0.03902401750958335
don,0.03833447109306945
with,0.03737557060760481
qui,0.03689073328349348
my,0.03670757251660697
tout,0.03625505768076973
vouloir,0.03609344523939929
mais,0.035533188775981744
just,0.03522073805599889
dans,0.03514531891669268
know,0.034897513173257996
house,0.03481131987119376
they,0.03456351412775908
plus,0.03365848445608459
etre,0.03308745382990902
will,0.03245177822718527
his,0.03241945573891118
but,0.03168681267136517
as,0.03167603850860713
ou,0.03121274951001186
so,0.029898301653532244
sur,0.028389918867408097
patient,0.027872759055022674
savoir,0.02771114661365223
non,0.02765727579986208
go,0.027237083452298926
lui,0.027161664312992717
there,0.027161664312992717
bien,0.027053922685412422
moi,0.026967729383348182
out,0.02677379445370365
avec,0.02618121550201202
etait,0.02583644229375507
want,0.025319282481369648
up,0.024791348506226198
about,0.024748251855194078
good,0.024306511182114864
au,0.023950963811099884
voir,0.02347690064974658
gonna,0.02346612648698855
all,0.02321832074355387
think,0.02231329107187938
devoir,0.022227097769815143
right,0.022097807816718787
like,0.02202238867741258
one,0.021569873841575334
or,0.021278971447108535
need,0.0211927781450443
why,0.02112813316849612
make,0.02111735900573809
say,0.020804908285755232
mon,0.020729489146449023
could,0.020352393449917985
cause,0.020320070961643896
dire,0.020093813543725275
se,0.01996452359062892
rien,0.019921426939596802
pourquoi,0.019544331243065764
tell,0.019501234592033644
penser,0.01909181640722852
how,0.019005623105164283
ton,0.017982077643151465
here,0.01790665850384526
at,0.017885110178329198
autre,0.01755111113283028
test,0.017508014481798163
nous,0.017421821179733926
etes,0.017206337924573333
yes,0.01693698385562259
dit,0.016484469019785345
quoi,0.016312082415656872
comme,0.015956535044641895
dr,0.015859567579819628
because,0.015838019254303566
see,0.015741051789481302
would,0.0154501493950145
take,0.015234666139853907
didn,0.015137698675031641
choose,0.015040731210209374
prendre,0.014771377141258634
quand,0.014545119723340012
look,0.014394281444727597
time,0.014221894840599122
from,0.014135701538534886
wrong,0.013866347469584143
when,0.013855573306826114
give,0.013737057516487789
who,0.013715509190971729
now,0.0137047350282137
juste,0.012972091960667684
back,0.012928995309635566
mama,0.012832027844813299
par,0.01278893119378118
foreman,0.012551899613104529
cancer,0.012454932148282262
okay,0.01219635224208955
trouver,0.012131707265541372
something,0.012120933102783343
meme,0.011959320661412897
come,0.011851579033832601
doesn,0.011711514917978217
some,0.011657644104188068
then,0.01160377329039792
donc,0.011517579988333682
oh,0.011474483337301564
work,0.011409838360753386
thing,0.011399064197995357
more,0.01131287089593112
deux,0.011108161803528556
well,0.01100042017594826
which,0.010978871850432202
infection,0.01096809768767417
quelque,0.01073106610699752
alors,0.01072029194423949
should,0.01069874361872343
cuddy,0.010580227828385105
by,0.010504808689078897
let,0.010494034526320868
guy,0.010461712038046779
peut,0.010440163712530719
aimer,0.010278551271160275
symptom,0.010170809643579979
way,0.010160035480821948
any,0.01013848715530589
heart,0.01011693882978983
venir,0.010073842178757711
aussi,0.010041519690483622
raison,0.010030745527725593
oui,0.010009197202209533
two,0.009890681411871207
people,0.00979371394704894
est,0.009782939784290911
comment,0.009696746482226674
blood,0.009610553180162436
die,0.00949203738982411
croire,0.009395069925001845
only,0.009384295762243814
sure,0.009287328297421548
vie,0.00925500580914746
toujours,0.00924423164638943
falloir,0.009190360832599281
toi,0.009104167530535045
problem,0.009061070879502926
temp,0.009061070879502926
off,0.008985651740196717
doit,0.00891023260089051
brain,0.00889945843813248
start,0.00889945843813248
mal,0.008845587624342333
maybe,0.008845587624342333
parce,0.008834813461584302
really,0.008802490973310213
san,0.008737845996762037
other,0.008705523508487948
call,0.008694749345729919
too,0.008597781880907651
besoin,0.008565459392633562
probleme,0.008511588578843415
nothing,0.008490040253327355
parler,0.008468491927811295
down,0.008425395276779176
mourir,0.008425395276779176
wilson,0.008371524462989029
year,0.008371524462989029
still,0.00828533116092479
try,0.008242234509892673
jamais,0.008209912021618583
bon,0.008156041207828436
doing,0.008102170394038287
pain,0.008102170394038287
into,0.008080622068522229
never,0.00803752541749011
aucun,0.007983654603699961
where,0.007951332115425872
mieux,0.007940557952667843
ici,0.007908235464393754
mean,0.007875912976119665
avant,0.007865138813361636
doctor,0.007865138813361636
means,0.00773584886026528
sorry,0.0076281072326849836
than,0.0076173330699269536
quel,0.007606558907168924
chase,0.007585010581652865
kid,0.007552688093378776
anything,0.007541913930620746
car,0.007531139767862717
aux,0.007466494791314539
life,0.0074126239775243906
ete,0.007401849814766361
lie,0.007391075652008331
encore,0.007369527326492272
even,0.007358753163734242
cameron,0.007240237373395917
seul,0.007240237373395917
peu,0.007175592396847738
normal,0.00714326990857365
over,0.00714326990857365
sing,0.007121721583057591
coeur,0.007100173257541531
stop,0.007067850769267443
mort,0.006981657467203205
vraiment,0.006917012490655027
keep,0.006895464165138968
find,0.006884690002380939
day,0.006863141676864879
femme,0.006863141676864879
our,0.006820045025832761
quelqu,0.006712303398252464
cerveau,0.006690755072736405
personne,0.006679980909978375
fine,0.006658432584462316
apres,0.006647658421704287
trop,0.006647658421704287
change,0.006615335933430198
little,0.006464497654817783
point,0.006453723492059753
moins,0.006410626841027635
minute,0.0063675301899955156
long,0.0063567560272374864
sou,0.0063459818644794564
kill,0.006324433538963397
fois,0.006313659376205368
before,0.006292111050689308
chance,0.006270562725173249
deja,0.006227466074141131
passe,0.0061843694231090126
cas,0.006119724446560834
care,0.006108950283802804
question,0.006098176121044775
drug,0.006076627795528716
bonne,0.006011982818980538
feel,0.006011982818980538
thought,0.006011982818980538
maintenant,0.005904241191400241
love,0.005818047889336005
tres,0.005807273726577975
help,0.005796499563819945
much,0.005785725401061916
essayer,0.005753402912787827
new,0.005742628750029797
talk,0.0057210804245137374
donne,0.005699532098997678
parent,0.005699532098997678
chez,0.005677983773481619
use,0.005677983773481619
happen,0.005602564634175412
god,0.005591790471417382
jour,0.005581016308659353
merci,0.005581016308659353
expliquer,0.005559467983143294
everything,0.005537919657627234
depuis,0.0055271454948692044
isn,0.0055271454948692044
old,0.0055163713321111744
might,0.005505597169353145
case,0.005484048843837085
douleur,0.005440952192804967
heure,0.005419403867288908
thank,0.005397855541772849
ouais,0.005333210565224671
celui,0.0053116622397086114
traiteming,0.0053116622397086114
parle,0.005290113914192552
put,0.005268565588676493
being,0.005257791425918463
truc,0.005203920612128315
examen,0.005193146449370286
else,0.005182372286612256
maladie,0.005182372286612256
etais,0.005128501472822108
bad,0.005117727310064078
job,0.0051069531473060484
someone,0.0051069531473060484
gen,0.0050961789845480185
last,0.0050961789845480185
three,0.005074630659031959
accord,0.00506385649627393
hour,0.0050530823335159
mere,0.00504230817075787
ni,0.005031534007999841
check,0.005009985682483782
sick,0.004988437356967722
lung,0.004934566543177575
vrai,0.004923792380419545
place,0.004913018217661515
poumon,0.0049022440549034854
desole,0.0048914698921454555
wait,0.004869921566629396
wouldn,0.004869921566629396
liver,0.004859147403871366
dieu,0.004848373241113337
idiot,0.004848373241113337
part,0.004848373241113337
again,0.004837599078355307
explain,0.004837599078355307
serum,0.004837599078355307
actually,0.004816050752839248
malade,0.004816050752839248
show,0.004816050752839248
wasn,0.004816050752839248
home,0.004805276590081218
mentir,0.004805276590081218
either,0.004783728264565159
their,0.004783728264565159
first,0.00477295410180713
run,0.004751405776291071
medical,0.004708309125258952
air,0.0046975349625009225
donner,0.0046867607997428925
tete,0.004665212474226833
tuer,0.004600567497678655
sortir,0.004546696683888507
leave,0.0044820517073403295
tumeur,0.0044820517073403295
ask,0.004417406730792151
reason,0.004406632568034122
won,0.004385084242518063
enough,0.004363535917002003
every,0.004352761754243974
monde,0.004320439265969885
foie,0.004309665103211856
appeler,0.004288116777695796
through,0.004288116777695796
lot,0.0042773426149377665
another,0.0042665684521797365
great,0.004255794289421707
away,0.004234245963905647
also,0.004223471801147618
reste,0.004201923475631559
pere,0.00416960098735747
arrive,0.004137278499083381
dis,0.004137278499083381
laisser,0.004137278499083381
move,0.004137278499083381
less,0.004115730173567322
talke,0.004104956010809292
gotta,0.0040726335225352035
idea,0.0040618593597771735
petit,0.0040618593597771735
treatment,0.0040618593597771735
after,0.0040510851970191435
always,0.0040510851970191435
hurt,0.004040311034261114
already,0.004007988545987025
demande,0.004007988545987025
six,0.003997214383228996
aider,0.003986440220470966
sleep,0.003975666057712936
mauvais,0.003921795243922788
chercher,0.0039002469184067287
head,0.0038786985928906696
man,0.0038786985928906696
enfant,0.00386792443013264
attendre,0.0038571502673746105
night,0.0038571502673746105
room,0.0038571502673746105
assez,0.0038248277791005213
rester,0.003803279453584462
treat,0.0037925052908264326
figure,0.003781731128068403
without,0.003770956965310373
hand,0.0037601828025523435
important,0.003749408639794314
type,0.003727860314278255
diagnostic,0.0037063119887621953
around,0.0036955378260041657
big,0.0036955378260041657
commence,0.0036955378260041657
nice,0.0036955378260041657
biopsie,0.003684763663246136
left,0.003684763663246136
week,0.003684763663246136
sauver,0.003663215337730077
biopsy,0.0036416670122140175
wanna,0.003630892849455988
lose,0.0036201186866979583
tort,0.0036201186866979583
believe,0.003598570361181899
dead,0.003598570361181899
hospital,0.003598570361181899
save,0.003598570361181899
hear,0.003587796198423869
irm,0.003587796198423869
travail,0.003587796198423869
different,0.00356624787290781
nouveau,0.00356624787290781
partir,0.00356624787290781
probably,0.00356624787290781
drogue,0.0035554737101497805
next,0.0035554737101497805
passer,0.0035554737101497805
semaine,0.0035554737101497805
very,0.0035554737101497805
docteur,0.003544699547391751
same,0.003544699547391751
10,0.003512377059117662
meilleur,0.003512377059117662
hey,0.0035016028963596323
mettre,0.0035016028963596323
mom,0.0035016028963596323
idee,0.003480054570843573
possible,0.003480054570843573
cardiaque,0.003447732082569484
fille,0.003426183757053425
ami,0.0034154095942953953
medecin,0.0034154095942953953
pendant,0.0034154095942953953
screw,0.0034046354315373658
baby,0.0033938612687793358
beaucoup,0.0033938612687793358
live,0.0033938612687793358
rate,0.0033938612687793358
please,0.0033830871060213062
tumor,0.0033723129432632767
uh,0.003361538780505247
surgery,0.0033507646177472175
continue,0.0033399904549891875
kidney,0.0033399904549891875
wife,0.0033399904549891875
interest,0.003329216292231158
perdre,0.0033184421294731284
answer,0.003307667966715099
turn,0.003307667966715099
both,0.0032968938039570693
trois,0.0032968938039570693
œil,0.0032968938039570693
clean,0.0032861196411990397
body,0.0032753454784410097
ever,0.0032753454784410097
marche,0.00326457131568298
month,0.00326457131568298
friend,0.003243022990166921
syndrome,0.003243022990166921
stay,0.003221474664650862
fire,0.003210700501892832
hopital,0.003210700501892832
boulot,0.0031999263391348023
woman,0.0031891521763767728
steroid,0.0031783780136187432
medicament,0.0031676038508607137
scan,0.003156829688102684
send,0.003156829688102684
certain,0.003146055525344654
disease,0.003146055525344654
matt,0.003146055525344654
nouvelle,0.0031352813625866245
suppose,0.0031352813625866245
ago,0.0031137330370705654
main,0.0031137330370705654
reaction,0.0031137330370705654
laisse,0.003102958874312536
negative,0.0030921847115545063
20,0.0030814105487964763
jambe,0.0030814105487964763
kind,0.0030706363860384467
peur,0.0030706363860384467
devenir,0.0030490880605223876
worry,0.003038313897764358
cote,0.003027539735006328
dad,0.003027539735006328
few,0.0030167655722482985
guess,0.0030167655722482985
meet,0.0030167655722482985
sens,0.0030167655722482985
sign,0.0030167655722482985
fievre,0.003005991409490269
moment,0.0029952172467322393
sauf,0.0029952172467322393
since,0.0029952172467322393
while,0.0029952172467322393
miss,0.0029628947584581502
aren,0.0029521205957001207
leg,0.0029521205957001207
second,0.002941346432942091
grand,0.0029305722701840615
impossible,0.0029305722701840615
name,0.0029305722701840615
happy,0.002919798107426032
own,0.002919798107426032
entre,0.0029090239446680024
plan,0.002887475619151943
regarder,0.002887475619151943
occuper,0.0028767014563939133
found,0.0028659272936358837
fever,0.002855153130877854
vite,0.002855153130877854
aide,0.0028443789681198246
corps,0.0028443789681198246
course,0.0028443789681198246
homme,0.0028443789681198246
wend,0.0028443789681198246
cool,0.0028336048053617946
importer,0.0028336048053617946
eye,0.002822830642603765
must,0.002822830642603765
obvious,0.002822830642603765
unless,0.002822830642603765
combien,0.0027905081543296763
fils,0.002779733991571647
font,0.0027581856660555872
simple,0.0027581856660555872
stuff,0.0027581856660555872
decision,0.0027474115032975577
most,0.0027474115032975577
cell,0.0027150890150234685
real,0.0027150890150234685
rule,0.002704314852265439
surement,0.002704314852265439
until,0.002704314852265439
haven,0.0026935406895074094
sex,0.0026935406895074094
break,0.00268276652674938
demander,0.00268276652674938
ignore,0.00268276652674938
puis,0.00268276652674938
avez,0.0026719923639913503
late,0.0026719923639913503
arrete,0.0026612182012333207
coma,0.0026612182012333207
jusqu,0.0026612182012333207
system,0.002639669875717261
team,0.002639669875717261
bebe,0.0026288957129592316
muscle,0.002618121550201202
girl,0.002585799061927113
jouer,0.0025750248991690834
pretty,0.0025750248991690834
revenir,0.0025750248991690834
high,0.002564250736411054
rein,0.002564250736411054
risque,0.002564250736411054
contre,0.0025534765736530242
open,0.0025534765736530242
cerebral,0.0025427024108949947
clot,0.0025427024108949947
dite,0.0025427024108949947
whatever,0.0025427024108949947
pill,0.002521154085378935
