Mot,Poids
be,0.41980145300243144
le,0.3230699262686617
you,0.29048432901410615
être,0.24893880693305848
un,0.21256418674192665
the,0.2040054525793074
je,0.1986339553574552
to,0.17886417097661333
de,0.17875272912553758
ne,0.17128612510346086
it,0.15528307528898008
on,0.1336187794398501
pa,0.13011950531607086
tu,0.12893822169466768
that,0.12650878934121587
and,0.12274205477485478
que,0.11037200930544415
eat,0.10778655836048624
ce,0.0943466711207482
have,0.09276419683547224
we,0.08659031828587449
of,0.08329163949403166
il,0.07881167708078564
ca,0.0785442166382038
this,0.07620393776561259
faire,0.07386365889302138
in,0.07134507305870895
what,0.07081015217354525
do,0.0705872684713937
aller,0.06657536183266592
get,0.06403448762813833
en,0.06278633889608969
my,0.06109242275973797
ted,0.05993342750854994
avoir,0.05714738123165565
oh,0.05567634879745546
go,0.055029986061215994
vous,0.05442820006540683
just,0.05387099081002797
so,0.05344751177594004
pour,0.052043344452385315
no,0.051998767711955
son,0.051998767711955
qu,0.04976993069043958
know,0.0488783958818334
not,0.048232033145593926
he,0.04778626574129084
for,0.047652535519999914
but,0.04673871234117859
your,0.04410868465579038
with,0.04350689865998121
mais,0.042882824293956893
as,0.042214173187502264
don,0.04199128948535072
marshall,0.04103288956609909
tout,0.04052025705115054
lily,0.0392721083191019
elle,0.03920524320845643
yes,0.03862574558286242
barney,0.0375113270721047
she,0.037444461961459244
pouvoir,0.036909541076295536
like,0.036775810855004615
robin,0.036597503893283374
all,0.036218601599625755
can,0.03563910397403174
savoir,0.03561681560381659
moi,0.03552766212295597
vouloir,0.03519333656972866
avec,0.03497045286757711
si,0.03410120642918609
mon,0.03309822976950415
up,0.03274161584606168
out,0.0322958484417586
du,0.03200609962896159
dans,0.03196152288853128
right,0.03173863918637974
will,0.03153804385444335
qui,0.03124829504164634
etait,0.030958546228849335
there,0.030468202084115943
want,0.030111588160673473
about,0.029844127718091622
non,0.029777262607446158
ton,0.029777262607446158
plus,0.029554378905294616
okay,0.029442937054218844
au,0.029130899871206685
at,0.028997169649915756
quoi,0.028974881279700604
sur,0.02864055572647329
bien,0.028618267356258133
one,0.028350806913676283
guy,0.02803876973066412
her,0.02777130928808227
they,0.027325541883779184
good,0.026835197739045788
say,0.026656890777324554
here,0.025096704862263754
etre,0.024517207236669742
dire,0.02424974679408789
how,0.023848556130215113
if,0.023447365466342334
look,0.022511253917305855
devoir,0.02244438880666039
voir,0.022266081844939157
now,0.02166429584912999
see,0.021597430738484528
really,0.021508277257623908
well,0.021485988887408755
think,0.021017933112890515
hey,0.020817337780954126
ou,0.020772761040523818
come,0.02017097504471465
comme,0.019569189048905485
toi,0.019569189048905485
se,0.01923486349567817
make,0.019101133274387245
mama,0.018543924019008385
tell,0.018387905427502307
time,0.018321040316856843
oui,0.017852984542338603
thing,0.017630100840187058
aimer,0.0170728915848082
gonna,0.0170728915848082
vraiment,0.01696144973373243
why,0.01671627766136573
love,0.016627124180505114
when,0.016582547440074806
back,0.016404240478353573
let,0.016337375367708108
who,0.01622593351663234
new,0.015691012631468635
nous,0.014955496414368542
quand,0.01484405456329277
pourquoi,0.01437599878877453
alors,0.014309133678129067
would,0.014197691827053296
call,0.013930231384471444
dit,0.013930231384471444
mean,0.01390794301425629
some,0.0137073476823199
venir,0.0137073476823199
girl,0.013685059312104746
penser,0.01359590583124413
take,0.01339531049930774
great,0.013328445388662277
lui,0.013328445388662277
jamais,0.01323929190780166
then,0.013127850056725888
est,0.013038696575865271
bon,0.012971831465219808
juste,0.012882677984359192
choose,0.01281581287371373
wait,0.012682082652422802
from,0.012548352431131877
way,0.012548352431131877
night,0.012459198950271259
never,0.01230318035876518
sorry,0.012280891988550025
fille,0.012058008286398482
didn,0.011835124584246938
kid,0.011835124584246938
two,0.011835124584246938
or,0.011812836214031784
god,0.01179054784381663
work,0.011701394362956013
meme,0.011389357179943852
comment,0.011344780439513544
little,0.011344780439513544
need,0.011255626958652927
prendre,0.011144185107577155
deux,0.011099608367146846
because,0.011055031626716538
thank,0.010943589775640767
should,0.010921301405425613
could,0.010899013035210457
super,0.010854436294780149
rien,0.010832147924564994
autre,0.010742994443704378
day,0.010676129333058915
something,0.010586975852198297
ouais,0.010542399111767988
too,0.010542399111767988
year,0.010453245630907371
our,0.010430957260692217
croire,0.010208073558540674
give,0.010074343337249748
friend,0.01002976659681944
even,0.009784594524452742
by,0.009695441043592126
ici,0.009628575932946661
merci,0.009561710822301199
first,0.009427980601010274
man,0.009427980601010274
uh,0.009427980601010274
dieu,0.009383403860579965
where,0.009338827120149657
over,0.00920509689885873
soir,0.00920509689885873
ami,0.009160520158428422
aussi,0.009026789937137496
only,0.009026789937137496
par,0.009026789937137496
fois,0.00900450156692234
his,0.008982213196707186
happen,0.008870771345631415
off,0.008870771345631415
tres,0.008781617864770799
hello,0.008670176013695026
truc,0.008603310903049563
ever,0.00858102253283441
mec,0.0085364457924041
accord,0.008491869051973792
bar,0.008447292311543484
still,0.008358138830682866
meet,0.008335850460467711
etais,0.008291273720037403
more,0.008268985349822249
toujours,0.008268985349822249
salut,0.008246696979607095
passe,0.008202120239176786
down,0.008135255128531324
maybe,0.008090678388101015
moment,0.008090678388101015
doing,0.008023813277455551
dis,0.008001524907240397
date,0.007979236537025243
place,0.007979236537025243
parce,0.007956948166810088
jour,0.007845506315734318
big,0.007823217945519163
peu,0.007823217945519163
maintenant,0.007800929575304008
temp,0.0077563528348737
appeler,0.0077117760944433915
quelque,0.007667199354013082
last,0.007533469132722157
vrai,0.007533469132722157
vie,0.007511180762507002
arrive,0.007466604022076694
life,0.007466604022076694
minute,0.007466604022076694
encore,0.007422027281646385
trouver,0.007422027281646385
again,0.007377450541216077
trop,0.007355162171000922
marry,0.007332873800785768
peut,0.007332873800785768
try,0.007288297060355459
sure,0.007199143579494843
story,0.007154566839064533
long,0.007132278468849379
ete,0.006976259877343299
falloir,0.006931683136912991
baby,0.006887106396482682
other,0.006864818026267527
san,0.006842529656052373
donc,0.006731087804976602
enfant,0.006708799434761447
three,0.006686511064546293
into,0.006641934324115984
thought,0.006641934324115984
desole,0.00661964595390083
sortir,0.006597357583685676
people,0.006552780843255367
monde,0.0065082041028250584
any,0.006485915732609904
kind,0.006485915732609904
dude,0.00646362736239475
femme,0.00646362736239475
nice,0.006419050621964442
histoire,0.006352185511318978
york,0.006352185511318978
point,0.006329897141103824
avant,0.00630760877088867
attend,0.006285320400673516
quel,0.006285320400673516
apres,0.0062630320304583615
meilleur,0.0062407436602432064
cool,0.006218455290028052
actually,0.006107013438952281
bonne,0.006107013438952281
guess,0.006062436698521972
much,0.006040148328306818
petit,0.006040148328306818
tonight,0.006040148328306818
wrong,0.006040148328306818
parler,0.0059955715878765095
voiler,0.005928706477231046
cause,0.005906418107015892
woman,0.005906418107015892
start,0.0058618413665855835
talk,0.005839552996370429
parle,0.005772687885724966
bad,0.005750399515509812
please,0.005750399515509812
always,0.0057281111452946575
fine,0.005683534404864349
stella,0.005661246034649195
mariage,0.005638957664434041
part,0.005638957664434041
awesome,0.0055943809240037315
genial,0.005527515813358269
grand,0.005527515813358269
totally,0.005527515813358269
um,0.005527515813358269
feel,0.005505227443143115
name,0.005505227443143115
air,0.005482939072927961
seul,0.005482939072927961
wow,0.005482939072927961
believe,0.005438362332497651
chez,0.005438362332497651
doesn,0.005393785592067343
etes,0.005393785592067343
old,0.005393785592067343
regarde,0.005393785592067343
car,0.005371497221852189
wed,0.005371497221852189
couple,0.005349208851637035
personne,0.005349208851637035
show,0.005349208851637035
anything,0.00532692048142188
stop,0.005304632111206726
besoin,0.005282343740991571
sex,0.005282343740991571
than,0.005282343740991571
mosby,0.005260055370776417
next,0.005260055370776417
quelqu,0.005260055370776417
being,0.005237767000561263
after,0.005215478630346109
move,0.005215478630346109
keep,0.0051709018899158
party,0.0051709018899158
before,0.005148613519700646
change,0.005126325149485491
crazy,0.005126325149485491
depuis,0.005126325149485491
essayer,0.005126325149485491
put,0.005126325149485491
pretty,0.005104036779270337
question,0.005104036779270337
talke,0.005104036779270337
every,0.005081748409055183
heure,0.005081748409055183
important,0.005081748409055183
lot,0.005081748409055183
happy,0.00501488329840972
hot,0.00501488329840972
laisse,0.00501488329840972
job,0.004948018187764257
very,0.004925729817549102
together,0.004903441447333948
wend,0.004903441447333948
deja,0.004881153077118794
plan,0.004881153077118794
home,0.00485886470690364
ok,0.00485886470690364
type,0.004836576336688486
eh,0.004769711226043022
five,0.004725134485612714
raison,0.004725134485612714
stuff,0.004725134485612714
break,0.00470284611539756
whole,0.00470284611539756
chance,0.0046805577451824055
ensemble,0.0046805577451824055
live,0.00465826937496725
gar,0.004613692634536942
hear,0.004613692634536942
ecoute,0.004591404264321788
use,0.0045468275238914795
mal,0.004524539153676325
wasn,0.00450225078346117
find,0.004479962413246016
bring,0.004457674043030862
marier,0.004457674043030862
aux,0.004435385672815708
course,0.0044130973026005535
week,0.004390808932385399
fun,0.004368520562170245
their,0.00434623219195509
hate,0.004323943821739936
sleep,0.004323943821739936
fete,0.004301655451524782
remember,0.004301655451524782
doit,0.0042793670813096275
drink,0.0042793670813096275
trois,0.0042793670813096275
donne,0.004257078711094473
nothing,0.004257078711094473
serum,0.004257078711094473
someone,0.004257078711094473
second,0.004234790340879319
weird,0.004234790340879319
game,0.004212501970664165
passer,0.004212501970664165
puis,0.004212501970664165
semaine,0.004212501970664165
late,0.0041456368600187015
watch,0.004123348489803547
