Mot,Poids
be,0.39915546838306926
you,0.35280609485761744
le,0.2579770841210036
je,0.21420984839641266
être,0.21315547546106114
to,0.2029560311476609
vous,0.19673738261058774
de,0.18087875295030084
un,0.17642456524381592
that,0.16885029436129081
the,0.1623519142291244
que,0.15768254837256776
it,0.15271193310591066
pa,0.14246945316249604
and,0.12960179978820627
il,0.12069342437523642
ne,0.11559370221853629
eat,0.10459809874987061
he,0.10416774244972714
ce,0.10322095858941151
have,0.09674409627225226
son,0.09198865915566691
avoir,0.0895571460598563
do,0.08884705816461957
on,0.08867491564456219
tu,0.08583456406361528
what,0.08529661868843594
ca,0.07959439771153495
of,0.07834636444111888
en,0.07572119101024372
qu,0.0701911125534001
in,0.06541415762180758
elle,0.06526353291675736
she,0.061024523360344175
faire,0.06024988202008593
know,0.060099257315035716
this,0.05715131665905294
my,0.05560203397853644
pour,0.052804718027603885
for,0.051104810642037174
your,0.050760525601922395
so,0.049534010146513506
don,0.04852267284117635
say,0.04794169183598266
about,0.04688731890063116
we,0.046865801085623986
not,0.04669365856556659
with,0.04639240915546616
vouloir,0.04501526899500706
tout,0.044864644289956845
like,0.04432669891477751
just,0.0436811644645623
mais,0.04299259438433275
but,0.04114206229371582
etait,0.04036742095345757
savoir,0.04000161809833562
qui,0.03896876297799129
her,0.038861173902955425
they,0.038237157267747394
want,0.03761314063253936
pouvoir,0.03750555155750349
get,0.03746251592748914
think,0.03658028551219503
si,0.03632207173210895
aller,0.03550439476183635
avec,0.03550439476183635
moi,0.03550439476183635
can,0.0340842189713629
etre,0.033524755781176384
no,0.03311591729604009
dit,0.03251341847583923
as,0.03244886503081771
tell,0.03197547310065989
go,0.029371817484791892
lui,0.029371817484791892
comme,0.029264228409756024
dire,0.029264228409756024
at,0.02907056807469146
dans,0.02857565832952647
if,0.027585838839196485
plus,0.027177000354060187
there,0.026897268758966933
how,0.026789679683931065
all,0.02663905497888085
mon,0.02657450153385933
du,0.02644539464381629
voir,0.02577834237859391
bien,0.025218879188407397
ou,0.024982183223328486
sur,0.024293613143098934
when,0.02349745398783351
out,0.02280888390760396
penser,0.022765848277589613
really,0.02263674138754657
non,0.02244308105248201
why,0.022400045422467662
up,0.022292456347431794
ton,0.022012724752338536
here,0.02184058223228115
come,0.02164692189721659
see,0.021259601227087463
patient,0.021065940892022902
au,0.020076121401692917
se,0.020076121401692917
quand,0.0200115679566714
quoi,0.019925496696642703
pourquoi,0.019882461066628356
will,0.019688800731563795
time,0.01934451569144902
choose,0.019301480061434673
would,0.019301480061434673
paul,0.01923692661641315
yes,0.019129337541377283
make,0.019107819726370108
didn,0.018892641576298372
pere,0.018720499056240986
mama,0.01760157267586796
who,0.017558537045853615
parler,0.017429430155810572
or,0.017321841080774704
his,0.017257287635753182
good,0.017085145115695796
because,0.016999073855667103
devoir,0.01693452041064558
right,0.016611753185537977
mean,0.01639657503546624
rien,0.016245950330416026
meme,0.01618139688539451
comment,0.016159879070387333
feel,0.016095325625365812
from,0.016052289995351465
peut,0.016052289995351465
maybe,0.01583711184527973
autre,0.01572952277024386
well,0.015643451510215168
thing,0.015621933695207995
look,0.015557380250186473
one,0.015191577395064524
est,0.015148541765050176
laura,0.014997917059999961
something,0.014911845799971268
now,0.014782738909928227
vraiment,0.014782738909928227
take,0.014739703279913878
oui,0.014524525129842144
talk,0.014459971684820622
then,0.014395418239799103
try,0.01437390042479193
back,0.014158722274720193
okay,0.014029615384677152
venir,0.013814437234605417
etais,0.013125867154375864
etes,0.013061313709354342
croire,0.01280309992926826
could,0.012717028669239567
par,0.012458814889153484
happen,0.012394261444131962
father,0.012372743629124789
toi,0.01230819018410327
alors,0.012286672369096094
week,0.01213604766404588
prendre,0.011877833883959797
some,0.011813280438938277
need,0.011748726993916755
mere,0.011641137918880889
parle,0.011555066658852194
tres,0.011339888508780458
nous,0.011017121283672856
way,0.010995603468665682
call,0.010952567838651336
let,0.01093105002364416
jamais,0.01080194313360112
aimer,0.010758907503586773
fuck,0.010694354058565253
quelque,0.01067283624355808
never,0.010651318428550905
alex,0.010371586833457649
semaine,0.010328551203443302
over,0.010307033388436129
thought,0.010307033388436129
kate,0.010242479943414607
ete,0.010156408683385914
gonna,0.009876677088292658
love,0.009618463308206576
parce,0.009618463308206576
essayer,0.009553909863185054
sure,0.009489356418163534
vie,0.009188107008063105
passe,0.008994446672998542
donc,0.008908375412969849
even,0.008908375412969849
fois,0.008886857597962674
juste,0.008843821967948327
arrive,0.008822304152941154
temp,0.008757750707919633
where,0.008628643817876591
ici,0.008478019112826377
last,0.00837043003779051
year,0.00837043003779051
life,0.008327394407776162
mother,0.008305876592768989
too,0.008305876592768989
aussi,0.008284358777761815
enfant,0.008284358777761815
apres,0.008262840962754642
other,0.008241323147747469
talke,0.008219805332740294
into,0.008155251887718774
toujours,0.008155251887718774
little,0.008112216257704427
peu,0.008026144997675733
amy,0.00800462718266856
dad,0.007983109367661386
jake,0.007961591552654213
deux,0.007897038107632691
comprendre,0.007789449032596824
femme,0.007789449032596824
should,0.007789449032596824
everything,0.007681859957560956
by,0.0076388243275466085
more,0.007617306512539435
home,0.007595788697532262
very,0.007595788697532262
chez,0.007574270882525088
people,0.007574270882525088
before,0.007466681807489221
quel,0.007445163992482047
give,0.007423646177474873
off,0.007423646177474873
bon,0.0074021283624677
yourself,0.0074021283624677
work,0.007316057102439006
remember,0.007294539287431832
anything,0.007273021472424659
sorry,0.007251503657417485
oliver,0.007208468027403138
doesn,0.0071654323973887905
day,0.00710087895236727
stop,0.0070793611373600965
avant,0.007057843322352923
gina,0.007057843322352923
man,0.00703632550734575
problem,0.007014807692338576
parent,0.006993289877331403
