Mot,Poids
le,0.38221243340139266
être,0.30321723139708606
be,0.30116920764141886
je,0.26287847778099804
un,0.21621279363400953
de,0.2104710127475854
you,0.19686628351351035
que,0.18684559585185295
pa,0.1820181112849231
il,0.17931179417922
tu,0.17448430961229017
ne,0.17261914512052182
ce,0.16490248418399
the,0.1211625482593832
vous,0.11531105181461976
eat,0.11008127686711243
qu,0.10799668125866545
to,0.10660695085303412
on,0.1039372056001108
aller,0.10086516996660999
avoir,0.09680569430805534
ca,0.09355079941065568
he,0.0775688997458955
faire,0.07639860045694281
son,0.07442372040683515
savoir,0.07226598109282863
en,0.06944994842878621
it,0.06926708916488736
that,0.06692649058698197
non,0.06169671563947464
pouvoir,0.06140414081723647
what,0.05975840744214674
tout,0.059392688914349026
qui,0.05869782371153337
pour,0.05847839259485474
bien,0.05734466515868182
have,0.05712523404200319
we,0.056649799955866165
vouloir,0.05650351254474707
mais,0.0556989317835921
elle,0.05456520434741918
and,0.053650908027924896
as,0.051712599830597
dans,0.05057887239442408
do,0.05035944127774545
of,0.04750683676092327
this,0.04655596858864921
si,0.04637310932475035
know,0.04326450183846977
nous,0.04172848402171936
est,0.04143590919948119
voir,0.04096047511334416
they,0.040448469174427355
in,0.040375325468867816
moi,0.03942445729659375
etre,0.038766163946557866
ou,0.038290729860420834
oui,0.03818101430208152
no,0.03763243651038495
sur,0.036974143160349054
ton,0.036864427602009746
etait,0.036388993515872714
penser,0.03565755646027728
quoi,0.035547840901937966
plus,0.0348529756991223
tom,0.03379239196850893
avec,0.03295123935457418
pourquoi,0.03221980229897875
mon,0.032036943035079896
yes,0.03159808080172263
don,0.031159218568365378
here,0.030939787451686747
oh,0.030903215598906977
du,0.030610640776668804
lui,0.03053749707110926
get,0.030391209659990176
ici,0.02980606001551383
but,0.029257482223817254
mariel,0.028599188873781368
dit,0.028452901462662283
choose,0.028087182934864566
all,0.028014039229305024
russell,0.02790432367096571
not,0.027794608112626393
devoir,0.026990027351471418
just,0.026697452529233247
my,0.0266243088236737
ok,0.026222018443096216
your,0.026002587326417585
go,0.025710012504179414
dire,0.025490581387500783
she,0.025124862859703067
right,0.024576285068006496
se,0.024539713215226723
for,0.02421056654020878
larkin,0.02355227319017289
quelque,0.02355227319017289
jesse,0.023149982809595404
toi,0.02300369539847632
want,0.02282083613457746
au,0.02241854575399997
juste,0.02234540204844043
about,0.022235686490101114
with,0.02216254278454157
will,0.02190653981508317
comme,0.021101959053928195
comment,0.021101959053928195
there,0.020882527937249568
ouais,0.020772812378910252
okay,0.02051680940945185
can,0.020333950145552993
kira,0.020333950145552993
parce,0.020114519028874362
if,0.020077947176094593
dave,0.02004137532331482
out,0.019821944206636192
quand,0.01974880050107665
gonna,0.019712228648296876
see,0.019456225678838476
mama,0.019053935298260986
so,0.018944219739921674
alors,0.018688216770463274
hey,0.0186516449176835
eau,0.018615073064903728
tres,0.018359070095445327
