Mot,Poids
you,0.38683936130233276
be,0.38578602063166606
le,0.2928287064453329
être,0.23489496955866632
vous,0.19934472192366637
un,0.19802804608533303
je,0.19091799655833305
the,0.18222793602533305
il,0.15273439724666643
he,0.15089105107299977
ne,0.1453610125519998
de,0.14404433671366645
to,0.14141098503699978
pa,0.1366709520189998
it,0.12666421564766647
have,0.10875742424633317
ce,0.10322738572533317
what,0.10243738022233317
que,0.09927735821033318
tu,0.0961173361983332
that,0.09164063834799986
on,0.0897972921743332
do,0.08769061083299987
son,0.07952722063533321
avoir,0.07689386895866655
ca,0.07531385795266655
we,0.07452385244966656
jackman,0.07373384694666656
in,0.07215383594066656
of,0.0718905007729999
eat,0.0655704567489999
and,0.06372711057533324
tom,0.06372711057533324
no,0.06346377540766657
en,0.06267376990466657
don,0.06109375889866658
qu,0.06109375889866658
know,0.06004041822799991
your,0.05925041272499991
aller,0.05846040722199991
faire,0.05846040722199991
get,0.05793373688666658
hyde,0.05793373688666658
dr,0.05582705554533325
moi,0.05556372037766658
can,0.05161369286266659
not,0.05161369286266659
my,0.04898034118599993
this,0.04898034118599993
they,0.0484536708506666
qui,0.04740033017999993
for,0.0468736598446666
there,0.0452936488386666
will,0.04318696749733327
go,0.0429236323296666
oh,0.04160695649133327
savoir,0.041080286155999936
yes,0.040026945485333275
pour,0.03765692897633328
tout,0.03713025864099995
just,0.03607691797033328
pouvoir,0.03607691797033328
est,0.03555024763499995
as,0.03528691246733328
dans,0.03397023662899995
how,0.03370690146133328
with,0.03318023112599995
mais,0.03212689045533328
bien,0.031336884952333284
jekyll,0.031336884952333284
ou,0.03107354978466662
nous,0.030810214616999954
vouloir,0.030810214616999954
now,0.03054687944933329
want,0.03054687944933329
plus,0.03028354428166662
mon,0.02896686844333329
quoi,0.027650192604999957
think,0.027650192604999957
but,0.02738685743733329
like,0.02738685743733329
si,0.02738685743733329
du,0.02686018710199996
if,0.026596851934333293
one,0.026070181598999962
here,0.025806846431333293
so,0.025543511263666628
who,0.025543511263666628
all,0.025280176095999963
at,0.02475350576066663
mr,0.02475350576066663
where,0.024490170592999964
elle,0.02396350025766663
non,0.02396350025766663
out,0.02396350025766663
see,0.02396350025766663
lui,0.023700165089999965
good,0.0234368299223333
au,0.02317349475466663
she,0.02317349475466663
ton,0.02317349475466663
voir,0.02317349475466663
why,0.02317349475466663
tell,0.022910159586999965
toi,0.022910159586999965
avec,0.02238348925166663
daddy,0.02238348925166663
etes,0.02238348925166663
ok,0.02238348925166663
up,0.02238348925166663
about,0.0218568189163333
comment,0.021593483748666636
come,0.021066813413333302
oui,0.021066813413333302
claire,0.020803478245666637
rien,0.01975013757499997
let,0.019486802407333303
look,0.019486802407333303
sorry,0.019223467239666638
pourquoi,0.018960132071999973
say,0.018960132071999973
croire,0.018696796904333304
well,0.018696796904333304
his,0.01843346173666664
se,0.01843346173666664
right,0.018170126568999974
sur,0.017906791401333305
then,0.017906791401333305
time,0.017116785898333306
take,0.01685345073066664
didn,0.016590115562999976
any,0.01632678039533331
need,0.01606344522766664
devoir,0.015800110059999976
alors,0.01553677489233331
man,0.015273439724666644
eddie,0.014746769389333312
enfant,0.014746769389333312
papa,0.014746769389333312
dire,0.014483434221666645
from,0.014483434221666645
prendre,0.014483434221666645
jamais,0.014220099053999978
etre,0.013956763886333313
child,0.013693428718666646
god,0.013693428718666646
kill,0.013693428718666646
minute,0.013693428718666646
her,0.01343009355099998
bon,0.013166758383333314
or,0.013166758383333314
dit,0.012903423215666647
please,0.012903423215666647
lion,0.012640088047999981
mama,0.012640088047999981
husband,0.012376752880333314
syme,0.012376752880333314
mrs,0.01211341771266665
stop,0.01211341771266665
change,0.011850082544999982
coming,0.011850082544999982
katherine,0.011850082544999982
mari,0.011850082544999982
question,0.011850082544999982
autre,0.011586747377333315
billy,0.011586747377333315
comme,0.011586747377333315
keep,0.011586747377333315
family,0.01132341220966665
hello,0.01132341220966665
meme,0.01132341220966665
back,0.011060077041999983
etait,0.011060077041999983
ici,0.011060077041999983
make,0.011060077041999983
mme,0.011060077041999983
when,0.011060077041999983
work,0.011060077041999983
die,0.010533406706666651
more,0.010533406706666651
never,0.010533406706666651
anything,0.010270071538999984
boy,0.010270071538999984
could,0.010270071538999984
over,0.010270071538999984
par,0.010270071538999984
passe,0.010270071538999984
peter,0.010270071538999984
secret,0.010270071538999984
thing,0.010270071538999984
won,0.010270071538999984
choose,0.010006736371333319
seul,0.010006736371333319
arrive,0.009743401203666652
fois,0.009743401203666652
personne,0.009480066035999987
too,0.009480066035999987
venir,0.009480066035999987
way,0.009480066035999987
would,0.009480066035999987
ever,0.00921673086833332
falloir,0.00921673086833332
homme,0.00921673086833332
quel,0.00921673086833332
thought,0.00921673086833332
away,0.008953395700666653
should,0.008953395700666653
doing,0.008690060532999987
encore,0.008690060532999987
femme,0.008690060532999987
give,0.008690060532999987
quand,0.008690060532999987
wrong,0.008690060532999987
aussi,0.00842672536533332
feel,0.00842672536533332
laisse,0.00842672536533332
long,0.00842672536533332
love,0.00842672536533332
phone,0.00842672536533332
year,0.00842672536533332
deux,0.008163390197666655
famille,0.008163390197666655
friend,0.008163390197666655
hear,0.008163390197666655
mean,0.008163390197666655
mort,0.008163390197666655
try,0.008163390197666655
course,0.007900055029999988
down,0.007900055029999988
happen,0.007900055029999988
parce,0.007900055029999988
temp,0.007900055029999988
thank,0.007900055029999988
tuer,0.007900055029999988
because,0.007636719862333322
bite,0.007636719862333322
dis,0.007636719862333322
isn,0.007636719862333322
off,0.007636719862333322
people,0.007636719862333322
quelque,0.007636719862333322
really,0.007636719862333322
