Mot,Poids
le,0.402942161437775
be,0.3906033528476982
ne,0.2493192850223914
the,0.24875414875109017
de,0.24027710468157176
you,0.22953951552684845
être,0.22388815281383617
un,0.21324475303766308
je,0.16699776816951264
to,0.14288528726066027
il,0.12772079731407734
pa,0.12743822917842673
que,0.12348227527931814
it,0.12131591957266344
kitt,0.11312144363879564
on,0.10247804386262253
vous,0.10210128634842172
tu,0.09871046872061436
eat,0.09710924928526088
ce,0.09466032544295556
have,0.08825544770154164
and,0.08778450080879063
we,0.08458206193808367
that,0.08354597877403143
of,0.07337352589060933
he,0.07158392769815544
avoir,0.07092460204830402
aller,0.0684756782059987
in,0.06659189063499461
get,0.06517904995674154
michael,0.06517904995674154
do,0.06480229244254072
son,0.06414296679268928
what,0.06263593673588602
en,0.058962550972428036
mike,0.0581148465654762
pour,0.0561368696159219
ca,0.05585430148027129
faire,0.05444146080201822
nous,0.05274605198811454
dans,0.04888428746755615
this,0.04888428746755615
sarah,0.04860171933190554
qu,0.0477540149249537
pouvoir,0.04643536362525084
they,0.044363197297146335
not,0.04313873537599368
tout,0.04238522034759204
du,0.04191427345484102
your,0.04172589469774061
sur,0.0416317053191904
will,0.04097237966933897
for,0.04012467526238713
no,0.038523455827033655
qui,0.037298993905881
can,0.03616872136327854
my,0.03579196384907772
as,0.03550939571342711
avec,0.033719797520973226
know,0.03353141876387281
go,0.03249533559982056
there,0.03221276746416995
with,0.03202438870706954
si,0.03174182057141893
bien,0.030423169271716066
moi,0.02995222237896504
mais,0.029481275486214018
don,0.029010328593462996
yes,0.02806843480796095
etre,0.027880056050860542
savoir,0.02778586667231034
out,0.02740910915810952
but,0.0270323516439087
just,0.026655594129707885
ou,0.026467215372607475
all,0.02533694283000502
plus,0.025242753451454814
if,0.025054374694354405
au,0.024395049044502976
ton,0.02430085966595277
vouloir,0.023829912773201747
now,0.023453155259000928
elle,0.023076397744800112
right,0.023076397744800112
up,0.022982208366249906
voir,0.022982208366249906
devoir,0.022511261473498884
non,0.02222869333784827
choose,0.021851935823647452
billy,0.021663557066547042
se,0.021475178309446633
oh,0.02119261017379602
about,0.020910042038145407
one,0.02034490576684418
okay,0.020250716388293975
like,0.020156527009743772
at,0.019685580116992746
dire,0.019685580116992746
mon,0.019403011981342134
toi,0.019403011981342134
so,0.01930882260279193
good,0.019214633224241724
from,0.01912044384569152
take,0.018555307574390292
est,0.018366928817289883
comme,0.018178550060189477
how,0.01808436068163927
quelque,0.017330845653237635
she,0.017330845653237635
penser,0.017142466896137225
etait,0.016954088139036816
here,0.016765709381936406
see,0.016765709381936406
quoi,0.016671520003386203
look,0.01620057311063518
ete,0.015918004974984565
her,0.015635436839333952
tell,0.015635436839333952
car,0.015541247460783749
maintenant,0.01535286870368334
say,0.015258679325133135
gonna,0.01497611118948252
who,0.014787732432382112
think,0.014693543053831908
back,0.014599353675281703
his,0.014599353675281703
why,0.014410974918181293
make,0.01431678553963109
lui,0.01412840678253068
would,0.01412840678253068
come,0.013940028025430271
let,0.013845838646880066
need,0.013751649268329861
pourquoi,0.013657459889779658
trouver,0.013563270511229453
or,0.013469081132679249
autre,0.013186512997028634
guy,0.013186512997028634
time,0.013186512997028634
want,0.013186512997028634
dit,0.013092323618478431
zoe,0.012809755482827817
minute,0.012715566104277612
oui,0.012621376725727407
venir,0.012527187347177202
prendre,0.012338808590076794
well,0.012150429832976385
comment,0.011962051075875975
juste,0.011962051075875975
ouais,0.011773672318775567
dr,0.011679482940225363
mama,0.011396914804574748
par,0.011396914804574748
carrie,0.01120853604747434
croire,0.01120853604747434
into,0.01120853604747434
ok,0.01120853604747434
ici,0.01102015729037393
rien,0.01102015729037393
where,0.01102015729037393
something,0.010737589154723316
meme,0.010643399776173113
passe,0.010643399776173113
voiture,0.010643399776173113
way,0.010643399776173113
down,0.010549210397622908
knight,0.010455021019072704
temp,0.010455021019072704
could,0.010360831640522499
then,0.010360831640522499
work,0.010360831640522499
graiman,0.01017245288342209
call,0.010078263504871886
danny,0.010078263504871886
deux,0.010078263504871886
hey,0.010078263504871886
vraiment,0.010078263504871886
etes,0.009984074126321681
our,0.009984074126321681
thing,0.009984074126321681
any,0.009889884747771477
some,0.009795695369221272
quand,0.009701505990671067
besoin,0.009513127233570657
quel,0.009513127233570657
man,0.009230559097920045
really,0.00913636971936984
bon,0.009042180340819635
peut,0.009042180340819635
when,0.009042180340819635
peu,0.008853801583719227
two,0.008853801583719227
aussi,0.008665422826618818
agent,0.008477044069518408
by,0.008477044069518408
find,0.008477044069518408
serum,0.008477044069518408
should,0.008477044069518408
stop,0.008382854690968203
too,0.008382854690968203
maybe,0.008194475933867795
arme,0.00810028655531759
homme,0.00810028655531759
virus,0.00810028655531759
celer,0.00791190779821718
doing,0.00791190779821718
steven,0.00791190779821718
doit,0.007817718419666976
give,0.007817718419666976
plan,0.007817718419666976
sure,0.007817718419666976
contact,0.007723529041116772
font,0.007723529041116772
their,0.007629339662566567
move,0.0075351502840163625
off,0.0075351502840163625
please,0.0075351502840163625
chance,0.007440960905466159
use,0.007440960905466159
merci,0.007346771526915954
tres,0.007346771526915954
try,0.007346771526915954
mort,0.007252582148365749
porte,0.007252582148365749
thank,0.007252582148365749
alors,0.007158392769815545
anything,0.007158392769815545
help,0.007158392769815545
kill,0.007158392769815545
little,0.007158392769815545
personne,0.007158392769815545
karr,0.00706420339126534
pere,0.00706420339126534
still,0.00706420339126534
jamais,0.0069700140127151354
only,0.0069700140127151354
system,0.0069700140127151354
desole,0.006875824634164931
more,0.006875824634164931
seul,0.006875824634164931
didn,0.006781635255614727
last,0.006781635255614727
over,0.006781635255614727
sortir,0.006781635255614727
avant,0.006687445877064522
bar,0.006687445877064522
essayer,0.006687445877064522
mean,0.006687445877064522
sorry,0.006687445877064522
than,0.006593256498514317
fire,0.006499067119964113
night,0.006499067119964113
toujours,0.006499067119964113
gar,0.006404877741413908
never,0.0063106883628637036
encore,0.0062164989843135
file,0.0062164989843135
happen,0.0062164989843135
open,0.0062164989843135
parler,0.0062164989843135
raison,0.0062164989843135
complete,0.006122309605763295
torres,0.006122309605763295
appeler,0.00602812022721309
apres,0.00602812022721309
door,0.00602812022721309
signal,0.00602812022721309
code,0.005933930848662886
fight,0.005933930848662886
hear,0.005933930848662886
heure,0.005933930848662886
keep,0.005933930848662886
quelqu,0.005933930848662886
must,0.005839741470112681
plait,0.005839741470112681
second,0.005839741470112681
thought,0.005839741470112681
bahia,0.0057455520915624765
gotta,0.0057455520915624765
hour,0.0057455520915624765
mec,0.0057455520915624765
possible,0.0057455520915624765
three,0.0057455520915624765
arrive,0.005651362713012272
long,0.005651362713012272
people,0.005651362713012272
police,0.005651362713012272
programme,0.005651362713012272
travail,0.005651362713012272
another,0.005557173334462068
dis,0.005557173334462068
mission,0.005557173334462068
part,0.005557173334462068
run,0.005557173334462068
systeme,0.005557173334462068
transformation,0.005557173334462068
semble,0.005462983955911863
bank,0.005368794577361658
doesn,0.005368794577361658
aucun,0.005274605198811454
main,0.005274605198811454
name,0.005274605198811454
nothing,0.005274605198811454
place,0.005274605198811454
seconde,0.005274605198811454
weapon,0.005274605198811454
access,0.005180415820261249
aux,0.005180415820261249
before,0.005180415820261249
bonne,0.005180415820261249
securite,0.005180415820261249
talke,0.005180415820261249
camera,0.005086226441711045
dead,0.005086226441711045
lose,0.005086226441711045
missile,0.005086226441711045
avion,0.004992037063160841
question,0.004992037063160841
room,0.004992037063160841
sommer,0.004992037063160841
ssc,0.004992037063160841
through,0.004992037063160841
bad,0.004897847684610636
dad,0.004897847684610636
fichier,0.004897847684610636
phone,0.004897847684610636
san,0.004897847684610636
trop,0.004897847684610636
uh,0.004897847684610636
15,0.004803658306060431
aimer,0.004803658306060431
believe,0.004803658306060431
day,0.004803658306060431
derniere,0.004803658306060431
everything,0.004803658306060431
much,0.004803658306060431
point,0.004803658306060431
turner,0.004803658306060431
alex,0.004709468927510227
because,0.004709468927510227
course,0.004709468927510227
dessus,0.004709468927510227
galt,0.004709468927510227
moment,0.004709468927510227
wait,0.004709468927510227
banque,0.004615279548960022
bomb,0.004615279548960022
commence,0.004615279548960022
first,0.004615279548960022
maddie,0.004615279548960022
max,0.004615279548960022
may,0.004615279548960022
surveillance,0.004615279548960022
bombe,0.0045210901704098175
cause,0.0045210901704098175
etais,0.0045210901704098175
fois,0.0045210901704098175
position,0.0045210901704098175
route,0.0045210901704098175
train,0.0045210901704098175
wrong,0.0045210901704098175
again,0.004426900791859614
fille,0.004426900791859614
idee,0.004426900791859614
put,0.004426900791859614
aider,0.004332711413309409
crash,0.004332711413309409
feu,0.004332711413309409
mode,0.004332711413309409
occuper,0.004332711413309409
olara,0.004332711413309409
partir,0.004332711413309409
after,0.004238522034759204
base,0.004238522034759204
equipe,0.004238522034759204
hell,0.004238522034759204
nom,0.004238522034759204
nuit,0.004238522034759204
very,0.004238522034759204
cooperton,0.004144332656208999
drop,0.004144332656208999
even,0.004144332656208999
great,0.004144332656208999
hand,0.004144332656208999
hit,0.004144332656208999
might,0.004144332656208999
mile,0.004144332656208999
probleme,0.004144332656208999
regarde,0.004144332656208999
tue,0.004144332656208999
tuer,0.004144332656208999
vrai,0.004144332656208999
argent,0.004050143277658795
exactly,0.004050143277658795
father,0.004050143277658795
hello,0.004050143277658795
idea,0.004050143277658795
meet,0.004050143277658795
moins,0.004050143277658795
monde,0.004050143277658795
plane,0.004050143277658795
river,0.004050143277658795
same,0.004050143277658795
vie,0.004050143277658795
which,0.004050143277658795
charles,0.00395595389910859
cool,0.00395595389910859
deja,0.00395595389910859
grand,0.00395595389910859
head,0.00395595389910859
protocol,0.00395595389910859
recherche,0.00395595389910859
start,0.00395595389910859
accord,0.003861764520558386
around,0.003861764520558386
arriver,0.003861764520558386
away,0.003861764520558386
compte,0.003861764520558386
donne,0.003861764520558386
fine,0.003861764520558386
ha,0.003861764520558386
meilleur,0.003861764520558386
number,0.003861764520558386
parle,0.003861764520558386
satellite,0.003861764520558386
sou,0.003861764520558386
air,0.0037675751420081813
check,0.0037675751420081813
km,0.0037675751420081813
message,0.0037675751420081813
nice,0.0037675751420081813
parce,0.0037675751420081813
piece,0.0037675751420081813
program,0.0037675751420081813
rester,0.0037675751420081813
target,0.0037675751420081813
track,0.0037675751420081813
transfer,0.0037675751420081813
celui,0.003673385763457977
color,0.003673385763457977
coup,0.003673385763457977
other,0.003673385763457977
passer,0.003673385763457977
super,0.003673385763457977
tire,0.003673385763457977
aide,0.0035791963849077725
auto,0.0035791963849077725
being,0.0035791963849077725
every,0.0035791963849077725
exacteming,0.0035791963849077725
gen,0.0035791963849077725
gps,0.0035791963849077725
information,0.0035791963849077725
job,0.0035791963849077725
left,0.0035791963849077725
mauvais,0.0035791963849077725
mieux,0.0035791963849077725
puis,0.0035791963849077725
reste,0.0035791963849077725
secret,0.0035791963849077725
trace,0.0035791963849077725
turn,0.0035791963849077725
acces,0.0034850070063575677
big,0.0034850070063575677
die,0.0034850070063575677
donc,0.0034850070063575677
endroit,0.0034850070063575677
fbi,0.0034850070063575677
inside,0.0034850070063575677
jour,0.0034850070063575677
kid,0.0034850070063575677
leave,0.0034850070063575677
location,0.0034850070063575677
pay,0.0034850070063575677
shut,0.0034850070063575677
suppose,0.0034850070063575677
trois,0.0034850070063575677
tunnel,0.0034850070063575677
won,0.0034850070063575677
year,0.0034850070063575677
arreter,0.0033908176278073634
cote,0.0033908176278073634
femme,0.0033908176278073634
four,0.0033908176278073634
halloween,0.0033908176278073634
laisse,0.0033908176278073634
mettre,0.0033908176278073634
moyen,0.0033908176278073634
nouveau,0.0033908176278073634
partie,0.0033908176278073634
remember,0.0033908176278073634
sound,0.0033908176278073634
accident,0.0032966282492571585
arrete,0.0032966282492571585
combien,0.0032966282492571585
communication,0.0032966282492571585
dea,0.0032966282492571585
depuis,0.0032966282492571585
dieu,0.0032966282492571585
drive,0.0032966282492571585
emp,0.0032966282492571585
es,0.0032966282492571585
fast,0.0032966282492571585
god,0.0032966282492571585
laisser,0.0032966282492571585
means,0.0032966282492571585
million,0.0032966282492571585
next,0.0032966282492571585
papa,0.0032966282492571585
perdu,0.0032966282492571585
scanner,0.0032966282492571585
security,0.0032966282492571585
show,0.0032966282492571585
someone,0.0032966282492571585
team,0.0032966282492571585
worry,0.0032966282492571585
10,0.003202438870706954
20,0.003202438870706954
annie,0.003202438870706954
approach,0.003202438870706954
certain,0.003202438870706954
donnees,0.003202438870706954
end,0.003202438870706954
girl,0.003202438870706954
government,0.003202438870706954
guess,0.003202438870706954
home,0.003202438870706954
love,0.003202438870706954
situation,0.003202438870706954
telephone,0.003202438870706954
without,0.003202438870706954
active,0.00310824949215675
ami,0.00310824949215675
both,0.00310824949215675
charge,0.00310824949215675
close,0.00310824949215675
ecoute,0.00310824949215675
falloir,0.00310824949215675
ffff00,0.00310824949215675
line,0.00310824949215675
problem,0.00310824949215675
self,0.00310824949215675
sonny,0.00310824949215675
speed,0.00310824949215675
www,0.00310824949215675
arrow,0.003014060113606545
assez,0.003014060113606545
bring,0.003014060113606545
cible,0.003014060113606545
continue,0.003014060113606545
hank,0.003014060113606545
life,0.003014060113606545
nikki,0.003014060113606545
petit,0.003014060113606545
phil,0.003014060113606545
ryan,0.003014060113606545
seem,0.003014060113606545
swat,0.003014060113606545
under,0.003014060113606545
utiliser,0.003014060113606545
whoa,0.003014060113606545
actually,0.0029198707350563406
affaire,0.0029198707350563406
appear,0.0029198707350563406
boy,0.0029198707350563406
burber,0.0029198707350563406
cell,0.0029198707350563406
coming,0.0029198707350563406
dernier,0.0029198707350563406
destruction,0.0029198707350563406
devon,0.0029198707350563406
donner,0.0029198707350563406
found,0.0029198707350563406
fun,0.0029198707350563406
jack,0.0029198707350563406
kind,0.0029198707350563406
mal,0.0029198707350563406
money,0.0029198707350563406
prison,0.0029198707350563406
shot,0.0029198707350563406
stay,0.0029198707350563406
video,0.0029198707350563406
wanna,0.0029198707350563406
able,0.002825681356506136
attack,0.002825681356506136
chercher,0.002825681356506136
demande,0.002825681356506136
driscoll,0.002825681356506136
else,0.002825681356506136
exploser,0.002825681356506136
figure,0.002825681356506136
importer,0.002825681356506136
less,0.002825681356506136
megan,0.002825681356506136
talk,0.002825681356506136
utilise,0.002825681356506136
vitesse,0.002825681356506136
arm,0.0027314919779559315
ba,0.0027314919779559315
beaucoup,0.0027314919779559315
blow,0.0027314919779559315
date,0.0027314919779559315
dude,0.0027314919779559315
eh,0.0027314919779559315
enough,0.0027314919779559315
ensemble,0.0027314919779559315
five,0.0027314919779559315
genre,0.0027314919779559315
high,0.0027314919779559315
industry,0.0027314919779559315
interieur,0.0027314919779559315
isn,0.0027314919779559315
johnny,0.0027314919779559315
machine,0.0027314919779559315
military,0.0027314919779559315
parti,0.0027314919779559315
pret,0.0027314919779559315
sgt,0.0027314919779559315
shoot,0.0027314919779559315
truck,0.0027314919779559315
allons,0.002637302599405727
ambassador,0.002637302599405727
attend,0.002637302599405727
jusqu,0.002637302599405727
late,0.002637302599405727
matheson,0.002637302599405727
mourir,0.002637302599405727
pretty,0.002637302599405727
site,0.002637302599405727
steal,0.002637302599405727
tant,0.002637302599405727
œil,0.002637302599405727
100,0.0025431132208555223
30,0.0025431132208555223
ambassadrice,0.0025431132208555223
ask,0.0025431132208555223
attaque,0.0025431132208555223
attendre,0.0025431132208555223
attention,0.0025431132208555223
camion,0.0025431132208555223
case,0.0025431132208555223
comprendre,0.0025431132208555223
destruct,0.0025431132208555223
devant,0.0025431132208555223
gouverneming,0.0025431132208555223
gunnar,0.0025431132208555223
initiate,0.0025431132208555223
pendant,0.0025431132208555223
perdre,0.0025431132208555223
propos,0.0025431132208555223
ready,0.0025431132208555223
souvenir,0.0025431132208555223
tireur,0.0025431132208555223
vite,0.0025431132208555223
yet,0.0025431132208555223
12,0.002448923842305318
care,0.002448923842305318
colis,0.002448923842305318
control,0.002448923842305318
current,0.002448923842305318
entre,0.002448923842305318
garde,0.002448923842305318
haas,0.002448923842305318
hide,0.002448923842305318
impossible,0.002448923842305318
mi,0.002448923842305318
miss,0.002448923842305318
portable,0.002448923842305318
service,0.002448923842305318
type,0.002448923842305318
yourself,0.002448923842305318
zone,0.002448923842305318
always,0.0023547344637551136
bouger,0.0023547344637551136
chaque,0.0023547344637551136
connaître,0.0023547344637551136
entendu,0.0023547344637551136
friend,0.0023547344637551136
hold,0.0023547344637551136
match,0.0023547344637551136
mot,0.0023547344637551136
mr,0.0023547344637551136
old,0.0023547344637551136
order,0.0023547344637551136
ouvrer,0.0023547344637551136
own,0.0023547344637551136
power,0.0023547344637551136
rentrer,0.0023547344637551136
retrouver,0.0023547344637551136
set,0.0023547344637551136
skyler,0.0023547344637551136
tard,0.0023547344637551136
tech,0.0023547344637551136
traceur,0.0023547344637551136
understand,0.0023547344637551136
voice,0.0023547344637551136
while,0.0023547344637551136
word,0.0023547344637551136
wouldn,0.0023547344637551136
armee,0.0022605450852049088
body,0.0022605450852049088
clear,0.0022605450852049088
corps,0.0022605450852049088
dehors,0.0022605450852049088
different,0.0022605450852049088
envoyer,0.0022605450852049088
gagner,0.0022605450852049088
image,0.0022605450852049088
jet,0.0022605450852049088
la,0.0022605450852049088
ligne,0.0022605450852049088
maison,0.0022605450852049088
nano,0.0022605450852049088
party,0.0022605450852049088
regarder,0.0022605450852049088
screen,0.0022605450852049088
soir,0.0022605450852049088
terre,0.0022605450852049088
vehicle,0.0022605450852049088
watch,0.0022605450852049088
whole,0.0022605450852049088
000,0.0021663557066547044
almost,0.0021663557066547044
also,0.0021663557066547044
avez,0.0021663557066547044
cas,0.0021663557066547044
database,0.0021663557066547044
death,0.0021663557066547044
derriere,0.0021663557066547044
download,0.0021663557066547044
eddie,0.0021663557066547044
garder,0.0021663557066547044
hang,0.0021663557066547044
hope,0.0021663557066547044
jeu,0.0021663557066547044
listen,0.0021663557066547044
niveau,0.0021663557066547044
pick,0.0021663557066547044
rapport,0.0021663557066547044
sauver,0.0021663557066547044
scan,0.0021663557066547044
search,0.0021663557066547044
side,0.0021663557066547044
stand,0.0021663557066547044
suspect,0.0021663557066547044
tete,0.0021663557066547044
ty,0.0021663557066547044
upload,0.0021663557066547044
account,0.0020721663281044996
antidote,0.0020721663281044996
appel,0.0020721663281044996
behind,0.0020721663281044996
boost,0.0020721663281044996
boulot,0.0020721663281044996
buy,0.0020721663281044996
capable,0.0020721663281044996
conduire,0.0020721663281044996
content,0.0020721663281044996
deal,0.0020721663281044996
entendre,0.0020721663281044996
ever,0.0020721663281044996
gin,0.0020721663281044996
gus,0.0020721663281044996
identifier,0.0020721663281044996
impact,0.0020721663281044996
julie,0.0020721663281044996
lieu,0.0020721663281044996
live,0.0020721663281044996
marche,0.0020721663281044996
militaire,0.0020721663281044996
most,0.0020721663281044996
new,0.0020721663281044996
ordinate,0.0020721663281044996
package,0.0020721663281044996
prochain,0.0020721663281044996
pull,0.0020721663281044996
revenir,0.0020721663281044996
road,0.0020721663281044996
secours,0.0020721663281044996
seuleming,0.0020721663281044996
six,0.0020721663281044996
suggest,0.0020721663281044996
thinke,0.0020721663281044996
wasn,0.0020721663281044996
activate,0.001977976949554295
ahead,0.001977976949554295
answer,0.001977976949554295
aura,0.001977976949554295
blesser,0.001977976949554295
cannot,0.001977976949554295
couple,0.001977976949554295
couverture,0.001977976949554295
cover,0.001977976949554295
cut,0.001977976949554295
disparu,0.001977976949554295
ecran,0.001977976949554295
entend,0.001977976949554295
fais,0.001977976949554295
fonctionner,0.001977976949554295
hurt,0.001977976949554295
level,0.001977976949554295
mere,0.001977976949554295
montre,0.001977976949554295
normal,0.001977976949554295
once,0.001977976949554295
ordre,0.001977976949554295
pilote,0.001977976949554295
pre,0.001977976949554295
premier,0.001977976949554295
probably,0.001977976949554295
salut,0.001977976949554295
sean,0.001977976949554295
signifier,0.001977976949554295
speak,0.001977976949554295
ten,0.001977976949554295
tirer,0.001977976949554295
vers,0.001977976949554295
voix,0.001977976949554295
50,0.0018837875710040906
audio,0.0018837875710040906
bouge,0.0018837875710040906
cherche,0.0018837875710040906
combat,0.0018837875710040906
compris,0.0018837875710040906
consider,0.0018837875710040906
contre,0.0018837875710040906
correct,0.0018837875710040906
cours,0.0018837875710040906
emergency,0.0018837875710040906
etaient,0.0018837875710040906
euh,0.0018837875710040906
extreme,0.0018837875710040906
eye,0.0018837875710040906
face,0.0018837875710040906
gauche,0.0018837875710040906
hafnium,0.0018837875710040906
hard,0.0018837875710040906
hot,0.0018837875710040906
list,0.0018837875710040906
many,0.0018837875710040906
month,0.0018837875710040906
nouvelle,0.0018837875710040906
operation,0.0018837875710040906
real,0.0018837875710040906
save,0.0018837875710040906
send,0.0018837875710040906
soon,0.0018837875710040906
terry,0.0018837875710040906
toucher,0.0018837875710040906
turbo,0.0018837875710040906
web,0.0018837875710040906
wow,0.0018837875710040906
agir,0.0017895981924538863
ago,0.0017895981924538863
already,0.0017895981924538863
apprendre,0.0017895981924538863
beach,0.0017895981924538863
break,0.0017895981924538863
completeming,0.0017895981924538863
confiance,0.0017895981924538863
controle,0.0017895981924538863
debut,0.0017895981924538863
episode,0.0017895981924538863
facon,0.0017895981924538863
feel,0.0017895981924538863
fini,0.0017895981924538863
handle,0.0017895981924538863
indicate,0.0017895981924538863
jouer,0.0017895981924538863
mm,0.0017895981924538863
nobody,0.0017895981924538863
nsa,0.0017895981924538863
objet,0.0017895981924538863
obtenir,0.0017895981924538863
petite,0.0017895981924538863
play,0.0017895981924538863
presque,0.0017895981924538863
rapidement,0.0017895981924538863
renning,0.0017895981924538863
salle,0.0017895981924538863
sens,0.0017895981924538863
serious,0.0017895981924538863
sort,0.0017895981924538863
terrain,0.0017895981924538863
together,0.0017895981924538863
tonight,0.0017895981924538863
truc,0.0017895981924538863
until,0.0017895981924538863
valve,0.0017895981924538863
wend,0.0017895981924538863
within,0.0017895981924538863
afraid,0.0016954088139036817
alive,0.0016954088139036817
alone,0.0016954088139036817
analyse,0.0016954088139036817
attempt,0.0016954088139036817
backup,0.0016954088139036817
balle,0.0016954088139036817
black,0.0016954088139036817
box,0.0016954088139036817
casino,0.0016954088139036817
cia,0.0016954088139036817
coffre,0.0016954088139036817
confirme,0.0016954088139036817
connect,0.0016954088139036817
defense,0.0016954088139036817
dossier,0.0016954088139036817
drone,0.0016954088139036817
eau,0.0016954088139036817
ensuite,0.0016954088139036817
entrer,0.0016954088139036817
footage,0.0016954088139036817
fr,0.0016954088139036817
gun,0.0016954088139036817
harley,0.0016954088139036817
haven,0.0016954088139036817
hmm,0.0016954088139036817
hospital,0.0016954088139036817
house,0.0016954088139036817
identify,0.0016954088139036817
inquiet,0.0016954088139036817
internet,0.0016954088139036817
jake,0.0016954088139036817
lance,0.0016954088139036817
lot,0.0016954088139036817
ni,0.0016954088139036817
nombre,0.0016954088139036817
prepare,0.0016954088139036817
race,0.0016954088139036817
reason,0.0016954088139036817
record,0.0016954088139036817
report,0.0016954088139036817
research,0.0016954088139036817
ride,0.0016954088139036817
selon,0.0016954088139036817
state,0.0016954088139036817
stuff,0.0016954088139036817
sud,0.0016954088139036817
systemes,0.0016954088139036817
temperature,0.0016954088139036817
travaill,0.0016954088139036817
valdor,0.0016954088139036817
ah,0.001601219435353477
anyone,0.001601219435353477
army,0.001601219435353477
aujourd,0.001601219435353477
beau,0.001601219435353477
building,0.001601219435353477
carte,0.001601219435353477
central,0.001601219435353477
chambre,0.001601219435353477
chef,0.001601219435353477
club,0.001601219435353477
demander,0.001601219435353477
detecte,0.001601219435353477
devenir,0.001601219435353477
easy,0.001601219435353477
espere,0.001601219435353477
excuse,0.001601219435353477
far,0.001601219435353477
hopital,0.001601219435353477
hostage,0.001601219435353477
hotel,0.001601219435353477
hui,0.001601219435353477
incendie,0.001601219435353477
intercept,0.001601219435353477
liste,0.001601219435353477
memory,0.001601219435353477
mets,0.001601219435353477
mom,0.001601219435353477
monsieur,0.001601219435353477
otage,0.001601219435353477
pentagon,0.001601219435353477
personnel,0.001601219435353477
plage,0.001601219435353477
poison,0.001601219435353477
projet,0.001601219435353477
propre,0.001601219435353477
radio,0.001601219435353477
rand,0.001601219435353477
retour,0.001601219435353477
sauf,0.001601219435353477
sell,0.001601219435353477
somebody,0.001601219435353477
sujet,0.001601219435353477
taking,0.001601219435353477
tape,0.001601219435353477
vas,0.001601219435353477
vital,0.001601219435353477
window,0.001601219435353477
état,0.001601219435353477
17,0.0015070300568032725
altitude,0.0015070300568032725
approche,0.0015070300568032725
assassin,0.0015070300568032725
bite,0.0015070300568032725
ceci,0.0015070300568032725
change,0.0015070300568032725
coupe,0.0015070300568032725
dedans,0.0015070300568032725
detect,0.0015070300568032725
diriger,0.0015070300568032725
doc,0.0015070300568032725
dollar,0.0015070300568032725
either,0.0015070300568032725
faux,0.0015070300568032725
fou,0.0015070300568032725
game,0.0015070300568032725
gros,0.0015070300568032725
hangar,0.0015070300568032725
happening,0.0015070300568032725
huh,0.0015070300568032725
human,0.0015070300568032725
idiot,0.0015070300568032725
important,0.0015070300568032725
its,0.0015070300568032725
loin,0.0015070300568032725
matt,0.0015070300568032725
metal,0.0015070300568032725
mind,0.0015070300568032725
outside,0.0015070300568032725
ow,0.0015070300568032725
pilot,0.0015070300568032725
pote,0.0015070300568032725
rencontrer,0.0015070300568032725
revoir,0.0015070300568032725
richard,0.0015070300568032725
robot,0.0015070300568032725
sarge,0.0015070300568032725
savon,0.0015070300568032725
