Mot,Poids
le,0.3862126878905844
be,0.30465209157610795
être,0.30182098123014817
je,0.2862375651519521
de,0.22383004578666454
you,0.2148443477320965
un,0.2076804076392765
tu,0.1998271537230924
que,0.1946080633461926
pa,0.19076760061602108
ne,0.17173761542100438
to,0.12959099879245514
ce,0.12868011981158112
il,0.1284339363032368
the,0.12675988844649536
eat,0.11334288724172939
ca,0.10083676501783743
on,0.09992588603696341
faire,0.09906424375775827
it,0.09761176105852672
qu,0.08734590876056816
avoir,0.08540105904464797
aller,0.07813864554849025
pour,0.07589837562255684
en,0.07459360302833189
kyle,0.07301802857492819
that,0.0715409275248622
pouvoir,0.07023615493063726
have,0.06627260044629354
and,0.06447546083537994
vous,0.06420465897620117
son,0.06366305525784366
tout,0.06248137441779087
elle,0.06122583852523479
savoir,0.05957640901932778
vouloir,0.05923175210764572
mais,0.05652373351585809
as,0.05647449681418923
do,0.055317434324970875
he,0.05366800481906387
what,0.05019681735140882
we,0.04761189051379336
of,0.047094905146270266
moi,0.04707028679543583
qui,0.045420857289528827
si,0.045199292132018926
ton,0.04342677087193975
avec,0.042097379926880375
bien,0.04160501291019172
in,0.04069413392931769
plus,0.040669515578483265
dans,0.039955583404284706
know,0.03951245308926491
etre,0.03882313926590079
toi,0.03618897572661646
this,0.03505653158823255
voir,0.03503191323739811
devoir,0.03456416457154389
for,0.033899469099014194
dire,0.0333824837314911
not,0.03291473506563688
my,0.032865498363968015
jessi,0.03279164331146471
can,0.032643933206458114
du,0.03249622310145152
don,0.03207771113726616
get,0.03175767257641853
but,0.0312899239105643
sur,0.031216068858061004
quoi,0.03069908349053791
non,0.030600610087200178
choose,0.030477518333028013
etait,0.030379044929690284
just,0.029911296263836058
with,0.02978820450966389
your,0.02877885212545214
she,0.028606523669611108
nous,0.02855728696794224
no,0.02850805026627338
ou,0.027474079531227193
lui,0.02720327767204843
amanda,0.02678476570786307
will,0.026489345497849873
comme,0.025996978481161215
so,0.02570155827114802
mon,0.025676939920313585
penser,0.025603084867810287
pourquoi,0.0246429691852674
about,0.024519877431095235
go,0.02429831227358534
they,0.02429831227358534
au,0.02397827371273771
est,0.023855181958565546
like,0.02272273782018163
mama,0.0224765543118373
want,0.02223037080349297
se,0.022107279049320805
all,0.021861095540976476
her,0.021344110173453383
out,0.02097483491093689
comment,0.020704033051758126
dit,0.020457849543413797
quelque,0.020433231192579362
croire,0.019891627474221837
there,0.019793154070884104
vraiment,0.019768535720049673
quand,0.019276168703361015
alors,0.019029985195016683
here,0.018956130142513385
rien,0.018783801686672354
how,0.018365289722486994
if,0.0180698695124738
good,0.018020632810804932
think,0.017700594249957305
juste,0.01767597589912287
ici,0.017183608882434212
venir,0.017158990531599777
well,0.01669124186574555
josh,0.01666662351491112
lori,0.016469676708235657
oui,0.016395821655732355
see,0.016346584954063492
oh,0.015706507832368235
at,0.015558797727361635
aimer,0.015361850920686171
tell,0.015164904114010709
passe,0.014820247202328647
make,0.014672537097322049
why,0.014647918746487616
up,0.014623300395653183
right,0.014574063693984316
yes,0.014574063693984316
autre,0.014500208641481018
meme,0.014327880185639987
need,0.01410631502813009
say,0.014007841624792359
bon,0.013983223273957925
besoin,0.013884749870620194
toujours,0.01386013151978576
one,0.01376165811644803
now,0.013737039765613596
jamais,0.013047725942249472
trouver,0.012998489240580608
prendre,0.012727687381401844
temp,0.012727687381401844
parler,0.012383030469719784
maintenant,0.01235841211888535
come,0.012333793768050917
could,0.011915281803865557
look,0.011915281803865557
aussi,0.01186604510219669
peu,0.01161986159385236
trager,0.011546006541349062
peut,0.011398296436342464
time,0.011201349629667
declan,0.011176731278832567
falloir,0.011176731278832567
essayer,0.011053639524660402
merci,0.010955166121322671
something,0.010733600963812774
etais,0.01070898261297834
okay,0.010659745911309476
really,0.010635127560475043
par,0.010585890858806176
thing,0.010462799104634012
when,0.010339707350461847
who,0.010315088999627414
encore,0.010265852297958547
aider,0.010167378894620816
adam,0.01011814219295195
personne,0.010068905491283083
didn,0.009995050438779785
ok,0.009896577035442052
let,0.009847340333773187
take,0.009822721982938754
vie,0.00962577517626329
ete,0.009601156825428857
from,0.009404210018753394
ouais,0.009354973317084528
gonna,0.009281118264581228
quelqu,0.009256499913746797
mean,0.009158026510409064
help,0.00913340815957463
trop,0.009059553107071332
back,0.0090349347562369
parce,0.008936461352899168
sarah,0.008911843002064735
vrai,0.008887224651230301
would,0.008837987949561435
tres,0.008813369598727002
