Mot,Poids
le,0.3713660119982548
be,0.36127590953020755
you,0.30688983855098173
the,0.28461625136010554
un,0.22679703348303792
être,0.21972140146187613
to,0.1781886975270093
de,0.17483928591935874
on,0.15909705136340116
je,0.14980243415217087
it,0.14310361093686977
il,0.12690083228486024
that,0.12447250886931359
vous,0.11940652381274214
pa,0.11915531794216834
we,0.11383812701502309
and,0.09805402481396987
ne,0.09399286323969358
this,0.0928205691770159
of,0.09139706924376441
have,0.09018290753599108
he,0.0867916282832449
what,0.0864148194773842
get,0.08591240773623662
eat,0.08419583428731572
in,0.08386089312655066
tu,0.08231179025801229
do,0.08222805496782103
son,0.08218618732272538
ce,0.0818093785168647
que,0.08021840800323068
ca,0.07598977584857187
no,0.06703009979810665
en,0.06682076157262849
faire,0.06627648218638527
aller,0.06451804109236874
they,0.06200598238663082
avoir,0.0615873059356745
pour,0.06070808538866623
know,0.05601890913795546
for,0.05555836504190351
all,0.05430233568903455
yes,0.05145533582253158
right,0.04894327711679367
your,0.04890140947169804
just,0.04735230660315966
not,0.0460962772502907
qu,0.04504958612289991
go,0.044295968511178535
my,0.044128497930796005
can,0.04295620386811831
don,0.04216071861130131
tout,0.041825777450536256
here,0.03989986577613719
with,0.038936909938937656
pouvoir,0.038476365842885704
out,0.03701099826453859
moi,0.03655045416848664
dans,0.035587498331287104
so,0.035461895396000205
there,0.03487574836466136
will,0.03445707191370504
as,0.03428960133332251
du,0.03428960133332251
gonna,0.0337453219470793
but,0.03366158665688804
qui,0.032907969045166664
now,0.032782366109879765
savoir,0.03223808672363655
sur,0.03207061614325402
up,0.031023925015863225
vouloir,0.030479645629620012
quoi,0.030354042694333117
bien,0.030312175049237482
mais,0.029642292727707374
like,0.02863746924541221
good,0.028511866310125315
want,0.026962763441586934
avec,0.026460351700439352
nous,0.026292881120056823
she,0.02604167524948303
elle,0.0259998076043874
si,0.025622998798526714
how,0.024911248831900972
plus,0.024869381186805338
one,0.024827513541709707
ou,0.024743778251518442
guy,0.02466004296132718
about,0.024073895929988334
voir,0.02399016063979707
well,0.023864557704510174
au,0.023404013608458223
mon,0.023236543028075696
come,0.02315280773788443
okay,0.0231109400927888
at,0.023027204802597536
his,0.02290160186731064
see,0.022734131286928114
say,0.022482925416354323
look,0.02239919012616306
parker,0.022315454835971794
if,0.021729307804632947
take,0.02160370486934605
make,0.021226896063485365
non,0.021185028418389734
need,0.020557013741955257
devoir,0.020347675516477096
nate,0.020347675516477096
oh,0.020305807871381462
let,0.020180204936094567
man,0.020096469645903305
who,0.019635925549851354
think,0.019259116743990667
from,0.019091646163608138
tell,0.018547366777364925
oui,0.018044955036217343
lui,0.017668146230356657
her,0.017626278585261022
etait,0.01758441094016539
etre,0.017291337424495967
hardison,0.017291337424495967
se,0.017207602134304705
ici,0.01716573448920907
