Mot,Poids
be,0.36533255625254074
le,0.3324393551576701
you,0.32025844351302774
être,0.2198251681239341
un,0.21920901306019733
vous,0.20356815374995624
the,0.19911287867370572
de,0.18688457048569904
il,0.16920565981079017
to,0.16522435016818332
je,0.15977374768128114
that,0.15266426617662607
pa,0.14309016441702394
he,0.1366916310628344
on,0.1286816152342564
it,0.1285394256041633
que,0.11958147890829791
ne,0.11247199740364287
ce,0.10792192924066364
avoir,0.10024368921563619
do,0.09649936228985119
son,0.09142793214986393
eat,0.09138053560649956
and,0.09081177708612716
we,0.08469762299212381
ca,0.07844127926802737
of,0.07773033111756186
in,0.07645062444672396
what,0.07597665901308029
have,0.07583446938298719
en,0.06450669551890348
know,0.06365355773834487
qu,0.06313219576133683
faire,0.06275302341442189
get,0.06062017896302538
pour,0.05706543821069786
tu,0.05640188660359672
this,0.055501352279673746
for,0.05265755967781173
they,0.05147264609370255
no,0.050761697943237045
not,0.05005074979277154
aller,0.047586129537824456
elle,0.04706476756081642
vouloir,0.04550068162979231
qui,0.045168905826241744
your,0.04512150928287738
savoir,0.04483713002269117
there,0.042182923594286624
my,0.04204073396419352
mais,0.04161416507391422
she,0.041519371987185485
but,0.04038185494644068
etait,0.039102148275602766
with,0.038817769015416566
yes,0.03858078629859473
like,0.03810682086495106
pouvoir,0.03791723469149359
tout,0.03791723469149359
non,0.03734847617112119
don,0.03701670036757062
want,0.03644794184719822
here,0.03616356258701201
just,0.036116166043647646
go,0.03573699369673271
dans,0.03531042480645341
voir,0.03512083863299594
about,0.034078114678979865
say,0.03355675270197183
sur,0.03308278726832816
du,0.03289320109487069
ou,0.03279840800814196
can,0.03246663220459139
all,0.03194527022758335
avec,0.03170828751076152
si,0.03161349442403278
crow,0.03151870133730405
her,0.03142390825057532
moi,0.03118692553375348
out,0.03104473590366038
oui,0.03009680503637304
his,0.029575443059365002
see,0.029575443059365002
so,0.029054081082356964
etre,0.028580115648713295
one,0.02853271910534893
dit,0.02820094330179836
quoi,0.027347805521239752
dire,0.026826443544231717
if,0.026636857370774248
lui,0.02535715069993634
up,0.025262357613207605
why,0.023935254399005332
look,0.023650875138819128
tell,0.023366495878632928
right,0.02331909933526856
as,0.023271702791904193
will,0.023224306248539824
nous,0.02317690970517546
how,0.023129513161811093
think,0.023129513161811093
mon,0.022750340814896155
who,0.02265554772816742
at,0.022608151184803055
pourquoi,0.02222897883788812
reese,0.02203939266443065
when,0.021660220317515716
