Mot,Poids
you,0.42408988857792523
be,0.40574937610715284
le,0.25818505243393736
the,0.21899648426983162
être,0.2032422860129047
to,0.19906742347481907
je,0.17378193527245137
it,0.1484439330758939
un,0.14126264437044472
de,0.13364811521293005
on,0.13005090661093172
tu,0.12636179851910134
il,0.12409056827039437
que,0.1212810695812424
that,0.12093972861900898
we,0.11936430879331629
pa,0.11834028590661605
what,0.11652855310706944
he,0.11566207220293846
ne,0.10828385601927769
vous,0.1048967033940384
and,0.10115508130801826
do,0.1010369248210913
ce,0.09960591847942045
have,0.08927379012258588
eat,0.07667043151704434
of,0.07636847605045324
this,0.07294193792957164
get,0.07215422801672529
qu,0.07102517714164552
aller,0.07036875221427358
faire,0.06959417079997467
in,0.06582629171685965
ca,0.06434277138099903
know,0.06384388843619634
they,0.06222908311486133
avoir,0.06024667983419803
your,0.057765393608732035
go,0.056098074293207276
don,0.054693324948631286
son,0.05314416212003348
for,0.05175254127400493
en,0.050872931871326514
here,0.04994080847445834
not,0.04935002603982357
will,0.04615980089279587
no,0.045844716927657334
my,0.045424604974139283
can,0.044676280556935254
as,0.0443218110961544
just,0.04411175511939538
pour,0.041512312407002434
there,0.04072460249415609
all,0.04050141801884962
so,0.03833521575852217
savoir,0.03828270176433241
tout,0.03804638879047851
gonna,0.037691919329697655
jack,0.03761314833841302
with,0.037403092361654
if,0.03633968397931143
qui,0.03614275650109984
pouvoir,0.03569638755048691
vouloir,0.035328789591158614
right,0.0347511356550713
moi,0.034396666194290444
yes,0.034291638205910926
tell,0.03425225271026861
why,0.034186610217531416
want,0.033740241266918485
but,0.032598061893291286
come,0.03230923492524763
about,0.032046664954298844
she,0.031849737476087256
say,0.03104889906469347
back,0.03103577056614603
si,0.030707558102460054
ou,0.03051063062424847
out,0.0303530886416792
est,0.029985490682350905
up,0.029709792212854684
quoi,0.02961789272302261
how,0.029355322752073826
elle,0.028606998334869797
sur,0.02859386983632236
now,0.028488841847942845
dans,0.02839694235811077
where,0.027648617940906745
bien,0.027084092503366863
her,0.025548058173316488
mais,0.0253511306951049
one,0.025311745199462585
see,0.025311745199462585
okay,0.024996661234324046
well,0.024156437327287943
good,0.023788839367959648
nous,0.023788839367959648
need,0.023421241408631353
