Mot,Poids
be,0.40169578648708615
you,0.33269988409486606
le,0.3102762158173945
être,0.2376662423474867
je,0.21351767651020967
the,0.20460570578454793
to,0.19807573645099852
un,0.19585801101696287
it,0.1731468598128571
de,0.1617707497160446
pa,0.14357718735904848
ne,0.1381971497320361
that,0.12628714277147426
vous,0.12378193441080439
il,0.12103031211301941
tu,0.11766265497244677
have,0.11174872048168505
que,0.11031130584851379
on,0.10846320132015075
and,0.1058758549804425
eat,0.09729243617093417
don,0.09072139784786559
do,0.09026963896315462
of,0.08813405150815733
ce,0.08809298251863816
we,0.0828361518601833
in,0.08078270238422436
he,0.07807214907595857
ca,0.07716863130653664
what,0.07527945778865443
avoir,0.06809238462279817
son,0.06644962504203102
en,0.06628534908395431
this,0.06624428009443513
know,0.06279448497482412
faire,0.06098744943598026
aller,0.057784068253484325
pour,0.055812756756563754
go,0.05408785919675825
they,0.05113089195137739
for,0.0509255470037815
qu,0.049816684286763675
your,0.04866675258022667
get,0.048214993695515705
my,0.048214993695515705
want,0.047640027842247204
will,0.04747575188417049
not,0.04657223411474856
vouloir,0.04583299230340335
savoir,0.043861680806482777
can,0.043779542827444416
tout,0.04209571425715809
with,0.03975478185456491
no,0.03901554004321969
like,0.03778347035764434
mais,0.03770133237860598
about,0.03737278046245255
but,0.037208504504375836
as,0.036592469661588155
just,0.03523719300745526
there,0.03445688220659087
pouvoir,0.03433367523803333
bien,0.0342104682694758
good,0.03384084736380319
so,0.03351229544764976
nous,0.03273198464678537
voir,0.03232129475159358
si,0.03174632889832508
at,0.031171363045056577
moi,0.03084281112890315
here,0.030719604160345613
dans,0.03026784527563465
say,0.030062500328038755
think,0.029775017401404504
du,0.029733948411885324
all,0.028625085694867502
elle,0.028173326810156538
non,0.028173326810156538
au,0.027187671061696252
avec,0.027064464093138715
mon,0.027064464093138715
sur,0.026694843187466108
qui,0.026489498239870214
see,0.026407360260831857
she,0.02603773935515925
quoi,0.025585980470448286
ton,0.024394979774392103
well,0.024394979774392103
if,0.023778944931604425
plus,0.02365573796304689
dire,0.02357359998400853
ou,0.023491462004970175
etre,0.023203979078335924
how,0.02303970312025921
out,0.022218323329875635
make,0.02217725434035646
look,0.022095116361318102
draper,0.021848702424203028
tell,0.02180763343468385
comme,0.021602288487087958
one,0.021561219497568777
up,0.020493425770070135
toi,0.019959528906320814
devoir,0.019795252948244097
etait,0.019507770021609847
right,0.019056011136898882
her,0.018973873157860525
come,0.018932804168341345
now,0.017741803472285166
take,0.01765966549324681
ici,0.017495389535170096
lui,0.017248975598055022
se,0.016920423681901595
aimer,0.01675614772382488
why,0.016263319849594737
work,0.016263319849594737
would,0.016016905912479663
dit,0.015975836922960486
penser,0.01552407803824952
some,0.015195526122096091
prendre,0.015154457132576913
pourquoi,0.015072319153538556
mr,0.014908043195461842
mama,0.014866974205942662
man,0.014784836226904305
who,0.014743767237385127
time,0.014579491279308413
really,0.014497353300270055
should,0.014333077342193341
venir,0.014292008352674163
when,0.014250939363154984
call,0.014086663405078269
thing,0.014004525426039912
bon,0.013963456436520734
let,0.013881318457482375
need,0.013881318457482375
something,0.01375811148892484
yes,0.01375811148892484
people,0.013552766541328946
from,0.013511697551809768
choose,0.013265283614694697
didn,0.013224214625175517
oui,0.013224214625175517
his,0.012895662709022088
est,0.01285459371950291
rien,0.012772455740464553
very,0.012772455740464553
way,0.012690317761426196
or,0.012443903824311124
alors,0.012402834834791945
comment,0.01227962786623441
quand,0.01223855887671523
etes,0.012115351908157695
could,0.012074282918638516
sorry,0.011868937971042623
where,0.011868937971042623
autre,0.011704662012965909
thank,0.011704662012965909
meme,0.01166359302344673
because,0.011622524033927552
merci,0.011581455044408372
tres,0.011540386054889194
love,0.01137611009681248
cooper,0.011335041107293302
new,0.011252903128254943
croire,0.010883282222582336
par,0.0107600752540248
juste,0.010719006264505622
