Mot,Poids
be,0.3910165964799348
you,0.3020306866362895
le,0.29802381639942743
the,0.219722893854081
je,0.21646089052022535
être,0.21459872326270932
to,0.21421344727839564
un,0.19881525043865966
de,0.1880403654106876
que,0.15520200901435321
vous,0.1500521533573606
that,0.14437575385513932
ne,0.14081837226664318
it,0.13840397609827756
pa,0.13679865949697065
il,0.1216187857150124
ce,0.11771465574063397
and,0.1105998925636417
eat,0.10080104002926424
have,0.09400734017253334
on,0.09321110313828511
he,0.09192684985723958
of,0.09120766801985407
tu,0.08536431559109688
son,0.08431122790063954
avoir,0.08405437724443043
do,0.07941822289985603
in,0.07913568717802602
what,0.07555262052390897
qu,0.07552693545828806
ca,0.0753985101301835
this,0.07392161885698113
en,0.06995327621855042
know,0.06851491254377942
faire,0.06658853262221112
we,0.06644726476129612
aller,0.056635569694108205
pour,0.05346346408992573
get,0.052911235179076144
elle,0.05130591857776922
don,0.05128023351214831
savoir,0.05117749324966467
for,0.05108759551999148
pouvoir,0.050047350362344596
she,0.048891522409403615
no,0.047915489915809004
your,0.047363261004959425
go,0.046888087290972574
my,0.04665692170038438
just,0.046631236634763464
tout,0.04500023496783563
not,0.04458927391790106
they,0.04212350761829363
about,0.041237372854372206
qui,0.04028702542639851
but,0.040145757565483504
can,0.039837536778032576
dans,0.0389385594813007
mais,0.03837348803764066
si,0.03825790524234656
her,0.037834101659601535
with,0.03773136139711789
vouloir,0.0371534474206474
so,0.03663974610822918
there,0.03494453177724907
bien,0.03475189378509225
as,0.03357038076653035
all,0.033531853168098986
will,0.03310804958535395
voir,0.033082364519733044
moi,0.03301815185568077
if,0.03164400084496204
see,0.03087344887633472
du,0.030860606343524267
sur,0.029627723193720548
think,0.02910117934849188
tell,0.02893422642195596
well,0.02876727349542004
like,0.028394840043916833
here,0.02820220205176
at,0.02784261113306725
etre,0.027752713403394066
want,0.027688500739341787
dire,0.027341752353459495
non,0.027097744230060842
etait,0.026776680909799455
allison,0.02663541304888445
ou,0.026584042917642627
say,0.02632719226143352
out,0.02587770361306758
oh,0.025749278284963026
nous,0.025415372431891188
right,0.02537684483345982
au,0.02396416622430973
avec,0.023887111027447
okay,0.023707315568100622
mon,0.02351467757594379
yes,0.02298813373071512
up,0.022911078533852387
look,0.02274412560731647
penser,0.022371692155813264
quoi,0.022307479491760988
who,0.021639667785617305
one,0.021472714859081386
his,0.021151651538820003
lui,0.02099754114509454
est,0.020894800882610896
plus,0.020727847956074973
now,0.020085721315552207
how,0.019764657995290823
dit,0.019726130396859456
choose,0.019636232667186268
come,0.019623390134375814
make,0.019443594675029437
call,0.01851893231267665
se,0.018120813795552533
good,0.018043758598689803
mama,0.017594269950323864
thing,0.017388789425356578
rien,0.0172089939660102
ton,0.017183308900389292
when,0.017054883572284737
really,0.016926458244180185
time,0.016643922522350165
devoir,0.0164898121286247
dubois,0.016284331603657415
mean,0.016232961472415593
from,0.016207276406794684
take,0.01586052802091239
something,0.015834842955291476
didn,0.01538535430692554
comme,0.015218401380389619
work,0.015128503650716432
or,0.015089976052285065
why,0.014974393256990967
need,0.014666172469540039
some,0.014653329936729582
would,0.014653329936729582
sorry,0.014524904608625029
dream,0.014460691944572753
venir,0.014319424083657743
back,0.013600242246272242
uh,0.013574557180651332
sure,0.013458974385357233
meme,0.013420446786925867
fille,0.013214966261958581
mr,0.013214966261958581
man,0.013202123729148125
ici,0.01318928119633767
could,0.01316359613071676
quand,0.01299664320418084
maybe,0.012829690277644919
oui,0.012804005212024008
quelque,0.012791162679213553
trouver,0.012444414293331258
hey,0.012354516563658071
let,0.012264618833984883
where,0.012174721104311696
pourquoi,0.012110508440259418
