Mot,Poids
be,0.4056026497673971
you,0.3335684949639026
le,0.3172568094536888
être,0.23350889391467156
un,0.2140224508219329
the,0.21227086043157437
je,0.19026650615269533
de,0.17964748941114675
to,0.16618213828526554
vous,0.1520599407629999
it,0.1425356680154254
pa,0.140017756829285
il,0.1279755728955701
que,0.11669970975763708
that,0.11669970975763708
ne,0.11188283618415111
on,0.11013124579379259
he,0.10192066583898697
have,0.09863643385706473
and,0.094147983481771
ce,0.09349113708538655
of,0.0861563523257602
tu,0.08177737634986387
son,0.08046368355709498
eat,0.07893104196553127
what,0.07871209316673645
do,0.0754278611848142
avoir,0.0740046939926479
know,0.07323837319686605
this,0.07290994999867383
ca,0.07082993641012307
in,0.07061098761132825
we,0.06907834601976454
en,0.06820255082458528
vampire,0.0672172812300086
get,0.0645898956444708
qu,0.060210919668574475
pour,0.05725511088484445
faire,0.0564887900890626
she,0.054956148497498886
elle,0.05473719969870407
no,0.05397087890292221
aller,0.05221928851256368
for,0.051234018917987005
not,0.04992032612521811
yes,0.04860663333244921
mick,0.046526619743898455
pouvoir,0.045103452551732155
but,0.044993978152334746
so,0.04422765735655289
can,0.04378975975896326
don,0.04368028535956585
mais,0.04357081096016844
my,0.04346133656077103
her,0.04313291336257881
savoir,0.04214764376800213
moi,0.039739206981259156
just,0.03941078378306693
they,0.03941078378306693
like,0.03908236058487471
with,0.03842551418849026
your,0.03831603978909285
vouloir,0.03820656538969544
there,0.03787814219150321
qui,0.037221295795118764
etait,0.03645497499933691
du,0.035798128602952464
okay,0.035469705404760236
tout,0.0349223334077732
about,0.03459391020958097
as,0.03459391020958097
go,0.0336086406150043
beth,0.03306126861801726
all,0.03295179421861985
dans,0.03174757582524836
will,0.031638101425850954
out,0.031419152627056135
sur,0.031309678227658726
oh,0.030871780630069096
how,0.029886511035492423
here,0.029667562236697604
si,0.029667562236697604
well,0.029229664639107974
look,0.028572818242723525
etre,0.028353869443928707
non,0.027806497446941667
think,0.027368599849352034
avec,0.027259125449954628
right,0.026930702251762403
want,0.025945432657185727
if,0.025398060660198687
ou,0.025288586260801278
bien,0.025179111861403872
up,0.025179111861403872
voir,0.025069637462006463
gonna,0.024960163062609054
mon,0.02463173986441683
one,0.0241938422668272
see,0.02397489346803238
devoir,0.02342752147104534
dire,0.023318047071647932
now,0.023318047071647932
say,0.023099098272853117
at,0.022551726275866078
tell,0.022551726275866078
au,0.022004354278879035
plus,0.021566456681289405
come,0.02112855908369977
coraline,0.020690661486110137
from,0.02003381508972569
good,0.01992434069032828
tierney,0.01992434069032828
back,0.019814866290930874
lui,0.019705391891533464
who,0.01926749429394383
when,0.01872012229695679
hey,0.018282224699367158
take,0.017953801501174933
his,0.017844327101777527
blood,0.017734852702380118
comme,0.017515903903585303
choose,0.017406429504187894
ton,0.017406429504187894
croire,0.017296955104790485
kill,0.01718748070539308
make,0.01718748070539308
why,0.01718748070539308
quoi,0.01696853190659826
sing,0.01696853190659826
nous,0.016749583107803445
time,0.016640108708406036
oui,0.01653063430900863
uh,0.01653063430900863
etes,0.01631168551021381
ici,0.016092736711418996
josef,0.015983262312021587
really,0.015764313513226772
didn,0.015545364714431955
dit,0.015545364714431955
mort,0.015545364714431955
need,0.015435890315034548
call,0.015326415915637139
guy,0.015216941516239731
est,0.015107467116842323
se,0.015107467116842323
comment,0.014888518318047507
some,0.01466956951925269
let,0.014560095119855282
or,0.014560095119855282
something,0.014560095119855282
police,0.014231671921663058
work,0.014231671921663058
penser,0.014012723122868241
rien,0.014012723122868241
thing,0.014012723122868241
would,0.014012723122868241
john,0.013793774324073426
pourquoi,0.013793774324073426
toi,0.013465351125881202
way,0.013355876726483792
human,0.013136927927688976
where,0.013027453528291568
year,0.01291797912889416
quand,0.012808504729496751
st,0.012808504729496751
trouver,0.012808504729496751
maybe,0.012589555930701936
never,0.012589555930701936
could,0.01237060713190712
font,0.01237060713190712
humain,0.01237060713190712
mean,0.01237060713190712
alors,0.012151658333112303
prendre,0.012151658333112303
then,0.011932709534317488
turn,0.011823235134920078
venir,0.011823235134920078
meme,0.011494811936727854
autre,0.011275863137933039
accord,0.011056914339138222
quelque,0.010947439939740814
sure,0.010947439939740814
toujours,0.010947439939740814
off,0.010837965540343405
par,0.010728491140945998
aimer,0.01061901674154859
merci,0.01061901674154859
peut,0.01050954234215118
thank,0.01050954234215118
find,0.010400067942753773
mama,0.010400067942753773
people,0.010400067942753773
ete,0.010290593543356366
buzzwire,0.010181119143958956
etais,0.010181119143958956
jamais,0.010181119143958956
seul,0.010181119143958956
vraiment,0.010181119143958956
should,0.010071644744561549
into,0.00996217034516414
man,0.009852695945766732
try,0.009852695945766732
ouais,0.009743221546369325
give,0.009524272747574508
josh,0.009524272747574508
love,0.0094147983481771
femme,0.009305323948779691
by,0.009195849549382283
long,0.009086375149984876
only,0.009086375149984876
still,0.009086375149984876
tuer,0.009086375149984876
deux,0.008976900750587467
parler,0.008976900750587467
quelqu,0.008976900750587467
thought,0.008976900750587467
type,0.008976900750587467
even,0.008867426351190059
jay,0.008867426351190059
keep,0.008867426351190059
lee,0.008867426351190059
happen,0.008757951951792652
other,0.008757951951792652
passe,0.008757951951792652
bon,0.008648477552395242
dead,0.008539003152997835
dominic,0.008539003152997835
little,0.008539003152997835
friend,0.008429528753600427
more,0.008429528753600427
new,0.008429528753600427
shepherd,0.008320054354203018
story,0.008320054354203018
ami,0.00821057995480561
help,0.00821057995480561
com,0.008101105555408203
connaître,0.008101105555408203
down,0.008101105555408203
hear,0.008101105555408203
lot,0.008101105555408203
maureen,0.008101105555408203
night,0.007991631156010794
photo,0.007991631156010794
too,0.007991631156010794
two,0.007991631156010794
maintenant,0.007882156756613386
over,0.007882156756613386
sorry,0.007882156756613386
girl,0.007772682357215978
kind,0.007772682357215978
much,0.007772682357215978
feel,0.007663207957818569
nothing,0.007663207957818569
stop,0.007663207957818569
vie,0.007663207957818569
www,0.007663207957818569
any,0.007553733558421162
depuis,0.007553733558421162
morgan,0.007553733558421162
juste,0.007444259159023753
personne,0.007444259159023753
wait,0.007444259159023753
after,0.007334784759626345
doing,0.007334784759626345
jacob,0.007334784759626345
tres,0.007334784759626345
anything,0.007225310360228937
last,0.007225310360228937
meet,0.007225310360228937
someone,0.007225310360228937
fille,0.007115835960831529
our,0.007115835960831529
temp,0.007115835960831529
murder,0.0070063615614341206
name,0.0070063615614341206
beaucoup,0.006896887162036713
doesn,0.006896887162036713
appeler,0.006787412762639305
aussi,0.006787412762639305
found,0.006787412762639305
minute,0.006787412762639305
peu,0.006787412762639305
use,0.006787412762639305
wasn,0.006787412762639305
always,0.006677938363241896
apres,0.006677938363241896
before,0.006677938363241896
die,0.006677938363241896
doit,0.006568463963844488
encore,0.006568463963844488
salut,0.006568463963844488
again,0.00645898956444708
day,0.00645898956444708
fois,0.00645898956444708
quel,0.006349515165049672
because,0.006130566366254856
besoin,0.006130566366254856
emma,0.006130566366254856
essayer,0.006130566366254856
god,0.006130566366254856
gotta,0.006130566366254856
nuit,0.006130566366254856
san,0.006130566366254856
stay,0.006130566366254856
turner,0.006130566366254856
aucun,0.0060210919668574475
first,0.0060210919668574475
movie,0.0060210919668574475
talk,0.0060210919668574475
accident,0.005911617567460039
gen,0.005911617567460039
isn,0.005911617567460039
being,0.005802143168062632
celui,0.005802143168062632
color,0.005802143168062632
dieu,0.005802143168062632
life,0.005802143168062632
question,0.005802143168062632
devenir,0.005692668768665223
everything,0.005692668768665223
haggans,0.005692668768665223
place,0.005692668768665223
please,0.005692668768665223
very,0.005692668768665223
hello,0.005583194369267815
heure,0.005583194369267815
old,0.005583194369267815
than,0.005583194369267815
around,0.005473719969870407
avant,0.005473719969870407
moonlight,0.005473719969870407
wife,0.005473719969870407
arrive,0.005364245570472999
ever,0.005364245570472999
