Mot,Poids
le,0.45251832688258975
be,0.311356709659138
un,0.2940425619556048
de,0.2714646485066381
être,0.2526276503358726
je,0.24388781287175645
pa,0.16357400344771936
que,0.15910476838084178
the,0.14794823343611777
you,0.14606122307454722
eat,0.14563085229032938
il,0.13503710990958254
to,0.13457363368042485
on,0.1254365308770307
ce,0.114611050381705
avoir,0.11163156033711996
tu,0.10573879113782952
ne,0.10242824664384613
faire,0.1011371342911926
son,0.09471467797286483
pour,0.08806048353995821
it,0.08574310239416984
and,0.08349193213826113
en,0.08233324156536695
ca,0.08067796931837524
aller,0.07617562880655783
qu,0.07554662535270099
that,0.07127602295546241
vous,0.06892553636473421
mais,0.06144370580833174
he,0.060880913244354566
of,0.05747105241555167
have,0.05621304550783798
etait,0.05611372917301848
randy,0.054855722265304795
pouvoir,0.05429292970132762
get,0.05356460991265127
in,0.052306603004937585
we,0.050816857982645056
earl,0.050618225313006054
dans,0.05058511986806622
tout,0.050518908978186554
my,0.04654625558540648
vouloir,0.04641383380564715
moi,0.04482477244853512
qui,0.04465924522383595
mon,0.04426197988455794
si,0.043930925435159605
do,0.04297086753190442
du,0.04287155119708492
plus,0.04171286062419073
avec,0.040752802720935545
savoir,0.03922995225370319
elle,0.03856784335490651
for,0.03813747257068867
as,0.03793883990104967
sur,0.037508469116831825
joy,0.03714430922249365
ton,0.03678014932815548
this,0.03572077509008079
bien,0.035058666191284116
mama,0.03502556074634428
what,0.03340339394429242
au,0.03284060138031524
etre,0.0324102305960974
but,0.03135085635802272
devoir,0.03121843457826338
comme,0.031019801908624377
se,0.030092849450309028
voir,0.02893415887741484
go,0.028768631652715673
ou,0.027940995529219824
out,0.027808573749460486
with,0.02764304652476132
quand,0.027047148515844308
your,0.026682988621506136
nous,0.0265505668417468
oh,0.026285723282228127
they,0.026186406947408626
like,0.025921563387889954
know,0.025590508938491616
just,0.025424981713792445
non,0.024630451035236433
so,0.02443181836559743
lui,0.023802814911740584
not,0.022875862453425235
don,0.022544808004026896
dire,0.022445491669207392
all,0.02158475010077171
can,0.021319906541253042
choose,0.021319906541253042
no,0.02105506298173437
quoi,0.020525375862697027
up,0.020359848637997856
toi,0.020326743193058022
will,0.01969773973920118
meme,0.01936668528980284
make,0.019300474399923172
about,0.01877078728088583
good,0.018572154611246824
liste,0.01843973283148749
if,0.018241100161848486
one,0.01784383482257048
aimer,0.01774451848775098
prendre,0.017446569483292474
penser,0.01642030069015762
juste,0.016387195245217787
want,0.016254773465458453
there,0.01615545713063895
alors,0.015658875456541443
she,0.015625770011601606
his,0.015559559121721939
karma,0.015460242786902438
darnell,0.015427137341962605
etais,0.01506297744762443
aussi,0.014996766557744763
when,0.014930555667865095
par,0.014864344777985428
venir,0.014864344777985428
dit,0.014698817553286258
trouver,0.014698817553286258
see,0.014665712108346423
look,0.014367763103887918
at,0.014202235879188748
pourquoi,0.014169130434248915
bon,0.014036708654489579
autre,0.014003603209549745
thing,0.014003603209549745
here,0.013904286874730243
her,0.013804970539910743
quelque,0.013771865094970907
parce,0.013573232425331904
croire,0.013473916090512402
jamais,0.013374599755692902
how,0.013242177975933566
deux,0.012977334416414894
back,0.012844912636655558
truc,0.012679385411956389
fois,0.012613174522076722
essayer,0.012414541852437717
say,0.012414541852437717
gonna,0.012381436407497884
little,0.012282120072678381
time,0.012282120072678381
comment,0.01218280373785888
ici,0.01218280373785888
now,0.01218280373785888
think,0.011951065623280042
vie,0.011951065623280042
femme,0.011917960178340209
right,0.01175243295364104
oui,0.01168622206376137
come,0.011520694839062201
rien,0.011520694839062201
take,0.011487589394122368
man,0.011255851279543531
est,0.011189640389663863
toujours,0.011189640389663863
petit,0.01099100772002486
guy,0.010924796830145191
falloir,0.010891691385205357
could,0.010858585940265524
who,0.010792375050385855
tell,0.010726164160506188
didn,0.01039510971110785
jour,0.01039510971110785
encore,0.010362004266168016
donc,0.010295793376288347
camden,0.010262687931348513
from,0.010262687931348513
off,0.010163371596529011
temp,0.010163371596529011
peu,0.010030949816769675
vraiment,0.010030949816769675
some,0.009997844371829842
maintenant,0.009964738926890008
monde,0.009766106257251005
hey,0.00973300081231117
apres,0.00963368447749167
gen,0.009600579032551834
car,0.009567473587612
let,0.009567473587612
ete,0.009335735473033164
dieu,0.009203313693273828
desole,0.009170208248333995
or,0.009103997358454326
people,0.009070891913514493
seul,0.00887225924387549
need,0.008839153798935654
avant,0.00880604835399582
merci,0.00880604835399582
catalina,0.008739837464116154
tres,0.008739837464116154
voiture,0.008706732019176319
peut,0.008673626574236485
prison,0.008673626574236485
mal,0.008607415684356818
ouais,0.00854120479447715
something,0.00854120479447715
quelqu,0.008508099349537316
trop,0.008508099349537316
give,0.008441888459657649
try,0.008441888459657649
besoin,0.008408783014717813
cause,0.008309466679898313
would,0.00821015034507881
bonne,0.008077728565319475
parler,0.008044623120379641
day,0.008011517675439808
by,0.007978412230499974
pendant,0.007912201340620305
argent,0.007879095895680472
hickey,0.007845990450740638
san,0.007845990450740638
then,0.007812885005800803
aux,0.007779779560860969
passe,0.007746674115921136
yes,0.007746674115921136
our,0.007713568670981302
pere,0.007647357781101634
well,0.007647357781101634
even,0.0076142523361618
mec,0.0076142523361618
vrai,0.007581146891221966
list,0.007548041446282132
enfant,0.0075149360013422985
mere,0.007481830556402464
crab,0.007448725111462631
grand,0.007250092441823627
deja,0.007183881551943959
billie,0.007150776107004125
celui,0.007150776107004125
only,0.007117670662064292
appeler,0.0070845652171244574
chance,0.007051459772184624
personne,0.007051459772184624
too,0.006985248882304956
way,0.006985248882304956
really,0.006952143437365122
aider,0.00685282710254562
where,0.00685282710254562
mettre,0.006819721657605787
regarde,0.006819721657605787
sortir,0.006819721657605787
work,0.006786616212665952
more,0.006753510767726119
never,0.006654194432906616
why,0.006621088987966783
devenir,0.0065879835430269484
frere,0.006554878098087115
ami,0.006521772653147281
depuis,0.006521772653147281
laisse,0.006521772653147281
two,0.006521772653147281
ok,0.0064555617632676135
cool,0.006356245428448111
gar,0.006323139983508278
okay,0.006290034538568443
parle,0.006290034538568443
passer,0.006290034538568443
homme,0.00625692909362861
vole,0.00625692909362861
air,0.006190718203748942
god,0.006190718203748942
mieux,0.006157612758809108
kid,0.006124507313869274
use,0.006124507313869274
down,0.006058296423989606
year,0.006058296423989606
over,0.0059589800891701045
quel,0.0058927691992904365
ernie,0.005859663754350603
chubby,0.005826558309410769
voiler,0.005826558309410769
doing,0.005793452864470935
mort,0.005793452864470935
dis,0.005694136529651433
donne,0.005627925639771766
nouveau,0.005627925639771766
attend,0.005594820194831931
fille,0.005594820194831931
their,0.005561714749892098
wasn,0.005561714749892098
help,0.005528609304952263
laisser,0.005528609304952263
life,0.005528609304952263
arrive,0.00549550386001243
frank,0.00549550386001243
into,0.0054623984150725955
call,0.005429292970132762
doit,0.005429292970132762
place,0.005429292970132762
arriver,0.0053961875251929275
put,0.0053961875251929275
brother,0.005363082080253094
love,0.005363082080253094
mr,0.005363082080253094
type,0.005363082080253094
chez,0.005296871190373426
main,0.005296871190373426
find,0.005263765745433593
keep,0.005263765745433593
raison,0.005263765745433593
salut,0.005263765745433593
sorry,0.005263765745433593
still,0.005263765745433593
accord,0.005230660300493758
etes,0.005230660300493758
bad,0.005197554855553925
nuit,0.00516444941061409
start,0.00516444941061409
again,0.005131343965674257
big,0.005131343965674257
after,0.005098238520734422
baby,0.005098238520734422
ecoute,0.005098238520734422
peur,0.005098238520734422
turn,0.005098238520734422
change,0.005032027630854755
mean,0.004965816740975087
arrete,0.004932711296035253
bebe,0.004932711296035253
commence,0.004899605851095419
heure,0.004899605851095419
merde,0.004899605851095419
happen,0.004866500406155585
part,0.004866500406155585
first,0.0048333949612157515
other,0.0048333949612157515
rendre,0.0048333949612157515
should,0.0048333949612157515
apprendre,0.004800289516275917
decide,0.004800289516275917
assez,0.004767184071336084
rayer,0.00473407862639625
sure,0.00473407862639625
wait,0.00473407862639625
maison,0.004667867736516582
rester,0.004667867736516582
tete,0.004667867736516582
parent,0.004634762291576748
reste,0.004634762291576748
show,0.004634762291576748
because,0.004601656846636914
long,0.004601656846636914
vieux,0.004601656846636914
chercher,0.00456855140169708
gagner,0.00456855140169708
kill,0.004535445956757246
name,0.004535445956757246
thought,0.004535445956757246
aide,0.004502340511817412
friend,0.004502340511817412
maman,0.004469235066877578
plan,0.004469235066877578
stop,0.004469235066877578
thank,0.00440302417699791
mi,0.004369918732058077
while,0.004369918732058077
attendre,0.0043368132871182425
coup,0.0043368132871182425
maybe,0.0043368132871182425
steal,0.0043368132871182425
than,0.0043368132871182425
beaucoup,0.004270602397238575
new,0.004270602397238575
minute,0.004237496952298741
probleme,0.004237496952298741
connaître,0.004171286062419073
dessus,0.004171286062419073
fils,0.004171286062419073
nom,0.004171286062419073
œil,0.004171286062419073
donner,0.00413818061747924
cote,0.004105075172539405
entre,0.004105075172539405
etaient,0.004105075172539405
lot,0.004105075172539405
moins,0.004105075172539405
before,0.004071969727599572
feel,0.004071969727599572
great,0.004071969727599572
mauvais,0.004071969727599572
vivre,0.004071969727599572
kenny,0.004038864282659737
night,0.004038864282659737
tuer,0.004038864282659737
voler,0.004038864282659737
hell,0.004005758837719904
meilleur,0.004005758837719904
papa,0.004005758837719904
always,0.003939547947840236
porte,0.003939547947840236
comprendre,0.003906442502900401
hand,0.003906442502900401
euh,0.003873337057960568
real,0.003873337057960568
dodge,0.003840231613020734
numero,0.003840231613020734
remember,0.003840231613020734
shack,0.003840231613020734
old,0.0038071261680809
regarder,0.0038071261680809
crazy,0.003774020723141066
kind,0.003774020723141066
occuper,0.003774020723141066
manger,0.003740915278201232
point,0.003740915278201232
problem,0.003740915278201232
boulot,0.0037078098332613985
moment,0.0037078098332613985
seuleming,0.0037078098332613985
being,0.0036747043883215646
next,0.0036747043883215646
semaine,0.0036415989433817306
nice,0.0036084934984418966
boy,0.0035753880535020627
hein,0.0035753880535020627
much,0.0035753880535020627
souvenir,0.0035753880535020627
stuff,0.0035753880535020627
own,0.0035422826085622287
pretty,0.0035422826085622287
sentir,0.0035422826085622287
girl,0.0035091771636223948
histoire,0.0035091771636223948
idiot,0.0035091771636223948
petite,0.0035091771636223948
demande,0.003476071718682561
live,0.003476071718682561
revenir,0.003476071718682561
plein,0.0034098608288028933
police,0.0034098608288028933
damn,0.0033767553838630593
around,0.0033436499389232254
ever,0.0033436499389232254
face,0.0033436499389232254
hear,0.0033436499389232254
money,0.0033436499389232254
anything,0.0033105444939833914
marche,0.0033105444939833914
nouvelle,0.0033105444939833914
everything,0.0032774390490435575
ralph,0.0032774390490435575
serum,0.0032774390490435575
gros,0.0032443336041037235
trois,0.0032443336041037235
vite,0.0032443336041037235
dormir,0.0032112281591638895
jouer,0.0032112281591638895
retrouver,0.0032112281591638895
wrong,0.0032112281591638895
acheter,0.0031781227142240556
chaque,0.0031781227142240556
every,0.0031781227142240556
jusqu,0.0031781227142240556
perdre,0.0031781227142240556
someone,0.0031781227142240556
any,0.0031450172692842216
genre,0.0031450172692842216
idee,0.0031450172692842216
la,0.0031450172692842216
since,0.0031450172692842216
amour,0.003111911824344388
fini,0.003111911824344388
fou,0.003111911824344388
found,0.003111911824344388
home,0.003111911824344388
rentrer,0.003111911824344388
talke,0.003111911824344388
bring,0.003078806379404554
compris,0.003078806379404554
dad,0.003078806379404554
job,0.003078806379404554
pay,0.003078806379404554
pote,0.003078806379404554
talk,0.003078806379404554
flic,0.00304570093446472
super,0.00304570093446472
train,0.00304570093446472
wend,0.00304570093446472
wife,0.00304570093446472
believe,0.0029794900445850522
parfois,0.0029794900445850522
payer,0.0029794900445850522
turner,0.0029794900445850522
cop,0.0029463845996452183
doesn,0.0029463845996452183
font,0.0029463845996452183
once,0.0029463845996452183
pie,0.0029463845996452183
propre,0.0029463845996452183
stick,0.0029463845996452183
suppose,0.0029463845996452183
aura,0.0029132791547053843
continue,0.0029132791547053843
endroit,0.0029132791547053843
johnny,0.0029132791547053843
lady,0.0029132791547053843
last,0.0029132791547053843
monsieur,0.0029132791547053843
premier,0.0029132791547053843
watch,0.0029132791547053843
20,0.0028801737097655503
away,0.0028801737097655503
changer,0.0028801737097655503
droit,0.0028801737097655503
important,0.0028801737097655503
journee,0.0028801737097655503
question,0.0028801737097655503
together,0.0028801737097655503
which,0.0028801737097655503
woman,0.0028801737097655503
chien,0.0028470682648257164
dedans,0.0028470682648257164
die,0.0028470682648257164
gang,0.0028470682648257164
partir,0.0028470682648257164
premiere,0.0028470682648257164
puis,0.0028470682648257164
telleming,0.0028470682648257164
camion,0.002813962819885883
joli,0.002813962819885883
sing,0.002813962819885883
tele,0.002813962819885883
tomber,0.002813962819885883
world,0.002813962819885883
boire,0.002780857374946049
chat,0.002780857374946049
dog,0.002780857374946049
guess,0.002780857374946049
leave,0.002780857374946049
president,0.002780857374946049
sens,0.002780857374946049
10,0.002747751930006215
buddy,0.002747751930006215
lose,0.002747751930006215
mom,0.002747751930006215
park,0.002747751930006215
cul,0.002714646485066381
everybody,0.002714646485066381
garder,0.002714646485066381
inside,0.002714646485066381
contre,0.002681541040126547
derniere,0.002681541040126547
eye,0.002681541040126547
faute,0.002681541040126547
finaleming,0.002681541040126547
finir,0.002681541040126547
jarick,0.002681541040126547
move,0.002681541040126547
won,0.002681541040126547
annees,0.002648435595186713
care,0.002648435595186713
couldn,0.002648435595186713
mot,0.002648435595186713
shirt,0.002648435595186713
tant,0.002648435595186713
walk,0.002648435595186713
