Mot,Poids
le,0.40824585329296575
be,0.35835050598193535
un,0.2654739350381305
the,0.24323508244012376
de,0.23993903444007847
you,0.23006983324454056
être,0.22260636823294375
to,0.16504865646203795
je,0.16386473117466535
il,0.15968784276081485
ne,0.14253513319736077
pa,0.13907807135823283
it,0.12164121972580932
que,0.1180231440475987
vous,0.11749274551885577
he,0.11635617724297809
on,0.11507753793261569
ce,0.10302991420831223
that,0.10154290404737225
son,0.09808584220824429
avoir,0.09659883204730432
eat,0.08911642423110955
of,0.08765782827706652
have,0.0868811732885501
tu,0.08610451830003368
and,0.07870735310452974
in,0.07695514367921831
en,0.07535447669069058
we,0.06952009287451845
do,0.0669912284606906
qu,0.0650780051962965
ca,0.06342998119627385
faire,0.06196191383993184
pour,0.06063591751807454
get,0.059916090943352006
what,0.05722621269044148
this,0.05384492206970537
du,0.05173279935703267
not,0.04767903917306892
aller,0.04722441186271785
for,0.04646669967879939
know,0.046163614805232005
sur,0.045784758713272776
dans,0.04506493213855024
gibbs,0.04454400501210631
no,0.04345479374772352
pouvoir,0.042299282667247876
they,0.04210985462126826
qui,0.041257428414359996
elle,0.039240019724677104
savoir,0.03810345144879942
etait,0.0378666663913249
your,0.03764882413844834
with,0.03742151048327281
as,0.03739309627637587
my,0.03718472542579829
tout,0.036237585195900215
yes,0.03396444864414484
avec,0.03293206579355595
she,0.0328089375636692
nous,0.032496381287802835
agent,0.03233536744872016
his,0.03223118202343137
mcgee,0.03149241264411088
bien,0.03146399843721394
go,0.03146399843721394
ou,0.03113249935674961
mais,0.031018842529161844
non,0.03031795875903727
vouloir,0.030261130345243387
moi,0.030223244736047462
au,0.029995931080871927
don,0.029569717977417795
etre,0.029067733655571817
but,0.0288309485980973
si,0.028499449517632974
can,0.028395264092344184
just,0.02757125209233286
there,0.027514423678538978
one,0.026387326804960275
like,0.026112656138289832
voir,0.026074770529093908
will,0.026074770529093908
here,0.02597058510380512
plus,0.02580957126472245
out,0.025743271448629583
her,0.025582257609546914
all,0.025336001149773413
tony,0.024824545425628456
at,0.02472983140263865
well,0.024568817563555976
so,0.02398159062101917
about,0.023706919954348732
up,0.02291132216123435
dire,0.022522994666976142
lui,0.02184105370144953
from,0.021784225287655647
mon,0.021680039862366857
oui,0.02143378340259336
right,0.021367483586500494
if,0.021187526942819862
good,0.020969684689943303
ete,0.020732899632468785
penser,0.02068554262097388
say,0.02051505737959223
want,0.020344572138210577
tell,0.020287743724416694
trouver,0.020202501103725866
see,0.020155144092230962
how,0.020088844276138097
think,0.019738402391075813
look,0.01961527416118906
abby,0.01947320312670435
ncis,0.019406903310611488
quoi,0.01917958965543595
comme,0.01839346326462055
oh,0.018383991862321567
choose,0.018317692046228705
est,0.018043021379558263
se,0.017834650528980686
who,0.017806236322083745
devoir,0.017664165287599034
pourquoi,0.017512622850815344
dinozzo,0.01749368004621738
dit,0.017417908827825537
quand,0.01720006657494898
didn,0.01695381011517548
when,0.016868567494484656
make,0.01668861085080402
par,0.01666019664390708
why,0.016451825793329503
boss,0.016271869149648868
ton,0.01617715512665906
ici,0.016082441103669253
time,0.01602561268987537
now,0.015779356230101873
take,0.01575094202320493
would,0.015466799954235508
quelque,0.015286843310554875
call,0.014907987218595646
mort,0.014879573011698705
back,0.01468067356342011
deux,0.014538602528935398
marine,0.014500716919739476
prendre,0.014339703080656803
or,0.014263931862264958
need,0.014197632046172092
come,0.013951375586398593
where,0.013866132965707767
autre,0.013809304551913882
ziva,0.013563048092140385
ouais,0.013468334069150578
okay,0.01310842078178931
could,0.013013706758799502
work,0.012937935540407657
two,0.01272956468983008
rien,0.01270115048293314
guy,0.012644322069139255
comment,0.012417008413963718
kill,0.01232229439097391
meme,0.01232229439097391
juste,0.012293880184076969
croire,0.012255994574881047
patron,0.012142337747293277
