Mot,Poids
be,0.3728588142724045
le,0.3289405469121
you,0.3190027160824528
être,0.2456843435389324
je,0.23465517022216917
un,0.22013700804508055
de,0.21251414612749758
the,0.17145651892281533
to,0.1708447057103412
ne,0.16477618006228706
que,0.15716985363693312
tu,0.15037376633080166
pa,0.14708320337722464
vous,0.1250744632203853
it,0.1188075116655828
ce,0.1088200743592485
eat,0.10655471192387134
on,0.1054964404212134
and,0.10109799948829133
that,0.09980823109442696
il,0.09757593964350787
have,0.096550739125308
faire,0.08654676632674466
son,0.08363651969443532
of,0.08090816347664533
avoir,0.0778987038909618
pour,0.07308687565231399
we,0.07252466891652695
en,0.07121836503043356
ca,0.07006088057440144
do,0.06809315699914682
in,0.06428999378646985
qu,0.06266951554802488
what,0.06202463135109271
he,0.06000730129915101
my,0.05903170725763822
this,0.05883328135088985
aller,0.05833721658401894
your,0.05494744067706773
for,0.05223561995150676
pouvoir,0.05177262616909391
vouloir,0.05124349041776494
moi,0.048448992231058814
get,0.04780410803412664
as,0.047456862697317
know,0.04621670078013972
tout,0.04616709430345264
elle,0.0454395326453753
just,0.0434222025934336
don,0.043157634717769115
with,0.04160329844824027
can,0.04130565958811772
not,0.04009856865539851
qui,0.037965490157853596
savoir,0.03778359974333426
she,0.037204857515318206
si,0.03689068316296663
no,0.03627886995049251
like,0.03624579896603445
avec,0.0357828051836216
ton,0.035600914769102265
mon,0.03543555984681196
sean,0.03530327590897972
plus,0.0348568176187959
mais,0.03427807539077984
will,0.03426153989855081
her,0.03348437176378639
nous,0.03317019741143481
dans,0.03313712642697675
so,0.032955236012457416
bien,0.03254184870673166
du,0.03219460336992202
all,0.031731609587509174
go,0.03143397072738663
they,0.03133475777401244
want,0.031235544820638263
etre,0.030011918395690017
but,0.029995382903460988
about,0.029846563473399715
christian,0.028044194820435412
non,0.027250491193441955
voir,0.026837103887716197
sur,0.02647332305867753
toi,0.025233161141500256
if,0.024786702851316438
good,0.02429063808444553
look,0.02429063808444553
comme,0.024092212177697168
here,0.023976463732093955
out,0.02377803782534559
mama,0.023612682903055286
au,0.023017405182810195
at,0.022934727721665046
right,0.02270323083045862
oh,0.022620553369313467
think,0.021959133680152256
one,0.021429997928823285
up,0.021413462436594255
how,0.021396926944365225
devoir,0.02050401036399759
there,0.02048747487176856
dire,0.02047093937953953
come,0.020322119949478256
ou,0.020322119949478256
matt,0.020305584457249226
lui,0.020222906996104073
dr,0.02002448108935571
ok,0.019991410104897647
yes,0.019991410104897647
see,0.019627629275858982
tell,0.01949534533802674
etait,0.019363061400194496
make,0.019280383939049347
se,0.019263848446820313
need,0.01899928057115583
well,0.01888353212555262
now,0.018784319172178435
quand,0.018751248187720376
penser,0.018271718913078498
est,0.01807329300633013
gonna,0.018007151037414012
when,0.017726047669520496
say,0.017659905700604373
take,0.01752762176277213
aimer,0.01742840880939795
julia,0.016766989120236737
choose,0.01640320829119807
quoi,0.01633706632228195
who,0.016188246892220676
why,0.016039427462159403
dit,0.015559898187517525
time,0.015096904405104677
prendre,0.014997691451730494
pourquoi,0.014650446114920857
from,0.014385878239256373
venir,0.014319736270340251
oui,0.014203987824737039
could,0.013889813472385463
some,0.013658316581179039
his,0.013559103627804856
rien,0.013393748705514553
or,0.013377213213285524
give,0.013344142228827462
autre,0.01322839378322425
