Mot,Poids
be,0.36840343432388273
you,0.35560394968222026
le,0.2964844403058484
être,0.2510109956576742
je,0.24963026384987283
tu,0.19740433517814443
que,0.17912223664273044
de,0.17482886620387356
un,0.16866092557340312
to,0.16533507523344357
the,0.15839110285698257
ne,0.1486755885305553
pa,0.14445276643224303
it,0.14171145948536729
eat,0.11819870541528962
and,0.11625358688313146
ce,0.11608225519895173
that,0.1143084683509733
on,0.10273854050165948
ca,0.08724814058493881
il,0.08722798391621177
have,0.08299508348353599
aller,0.0767162811750669
faire,0.07548672438271822
pour,0.07043747886659782
do,0.0691776870711586
what,0.06666818181464366
qu,0.0664061451211923
avoir,0.06541846835356795
of,0.06483392496048415
know,0.06446102658903415
en,0.06376562151795169
we,0.06247559471942193
this,0.058847394348556965
he,0.05710384250366908
in,0.055138567302783895
for,0.05468504225642577
okay,0.05466488558769875
just,0.05427183054752171
savoir,0.05375783549498251
as,0.05349579880153115
get,0.05313297876444465
my,0.052145301996820305
vous,0.050472298492477016
vouloir,0.048436474951047234
pouvoir,0.04818451659195939
mais,0.04814420325450533
your,0.04723715316178909
so,0.04722707482742558
not,0.046844098121612054
oh,0.046279711397255285
son,0.04519125128599579
tout,0.04509046794236066
but,0.044858666251999836
bien,0.04419349618400793
moi,0.043094957738384926
with,0.04094827251895649
don,0.04067615749114162
yes,0.04042419913205378
si,0.04006137909496728
ton,0.03843876726244156
go,0.03826743557826183
no,0.037622422178996945
toi,0.03701772211718612
etre,0.035949418674653656
avec,0.03592926200592663
elle,0.035596676971930676
qui,0.03518346526302661
can,0.03442759018576307
want,0.03437719851394551
brooke,0.03428649350467388
like,0.033863203461406303
will,0.03377249845213468
about,0.03335928674323062
nathan,0.03300654504050763
good,0.031706439907614355
all,0.031262993195619745
non,0.030970721499077848
lucas,0.030446648112175134
she,0.030164454749996746
well,0.03001327973454404
mon,0.02929771799473456
right,0.02897521129510212
dans,0.028672861264196707
if,0.028642626261106165
gonna,0.028511607914380486
dire,0.028108474539839935
plus,0.027967377858750742
haley,0.02785651618075209
out,0.027463461140575053
juste,0.02691923108494531
voir,0.02681844774131017
hey,0.026193591010772316
say,0.026163356007681774
etait,0.026022259326592582
peyton,0.02590131931423042
ouais,0.02510513089951283
up,0.024933799215333095
alors,0.02455082250951957
here,0.024379490825339835
devoir,0.024107375797524963
see,0.023925965778981716
sur,0.023875574107164146
au,0.02380502576661955
look,0.023653850751166845
du,0.023623615748076303
think,0.02356314574189522
they,0.023260795710989806
est,0.02322048237353575
how,0.023200325704808723
come,0.023069307358083043
quoi,0.023018915686265476
there,0.022746800658450604
dit,0.02255531230554384
choose,0.022061473921731665
ou,0.022001003915550585
her,0.02199092558118707
one,0.021738967222099226
vraiment,0.021597870541010034
tell,0.021073797154107315
comme,0.021063718819743803
at,0.020862152132473527
mama,0.020721055451384335
penser,0.020590037104658655
really,0.02046909709229649
aimer,0.02009619872084648
now,0.019955102039757287
make,0.018705388578681578
se,0.01820147186050589
love,0.01790920016396399
quand,0.016891288393249097
back,0.01644784168125449
thing,0.016407528343800437
when,0.01639745000943692
time,0.016185804987803133
mean,0.01615556998471259
dan,0.016085021644167995
let,0.016074943309804482
lui,0.0160144733036234
croire,0.015812906616353123
quelque,0.015571026591628791
venir,0.015440008244903113
need,0.01516789321708824
why,0.01492601319236391
sorry,0.014805073180001745
nous,0.014694211502003092
pourquoi,0.014543036486550386
scott,0.014492644814732817
parce,0.014200373118190918
oui,0.014160059780736861
take,0.014109668108919293
didn,0.014008884765284155
thank,0.013918179756012531
eh,0.013867788084194962
who,0.013736769737469283
merci,0.01351504638147198
guy,0.013464654709654411
aussi,0.013162304678748998
bon,0.013111913006931429
or,0.013051443000750347
comment,0.012910346319661153
keith,0.012859954647843584
could,0.012809562976026015
meme,0.012759171304208446
too,0.012597917954392227
peut,0.012537447948211143
would,0.012527369613847629
maintenant,0.012124236239307078
jamais,0.012114157904943565
toujours,0.012003296226944913
because,0.011952904555127344
ici,0.01191259121767329
etais,0.011751337867857068
some,0.01173118119913004
from,0.01153969284622328
luke,0.011479222840042196
maybe,0.011459066171315169
rien,0.011398596165134086
then,0.011338126158953004
mec,0.011106324468592187
prendre,0.010975306121866507
autre,0.01095514945313948
call,0.010945071118775965
