Mot,Poids
be,0.40866488067227164
le,0.3421281312039973
you,0.33213933423650827
the,0.24548297002329156
ne,0.21109026387693705
être,0.200628064209567
de,0.2000599809697098
to,0.19679350234053092
un,0.17887521015003513
je,0.17650819665063014
que,0.12374746574889291
pa,0.11652807457570769
that,0.11591265106586239
il,0.11532089769101114
on,0.10627890612328407
he,0.10462199667370058
vous,0.10400657316385528
tu,0.10343848992399808
and,0.1021603026343194
of,0.09740260550051535
eat,0.09458585943622343
ce,0.08982816230241938
in,0.08407631949886527
have,0.08365025706897236
what,0.0775433622405075
son,0.0742768836113286
faire,0.07250162348677486
it,0.07167316876198311
do,0.07155481808701286
get,0.07155481808701286
we,0.06852504080777448
en,0.06613435717337543
avoir,0.0625128265192858
aller,0.0617080419294881
ca,0.059033316675160465
qu,0.056595292770773326
pour,0.05657162263577927
know,0.05583784845096373
no,0.055222424941118425
for,0.05375487657148734
my,0.05344716481656468
this,0.05242934901182054
fuck,0.051671904692010946
your,0.0507961096972311
yes,0.04691420755820691
vouloir,0.044097461493914976
as,0.044002780953938773
don,0.04262991312428388
tout,0.04248789231431958
say,0.04246422217932553
will,0.04175411812950403
moi,0.041683107724521884
qui,0.04111502448466468
they,0.04042859056983724
all,0.03971848652001574
not,0.037801205585497696
but,0.0375645042355572
pouvoir,0.03730413275062265
savoir,0.037043761265688105
go,0.0367123793757714
mais,0.0366650391057833
with,0.03564722330103916
so,0.03486610884623551
can,0.03396664371646162
want,0.03332755007162227
up,0.03249909534683052
dans,0.03204936278194357
ton,0.030818515762252977
out,0.03072383522227678
man,0.030629154682300576
si,0.03034511306237198
du,0.030155751982419578
about,0.03013208184742553
right,0.030037401307449328
non,0.02996639090246718
voir,0.029658679147544532
mon,0.029232616717651632
bien,0.027694057943038388
see,0.02724432537815144
here,0.02722065524315739
come,0.026439540788353744
au,0.025989808223466797
gonna,0.0249956625537167
like,0.024569600123823802
oh,0.024569600123823802
plus,0.0245222598538357
etre,0.0243802390438714
just,0.023717475264038005
tell,0.023646464859055857
good,0.023599124589067755
well,0.023551784319079654
there,0.023457103779103455
his,0.023386093374121307
avec,0.02317306215917486
toi,0.023102051754192707
quoi,0.022865350404252208
how,0.02239194770437121
nous,0.022344607434383112
one,0.021468812439603264
lui,0.021421472169615163
now,0.021374131899627065
who,0.020995409739722266
ou,0.020924399334740117
sur,0.020924399334740117
if,0.02033264595988887
dire,0.01985924326000787
se,0.01952786137009117
dit,0.01917280934518042
hey,0.019030788535216125
mama,0.018770417050281575
when,0.018462705295358928
make,0.017894622055501727
at,0.017799941515525528
let,0.017657920705561228
comme,0.01735020895063858
shit,0.01735020895063858
time,0.01718451800568023
oz,0.017160847870686183
