Mot,Poids
le,0.36179368961736136
be,0.3541197624845141
you,0.25419883627556544
the,0.2521204810104193
un,0.23645287978085616
être,0.22142477247903028
de,0.2110329961532996
to,0.19944216871306156
je,0.18465387163413716
on,0.14196765195767427
que,0.1376510679454477
il,0.13581252290320303
it,0.13493321875256428
pa,0.13477334527062998
ce,0.13437366156579417
ne,0.12765897532455284
vous,0.11734713573978933
that,0.11390985587820149
have,0.11015282905274502
we,0.09632377286542652
tu,0.09360592367254313
of,0.09328617670867448
and,0.09096801122062688
eat,0.0889695926964479
avoir,0.08393357801551689
qu,0.07929724703942168
he,0.07753863873814418
what,0.07753863873814418
en,0.07641952436460395
ca,0.0751405365091294
son,0.07330199146688475
in,0.07234275057527884
do,0.07146344642464009
faire,0.07090388923786999
this,0.06962490138239544
pouvoir,0.06690705218951204
get,0.061711164026646705
pour,0.05851369438796034
know,0.052438502074456265
aller,0.050280210068342976
qui,0.0496407161406057
tout,0.04924103243576991
no,0.04604356279708355
savoir,0.04540406886934628
they,0.04476457494160901
for,0.04460470145967469
my,0.044444827977740374
can,0.04396520753193742
as,0.04300596664033151
dans,0.04180691552582413
don,0.04084767463421822
go,0.04052792767034959
not,0.04044799092938242
jane,0.03908906633294072
with,0.03844957240520345
but,0.03789001521843334
riley,0.03773014173649902
mais,0.03765020499553186
will,0.0375702682545647
si,0.03693077432682743
sur,0.035651786471352885
du,0.03509222928458278
your,0.03461260883877982
there,0.0344527353568455
etre,0.034372798615878344
if,0.03397311491104255
neuro,0.033093810760403804
moi,0.03293393727846949
just,0.03261419031460085
elle,0.031095392236224827
nous,0.030855582013323352
choose,0.030615771790421874
connor,0.030535835049454715
all,0.02885716348914438
voir,0.028777226748177218
out,0.0286173532662429
bien,0.028537416525275743
ou,0.027738049115604152
vouloir,0.027578175633669835
about,0.027498238892702677
here,0.02717849192883404
plus,0.026698871483031086
like,0.02645906126012961
see,0.026059377555293816
avec,0.025819567332392337
up,0.025020199922720747
one,0.02486032644078643
etait,0.024780389699819272
non,0.024300769254016318
penser,0.024300769254016318
so,0.02398102229014768
au,0.023901085549180523
how,0.023741212067246206
yes,0.023741212067246206
at,0.023661275326279048
she,0.023581338585311886
devoir,0.023261591621443253
quelque,0.0227819711756403
good,0.02270203443467314
est,0.02254216095273882
right,0.022302350729837345
dire,0.022222413988870187
from,0.022222413988870187
se,0.02166285680210007
mon,0.021343109838231438
something,0.020303932205658373
comme,0.020144058723724052
think,0.019984185241789736
want,0.01982431175985542
take,0.019424628055019624
tell,0.019424628055019624
his,0.019264754573085303
people,0.019184817832118145
ici,0.01894500760921667
when,0.018385450422446558
who,0.018225576940512238
say,0.01806570345857792
make,0.017745956494709284
autre,0.017666019753742126
quoi,0.01750614627180781
andre,0.01742620953084065
quand,0.01734627278987349
time,0.017106462566972014
look,0.017026525826004855
could,0.016786715603103377
some,0.01670677886213622
why,0.01662684212116906
work,0.01638703189826758
now,0.016307095157300423
her,0.016067284934398948
pourquoi,0.015907411452464628
ton,0.015907411452464628
vasco,0.015507727747628835
come,0.015427791006661676
or,0.015427791006661676
meme,0.015347854265694516
prendre,0.015347854265694516
