Mot,Poids
be,0.35932444872169855
le,0.3174790698832223
you,0.31525540240871386
être,0.23843779874387816
the,0.21812156409041503
un,0.20103975485441866
it,0.19548058616814767
to,0.1774890947834888
vous,0.17536650310327623
de,0.1700094860055969
je,0.1661686058223551
on,0.16424816573073422
pa,0.14342655210579192
il,0.1397878235111418
ne,0.12695119763557056
we,0.1251318333382455
have,0.11391242017140767
que,0.11027369157675755
what,0.10390591653611986
that,0.09844782364414469
ce,0.0965273835525238
ca,0.09622415616963628
do,0.09197897280921116
aller,0.09117036645484447
get,0.08621765253434849
this,0.07904127113934409
of,0.07813158899068157
he,0.07237026871581889
faire,0.07115735918426885
eat,0.07075305600708551
and,0.06994444965271882
qu,0.06883261591546462
avoir,0.06671002423525205
in,0.06549711470370201
en,0.06529496311511034
go,0.0651938873208145
tu,0.060544400783206026
can,0.05923041545736015
know,0.057411051160035094
son,0.05589491424559755
no,0.05549061106841421
don,0.05245833723953911
will,0.05134650350228491
pouvoir,0.05043682135362238
there,0.04871853285059316
here,0.045888410610309745
tout,0.0443722736958722
they,0.04396797051868885
moi,0.04336151575291383
not,0.043260439958617995
just,0.042653985192842976
come,0.040632469306926246
yes,0.040632469306926246
for,0.04053139351263041
all,0.04012709033544706
savoir,0.04002601454115123
connor,0.03972278715826372
pour,0.03962171136396788
elle,0.03861095342100952
out,0.03861095342100952
your,0.03790342286093867
my,0.03669051332938863
right,0.035881906975021936
bien,0.03527545220924692
qui,0.03517437641495108
now,0.034466845854880225
quoi,0.033860391089105206
she,0.03375931529480937
ok,0.03365823950051353
ou,0.033557163706217696
etre,0.03325393632333019
if,0.03325393632333019
dans,0.03264748155755517
du,0.03234425417466766
mais,0.03234425417466766
so,0.03224317838037182
abby,0.03173779940889264
anomaly,0.03133349623170929
with,0.030524889877342604
si,0.030120586700159258
think,0.03001951090586342
nous,0.029615207728680076
look,0.029008752962905057
as,0.028705525580017547
about,0.028301222402834204
but,0.028200146608538368
voir,0.02789691922565086
cutter,0.027795843431355022
vouloir,0.027795843431355022
plus,0.027391540254171676
sur,0.027088312871284166
back,0.026178630722621637
se,0.025875403339734128
ici,0.02526894857395911
up,0.024561418013888253
non,0.024460342219592417
see,0.024258190631000744
like,0.024157114836704907
choose,0.023954963248113238
est,0.023954963248113238
au,0.023752811659521565
how,0.023449584276634055
oh,0.023146356893746545
devoir,0.0227420537165632
good,0.0227420537165632
where,0.022640977922267363
font,0.021933447362196507
tell,0.02183237156790067
want,0.021731295773604834
her,0.02152914418501316
one,0.02152914418501316
dire,0.020922689419238142
say,0.020922689419238142
etait,0.020316234653463123
something,0.02011408306487145
well,0.02011408306487145
creature,0.019911931476279777
avec,0.019709779887688104
gonna,0.019709779887688104
mon,0.019608704093392267
stephen,0.019608704093392267
at,0.019204400916208925
venir,0.019204400916208925
quelque,0.018901173533321415
rien,0.018901173533321415
let,0.01849687035613807
helen,0.01819364297325056
thing,0.018092567178954723
way,0.01758718820747554
really,0.017182885030292194
need,0.017081809235996358
time,0.017081809235996358
anomalie,0.016576430264517175
autre,0.016374278675925502
passe,0.016374278675925502
who,0.016374278675925502
lui,0.016273202881629666
help,0.016071051293037993
trouver,0.015666748115854646
oui,0.015565672321558812
why,0.015464596527262975
peut,0.015363520732967139
take,0.015363520732967139
make,0.015262444938671302
could,0.014959217555783793
etes,0.014959217555783793
bon,0.014858141761487956
penser,0.014858141761487956
doing,0.014554914378600447
par,0.014554914378600447
work,0.014554914378600447
comme,0.014150611201417102
sorry,0.014150611201417102
find,0.013847383818529593
then,0.013847383818529593
lester,0.013746308024233756
nick,0.013746308024233756
stay,0.013544156435642083
pourquoi,0.01334200484705041
doit,0.013240929052754574
down,0.013240929052754574
happen,0.013139853258458737
stop,0.013139853258458737
vraiment,0.013139853258458737
dit,0.0130387774641629
from,0.012937701669867064
some,0.012735550081275391
rex,0.012634474286979554
leek,0.012533398492683718
croire,0.012331246904092045
