Mot,Poids
be,0.36241893124265373
le,0.3407182816996577
you,0.31769750930946267
être,0.21852554089797055
the,0.21071330706249197
je,0.1931538648072843
to,0.19308152930880765
de,0.19114655472455716
un,0.18666175381900463
ne,0.16550362051458345
on,0.15329700514664815
vous,0.1386490667051258
il,0.13837780858583834
que,0.13713002123711607
pa,0.12749131606510197
it,0.12519466398846824
ce,0.1191365659910485
that,0.1088106735835062
we,0.10825007347031212
tu,0.10734587973935396
eat,0.09179374756687343
and,0.09155865719682431
get,0.08947901161562051
of,0.08551864307402372
he,0.08475912034001887
aller,0.08369217173748823
have,0.08034665493294299
in,0.07953288057508065
do,0.07857443522026498
faire,0.0777244931131643
what,0.07512041516800477
ca,0.07484915704871732
qu,0.07251633722284524
this,0.072046156482747
avoir,0.07141322087107628
en,0.06891764617363173
son,0.06492110988279662
pour,0.06258829005692454
go,0.06197343831987298
know,0.054143120609775226
tout,0.05146670716613904
your,0.051358203918424064
for,0.049676403578841864
they,0.0496583197042227
pouvoir,0.04927855833722027
don,0.04812119036159381
will,0.04698190626058652
savoir,0.044956512303240215
just,0.04363638945604129
out,0.04255135697889149
no,0.04197267299107826
vouloir,0.04177375037026746
as,0.04152057612559917
si,0.041303569630169214
moi,0.04074296951697515
can,0.040616382394641
all,0.040598298520021836
right,0.04058021464540267
my,0.0400738661560661
dans,0.03965793703982534
here,0.039621769290587014
qui,0.03927817567282291
there,0.03853673681343721
not,0.03683685259923585
ou,0.03678260097537836
want,0.03586032336980103
if,0.034160439155599666
mais,0.03387109716169305
with,0.0328584001830199
now,0.03171911608201261
yes,0.03166486445815512
about,0.0315744450850593
but,0.031013844971865236
bien,0.029621386626189652
michael,0.02924162525918722
du,0.028102341158179927
nous,0.028030005659703275
so,0.027885334662749967
sur,0.027595992668843352
need,0.02754174104498586
up,0.027198147427221757
au,0.02611311495007195
est,0.026058863326214463
plus,0.026022695576976135
elle,0.025878024580022828
non,0.02571526970845036
ton,0.025317424466828765
ici,0.02519083734449462
scofield,0.0251004179713988
where,0.02502808247292215
voir,0.024774908228253862
one,0.0245579017328239
etre,0.024268559738917287
come,0.023798378998819036
avec,0.023780295124199873
good,0.023671791876484893
mon,0.02329203050948246
like,0.022930353017099194
quoi,0.022767598145526723
tell,0.02269526264705007
dire,0.022659094897811743
she,0.022659094897811743
se,0.02249634002623927
devoir,0.022333585154666803
gonna,0.02231550128004764
man,0.021989991536902696
toi,0.021772985041472737
back,0.021718733417615245
how,0.020923042934372058
look,0.02083262356127624
let,0.020742204188180423
say,0.020326275071939664
lui,0.01998268145417556
choose,0.019765674958745597
make,0.019422081340981494
take,0.019367829717124006
see,0.01929549421864735
oui,0.019205074845551534
sara,0.0190242360993599
okay,0.01877106185469161
at,0.01859022310849998
her,0.017957287496829257
from,0.01775836487601846
think,0.0169988421420136
time,0.01685417114506029
comme,0.0167999195212028
venir,0.01674566789734531
who,0.016709500148106984
well,0.016492493652677024
dit,0.016148900034912917
etait,0.01594997741410212
when,0.01584147416638714
alors,0.015714887044052998
juste,0.015696803169433834
down,0.015353209551669729
thing,0.015118119181620605
mama,0.01472027393999901
rien,0.01472027393999901
quelque,0.014684106190760682
quand,0.014521351319188212
ok,0.014340512572996579
oh,0.014268177074519925
burrow,0.014195841576043271
his,0.01350865434051506
trouver,0.01345440271665757
prendre,0.013418234967419245
maintenant,0.013273563970465937
prison,0.013201228471989283
autre,0.01296613810194016
call,0.012875718728844342
guy,0.012694879982652708
way,0.012694879982652708
comment,0.012369370239507767
some,0.012369370239507767
why,0.012297034741031113
or,0.011971524997886172
scylla,0.011917273374028682
penser,0.011881105624790356
besoin,0.011863021750171192
something,0.011718350753217885
lincoln,0.011664099129360395
then,0.011573679756264577
give,0.011555595881645415
croire,0.011501344257787923
pourquoi,0.011139666765404656
work,0.01110349901616633
par,0.010940744144593858
more,0.010705653774544735
temp,0.010542898902972263
passe,0.010524815028353101
plan,0.01041631178063812
etes,0.010398227906018956
ouais,0.010398227906018956
falloir,0.010380144031399793
hey,0.01036206015678063
minute,0.010217389159827322
could,0.010145053661350668
over,0.010090802037493178
only,0.010072718162874016
find,0.009711040670490747
didn,0.00967487292125242
please,0.00967487292125242
parler,0.009638705172014093
sortir,0.009548285798918277
meme,0.009494034175060785
help,0.009439782551203296
merci,0.009367447052726642
any,0.009168524431915844
deux,0.009132356682677518
keep,0.009132356682677518
linc,0.009114272808058354
would,0.009005769560343374
thank,0.00898768568572421
peut,0.008969601811105048
doing,0.008861098563390067
sorry,0.008861098563390067
day,0.00882493081415174
vraiment,0.00882493081415174
serum,0.008806846939532577
homme,0.00877067919029425
ete,0.008734511441055923
too,0.008734511441055923
little,0.00855367269486429
aussi,0.0084994210710068
seul,0.008481337196387636
sure,0.008228162951719348
mec,0.008191995202481022
bon,0.008155827453242694
kill,0.008119659704004368
by,0.008101575829385204
vie,0.008101575829385204
wait,0.00808349195476604
should,0.008065408080146877
hell,0.008047324205527714
doit,0.008011156456289387
quelqu,0.007956904832431897
uh,0.007956904832431897
question,0.007938820957812733
jamais,0.00786648545933608
anything,0.007830317710097753
hear,0.007776066086240263
off,0.007776066086240263
president,0.007739898337001936
two,0.007739898337001936
alex,0.007721814462382773
appeler,0.007721814462382773
encore,0.007685646713144446
our,0.007685646713144446
long,0.007667562838525282
because,0.007613311214667792
agent,0.0075952273400486285
move,0.007540975716191139
mort,0.007522891841571976
money,0.007486724092333649
everything,0.007468640217714485
aimer,0.007450556343095322
personne,0.007432472468476159
tres,0.007414388593856995
nothing,0.007396304719237832
parce,0.007378220844618668
mahone,0.007342053095380341
try,0.007323969220761178
accord,0.007287801471522851
really,0.007287801471522851
happen,0.007269717596903688
brother,0.007251633722284524
apres,0.007233549847665361
chance,0.00717929822380787
listen,0.007161214349188707
peu,0.007161214349188707
place,0.007161214349188707
car,0.0071431304745695435
fois,0.0071250465999503805
break,0.007088878850712054
part,0.007088878850712054
toujours,0.007088878850712054
sucre,0.007070794976092891
avant,0.007052711101473727
dis,0.007034627226854564
whistler,0.006944207853758747
jour,0.006926123979139583
never,0.006926123979139583
still,0.006926123979139583
put,0.006889956229901256
run,0.006835704606043766
arrive,0.006817620731424603
hand,0.006763369107567112
deja,0.006727201358328785
bellick,0.006636781985232969
maybe,0.0066186981106138056
people,0.0066186981106138056
river,0.006546362612137152
mean,0.006510194862898825
leave,0.006474027113660498
plait,0.006455943239041335
essayer,0.006419775489803008
desole,0.006383607740564681
life,0.006365523865945517
panama,0.006347439991326354
into,0.006311272242088027
before,0.006293188367468864
passer,0.0062208528689922105
san,0.006202768994373047
general,0.006148517370515557
than,0.006148517370515557
etais,0.006130433495896394
heure,0.00611234962127723
mr,0.00611234962127723
much,0.00611234962127723
parle,0.006076181872038903
frere,0.00605809799741974
laisse,0.00605809799741974
argent,0.006040014122800577
company,0.006040014122800577
talke,0.00600384637356225
meet,0.005967678624323923
ecoute,0.005949594749704759
fox,0.005931510875085596
care,0.005913427000466432
after,0.005895343125847269
ain,0.005895343125847269
donc,0.005895343125847269
tancredi,0.005895343125847269
cause,0.005804923752751452
laisser,0.0057868398781322885
other,0.0057506721288939616
quel,0.0057145043796556355
moment,0.005696420505036472
pere,0.005587917257321491
stay,0.005569833382702328
name,0.005515581758844838
monsieur,0.005497497884225674
compagnie,0.005461330134987347
first,0.005443246260368184
comprendre,0.00542516238574902
aider,0.005407078511129857
talk,0.005407078511129857
away,0.005388994636510694
stop,0.00537091076189153
ask,0.005352826887272367
lj,0.005352826887272367
donne,0.0053347430126532034
main,0.00531665913803404
probleme,0.0052985752634148765
reste,0.0052985752634148765
la,0.0052624075141765505
someone,0.005244323639557387
aux,0.005226239764938224
dead,0.00520815589031906
last,0.005190072015699897
partir,0.005190072015699897
problem,0.005171988141080733
coming,0.005117736517223243
bag,0.005081568767984916
sir,0.005081568767984916
start,0.005081568767984916
deal,0.005063484893365753
phone,0.005063484893365753
voiture,0.005063484893365753
job,0.005045401018746589
self,0.005027317144127426
attend,0.004973065520269935
use,0.004973065520269935
