Mot,Poids
be,0.42041490458588615
you,0.3086626251030968
le,0.28674940482246697
être,0.24649800841497205
je,0.23829341068079257
ne,0.222527208765269
un,0.18528502218504367
to,0.1809383857678765
de,0.16455491004163095
pa,0.1629345662884858
the,0.1578934968342564
it,0.1388608876703291
que,0.12852155134073615
and,0.12746704191408612
eat,0.12011119566964935
tu,0.11998259695908228
vous,0.10838299326593198
that,0.1057081400861368
il,0.10341908303804284
on,0.10089854831092814
ce,0.09722062518870976
have,0.09498300762484263
he,0.08307476702633135
do,0.08189165888911425
faire,0.07805941731421537
ca,0.07787937911942147
we,0.07602755768725557
what,0.07090932900668592
son,0.07060069210132494
aller,0.06905750757452002
avoir,0.06823447582689074
she,0.06509666728905407
elle,0.06491662909426016
this,0.06491662909426016
pouvoir,0.06213889694601132
know,0.06067287164554665
en,0.059901279382144186
not,0.05951548325044296
pour,0.058846769955494156
qu,0.055323165285956266
of,0.054551573022553805
can,0.052339675200800094
in,0.05164524216373788
vouloir,0.051310885516263484
her,0.05113084732146957
but,0.049999178668479305
just,0.04976770098945857
mais,0.04930474563141709
get,0.048687471820695126
my,0.04843027439956097
for,0.046604172709508486
want,0.04642413451471458
don,0.04632125554626092
no,0.04531818560383772
savoir,0.04251473371347546
with,0.04045715434440223
tout,0.04001991872847417
your,0.03976272130734002
so,0.039196886980844885
bien,0.037396505032905814
si,0.036547753543163114
moi,0.036419154832596036
good,0.03603335870089481
as,0.0358533205061009
qui,0.03528748617960576
okay,0.034927409790017946
about,0.03382146087914109
avec,0.0333327857789862
they,0.032381155320789834
go,0.030915130020325164
etre,0.030863690536098335
will,0.030812251051871506
if,0.029783461367334892
like,0.029397665235633665
all,0.028857550651251944
right,0.028240276840529977
gonna,0.027700162256148256
du,0.026825691024292136
yes,0.02674853179795189
there,0.026671372571611646
here,0.026568493603157984
think,0.026388455408364077
devoir,0.026182697471456753
oh,0.025102468302693314
baby,0.02479383139733233
mon,0.024768111655218913
out,0.024768111655218913
need,0.024330876039290853
non,0.02402223913392987
tell,0.023790761454909132
well,0.02376504171279572
voir,0.023147767902073752
lui,0.02294200996516643
say,0.022581933575578614
patient,0.02245333486501154
ton,0.022376175638671295
plus,0.021836061054289573
penser,0.021656022859495666
now,0.021450264922588343
up,0.021115908275113945
quoi,0.021013029306660283
sam,0.020627233174959052
ou,0.020575793690732223
dans,0.020498634464391978
dire,0.020498634464391978
nous,0.020138558074804164
toi,0.019958519880010257
at,0.019752761943102933
make,0.019701322458876104
how,0.019161207874494383
etait,0.019084048648154137
bebe,0.018646813032226078
au,0.018492494579545587
look,0.01836389586897851
se,0.018338176126865093
see,0.018235297158411434
come,0.0181838576741846
choose,0.018106698447844356
uh,0.01802953922150411
mama,0.018003819479390695
sur,0.018003819479390695
one,0.016846431084287006
juste,0.016743552115833348
violet,0.016743552115833348
could,0.016409195468358947
addison,0.016254877015678456
dit,0.01622915727356504
oui,0.015920520368204058
comme,0.01579192165763698
thing,0.01563760320495649
take,0.015483284752275998
naomi,0.015457565010162582
dr,0.015354686041708922
pete,0.015277526815368677
or,0.015226087331141846
aimer,0.0148145714573272
quand,0.0148145714573272
let,0.014505934551966217
alors,0.01427445687294548
time,0.01427445687294548
parler,0.014248737130832065
didn,0.014197297646605234
when,0.014120138420264989
est,0.014068698936038158
his,0.013965819967584496
who,0.013914380483357667
mean,0.013554304093769853
back,0.013425705383202776
would,0.013194227704182038
sorry,0.013039909251501546
rien,0.013014189509388131
should,0.012705552604027148
prendre,0.012551234151346657
talk,0.012499794667119826
work,0.01237119595655275
venir,0.012345476214439334
call,0.012294036730212503
cooper,0.012294036730212503
really,0.012268316988099088
try,0.012139718277532012
besoin,0.012113998535418596
vraiment,0.012088278793305181
autre,0.01203683930907835
because,0.01198539982485152
something,0.011959680082738105
then,0.011856801114284443
help,0.011702482661603952
love,0.011651043177377121
why,0.011651043177377121
from,0.011368126014129553
quelque,0.011265247045675893
give,0.01067369297706734
dell,0.010416495555933188
bon,0.010313616587479526
comment,0.010287896845366112
ok,0.010262177103252697
peut,0.01003069942423196
croire,0.010004979682118543
ici,0.009927820455778297
hey,0.009902100713664883
enfant,0.009850661229438052
way,0.009799221745211221
maybe,0.00974778226098439
femme,0.009670623034644145
doing,0.009542024324077069
feel,0.009413425613509992
etes,0.009387705871396576
pourquoi,0.009361986129283162
vie,0.009336266387169747
passe,0.00920766767660267
some,0.00915622819237584
maintenant,0.008950470255468516
wrong,0.008924750513355102
tres,0.00882187154490144
fille,0.008770432060674611
happen,0.008641833350107533
meme,0.008641833350107533
thank,0.008616113607994118
deux,0.008538954381653873
charlotte,0.008461795155313628
talke,0.008358916186859966
essayer,0.00833319644474655
temp,0.00823031747629289
mere,0.008204597734179473
more,0.008075999023612397
parle,0.008075999023612397
life,0.008050279281498983
doesn,0.008024559539385566
little,0.00789596082881849
aider,0.007844521344591661
die,0.007844521344591661
donc,0.007818801602478245
mieux,0.00779308186036483
keep,0.007767362118251415
thought,0.007741642376137999
guy,0.007690202891911168
kid,0.007690202891911168
too,0.007664483149797753
aussi,0.007613043665570923
seul,0.007535884439230677
parce,0.007510164697117261
peu,0.007484444955003847
quelqu,0.007433005470777016
falloir,0.0074072857286636
fine,0.0074072857286636
merci,0.0074072857286636
arrive,0.007381565986550185
people,0.0073558462444367695
trouver,0.007278687018096524
our,0.007150088307529448
accord,0.007124368565416032
par,0.007124368565416032
wait,0.007124368565416032
doctor,0.006944330370622125
day,0.0068928908863952944
everything,0.0068414514021684645
mal,0.0068414514021684645
friend,0.006790011917941634
sure,0.006790011917941634
etais,0.006764292175828218
anything,0.006712852691601388
jamais,0.006712852691601388
stop,0.006661413207374557
practice,0.006635693465261142
ete,0.0066099737231477265
never,0.0066099737231477265
over,0.006584253981034311
dis,0.006532814496807481
even,0.00648137501258065
sortir,0.00648137501258065
woman,0.006455655270467235
other,0.00642993552835382
personne,0.00642993552835382
please,0.00642993552835382
parent,0.006404215786240405
down,0.006378496044126989
toujours,0.006378496044126989
font,0.006352776302013574
avant,0.0063270565599001585
man,0.0063270565599001585
year,0.006301336817786743
girl,0.006172738107219667
doit,0.006147018365106251
off,0.006147018365106251
great,0.006121298622992837
um,0.006121298622992837
appeler,0.006095578880879421
by,0.006095578880879421
desolee,0.006044139396652591
fois,0.006044139396652591
encore,0.005966980170312345
maya,0.005966980170312345
where,0.005966980170312345
away,0.00594126042819893
two,0.00594126042819893
car,0.0058641012018586835
san,0.0058641012018586835
still,0.0058641012018586835
cause,0.0058126617176318535
mother,0.0058126617176318535
sex,0.0058126617176318535
care,0.005786941975518438
someone,0.005786941975518438
chance,0.005735502491291607
child,0.005709782749178192
long,0.005684063007064776
problem,0.005684063007064776
test,0.005684063007064776
bonne,0.005632623522837946
any,0.0055811840386111155
isn,0.005529744554384285
god,0.005426865585930624
pere,0.005426865585930624
sleep,0.005401145843817208
minute,0.005375426101703793
surgery,0.005375426101703793
through,0.005349706359590378
again,0.005323986617476963
truc,0.005323986617476963
nothing,0.005272547133250132
apres,0.005246827391136717
mourir,0.005246827391136717
travail,0.005246827391136717
into,0.005169668164796471
part,0.005143948422683056
won,0.00511822868056964
desole,0.005092508938456225
ba,0.00506678919634281
laisser,0.005041069454229395
change,0.00501534971211598
probleme,0.00501534971211598
place,0.004989629970002564
start,0.004963910227889149
archer,0.004886751001548903
homme,0.004886751001548903
hard,0.004861031259435488
very,0.0048353115173220725
much,0.004809591775208657
ask,0.004758152290981827
point,0.004758152290981827
comprendre,0.004706712806754996
leave,0.004680993064641581
stay,0.004680993064641581
being,0.004655273322528165
lie,0.004655273322528165
only,0.004655273322528165
gen,0.00462955358041475
montgomery,0.00462955358041475
move,0.00462955358041475
raison,0.00462955358041475
than,0.00462955358041475
monde,0.004603833838301335
peur,0.004603833838301335
bad,0.00457811409618792
cabinet,0.0045523943540745045
moment,0.004526674611961089
quel,0.004526674611961089
before,0.004500954869847674
home,0.004500954869847674
meet,0.004500954869847674
find,0.004475235127734258
use,0.004475235127734258
ami,0.004449515385620844
last,0.004449515385620844
lot,0.004449515385620844
trop,0.004449515385620844
hello,0.004423795643507428
question,0.004423795643507428
jour,0.004398075901394013
laisse,0.004398075901394013
which,0.004398075901394013
believe,0.004346636417167182
mom,0.004346636417167182
depuis,0.0043209166750537665
donner,0.0043209166750537665
old,0.0043209166750537665
meilleur,0.004295196932940352
put,0.004295196932940352
serum,0.004295196932940352
aide,0.0042694771908269365
night,0.0042694771908269365
walk,0.0042694771908269365
rester,0.004243757448713521
suppose,0.004243757448713521
first,0.004218037706600106
demande,0.00419231796448669
hurt,0.004115158738146445
passer,0.004115158738146445
beaucoup,0.004089438996033029
chez,0.004089438996033029
date,0.004089438996033029
partir,0.004089438996033029
job,0.004063719253919614
live,0.004012279769692783
nai,0.004012279769692783
run,0.004012279769692783
ever,0.003986560027579369
family,0.003986560027579369
another,0.003960840285465953
cas,0.003960840285465953
after,0.003935120543352538
dieu,0.003935120543352538
different,0.003909400801239122
hear,0.003909400801239122
wasn,0.003909400801239122
gotta,0.0038836810591257073
hospital,0.0038836810591257073
www,0.003857961317012292
deja,0.003780802090672046
nice,0.003780802090672046
com,0.0037550823485586306
ensemble,0.0037550823485586306
mort,0.0037550823485586306
save,0.0037550823485586306
understand,0.0037550823485586306
vrai,0.0037550823485586306
air,0.0037293626064452156
blood,0.0037293626064452156
happy,0.0037293626064452156
new,0.0037293626064452156
aux,0.0037036428643318
big,0.0037036428643318
else,0.0037036428643318
heure,0.0037036428643318
medical,0.0037036428643318
hate,0.0036522033801049698
important,0.0036522033801049698
lose,0.0036522033801049698
super,0.0036522033801049698
