Mot,Poids
be,0.4341792598119923
you,0.3321255504274848
le,0.2850073184431394
the,0.2799389944922253
être,0.19955451759277007
un,0.19790086952403962
to,0.18709846720493034
that,0.1624655537655301
it,0.15935154116857014
de,0.15503487543071537
je,0.15050345020341505
on,0.14335195920487948
we,0.11635669138157859
and,0.11513256229173917
pa,0.11268430411206032
vous,0.10978505100454591
have,0.1096132434129895
he,0.1078092637016472
il,0.10684284599914239
of,0.10151681066089369
this,0.10078662839677895
que,0.09191706148267928
in,0.09114392732067543
ne,0.09022046151605974
what,0.08916814001777672
do,0.08558165654403667
eat,0.08321930216013604
ce,0.08225288445763122
get,0.07061292012968445
tu,0.06921698344828862
avoir,0.06595263920871684
know,0.06371914051848351
son,0.06296748230542422
for,0.061786305113473904
shawn,0.05688978875411622
my,0.05652469762205885
not,0.055944847000555964
en,0.05577303940899955
no,0.05431267488077007
faire,0.05416234323815821
ca,0.05368987236137809
your,0.051048330641198285
pour,0.05016781673447168
don,0.050081912938693476
just,0.04812760158473932
qu,0.047977269942127455
all,0.04681756869912169
aller,0.04645247756706432
here,0.0452283484772249
with,0.04458407000888836
can,0.04299484978699157
they,0.04194252828870856
go,0.04093315868831465
right,0.04065397135203549
but,0.040611019454146385
there,0.03988083719003164
out,0.039601649853752474
so,0.03726077141879639
yes,0.03530646006484223
gus,0.035134652473285816
as,0.03509170057539671
like,0.034533325902838384
tout,0.03360986009822268
will,0.03354543225138903
qui,0.03245015885521692
pouvoir,0.03180588038688038
dans,0.03165554874426852
sur,0.031075698122765637
see,0.030925366480153777
about,0.030882414582264674
mais,0.030689131041763712
up,0.03062470319493006
du,0.030366991807595445
savoir,0.030324039909706342
one,0.030259612062872688
at,0.029142862717756023
look,0.02856301209625314
moi,0.028412680453641283
she,0.02802611337263936
say,0.027575118444803783
now,0.027210027312746413
vouloir,0.02643689315074257
think,0.02596442227396244
oh,0.02587851847818424
how,0.02577113873346148
his,0.02559933114190507
good,0.024976528622513084
non,0.024783245082012125
voir,0.024482581796788406
quoi,0.024418153949954752
nous,0.024224870409453793
if,0.024138966613675587
avec,0.024074538766841933
guy,0.023924207124230074
plus,0.02364501978795091
si,0.02336583245167174
mon,0.023086645115392577
who,0.022893361574891614
come,0.02276450588122431
etait,0.022700078034390656
bien,0.02246384259600059
let,0.02224908310655508
want,0.022120227412887772
tell,0.022055799566054118
gonna,0.02194841982133136
au,0.021841040076608604
make,0.021669232485052196
ou,0.02158332868927399
well,0.021518900842440337
etre,0.021475948944551234
elle,0.02126118945510572
why,0.021003478067771107
need,0.020058536314210854
time,0.020037060365266302
from,0.01982230087582079
thing,0.019135070509595148
would,0.01898473886698329
her,0.018598171785981367
okay,0.018533743939147716
take,0.018168652807090343
dire,0.017953893317644833
really,0.01773913382819932
when,0.017459946491920154
back,0.017116331308807332
ton,0.01688009587041727
didn,0.016600908534138103
something,0.01632172119785894
or,0.016106961708413425
spencer,0.016085485759468873
work,0.015935154116857017
some,0.015870726270023363
man,0.015634490831633298
comme,0.015162019954853171
devoir,0.015097592108019517
call,0.015011688312241313
our,0.015011688312241313
where,0.01481840477174035
case,0.014711025027017596
se,0.014668073129128493
oui,0.014582169333350287
pourquoi,0.0139164149160692
little,0.013551323784011828
est,0.013358040243510868
down,0.013186232651954458
could,0.013035901009342599
by,0.012842617468841638
ici,0.012563430132562472
doing,0.012499002285728818
off,0.012499002285728818
lui,0.012456050387839715
two,0.012413098489950614
way,0.012284242796283306
toi,0.012241290898394203
choose,0.012155387102616
venir,0.012133911153671448
trouver,0.012069483306837794
thank,0.012048007357893242
then,0.011983579511059588
because,0.011940627613170485
wait,0.011897675715281384
croire,0.011747344072669525
mean,0.01166144027689132
mama,0.011446680787445807
any,0.011403728889556704
penser,0.011274873195889398
par,0.011231921298000295
give,0.011167493451166641
more,0.01114601750222209
very,0.010931258012776578
quand,0.010888306114887475
over,0.010802402319109271
dit,0.01078092637016472
vraiment,0.010737974472275617
sure,0.010523214982830105
only,0.010415835238107348
tres,0.010394359289162797
etes,0.010286979544440042
prendre,0.010222551697606387
rien,0.010201075748661836
dude,0.010179599799717285
try,0.010158123850772733
too,0.01007222005499453
sorry,0.00992188841238267
never,0.009878936514493567
dad,0.009857460565549016
deux,0.009793032718715363
comment,0.009771556769770812
maybe,0.009707128922937158
ete,0.009685652973992607
affaire,0.009599749178214401
meme,0.009513845382436197
mr,0.009513845382436197
police,0.009492369433491646
lassiter,0.00940646563771344
quelque,0.009342037790879786
name,0.009277609944046134
detective,0.009256133995101582
even,0.009127278301434274
bon,0.009041374505656069
question,0.009041374505656069
should,0.008783663118321454
kill,0.008719235271487802
anything,0.00869775932254325
first,0.008676283373598699
help,0.008633331475709596
autre,0.008568903628875942
into,0.00854742767993139
ok,0.00854742767993139
please,0.008482999833097738
use,0.008440047935208635
alors,0.00835414413943043
psychic,0.00835414413943043
people,0.008289716292596776
car,0.00816086059892947
find,0.00816086059892947
year,0.00816086059892947
minute,0.008139384649984918
merci,0.008096432752095815
happen,0.007989053007373058
wrong,0.007924625160539406
day,0.007903149211594854
believe,0.0077957694668720975
peut,0.0077957694668720975
temp,0.0077957694668720975
mec,0.007752817568982996
stop,0.0076883897221493415
place,0.007344774539036522
falloir,0.0072588707432583175
kid,0.0072588707432583175
hear,0.007237394794313766
hey,0.007215918845369215
still,0.007194442896424663
last,0.007108539100646459
jamais,0.007087063151701907
someone,0.007065587202757356
juste,0.007001159355923703
actually,0.0069582074580346
before,0.0069582074580346
peu,0.0069582074580346
aussi,0.006872303662256395
appeler,0.0068293517643672925
much,0.006807875815422741
chief,0.006764923917533638
old,0.006764923917533638
around,0.006743447968589087
maintenant,0.0067219720196445365
besoin,0.006679020121755434
chef,0.006679020121755434
put,0.006679020121755434
murder,0.006657544172810882
which,0.006636068223866331
doesn,0.00661459227492178
check,0.006593116325977229
quelqu,0.006593116325977229
start,0.006593116325977229
aimer,0.006550164428088126
donc,0.006550164428088126
course,0.006485736581254472
than,0.006485736581254472
fine,0.00644278468336537
truc,0.00644278468336537
thought,0.006399832785476268
passe,0.006378356836531716
jules,0.006356880887587165
parce,0.006335404938642614
parler,0.006292453040753512
plan,0.006292453040753512
vrai,0.006292453040753512
avant,0.00627097709180896
talke,0.006249501142864409
hara,0.0062280251939198575
toujours,0.006206549244975307
night,0.006185073296030756
fois,0.006142121398141653
miss,0.00609916950025255
mort,0.006077693551308
personne,0.006034741653418897
great,0.005970313806585243
cause,0.005927361908696141
keep,0.005927361908696141
crime,0.005884410010807038
other,0.005884410010807038
pere,0.005884410010807038
room,0.005884410010807038
point,0.005841458112917935
feel,0.005819982163973385
san,0.005798506215028833
big,0.005777030266084282
accord,0.005755554317139731
found,0.005755554317139731
lassie,0.005755554317139731
ask,0.005734078368195179
seul,0.005734078368195179
essayer,0.005648174572416975
might,0.005626698623472423
love,0.005605222674527872
second,0.0055837467255833205
wasn,0.00556227077663877
long,0.0054763669808605645
ever,0.005433415082971462
head,0.005433415082971462
trop,0.00539046318508236
deja,0.0053689872361378085
encore,0.0053689872361378085
gotta,0.0053689872361378085
sense,0.0053689872361378085
meet,0.005326035338248706
part,0.005304559389304154
apres,0.0052616074914150525
new,0.005240131542470501
after,0.00521865559352595
may,0.00521865559352595
already,0.005197179644581398
talk,0.005197179644581398
hello,0.005175703695636847
nothing,0.005175703695636847
friend,0.0051542277466922965
moment,0.0051542277466922965
again,0.005132751797747745
doit,0.005003896104080438
arrive,0.004982420155135886
bad,0.004982420155135886
everything,0.004982420155135886
remember,0.004982420155135886
three,0.004982420155135886
being,0.004960944206191335
dead,0.004960944206191335
hell,0.004960944206191335
quel,0.004960944206191335
santa,0.004960944206191335
depuis,0.004896516359357682
lot,0.004896516359357682
run,0.004896516359357682
suspect,0.004896516359357682
regarde,0.00487504041041313
parle,0.004853564461468579
desole,0.004832088512524028
next,0.004810612563579476
attend,0.004789136614634925
medium,0.004789136614634925
always,0.004767660665690374
psych,0.004767660665690374
kind,0.004746184716745823
show,0.004746184716745823
important,0.0047247087678012716
real,0.0047247087678012716
woman,0.0047247087678012716
homme,0.00470323281885672
uh,0.00470323281885672
chance,0.004681756869912169
watch,0.004681756869912169
bonne,0.004638804972023067
exactly,0.004638804972023067
excuse,0.004638804972023067
pretty,0.0046173290230785155
turn,0.004595853074133964
aux,0.004574377125189413
etais,0.004574377125189413
job,0.004552901176244861
life,0.004552901176244861
move,0.00453142522730031
barbara,0.0045099492783557595
figure,0.0045099492783557595
nice,0.004488473329411208
ago,0.004466997380466657
dis,0.004466997380466657
isn,0.004466997380466657
jour,0.004466997380466657
every,0.004445521431522105
grand,0.004424045482577554
away,0.004381093584688452
listen,0.004381093584688452
hand,0.004359617635743901
petit,0.004359617635743901
through,0.004359617635743901
girl,0.004338141686799349
inspecteur,0.004338141686799349
god,0.004295189788910247
guster,0.004295189788910247
femme,0.004273713839965695
sens,0.004273713839965695
lie,0.004252237891021145
own,0.004252237891021145
cop,0.004230761942076593
end,0.004230761942076593
phone,0.004209285993132042
voiler,0.004187810044187491
leave,0.004166334095242939
papa,0.004166334095242939
super,0.004166334095242939
celui,0.004144858146298388
gar,0.004144858146298388
word,0.004144858146298388
close,0.004123382197353837
whoa,0.004123382197353837
both,0.004080430299464735
guess,0.004080430299464735
same,0.004080430299464735
probably,0.004058954350520183
enough,0.004037478401575632
raison,0.004037478401575632
stuff,0.004037478401575632
vieux,0.004037478401575632
coming,0.003994526503686529
late,0.003994526503686529
nom,0.003994526503686529
left,0.003973050554741979
hold,0.003951574605797427
less,0.003951574605797427
suppose,0.003951574605797427
mind,0.003930098656852876
partner,0.003930098656852876
pay,0.003930098656852876
ami,0.0039086227079083245
bring,0.0039086227079083245
idea,0.0039086227079083245
wear,0.0039086227079083245
wouldn,0.0039086227079083245
stay,0.0038871467589637735
else,0.003865670810019222
their,0.003865670810019222
attendre,0.0038441948610746708
money,0.0038441948610746708
problem,0.0038441948610746708
accident,0.00382271891213012
cool,0.00382271891213012
date,0.00382271891213012
solve,0.00382271891213012
vie,0.00382271891213012
while,0.00382271891213012
die,0.0038012429631855684
hour,0.0038012429631855684
arrete,0.003779767014241017
laisse,0.003779767014241017
whole,0.003779767014241017
eye,0.003758291065296466
means,0.0037368151163519147
must,0.0037368151163519147
person,0.0037368151163519147
sound,0.0037368151163519147
lose,0.0037153391674073634
monde,0.0037153391674073634
travail,0.0037153391674073634
house,0.0036938632184628124
home,0.003672387269518261
air,0.0036509113205737097
ouais,0.0036509113205737097
aucun,0.003586483473740056
break,0.003586483473740056
juliet,0.003565007524795505
donne,0.0035435315758509537
body,0.0035220556269064023
aider,0.0034791037290173
heure,0.0034791037290173
serious,0.0034791037290173
sortir,0.0034791037290173
voiture,0.0034791037290173
also,0.0034576277800727486
somebody,0.0034576277800727486
wend,0.0034576277800727486
boy,0.0034146758821836463
change,0.0034146758821836463
connaître,0.0034146758821836463
meurtre,0.0034146758821836463
comprendre,0.003393199933239095
line,0.003393199933239095
sort,0.0033717239842945435
catch,0.0033502480353499926
moins,0.0033502480353499926
most,0.0033502480353499926
main,0.003328772086405441
shot,0.003328772086405441
anyone,0.00330729613746089
bite,0.00330729613746089
fire,0.00330729613746089
another,0.003285820188516339
wanna,0.003285820188516339
burton,0.0032643442395717875
open,0.0032643442395717875
today,0.0032643442395717875
week,0.0032643442395717875
dr,0.003242868290627236
high,0.003242868290627236
read,0.003242868290627236
beaucoup,0.003221392341682685
entre,0.003221392341682685
truth,0.003221392341682685
type,0.003221392341682685
laisser,0.003199916392738134
carlton,0.0031569644948490315
lead,0.0031569644948490315
won,0.0031569644948490315
yourself,0.0031569644948490315
huh,0.00313548854590448
play,0.00313548854590448
sir,0.0031140125969599287
commence,0.003092536648015378
haven,0.003092536648015378
certain,0.0030710606990708264
father,0.0030710606990708264
without,0.0030710606990708264
together,0.003049584750126275
since,0.003028108801181724
tuer,0.003028108801181724
speak,0.0030066328522371727
team,0.0030066328522371727
tue,0.0030066328522371727
coup,0.0029851569032926214
killer,0.0029851569032926214
passer,0.0029851569032926214
pendant,0.0029851569032926214
reste,0.0029851569032926214
understand,0.0029851569032926214
department,0.0029636809543480704
mieux,0.0029636809543480704
probleme,0.0029636809543480704
business,0.002942205005403519
seem,0.002942205005403519
care,0.0029207290564589677
mal,0.0029207290564589677
matt,0.0028992531075144167
occuper,0.0028992531075144167
office,0.0028992531075144167
soir,0.0028992531075144167
steal,0.0028992531075144167
www,0.0028992531075144167
door,0.0028777771585698653
number,0.0028777771585698653
possible,0.0028777771585698653
scene,0.0028777771585698653
sweet,0.0028777771585698653
yet,0.0028777771585698653
photo,0.002856301209625314
piece,0.002856301209625314
porte,0.002856301209625314
demande,0.002834825260680763
evidence,0.002834825260680763
hair,0.002834825260680763
chez,0.0028133493117362116
crazy,0.0028133493117362116
stand,0.0028133493117362116
trois,0.0028133493117362116
hard,0.0027918733627916603
boulot,0.0027703974138471093
damn,0.0027703974138471093
ah,0.002748921464902558
buddy,0.002748921464902558
couldn,0.002748921464902558
few,0.002748921464902558
mauvais,0.002748921464902558
once,0.002748921464902558
pick,0.0027274455159580066
aide,0.0027059695670134556
assez,0.0027059695670134556
foot,0.0027059695670134556
until,0.0027059695670134556
fille,0.0026844936180689043
fini,0.0026844936180689043
perfect,0.0026844936180689043
worry,0.0026844936180689043
cote,0.002663017669124353
learn,0.002663017669124353
mirer,0.002641541720179802
attention,0.0026200657712352506
drive,0.0026200657712352506
stu,0.0026200657712352506
arme,0.002598589822290699
chercher,0.002598589822290699
face,0.002598589822290699
four,0.002598589822290699
hit,0.002598589822290699
inside,0.002598589822290699
live,0.002598589822290699
rester,0.002598589822290699
œil,0.002598589822290699
couple,0.0025771138733461482
ecoute,0.0025771138733461482
henry,0.0025771138733461482
histoire,0.0025771138733461482
nuit,0.0025771138733461482
vision,0.0025771138733461482
death,0.002555637924401597
game,0.002555637924401597
meilleur,0.002555637924401597
