Mot,Poids
le,0.42199195936801426
be,0.3472465345456561
un,0.27216161498527064
the,0.2571672640557287
de,0.24172025347548362
you,0.20720495510936823
être,0.20528115159387983
to,0.17240674446156334
je,0.15786505318272456
eat,0.14507741805036048
que,0.1430404496221963
ne,0.13998499697995
and,0.13376092678278168
pa,0.1296304074701154
son,0.12351950218562284
il,0.12187861095182391
ce,0.10484729159411778
that,0.10303665299130517
it,0.10122601438849256
of,0.10105626701947888
avoir,0.09534143892935157
vous,0.0911543371603474
on,0.0903621827716169
tu,0.08623166345895061
he,0.07932860378572754
have,0.07717847044488756
in,0.07570732658010232
qu,0.07350061078292444
en,0.0720294669181392
pour,0.07038857568434027
faire,0.06218411951534562
do,0.06184462477731826
etait,0.056525873881556214
ca,0.053130926501282566
qui,0.05233877211255205
we,0.05132028789846996
elle,0.05052813350973944
for,0.04945306683931945
dans,0.04917015455762998
mais,0.04792534051819631
my,0.04781217560552052
pouvoir,0.04685027384777632
as,0.04673710893510053
what,0.04639761419707317
her,0.04503963524496371
du,0.04453039313792266
this,0.044134315943557406
with,0.04300266681679952
but,0.04294608436046163
not,0.04277633699144794
she,0.04255000716609637
tout,0.041531522952014274
know,0.041361775583000596
they,0.040456456281594284
si,0.04000379663089113
chuck,0.038249740484416414
your,0.03802341065906484
get,0.03791024574638905
aller,0.037004926444982746
olive,0.03502454047315645
savoir,0.03485479310414277
avec,0.03400605625907436
etre,0.03400605625907436
vouloir,0.03355339660837121
no,0.03321390187034384
his,0.03281782467597858
plus,0.0316861755492207
pie,0.031346680811193336
mort,0.03061110887880071
sur,0.030554526422462817
all,0.02891363518866389
ou,0.028743887819650208
can,0.02863072290697442
if,0.02823464571260916
so,0.02823464571260916
au,0.027895150974581794
like,0.027612238692892324
mon,0.027329326411202854
comme,0.027159579042189172
ned,0.026933249216837596
se,0.02619767728444497
don,0.026084512371769182
just,0.026027929915431288
about,0.025858182546417606
bien,0.024613368506983938
at,0.024047543943604997
moi,0.023990961487267103
dire,0.023877796574591312
who,0.023821214118253418
would,0.02370804920557763
oh,0.023538301836563948
one,0.023368554467550266
par,0.022972477273185007
say,0.022802729904171325
out,0.022689564991495537
there,0.022406652709806067
choose,0.022067157971778703
non,0.021953993059102915
emerson,0.02189741060276502
lui,0.021444750952061865
voir,0.021275003583048183
nous,0.021048673757696607
will,0.020596014106993455
up,0.020426266737979773
want,0.020199936912628197
ton,0.02008677199995241
dead,0.01997360708727662
go,0.019407782523897677
mama,0.019238035154883995
tell,0.019068287785870313
when,0.01889854041685663
good,0.018841957960518737
lily,0.018841957960518737
make,0.018785375504180843
penser,0.018672210591505055
here,0.018219550940801903
back,0.01788005620277454
devoir,0.01776689129009875
quand,0.017540561464747174
autre,0.0173142316393956
see,0.016861571988692443
how,0.016578659707002973
now,0.016578659707002973
yes,0.01652207725066508
come,0.016069417599961926
vie,0.016012835143624032
from,0.01595625268728614
dit,0.015899670230948244
by,0.015786505318272456
cod,0.015673340405596668
didn,0.015503593036582986
or,0.015503593036582986
meme,0.015447010580245092
could,0.015390428123907196
trouver,0.01516409829855562
well,0.015107515842217726
patissier,0.014937768473204044
minute,0.014654856191514574
charles,0.014485108822500892
dwight,0.014485108822500892
pourquoi,0.014428526366162998
pere,0.01431536145348721
aimer,0.014258778997149314
est,0.014089031628135632
look,0.013862701802784056
vivian,0.013862701802784056
why,0.013862701802784056
charlotte,0.013749536890108268
gonna,0.013692954433770374
maker,0.013579789521094586
think,0.013240294783067222
thing,0.013183712326729328
alors,0.013127129870391432
jamais,0.013127129870391432
time,0.013070547414053538
right,0.013013964957715644
juste,0.012844217588701962
then,0.012844217588701962
ete,0.01267447021968828
kill,0.012617887763350386
love,0.012561305307012492
only,0.012504722850674598
ici,0.01239155793799881
life,0.01239155793799881
secret,0.01239155793799881
take,0.012334975481660916
prendre,0.012278393025323022
toi,0.012278393025323022
need,0.011995480743633552
aussi,0.011938898287295656
never,0.011882315830957762
quelqu,0.011599403549268292
quoi,0.011599403549268292
moment,0.011542821092930398
quelque,0.01142965618025461
rien,0.01075066670419988
bee,0.010694084247861986
something,0.010580919335186198
way,0.010580919335186198
day,0.010411171966172516
venir,0.010411171966172516
comment,0.010298007053496728
fille,0.010298007053496728
peut,0.010241424597158834
tarte,0.01018484214082094
where,0.010015094771807257
their,0.00990192985913147
find,0.009732182490117787
more,0.009619017577441998
die,0.009562435121104104
our,0.009562435121104104
into,0.009449270208428315
mere,0.009449270208428315
off,0.009449270208428315
tres,0.009392687752090421
apres,0.009109775470400951
car,0.009109775470400951
girl,0.009109775470400951
man,0.008996610557725163
toujours,0.008996610557725163
touch,0.00894002810138727
because,0.008883445645049375
grand,0.008883445645049375
jour,0.008883445645049375
oui,0.008883445645049375
avant,0.008826863188711481
etes,0.008826863188711481
little,0.008826863188711481
really,0.008826863188711481
tue,0.008826863188711481
vraiment,0.008826863188711481
seul,0.008770280732373587
people,0.0086571158196978
very,0.008600533363359905
cause,0.00854395090702201
let,0.00854395090702201
mean,0.00854395090702201
personne,0.00854395090702201
temp,0.00854395090702201
thought,0.00854395090702201
donc,0.008487368450684115
father,0.008487368450684115
snook,0.008487368450684115
maintenant,0.008374203538008327
bon,0.008317621081670433
too,0.008204456168994645
which,0.008204456168994645
etais,0.008147873712656751
give,0.008147873712656751
maybe,0.008091291256318857
nouveau,0.008091291256318857
dad,0.008034708799980963
murder,0.008034708799980963
again,0.007921543887305175
betty,0.007921543887305175
coeur,0.007921543887305175
aux,0.007864961430967281
year,0.007864961430967281
some,0.007808378974629387
parce,0.007751796518291493
place,0.007751796518291493
etaient,0.007638631605615704
san,0.007638631605615704
homme,0.007525466692939916
first,0.007468884236602022
pendant,0.007468884236602022
after,0.007412301780264128
besoin,0.007412301780264128
keep,0.007412301780264128
someone,0.007412301780264128
mother,0.007355719323926234
part,0.007355719323926234
before,0.00729913686758834
deux,0.00729913686758834
other,0.007242554411250446
thank,0.007242554411250446
try,0.007129389498574657
arrive,0.007016224585898869
parler,0.007016224585898869
merci,0.006959642129560975
bring,0.006903059673223081
fois,0.006903059673223081
peu,0.006846477216885187
down,0.006789894760547293
found,0.006789894760547293
help,0.006789894760547293
name,0.006789894760547293
ouais,0.006789894760547293
question,0.006789894760547293
wait,0.006789894760547293
any,0.006733312304209399
even,0.006733312304209399
long,0.006733312304209399
over,0.006733312304209399
put,0.006733312304209399
celui,0.006676729847871505
croire,0.006676729847871505
jeune,0.006676729847871505
than,0.006620147391533611
wasn,0.006620147391533611
work,0.006563564935195716
sister,0.006506982478857822
being,0.006450400022519928
hole,0.006450400022519928
still,0.006450400022519928
great,0.006393817566182034
young,0.006393817566182034
monde,0.006280652653506246
new,0.006280652653506246
femme,0.006224070197168352
soeur,0.006224070197168352
happen,0.006167487740830458
use,0.006167487740830458
herrmann,0.006110905284492564
sorry,0.006110905284492564
dixon,0.00605432282815467
nikki,0.00605432282815467
much,0.005997740371816776
own,0.005997740371816776
away,0.005941157915478881
call,0.005941157915478881
depuis,0.005941157915478881
puis,0.005884575459140987
toucher,0.005884575459140987
quel,0.005827993002803093
should,0.005827993002803093
show,0.005771410546465199
gen,0.005658245633789411
passe,0.005658245633789411
tante,0.005658245633789411
detective,0.005601663177451517
essayer,0.005601663177451517
home,0.005601663177451517
leave,0.005601663177451517
sure,0.005601663177451517
aunt,0.005545080721113623
heure,0.005545080721113623
petit,0.005545080721113623
point,0.005545080721113623
else,0.005488498264775729
friend,0.005488498264775729
heart,0.005488498264775729
last,0.005431915808437835
stingwell,0.005431915808437835
devenir,0.00537533335209994
feel,0.00537533335209994
moins,0.00537533335209994
second,0.00537533335209994
while,0.00537533335209994
ami,0.005318750895762046
around,0.005318750895762046
death,0.005318750895762046
kind,0.005318750895762046
larue,0.005318750895762046
stop,0.005318750895762046
darling,0.005262168439424152
encore,0.005262168439424152
lot,0.005262168439424152
big,0.005205585983086258
digby,0.005205585983086258
police,0.005205585983086258
suppose,0.005149003526748364
lie,0.00509242107041047
petite,0.00509242107041047
two,0.00509242107041047
ask,0.005035838614072576
deja,0.005035838614072576
erin,0.005035838614072576
nom,0.005035838614072576
vrai,0.005035838614072576
œil,0.005035838614072576
alive,0.004979256157734682
body,0.004979256157734682
laisse,0.004979256157734682
meurtre,0.004979256157734682
okay,0.004979256157734682
dis,0.004922673701396788
face,0.004922673701396788
fact,0.004922673701396788
abeille,0.004866091245058894
always,0.004866091245058894
ever,0.004866091245058894
old,0.004866091245058894
porte,0.004866091245058894
boy,0.004809508788720999
killer,0.004809508788720999
hello,0.004752926332383105
kentucky,0.004752926332383105
meilleur,0.004752926332383105
sentir,0.004752926332383105
anything,0.004696343876045211
parle,0.004696343876045211
aucun,0.004639761419707317
main,0.004639761419707317
mettre,0.004639761419707317
watch,0.004639761419707317
believe,0.004583178963369423
left,0.004583178963369423
miss,0.004583178963369423
talk,0.004583178963369423
ain,0.004526596507031529
another,0.004526596507031529
doing,0.004526596507031529
lose,0.004526596507031529
demande,0.004470014050693635
everything,0.004470014050693635
since,0.004470014050693635
tueur,0.004470014050693635
affaire,0.004413431594355741
attendre,0.004413431594355741
plan,0.004413431594355741
clown,0.004356849138017847
crime,0.004356849138017847
doesn,0.004356849138017847
truth,0.004356849138017847
joe,0.004300266681679953
lila,0.004300266681679953
night,0.004300266681679953
nouvelle,0.004300266681679953
wish,0.004300266681679953
chien,0.004243684225342058
hand,0.004243684225342058
maison,0.004243684225342058
mauvais,0.004243684225342058
papen,0.004243684225342058
rester,0.004243684225342058
bao,0.004187101769004164
gustav,0.004187101769004164
jusqu,0.004187101769004164
nothing,0.004187101769004164
papa,0.004187101769004164
randy,0.004187101769004164
sortir,0.004187101769004164
team,0.004187101769004164
verite,0.004187101769004164
wrong,0.004187101769004164
hear,0.00413051931266627
tuer,0.00413051931266627
certain,0.004073936856328376
hell,0.004073936856328376
hour,0.004073936856328376
beaucoup,0.004017354399990482
daughter,0.004017354399990482
donne,0.004017354399990482
entre,0.004017354399990482
every,0.004017354399990482
might,0.004017354399990482
voiler,0.004017354399990482
20,0.003960771943652588
bad,0.003960771943652588
chance,0.003960771943652588
doit,0.003960771943652588
magic,0.003960771943652588
mal,0.003960771943652588
partie,0.003960771943652588
steal,0.003960771943652588
turn,0.003960771943652588
bonne,0.0039041894873146936
client,0.0039041894873146936
eye,0.0039041894873146936
hey,0.0039041894873146936
john,0.0039041894873146936
raison,0.0039041894873146936
sou,0.0039041894873146936
souvenir,0.0039041894873146936
dieu,0.003847607030976799
genre,0.003847607030976799
guy,0.003847607030976799
live,0.003847607030976799
meet,0.003847607030976799
passer,0.003847607030976799
connaître,0.003791024574638905
corps,0.003791024574638905
pay,0.003791024574638905
room,0.003791024574638905
run,0.003791024574638905
seem,0.003791024574638905
word,0.003791024574638905
appeler,0.003734442118301011
happy,0.003734442118301011
joseph,0.003734442118301011
please,0.003734442118301011
surprise,0.003734442118301011
until,0.003734442118301011
amour,0.003677859661963117
chez,0.003677859661963117
demander,0.003677859661963117
mourir,0.003677859661963117
accident,0.003621277205625223
coup,0.003621277205625223
move,0.003621277205625223
schatz,0.003621277205625223
through,0.003621277205625223
mr,0.0035646947492873286
private,0.0035646947492873286
propre,0.0035646947492873286
start,0.0035646947492873286
sweet,0.0035646947492873286
accord,0.0035081122929494345
cas,0.0035081122929494345
garder,0.0035081122929494345
mieux,0.0035081122929494345
mot,0.0035081122929494345
nice,0.0035081122929494345
nuit,0.0035081122929494345
partir,0.0035081122929494345
same,0.0035081122929494345
wouldn,0.0035081122929494345
attend,0.0034515298366115405
consider,0.0034515298366115405
donner,0.0034515298366115405
may,0.0034515298366115405
montre,0.0034515298366115405
voiture,0.0034515298366115405
aider,0.0033949473802736465
air,0.0033949473802736465
eau,0.0033949473802736465
important,0.0033949473802736465
once,0.0033949473802736465
revenir,0.0033949473802736465
somebody,0.0033949473802736465
world,0.0033949473802736465
aide,0.0033383649239357525
hide,0.0033383649239357525
super,0.0033383649239357525
tant,0.0033383649239357525
10,0.003281782467597858
both,0.003281782467597858
case,0.003281782467597858
colonel,0.003281782467597858
end,0.003281782467597858
endroit,0.003281782467597858
family,0.003281782467597858
less,0.003281782467597858
problem,0.003281782467597858
push,0.003281782467597858
salut,0.003281782467597858
seuleming,0.003281782467597858
stay,0.003281782467597858
travail,0.003281782467597858
apprendre,0.003225200011259964
bonjour,0.003225200011259964
late,0.003225200011259964
livre,0.003225200011259964
must,0.003225200011259964
continue,0.00316861755492207
cote,0.00316861755492207
idee,0.00316861755492207
laisser,0.00316861755492207
remember,0.00316861755492207
trop,0.00316861755492207
also,0.003112035098584176
argent,0.003112035098584176
catch,0.003112035098584176
change,0.003112035098584176
dernier,0.003112035098584176
dicker,0.003112035098584176
falloir,0.003112035098584176
next,0.003112035098584176
regarder,0.003112035098584176
return,0.003112035098584176
talke,0.003112035098584176
tete,0.003112035098584176
water,0.003112035098584176
coming,0.003055452642246282
desole,0.003055452642246282
mcquoddy,0.003055452642246282
nora,0.003055452642246282
seconde,0.003055452642246282
simone,0.003055452642246282
animal,0.002998870185908388
arriver,0.002998870185908388
coco,0.002998870185908388
felt,0.002998870185908388
gros,0.002998870185908388
isn,0.002998870185908388
mind,0.002998870185908388
peur,0.002998870185908388
prive,0.002998870185908388
rendre,0.002998870185908388
reste,0.002998870185908388
vieux,0.002998870185908388
wend,0.002998870185908388
won,0.002998870185908388
course,0.0029422877295704935
door,0.0029422877295704935
facon,0.0029422877295704935
hate,0.0029422877295704935
head,0.0029422877295704935
house,0.0029422877295704935
niece,0.0029422877295704935
realize,0.0029422877295704935
already,0.0028857052732325994
behind,0.0028857052732325994
couldn,0.0028857052732325994
desolee,0.0028857052732325994
feeling,0.0028857052732325994
font,0.0028857052732325994
person,0.0028857052732325994
sens,0.0028857052732325994
table,0.0028857052732325994
tour,0.0028857052732325994
alone,0.0028291228168947054
amie,0.0028291228168947054
care,0.0028291228168947054
damn,0.0028291228168947054
enough,0.0028291228168947054
mermaid,0.0028291228168947054
retrouver,0.0028291228168947054
semaine,0.0028291228168947054
celer,0.0027725403605568114
commence,0.0027725403605568114
enfant,0.0027725403605568114
ghost,0.0027725403605568114
hope,0.0027725403605568114
send,0.0027725403605568114
serum,0.0027725403605568114
set,0.0027725403605568114
truc,0.0027725403605568114
bubblegum,0.0027159579042189174
bury,0.0027159579042189174
conversation,0.0027159579042189174
soir,0.0027159579042189174
vivre,0.0027159579042189174
woman,0.0027159579042189174
different,0.002659375447881023
fr,0.002659375447881023
gift,0.002659375447881023
god,0.002659375447881023
harold,0.002659375447881023
penny,0.002659375447881023
perdu,0.002659375447881023
premier,0.002659375447881023
ramener,0.002659375447881023
simple,0.002659375447881023
train,0.002659375447881023
business,0.002602792991543129
comprendre,0.002602792991543129
grave,0.002602792991543129
heureux,0.002602792991543129
most,0.002602792991543129
open,0.002602792991543129
premiere,0.002602792991543129
suspect,0.002602792991543129
tomber,0.002602792991543129
excuse,0.002546210535205235
plait,0.002546210535205235
regarde,0.002546210535205235
semble,0.002546210535205235
sub,0.002546210535205235
tombe,0.002546210535205235
30,0.002489628078867341
arrete,0.002489628078867341
become,0.002489628078867341
chercher,0.002489628078867341
colere,0.002489628078867341
famille,0.002489628078867341
gin,0.002489628078867341
guess,0.002489628078867341
louis,0.002489628078867341
merle,0.002489628078867341
parent,0.002489628078867341
week,0.002489628078867341
actually,0.002433045622529447
ass,0.002433045622529447
assez,0.002433045622529447
brother,0.002433045622529447
derniere,0.002433045622529447
fantome,0.002433045622529447
hard,0.002433045622529447
mari,0.002433045622529447
mentir,0.002433045622529447
mi,0.002433045622529447
pull,0.002433045622529447
real,0.002433045622529447
together,0.002433045622529447
without,0.002433045622529447
decide,0.0023764631661915524
etant,0.0023764631661915524
hold,0.0023764631661915524
lawrence,0.0023764631661915524
lion,0.0023764631661915524
magie,0.0023764631661915524
pretend,0.0023764631661915524
prison,0.0023764631661915524
vers,0.0023764631661915524
voici,0.0023764631661915524
anyone,0.0023198807098536584
buddy,0.0023198807098536584
close,0.0023198807098536584
contre,0.0023198807098536584
county,0.0023198807098536584
daisy,0.0023198807098536584
dog,0.0023198807098536584
fin,0.0023198807098536584
meurtrier,0.0023198807098536584
myself,0.0023198807098536584
piece,0.0023198807098536584
porter,0.0023198807098536584
preuve,0.0023198807098536584
probleme,0.0023198807098536584
scene,0.0023198807098536584
smell,0.0023198807098536584
vivant,0.0023198807098536584
bet,0.0022632982535157643
cacher,0.0022632982535157643
dandy,0.0022632982535157643
derriere,0.0022632982535157643
disparu,0.0022632982535157643
doigt,0.0022632982535157643
enterrer,0.0022632982535157643
histoire,0.0022632982535157643
idea,0.0022632982535157643
jacobs,0.0022632982535157643
justice,0.0022632982535157643
lead,0.0022632982535157643
play,0.0022632982535157643
rob,0.0022632982535157643
sound,0.0022632982535157643
tard,0.0022632982535157643
a2s,0.0022067157971778703
decision,0.0022067157971778703
episode,0.0022067157971778703
full,0.0022067157971778703
gagner,0.0022067157971778703
investigator,0.0022067157971778703
kitty,0.0022067157971778703
pidge,0.0022067157971778703
present,0.0022067157971778703
retour,0.0022067157971778703
suivant,0.0022067157971778703
uh,0.0022067157971778703
vole,0.0022067157971778703
abner,0.0021501333408399763
attention,0.0021501333408399763
bake,0.0021501333408399763
balsam,0.0021501333408399763
blanche,0.0021501333408399763
half,0.0021501333408399763
many,0.0021501333408399763
odeur,0.0021501333408399763
pass,0.0021501333408399763
revoir,0.0021501333408399763
sabotage,0.0021501333408399763
sommer,0.0021501333408399763
tenir,0.0021501333408399763
window,0.0021501333408399763
bird,0.002093550884502082
coral,0.002093550884502082
dig,0.002093550884502082
fine,0.002093550884502082
forget,0.002093550884502082
its,0.002093550884502082
lenez,0.002093550884502082
means,0.002093550884502082
money,0.002093550884502082
ni,0.002093550884502082
ok,0.002093550884502082
pauvre,0.002093550884502082
plein,0.002093550884502082
pre,0.002093550884502082
propos,0.002093550884502082
stuff,0.002093550884502082
tandis,0.002093550884502082
walk,0.002093550884502082
woolsey,0.002093550884502082
abandon,0.002036968428164188
ago,0.002036968428164188
billy,0.002036968428164188
denny,0.002036968428164188
each,0.002036968428164188
eh,0.002036968428164188
elliot,0.002036968428164188
fini,0.002036968428164188
horrible,0.002036968428164188
idiot,0.002036968428164188
learn,0.002036968428164188
message,0.002036968428164188
news,0.002036968428164188
retourner,0.002036968428164188
salomon,0.002036968428164188
school,0.002036968428164188
