Mot,Poids
be,0.3461850706568241
le,0.32318557039172996
you,0.31756347032692916
un,0.252824136247405
the,0.2197730025331216
de,0.20955100241530197
vous,0.20597330237406514
être,0.2008623023151553
je,0.17752206871280055
ne,0.15639660180264
to,0.15418183511044578
pa,0.14276726831221387
that,0.14140433496317126
il,0.13493040155521885
que,0.12930830149041805
he,0.121982534739314
it,0.11857520136670746
eat,0.11363456797642799
avoir,0.10375330119586904
son,0.1003459678232625
ce,0.09966450114874119
on,0.09250910106626746
ca,0.09131653438585517
have,0.08944250103092158
and,0.08790920101324864
of,0.08245746761707819
do,0.08024270092488393
what,0.07257620083651922
pour,0.0717243674933676
faire,0.06882813412665204
know,0.06746520077760942
in,0.06712446744034876
elle,0.05911723401472341
qu,0.05792466733431112
en,0.05775430066568079
this,0.056902467322529154
she,0.05622100064800785
tout,0.054517333961704585
get,0.05315440061266197
tu,0.05298403394403164
we,0.048384133891012815
qui,0.04787303388512184
no,0.04770266721649151
pouvoir,0.04736193387923086
your,0.046850833873339874
for,0.04599900053018824
aller,0.045658267192927586
her,0.04548790052429726
savoir,0.04531753385566693
etait,0.04395460050662432
mais,0.04310276716347269
my,0.04225093382032105
with,0.04173983381443007
dans,0.041569467145799746
they,0.041399100477169416
don,0.04071763380264811
uh,0.040036167128126805
but,0.038502867110453864
avec,0.0374806670986719
not,0.037310300430041576
sur,0.03696956709278092
so,0.03577700041236863
yes,0.035606633743738306
bien,0.035436267075107976
voir,0.035436267075107976
about,0.034925167069217
just,0.03475480040058667
vouloir,0.03475480040058667
moi,0.03458443373195635
here,0.03288076704565308
etre,0.03271040037702275
du,0.03202893370250144
like,0.03202893370250144
oh,0.031347467027980136
lui,0.03117710035934981
non,0.030836367022089153
can,0.0304956336848285
si,0.0304956336848285
go,0.030325267016198174
see,0.029303067004416213
say,0.029132700335785886
out,0.028621600329894907
ouais,0.028110500324003924
all,0.027940133655373598
tell,0.027258666980852293
there,0.027258666980852293
if,0.02623646696907033
plus,0.02623646696907033
quoi,0.02623646696907033
as,0.026066100300440005
dit,0.025555000294549022
didn,0.025384633625918696
right,0.025384633625918696
why,0.025043900288658043
rainer,0.024873533620027716
au,0.02470316695139739
at,0.02453280028276706
one,0.02402170027687608
mon,0.023851333608245755
who,0.023851333608245755
good,0.023510600270985102
up,0.023340233602354776
jimmy,0.02299950026509412
look,0.02299950026509412
ici,0.022829133596463793
his,0.022658766927833467
comme,0.022318033590572814
pourquoi,0.022147666921942488
how,0.02197730025331216
