Mot,Poids
be,0.35531115582889633
you,0.3444076179503022
le,0.3284127586655878
être,0.25902660852908
je,0.2300105821083586
un,0.2024363458203438
the,0.188423947968101
de,0.17260931244997488
to,0.1722038089751511
tu,0.15048684510125712
pa,0.14638675441137258
it,0.1413404889468993
que,0.13323041945042435
that,0.12980616788524604
on,0.12588630096194983
ce,0.11065739268523578
ne,0.10326821825511417
il,0.09245479225981426
eat,0.09137344966028427
ca,0.0910580580687547
what,0.09006682735251886
he,0.08907559663628303
and,0.08605684854592847
faire,0.0817765340894556
aller,0.08146114249792602
we,0.08114575090639643
do,0.08037979989839603
this,0.07600937355862898
vous,0.07528847849227564
of,0.07501814284239315
have,0.0735763527096865
sam,0.06753885652897738
know,0.06528605944662323
get,0.06474538814685823
en,0.06415966090544616
qu,0.06208708758968034
pour,0.05870789196614912
in,0.057986996899795785
no,0.05762654936661912
right,0.0566353186503833
my,0.05528364040097081
yes,0.05519352851767664
all,0.05334623491014624
ok,0.05276050766873416
avoir,0.05258028390214583
just,0.05253522796049875
oh,0.05176927695249833
pouvoir,0.05041759870308585
savoir,0.04956153581179127
for,0.04938131204520294
go,0.04857030509555545
bien,0.04780435408755503
don,0.047308738729437125
not,0.04613728424661297
son,0.04501088570543589
vouloir,0.04474055005555339
can,0.043614151514376316
non,0.043614151514376316
your,0.04352403963108215
tout,0.043253703981199654
so,0.043073480214611326
as,0.04302842427296424
quoi,0.03973934053272718
moi,0.03816238257507928
with,0.037216207800490536
will,0.035684305784489716
out,0.03550408201790138
like,0.03532385825131305
ton,0.033746900293665144
mon,0.03239522204425266
elle,0.03158421509460516
qui,0.030863320028251838
good,0.03077320814495767
du,0.03072815220331059
avec,0.030502872495075172
want,0.030367704670133923
here,0.02982703337036893
ouais,0.029646809603780598
si,0.029646809603780598
accord,0.02955669772048643
mais,0.02955669772048643
but,0.02906108236236852
dans,0.02879074671248602
voir,0.028385243237662273
she,0.02815996352942686
etre,0.027934683821191443
about,0.02788962787954436
est,0.027303900638132282
up,0.0269885090466027
think,0.02649289368848479
look,0.026402781805190623
there,0.026402781805190623
dire,0.025997278330366875
guy,0.025726942680484376
come,0.02559177485554313
toi,0.02559177485554313
andi,0.025321439205660632
gonna,0.025186271380719383
sock,0.02500604761413105
sur,0.024600544139307304
well,0.024555488197660222
they,0.023834593131306894
penser,0.023744481248012726
devoir,0.023474145598130228
now,0.023158754006600647
hey,0.023023586181659398
let,0.022302691115306073
ou,0.022032355465423575
if,0.021762019815541076
one,0.021762019815541076
au,0.021716963873893994
plus,0.021491684165658578
juste,0.021446628224011496
see,0.02135651634071733
at,0.021266404457423164
etait,0.021266404457423164
how,0.021266404457423164
ben,0.020951012865893584
really,0.020635621274364
back,0.02018506185789317
her,0.02000483809130484
say,0.019959782149657757
comme,0.019464166791539846
make,0.019464166791539846
vraiment,0.018878439550127767
devil,0.018743271725186517
tell,0.018743271725186517
tres,0.018608103900245268
nous,0.018563047958598186
choose,0.01793226477553902
diable,0.01757181724236236
soul,0.01743664941742111
need,0.017076201884244448
lui,0.0169410340593032
little,0.016895978117656116
why,0.0166706984094207
se,0.01649047464283237
mama,0.0164003627595382
alors,0.01608497116800862
mean,0.015994859284714457
take,0.015814635518126122
pourquoi,0.015679467693184873
oui,0.015364076101655294
work,0.015364076101655294
thank,0.015273964218361129
time,0.015048684510125714
thing,0.01468823697694905
hell,0.014508013210360717
man,0.014417901327066551
merci,0.01423767756047822
mec,0.014012397852242805
ame,0.013877230027301556
bon,0.01378711814400739
comment,0.013742062202360307
demon,0.013516782494124892
wait,0.013426670610830726
dit,0.013381614669183643
venir,0.013201390902595311
would,0.013111279019301146
prendre,0.013066223077654062
aimer,0.012976111194359896
uh,0.012840943369418647
his,0.012795887427771565
rien,0.012660719602830316
who,0.012660719602830316
par,0.012615663661183232
quelque,0.01257060771953615
sorry,0.012345328011300736
way,0.012255216128006568
some,0.01212004830306532
from,0.012029936419771153
something,0.011804656711535738
peu,0.011714544828241573
love,0.011669488886594491
maintenant,0.011669488886594491
ici,0.011534321061653242
ted,0.011444209178359076
when,0.011263985411770743
give,0.011218929470123661
where,0.011218929470123661
quand,0.010948593820241163
sammy,0.010948593820241163
trouver,0.010948593820241163
could,0.010723314112005748
croire,0.010543090345417415
besoin,0.01045297846212325
didn,0.01045297846212325
maybe,0.01045297846212325
enfer,0.010362866578829084
parce,0.010092530928946585
meme,0.009957363104005338
try,0.009957363104005338
or,0.009912307162358254
autre,0.009777139337417005
desole,0.009732083395769923
attend,0.00955185962918159
because,0.00955185962918159
then,0.00955185962918159
god,0.009461747745887424
great,0.009461747745887424
jamais,0.009371635862593259
dieu,0.009281523979299093
help,0.009281523979299093
essayer,0.008921076446122429
kill,0.00878590862118118
over,0.00878590862118118
off,0.00865074079623993
peut,0.008605684854592848
never,0.008560628912945765
parler,0.008560628912945765
doing,0.008515572971298681
down,0.0084705170296516
vie,0.00833534920471035
truc,0.008245237321416184
cool,0.0082001813797691
more,0.0082001813797691
should,0.0082001813797691
by,0.008110069496474935
call,0.008110069496474935
tony,0.008065013554827851
petit,0.007929845729886604
ami,0.00788478978823952
too,0.007839733846592437
any,0.007794677904945355
temp,0.007794677904945355
anything,0.007749621963298272
nina,0.007749621963298272
passe,0.007749621963298272
talk,0.007749621963298272
day,0.007704566021651188
aussi,0.007659510080004105
greg,0.0076144541383570226
doit,0.00756939819670994
quel,0.00756939819670994
dis,0.007479286313415773
regarde,0.0074342303717686905
sure,0.0074342303717686905
etes,0.007389174430121608
friend,0.007389174430121608
listen,0.007389174430121608
even,0.007344118488474525
sortir,0.007344118488474525
very,0.007344118488474525
place,0.007299062546827442
ecoute,0.007208950663533276
gar,0.007163894721886193
toujours,0.007163894721886193
vrai,0.007163894721886193
feel,0.007073782838592027
into,0.007073782838592027
fois,0.0070287268969449436
life,0.0070287268969449436
hello,0.006983670955297861
please,0.006938615013650778
our,0.006893559072003695
nice,0.006803447188709529
salut,0.006803447188709529
ete,0.006758391247062446
happen,0.00666827936376828
super,0.0066232234221211975
donc,0.006578167480474114
bonne,0.006533111538827031
car,0.006533111538827031
find,0.006488055597179948
people,0.006488055597179948
encore,0.0064429996555328654
eh,0.006397943713885783
stop,0.006397943713885783
believe,0.006352887772238699
heu,0.006307831830591616
vessel,0.006307831830591616
gotta,0.006262775888944533
mort,0.006262775888944533
steve,0.006262775888944533
tuer,0.006262775888944533
personne,0.006217719947297451
air,0.006172664005650368
actually,0.006127608064003284
contenant,0.006127608064003284
parle,0.006127608064003284
problem,0.006082552122356201
ever,0.0060374961807091185
mal,0.0060374961807091185
thought,0.005992440239062036
arrive,0.005902328355767869
plan,0.005812216472473704
quelqu,0.005767160530826621
much,0.005722104589179538
trop,0.005722104589179538
fine,0.005677048647532454
laisse,0.005677048647532454
night,0.005677048647532454
