Mot,Poids
le,0.39137153642071376
be,0.3332610764885508
you,0.2948924999876984
the,0.22725771156042987
être,0.2251780322371315
un,0.20314548752218797
je,0.20163847351979786
de,0.18002789272552355
to,0.17324632971476803
vous,0.16082853433507344
ne,0.15995446621368717
il,0.14340745246744369
pa,0.1421717009854838
he,0.11848144086791111
it,0.11790877554700287
que,0.11224240289801603
tu,0.11004216245452646
eat,0.10642532884879016
on,0.10479775372620884
we,0.10401410644496598
have,0.10350172168415334
and,0.09970404639813024
son,0.09503230299072087
ce,0.09216897638617964
robin,0.08876312474077798
will,0.08469418693432466
do,0.08029370604734551
of,0.07836472812428616
that,0.07302989855582515
what,0.07125162203300481
avoir,0.06950348579023226
en,0.06884039962918061
faire,0.06727310506669489
pour,0.06676072030588225
this,0.06664015918569104
nous,0.06498244378306191
aller,0.06287262417971574
no,0.05684456817015527
my,0.05578965836848219
in,0.05533755416776515
ca,0.0546141874466179
your,0.05361955820504041
pouvoir,0.052233105322841505
not,0.05193170252236348
for,0.050937073280786005
moi,0.050665810760355784
get,0.049641041238730504
they,0.04738052023514532
go,0.04668729379404587
qu,0.04668729379404587
marian,0.04177442814625409
know,0.04129218366548924
bien,0.04087021974482001
si,0.04047839610419858
tout,0.03993587106333814
non,0.03957418770276451
as,0.0381575945405178
du,0.038097313980422196
can,0.03722324585903593
mon,0.03598749437707603
come,0.033907815053777664
sherif,0.03333514973286942
there,0.03321458861267821
if,0.031858276010527105
don,0.031466452369905674
savoir,0.03131575096966666
good,0.03125547040957106
sheriff,0.030712945368710616
all,0.03041154256823259
vouloir,0.02962789528698973
mais,0.029356632766559507
here,0.029326492486511705
with,0.0292662119264161
au,0.029055229966081484
qui,0.02899494940598588
ou,0.028934668845890275
yes,0.028934668845890275
now,0.027819478484121588
well,0.027608496523786972
but,0.027397514563452356
man,0.027216672883165538
so,0.026644007562257294
ton,0.026402885321874875
voir,0.02595078112115784
plus,0.025468536640393002
etre,0.025347975520201793
devoir,0.02531783524015399
homme,0.02528769496010619
lui,0.025136993559867177
gisborne,0.0241423643182897
elle,0.024082083758194095
hood,0.024021803198098487
much,0.023901242077907277
dans,0.023569698997381452
oui,0.023479278157238045
right,0.023358717037046835
avec,0.022936753116377603
toi,0.022876472556281998
nottingham,0.022544929475756172
quoi,0.022303807235373754
want,0.022303807235373754
just,0.022153105835134742
oh,0.02185170303465672
roi,0.021550300234178695
out,0.021128336313509462
tell,0.021037915473366055
see,0.02085707379307924
let,0.02061595155269682
sur,0.02022412791207539
his,0.020193987632027587
ici,0.019952865391645168
make,0.019440480630832528
take,0.019440480630832528
think,0.019440480630832528
king,0.019289779230593516
she,0.0190787972702589
back,0.019048656990211098
say,0.01895823615006769
