Mot,Poids
be,0.38561733513054713
le,0.33482610515709926
you,0.3112998262825041
être,0.24000451937183975
je,0.22817624627209862
un,0.22515404433471983
de,0.2039725773080909
the,0.17328159556470976
to,0.16705481743511036
que,0.15160511270351015
ne,0.13913852971182264
pa,0.13588184658964722
it,0.1311010357662937
vous,0.13016311102710718
that,0.12290722103090035
on,0.11464827263306349
tu,0.11373640135885436
eat,0.10997167566961959
and,0.10632419057278311
ce,0.10435715396698916
il,0.094626184797929
faire,0.09060092445892019
have,0.09057487099394278
ca,0.07843395631447282
son,0.07455199003283972
of,0.07305391579663903
en,0.07228533857980562
do,0.07203783066252029
avoir,0.070565809891297
my,0.07026619504405686
aller,0.0697711792094862
he,0.06939340396731385
pour,0.06372677533472862
in,0.06367466840477382
we,0.06323175950015796
qu,0.0627627971305647
get,0.06130380309183011
what,0.060978134779612565
this,0.058333708084406126
for,0.05363105765598482
know,0.05228930420964854
your,0.051729154712634375
tout,0.04835523099806064
oh,0.04706558448167917
just,0.0465445151821311
pouvoir,0.046179766672447456
so,0.046153713207470054
moi,0.04310545780511386
with,0.04293611028276074
dr,0.04275373602791892
si,0.04275373602791892
mon,0.04231082712330306
mais,0.04219358653090474
not,0.04177673109126629
savoir,0.04171159742882278
don,0.04096907367696678
qui,0.04095604694447808
no,0.04069551229470405
can,0.0403568172499978
go,0.04023957665759949
as,0.03848096777162476
vouloir,0.03807713906447501
like,0.03769936382230266
but,0.03686565294302575
avec,0.034468734165104646
bien,0.03431241337524023
will,0.03355686289089553
plus,0.032788285674062126
dans,0.032202082712070555
all,0.03195457479478522
du,0.03161587975007898
here,0.031042703520576104
out,0.030130832246366986
about,0.029727003539217235
if,0.029713976806728534
non,0.029245014437135272
turk,0.029023559984827342
elle,0.02891934612491773
there,0.028567624347722784
up,0.028554597615234083
ton,0.027473378818671845
sur,0.02736916495876223
etre,0.027108630308988198
say,0.02658756100944013
dire,0.026496373882019218
au,0.026392160022109604
yes,0.026183732302290378
one,0.026014384779937255
voir,0.025753850130163222
good,0.025623582805276206
comme,0.0255714758753214
how,0.025245807563103857
etait,0.02518067390066035
right,0.024685658066089685
she,0.024620524403646177
want,0.024112481836586812
they,0.023617466002016148
ok,0.02340903828219692
mama,0.02335693135224211
gonna,0.023291797689798603
look,0.023200610562377693
see,0.02300520957504717
ou,0.02262743433287482
now,0.022262685823191172
at,0.022132418498304156
make,0.02211939176581545
quoi,0.021533188803823877
devoir,0.02141594821142556
nous,0.021285680886538545
think,0.02116844029414023
elliot,0.021051199701741914
her,0.020946985841832303
se,0.02086882544690009
patient,0.02079066505196788
quand,0.020712504657035672
lui,0.02055618386717125
tell,0.020438943274772935
when,0.02023051555495371
hey,0.020009061102645782
why,0.01946193833812031
come,0.019396804675676803
toi,0.019032056165993155
pourquoi,0.018445853204001578
time,0.018354666076580668
carla,0.018263478949159757
thing,0.017781489847077794
cox,0.017729382917122987
guy,0.017560035394769864
who,0.016921725502823483
alors,0.016908698770334782
because,0.016908698770334782
meme,0.01683053837540257
well,0.01664816412056075
dit,0.01658303045811724
choose,0.016400656203275417
really,0.01603590769359177
penser,0.01574931957884033
parce,0.015540891859021105
est,0.015384571069156684
oui,0.015032849291961739
take,0.015032849291961739
aimer,0.015006795826984335
let,0.014993769094495634
his,0.014733234444721601
vraiment,0.01465507404978939
bon,0.014394539400015357
would,0.014368485935037954
back,0.014303352272594445
prendre,0.014055844355309113
need,0.01402979089033171
or,0.01402979089033171
par,0.013847416635489886
venir,0.013834389903001185
some,0.01373017604309157
could,0.01371714931060287
little,0.013352400800919222
juste,0.013156999813588697
ici,0.012961598826258173
comment,0.012753171106438945
love,0.012349342399289193
mr,0.012206048341913474
peu,0.012036700819560353
thank,0.011958540424628142
kelso,0.011906433494673336
jamais,0.011893406762184634
rien,0.011880380029695933
baby,0.01178919290227502
merci,0.011737085972320213
from,0.011658925577388004
man,0.011645898844899302
autre,0.011606818647433197
way,0.011502604787523584
work,0.011502604787523584
give,0.011463524590057478
croire,0.011424444392591373
etes,0.011229043405260849
even,0.011098776080373832
then,0.01108574934788513
toujours,0.011072722615396428
never,0.010825214698111096
fois,0.010681920640735377
god,0.01053862658335966
okay,0.01053862658335966
doctor,0.010421385990961344
people,0.010343225596029133
aussi,0.010317172131051731
didn,0.010278091933585625
day,0.010265065201096924
parler,0.010030584016300293
trouver,0.009900316691413277
encore,0.009848209761458471
deux,0.009835183028969768
by,0.009691888971594051
too,0.009691888971594051
call,0.009665835506616647
maintenant,0.009639782041639244
off,0.009600701844173139
quelque,0.009574648379195735
still,0.009483461251774824
temp,0.00947043451928612
mean,0.009444381054308719
falloir,0.009405300856842613
over,0.009405300856842613
down,0.009235953334489492
sorry,0.009209899869512088
tres,0.009209899869512088
more,0.009170819672045983
something,0.00914476620706858
should,0.009092659277113772
jd,0.009014498882181563
doing,0.008962391952226756
our,0.008806071162362336
ouais,0.008780017697384932
dieu,0.008727910767430127
great,0.00867580383747532
try,0.008636723640009215
bebe,0.008584616710054407
petit,0.008467376117656092
besoin,0.008454349385167391
quelqu,0.008441322652678688
sure,0.00837618899023518
only,0.008363162257746479
trop,0.008311055327791672
talk,0.008193814735393356
etais,0.008167761270415954
mec,0.00806354741050634
monde,0.00806354741050634
two,0.008037493945528936
dis,0.00790722662064192
help,0.007816039493221008
feel,0.007789986028243605
seul,0.007776959295754903
much,0.007763932563266201
femme,0.007737879098288798
ted,0.0076727454358452895
hell,0.007542478110958273
personne,0.007529451378469571
salut,0.007464317716026063
moment,0.007451290983537361
new,0.007451290983537361
passe,0.007451290983537361
vrai,0.007438264251048659
arrive,0.007386157321093853
first,0.007386157321093853
vie,0.007373130588605151
truc,0.007294970193672941
essayer,0.007268916728695537
last,0.007268916728695537
perry,0.007190756333763327
peut,0.0071647028687859245
any,0.007099569206342415
where,0.007034435543898907
stop,0.0069953553464328026
around,0.006982328613944101
donc,0.006969301881455399
always,0.006943248416477995
ever,0.006943248416477995
cause,0.006878114754034487
actually,0.006865088021545785
jour,0.006865088021545785
year,0.006865088021545785
friend,0.0068390345565683824
jordan,0.006812981091590979
other,0.006812981091590979
quel,0.006799954359102277
voiler,0.006773900894124873
big,0.006760874161636172
super,0.006734820696658769
maybe,0.006721793964170067
bob,0.006708767231681365
place,0.006708767231681365
uh,0.0066696870342152605
please,0.006526392976839542
kid,0.006487312779373437
apres,0.006474286046884735
dorian,0.0064221791169299285
every,0.0064221791169299285
again,0.006409152384441227
start,0.006409152384441227
question,0.006396125651952525
ete,0.00635704545448642
depuis,0.0063440187219977184
keith,0.0063440187219977184
life,0.0063440187219977184
deja,0.006330991989509017
keep,0.006317965257020315
someone,0.006317965257020315
cool,0.006304938524531613
use,0.006265858327065508
mal,0.006239804862088105
care,0.006226778129599403
minute,0.006200724664622
being,0.0061746711996445965
name,0.0061746711996445965
wrong,0.006148617734667193
hospital,0.006135591002178491
scrub,0.00612256426968979
fille,0.006109537537201088
ami,0.006096510804712386
night,0.006070457339734983
avant,0.00604440387475758
hopital,0.005992296944802773
desole,0.005979270212314071
girl,0.005979270212314071
thought,0.005979270212314071
docteur,0.00596624347982537
happen,0.005914136549870563
appeler,0.00588808308489316
parle,0.00588808308489316
san,0.00588808308489316
gen,0.005796895957472248
face,0.005783869224983546
into,0.005770842492494844
change,0.005744789027517441
heure,0.005692682097562634
point,0.005692682097562634
fine,0.0056796553650739325
problem,0.0056796553650739325
soir,0.0056796553650739325
homme,0.005666628632585231
hear,0.005640575167607828
old,0.005640575167607828
ah,0.005627548435119126
gotta,0.005601494970141722
accord,0.005549388040186916
bonne,0.005523334575209512
grand,0.0055103078427208105
car,0.005484254377743408
sortir,0.005484254377743408
put,0.005471227645254706
chance,0.005445174180277302
nouveau,0.005445174180277302
very,0.0054321474477886005
www,0.005380040517833794
regarde,0.005367013785345092
wait,0.005367013785345092
hello,0.00535398705285639
talke,0.00535398705285639
nothing,0.005340960320367689
wanna,0.005288853390412882
aux,0.00527582665792418
doesn,0.005210692995480672
passer,0.005132532600548462
second,0.005132532600548462
before,0.00511950586805976
gar,0.005093452403082357
mort,0.005093452403082357
demande,0.005054372205616252
nice,0.005054372205616252
raison,0.00504134547312755
ask,0.004989238543172744
than,0.004976211810684042
believe,0.004950158345706638
tete,0.004950158345706638
long,0.004911078148240534
todd,0.004898051415751832
meilleur,0.004871997950774428
reid,0.004871997950774428
anything,0.0048459444857970255
head,0.004832917753308324
listen,0.004819891020819622
mere,0.00480686428833092
part,0.004793837555842218
commence,0.004780810823353516
after,0.0047677840908648145
lot,0.004754757358376114
dude,0.004741730625887412
mieux,0.00472870389339871
air,0.004715677160910008
bad,0.004702650428421306
woman,0.004702650428421306
sex,0.004663570230955202
home,0.004624490033489096
watch,0.004611463301000394
interne,0.00457238310353429
five,0.004546329638556886
aider,0.00449422270860208
ecoute,0.00449422270860208
beaucoup,0.004481195976113378
sir,0.004481195976113378
die,0.004468169243624676
vieux,0.004468169243624676
hate,0.004442115778647273
boy,0.00441606231366987
enfant,0.00441606231366987
through,0.004403035581181168
doit,0.004376982116203764
find,0.004376982116203764
font,0.004376982116203764
meet,0.00433790191873766
regarder,0.00433790191873766
hard,0.004324875186248958
late,0.004298821721271554
show,0.004272768256294151
probleme,0.00425974152380545
chez,0.004246714791316748
damn,0.004246714791316748
everything,0.004246714791316748
excuse,0.004233688058828046
miss,0.004207634593850642
comprendre,0.004194607861361941
donne,0.004194607861361941
medecin,0.004194607861361941
telleming,0.0041815811288732395
since,0.004168554396384538
their,0.004168554396384538
attend,0.004142500931407134
laisse,0.004142500931407134
nom,0.004129474198918432
enfin,0.0041034207339410295
guess,0.0041034207339410295
monsieur,0.0041034207339410295
turn,0.0041034207339410295
pendant,0.004090394001452328
celui,0.004077367268963626
own,0.004077367268963626
couple,0.004038287071497521
com,0.004025260339008819
occuper,0.004012233606520118
away,0.003999206874031416
move,0.003999206874031416
today,0.003986180141542714
end,0.003973153409054012
laisser,0.003973153409054012
travail,0.003960126676565311
amour,0.0039340732115879075
mettre,0.003921046479099206
high,0.0038949930141218025
morning,0.0038949930141218025
everyone,0.003868939549144399
genial,0.003868939549144399
net,0.003868939549144399
sometimes,0.003868939549144399
decide,0.0038559128166556975
nouvelle,0.0038559128166556975
important,0.0038428860841669956
won,0.0038428860841669956
moins,0.003829859351678294
check,0.0038168326191895924
pere,0.0038168326191895924
donner,0.0038038058867008906
together,0.0038038058867008906
coup,0.003790779154212189
job,0.003790779154212189
main,0.003790779154212189
test,0.003790779154212189
peur,0.0037777524217234874
ensemble,0.0037386722242573824
stuff,0.0037386722242573824
team,0.0037386722242573824
room,0.0037126187592799787
wasn,0.0037126187592799787
ass,0.0036995920267912773
course,0.0036995920267912773
remember,0.0036995920267912773
hand,0.0036865652943025755
devenir,0.0036605118293251723
nurse,0.0036605118293251723
same,0.0036605118293251723
fini,0.0036344583643477687
leave,0.0036344583643477687
isn,0.0035953781668816636
aide,0.0035823514343929623
yourself,0.0035823514343929623
arrete,0.0035693247019042604
tant,0.0035562979694155586
crazy,0.0035302445044381554
different,0.0035302445044381554
stay,0.0035302445044381554
three,0.0035172177719494536
episode,0.003504191039460752
heart,0.003504191039460752
entre,0.0034911643069720504
whole,0.0034911643069720504
lose,0.0034781375744833485
parfois,0.0034781375744833485
mrs,0.0034651108419946467
break,0.0034520841095059453
kill,0.0034520841095059453
barbie,0.0034130039120398403
seconde,0.0034130039120398403
sleep,0.0034130039120398403
enough,0.0033999771795511385
mme,0.0033999771795511385
mom,0.0033999771795511385
surgery,0.0033999771795511385
idiot,0.0033869504470624367
pretty,0.0033869504470624367
coeur,0.0033739237145737353
once,0.0033739237145737353
tonight,0.0033739237145737353
petite,0.0033608969820850335
while,0.0033608969820850335
hope,0.0033478702495963316
next,0.0033478702495963316
huh,0.0033348435171076302
kim,0.0033348435171076302
probably,0.0033348435171076302
anyway,0.0033218167846189284
marry,0.0033087900521302266
rester,0.0033087900521302266
fils,0.0032957633196415252
suppose,0.0032957633196415252
type,0.0032957633196415252
arriver,0.0032827365871528234
journee,0.0032827365871528234
real,0.0032827365871528234
already,0.0032697098546641216
aucun,0.0032697098546641216
chef,0.0032697098546641216
puis,0.0032697098546641216
word,0.0032697098546641216
bonjour,0.00325668312217542
reste,0.00325668312217542
infirmier,0.0032436563896867184
nuit,0.0032436563896867184
wend,0.0032436563896867184
date,0.0032306296571980165
though,0.003217602924709315
which,0.003217602924709315
hui,0.0032045761922206133
aujourd,0.0031915494597319115
both,0.00317852272724321
kind,0.00317852272724321
most,0.00317852272724321
œil,0.00317852272724321
hein,0.0031654959947545083
wear,0.0031654959947545083
eh,0.0031264157972884033
sens,0.0031264157972884033
adore,0.0031133890647997015
dur,0.003100362332311
jouer,0.003100362332311
importer,0.0030873355998222982
lady,0.0030873355998222982
run,0.0030743088673335964
fou,0.003061282134844895
happy,0.003061282134844895
thinke,0.003061282134844895
plan,0.003048255402356193
continue,0.00302220193737879
funny,0.00302220193737879
bring,0.003009175204890088
seem,0.003009175204890088
week,0.003009175204890088
attention,0.0029961484724013864
deal,0.0029961484724013864
partir,0.0029961484724013864
semaine,0.0029961484724013864
connaître,0.002983121739912685
ecoutez,0.002983121739912685
intern,0.002983121739912685
might,0.002983121739912685
porte,0.002983121739912685
sing,0.002983121739912685
laverne,0.002970095007423983
lie,0.002970095007423983
pote,0.0029570682749352813
else,0.002931014809957878
plait,0.002931014809957878
tard,0.002931014809957878
demander,0.0029179880774691763
rentrer,0.0029179880774691763
coming,0.0029049613449804745
sean,0.0029049613449804745
sentir,0.0029049613449804745
wife,0.002891934612491773
serum,0.0028658811475143695
forget,0.002852854415025668
buddy,0.0028398276825369662
cas,0.0028398276825369662
yet,0.0028398276825369662
boulot,0.0028268009500482644
myself,0.002813774217559563
maison,0.002800747485070861
manger,0.002800747485070861
pick,0.002800747485070861
reason,0.002800747485070861
another,0.0027877207525821594
trois,0.0027877207525821594
chaque,0.002774694020093458
dessus,0.002774694020093458
marche,0.002774694020093458
mauvais,0.002774694020093458
weird,0.002761667287604756
live,0.0027486405551160544
walk,0.0027486405551160544
mind,0.002735613822627353
certain,0.002722587090138651
parent,0.002722587090138651
play,0.002722587090138651
relationship,0.002722587090138651
apprendre,0.0027095603576499493
derniere,0.0027095603576499493
facon,0.0027095603576499493
answer,0.002696533625161248
jack,0.002696533625161248
mot,0.002696533625161248
mourir,0.002696533625161248
brother,0.002683506892672546
each,0.0026704801601838443
frere,0.0026704801601838443
assez,0.002657453427695143
bizarre,0.002657453427695143
chercher,0.002657453427695143
draw,0.002657453427695143
hier,0.002657453427695143
hot,0.002657453427695143
person,0.002657453427695143
train,0.002657453427695143
drole,0.002644426695206441
janitor,0.002644426695206441
month,0.002644426695206441
attendre,0.0026313999627177393
haven,0.0026313999627177393
premier,0.0026313999627177393
chirurgien,0.002618373230229038
jusqu,0.002605346497740336
wouldn,0.002605346497740336
hold,0.0025923197652516342
plein,0.0025923197652516342
spend,0.0025923197652516342
fun,0.002579293032762933
propos,0.002579293032762933
la,0.002566266300274231
mariage,0.002566266300274231
world,0.002566266300274231
anyone,0.002553239567785529
bite,0.002553239567785529
chief,0.002553239567785529
relation,0.002553239567785529
until,0.002553239567785529
figure,0.002540212835296828
histoire,0.002540212835296828
hit,0.002540212835296828
souvenir,0.002540212835296828
ahead,0.002527186102808126
mi,0.002527186102808126
totally,0.002527186102808126
garde,0.002514159370319424
sound,0.002514159370319424
dad,0.002501132637830723
newbie,0.002501132637830723
rendre,0.002501132637830723
cote,0.002488105905342021
famille,0.002488105905342021
hour,0.002488105905342021
idee,0.002488105905342021
compte,0.0024620524403646178
dernier,0.0024620524403646178
eye,0.0024620524403646178
marier,0.002449025707875916
stupid,0.002449025707875916
black,0.002435998975387214
less,0.002435998975387214
understand,0.002435998975387214
ba,0.0024229722428985127
decision,0.0024229722428985127
everybody,0.0024229722428985127
idea,0.0024229722428985127
joue,0.0024229722428985127
finally,0.002409945510409811
worry,0.002409945510409811
cul,0.002396918777921109
feeling,0.002396918777921109
