Mot,Poids
le,0.4005714214618616
be,0.3458959471071956
un,0.291561226417063
être,0.289144973159463
je,0.2695671262517299
de,0.23304452893493038
ne,0.1956235810479975
you,0.18230321052533102
pa,0.17344361524746446
the,0.1447583522149315
tu,0.14212525571626486
to,0.12861901955839838
que,0.12852608674079838
il,0.12000724512746515
eat,0.11762196947573185
ce,0.1148959401594652
on,0.1126965301429319
it,0.10046037582559873
avoir,0.08769760220853222
have,0.08577699064479892
en,0.0848786400746656
son,0.07818747720746567
faire,0.07793965636053235
and,0.07567829113226571
that,0.07539949267946572
ca,0.07168217997546576
qu,0.06886321784159913
vous,0.06793388966559914
pour,0.06691162867199915
aller,0.06545568119626584
in,0.05656510831253262
moi,0.05269290757919933
of,0.052630952367466004
he,0.05213531067359934
pouvoir,0.051856512220799345
we,0.050741318409599355
do,0.04990492305119937
tout,0.049781012627732706
elle,0.04891363966346605
avec,0.04773649064053273
my,0.046001744711999415
etait,0.045691968653332755
mais,0.04507241653599943
vouloir,0.04432895399519944
qui,0.04386428990719945
dans,0.04333767060746612
as,0.04222247679626613
mon,0.04181976791999947
what,0.04113826059093281
this,0.040394798050132824
plus,0.04033284283839949
get,0.03943449226826617
si,0.038876895362666176
du,0.03866005212159951
au,0.03822636563946618
for,0.03735899267519953
bien,0.03658455252853287
with,0.03484980659999956
etre,0.03463296335893289
not,0.0342612320885329
savoir,0.034137321665066236
non,0.03395145602986624
just,0.031256404319466274
go,0.031225426713599604
charlotte,0.030946628260799608
se,0.030172188114132952
no,0.030110232902399617
samantha,0.030110232902399617
don,0.029986322478932955
miranda,0.029490680785066295
can,0.02936677036159963
sur,0.029087971908799633
ou,0.028685263032532972
voir,0.027724957250666316
she,0.027632024433066317
ton,0.026888561892266325
know,0.026795629074666327
dire,0.02651683062186633
so,0.02552554723413301
but,0.02478208469333302
nous,0.02459621905813302
about,0.024565241452266354
your,0.024410353422933025
they,0.024317420605333026
devoir,0.024069599758399694
will,0.023573958064533034
comme,0.023078316370666374
toi,0.022830495523733046
mama,0.022520719465066383
want,0.022025077771199723
est,0.021963122559466388
there,0.021653346500799725
new,0.021188682412799732
one,0.021188682412799732
all,0.021157704806933065
lui,0.021095749595199734
at,0.021002816777599735
good,0.02078597353653307
carrie,0.02044521987199974
dit,0.020104466207466413
big,0.020073488601599746
her,0.020073488601599746
aimer,0.019639802119466417
like,0.01936100366666642
oui,0.019330026060799754
quoi,0.01871047394346643
autre,0.018586563519999766
out,0.0184626530965331
quand,0.01805994422026644
up,0.01802896661439977
femme,0.01796701140266644
homme,0.017192571255999784
choose,0.01703768322666645
venir,0.016913772803199785
tres,0.016449108715199792
how,0.016418131109333125
prendre,0.01638715350346646
oh,0.016356175897599794
if,0.01629422068586646
say,0.016232265474133128
think,0.015519780539199803
see,0.015426847721599805
vraiment,0.01530293729813314
croire,0.015240982086399808
man,0.015024138845333143
pourquoi,0.014807295604266479
jamais,0.014652407574933147
here,0.01446654193973315
york,0.014404586727999817
alors,0.014342631516266486
time,0.014311653910399819
meme,0.014187743486933154
right,0.014187743486933154
who,0.01397090024586649
penser,0.013877967428266491
comment,0.013816012216533159
deux,0.013785034610666493
rien,0.013661124187199827
par,0.013444280946133163
when,0.0132274377050665
come,0.013196460099199833
juste,0.013196460099199833
peut,0.013196460099199833
make,0.012948639252266502
look,0.012824728828799838
bon,0.01273179601119984
aussi,0.012700818405333172
love,0.012607885587733174
merci,0.012607885587733174
tell,0.012607885587733174
falloir,0.012360064740799844
thing,0.01229810952906651
really,0.012112243893866514
or,0.011957355864533182
etais,0.01180246783519985
temp,0.011709535017599852
yes,0.011585624594133186
apres,0.01139975895893319
fois,0.01105900529439986
toujours,0.011028027688533193
soir,0.010997050082666528
sex,0.010842162053333196
parler,0.01081118444746653
ici,0.010780206841599863
would,0.010687274023999865
guy,0.010625318812266532
