Mot,Poids
be,0.39936023326148823
you,0.3203830242089404
le,0.3097763048984728
être,0.2662253157464689
je,0.24130564676836092
un,0.20378702054004375
de,0.18360865526210277
to,0.1778434080398339
the,0.1584552600452541
pa,0.15511631377753082
tu,0.1511986168234022
it,0.1503972697191486
ne,0.14171600942306808
que,0.12838248399395982
that,0.11333496614742028
on,0.11316801883403411
il,0.10231644346393348
have,0.10217175579233213
ce,0.09635085946560124
and,0.09481494418244853
eat,0.09027397725834488
of,0.08513200000605103
ca,0.08421935469287334
we,0.07737451484404063
do,0.07736338502314823
faire,0.07444737194933657
he,0.07267773042744323
vous,0.07167604654712625
en,0.07041837678628382
this,0.06913844738365656
what,0.06730202693640876
aller,0.0669236130260668
avoir,0.06675666571268063
in,0.0654989959518382
son,0.06372935442994486
qu,0.059143868222271564
pour,0.057307447775023765
know,0.05627237443202955
for,0.055426508044206325
just,0.05480323807423131
my,0.05474758896976926
don,0.05243258622414779
so,0.051419772522938396
not,0.050529386851545524
get,0.05042921846351383
as,0.04773580180755039
vouloir,0.04773580180755039
tout,0.04747981592702494
your,0.04732399843453118
like,0.04705688273311332
no,0.04510916407694141
moi,0.04402957145037755
with,0.04268286312239583
will,0.04209298261509806
elle,0.04163665995850921
pouvoir,0.04160327049583198
savoir,0.04114694783924313
can,0.0411135583765659
yes,0.039733460585906946
mais,0.03945521506359667
si,0.03902115204879265
go,0.03829771369078593
bien,0.03631660557193679
non,0.03609400915408858
all,0.035248142766265346
she,0.03460261315450552
ton,0.0345914833336131
qui,0.03429097816951801
want,0.03406838175166979
but,0.03381239587114434
they,0.03380126605025193
avec,0.03338946267723272
dans,0.03264376467744119
oh,0.03110784939428849
fuck,0.030584747812345176
du,0.030206333902003207
etre,0.029616453394705426
plus,0.028959793962053185
mon,0.02893753432026836
think,0.02891527467848354
about,0.02879284664866702
good,0.027746643484780394
up,0.027735513663887983
oui,0.02770212420121075
etait,0.027501787425147355
nous,0.02747952778336253
toi,0.027379359395330833
voir,0.026555752649292427
there,0.026477843903045552
out,0.026121689634488403
au,0.025442770560051335
here,0.025186784679525887
if,0.025186784679525887
right,0.024941928619892844
at,0.024930798799000436
ou,0.02475272166472186
comme,0.024229620082778548
her,0.024173970978316493
okay,0.02388459563511381
sur,0.023595220291911127
really,0.023450532620309782
nate,0.02303872924729058
how,0.022860652113012005
well,0.022103824292328066
mama,0.02171428056109368
devoir,0.02155846306859993
make,0.02083502471059322
quoi,0.020768245785238754
one,0.020523389725605714
now,0.020490000262928482
see,0.0202006249197258
say,0.019799951367599006
david,0.019766561904921775
se,0.019543965487073555
dire,0.019287979606548104
come,0.018954084979775777
tell,0.018553411427648984
aimer,0.018297425547123533
when,0.018174997517307015
look,0.017907881815889152
why,0.017818843248749865
some,0.01778545378607263
who,0.01776319414428781
lui,0.017585117010009234
croire,0.01750720826376236
time,0.017084275069850743
need,0.016928457577356993
est,0.01677264008486324
quand,0.016472134920768145
take,0.016004682443286886
pourquoi,0.015826605309008313
choose,0.01567078781651456
venir,0.015570619428482861
rien,0.015492710682235985
thing,0.015470451040451163
prendre,0.015459321219558751
gonna,0.015158816055463657
vraiment,0.015014128383862315
would,0.01483605124958374
could,0.01445763733924177
because,0.014379728592994894
thank,0.01434633913031766
from,0.01433520930942525
claire,0.014290690025855606
tres,0.014034704145330156
sorry,0.013856627011051581
dit,0.013800977906589526
or,0.013767588443912293
vie,0.01371193933945024
merci,0.01360064113052613
god,0.0133669148917855
never,0.013300135966431035
autre,0.01323335704107657
his,0.013077539548582817
penser,0.013077539548582817
jamais,0.013066409727690407
love,0.012810423847164956
something,0.012799294026272544
didn,0.01262121689199397
let,0.01262121689199397
alors,0.012587827429316738
bon,0.012554437966639504
meme,0.012543308145747094
falloir,0.012031336384696192
people,0.012020206563803782
ici,0.011808739966847974
should,0.011741961041493509
little,0.011597273369892167
way,0.011586143548999756
life,0.011575013728107346
too,0.011452585698290824
par,0.011419196235613592
guy,0.011307898026689482
back,0.011229989280442606
aussi,0.011207729638657784
sure,0.011129820892410908
comment,0.01102965250437921
more,0.0110185226834868
even,0.010929484116347511
hey,0.010873835011885458
then,0.010640108773144828
call,0.010628978952252418
work,0.010562200026897952
juste,0.010506550922435897
mean,0.010495421101543487
ok,0.0104063825344042
brenda,0.010395252713511789
give,0.010395252713511789
where,0.010272824683695269
etais,0.010250565041910447
accord,0.010128137012093927
much,0.009983449340492586
quelque,0.009916670415138119
hello,0.00980537220621401
maybe,0.009771982743536778
trop,0.009638424892827846
toujours,0.009560516146580971
feel,0.009538256504796148
fisher,0.009504867042118916
shit,0.009404698654087218
peut,0.009326789907840341
man,0.009226621519808643
dieu,0.009204361878023821
peu,0.009182102236239
day,0.009104193489992123
mom,0.009093063669099712
besoin,0.009048544385530068
mort,0.009015154922852835
our,0.009015154922852835
over,0.008992895281068013
deux,0.008959505818390782
temp,0.008848207609466672
parce,0.008736909400542564
by,0.008725779579650152
thought,0.008692390116972919
try,0.008659000654295687
pere,0.008647870833403275
san,0.00859222172894122
off,0.008547702445371577
parler,0.00845866387823229
very,0.00845866387823229
any,0.008447534057339879
fois,0.008447534057339879
passe,0.00831397620663095
ete,0.008091379788782731
mere,0.007980081579858621
ever,0.007935562296288978
trouver,0.007935562296288978
maya,0.00783539390825728
kind,0.007802004445580046
anything,0.007779744803795225
doing,0.007757485162010403
maman,0.007690706236655937
quelqu,0.007635057132193883
quel,0.0075682782068394175
avant,0.007490369460592542
year,0.007445850177022898
vrai,0.007434720356130487
meet,0.007412460714345665
encore,0.007379071251668433
night,0.0073345519680987886
always,0.0072789028636367345
lisa,0.0072789028636367345
maintenant,0.0072789028636367345
happen,0.0072232537591746795
great,0.007212123938282269
keith,0.007200994117389858
help,0.007123085371142981
only,0.007067436266680927
home,0.007045176624896105
dis,0.007034046804003694
use,0.007034046804003694
fine,0.007022916983111283
etes,0.006911618774187174
personne,0.006911618774187174
down,0.006889359132402352
jour,0.00685596966972512
femme,0.006833710027940297
essayer,0.006811450386155476
mieux,0.006800320565263065
moment,0.0067669311025858325
salut,0.0067669311025858325
air,0.006733541639908599
everything,0.006677892535446545
kid,0.006677892535446545
ruth,0.006677892535446545
merde,0.00662224343098449
desole,0.006588853968307258
enfant,0.006533204863845204
father,0.006522075042952792
two,0.006477555759383149
parle,0.006466425938490738
other,0.006455296117598327
billy,0.006421906654921094
gen,0.006421906654921094
putain,0.0063773873713514504
still,0.0063773873713514504
please,0.00636625755045904
being,0.006355127729566629
into,0.006355127729566629
seul,0.006355127729566629
long,0.006266089162427341
chez,0.006199310237072876
appeler,0.006188180416180465
before,0.006132531311718411
nothing,0.006132531311718411
arrive,0.006121401490826
care,0.006076882207256356
friend,0.006076882207256356
last,0.0060323629236867125
part,0.005987843640117068
talk,0.0059767138192246575
mal,0.005965583998332247
soir,0.005954454177439836
truc,0.005909934893870193
depuis,0.005898805072977782
ouais,0.005898805072977782
wanna,0.00588767525208537
apres,0.005876545431192959
course,0.005876545431192959
place,0.0058654156103005485
lot,0.005843155968515727
funeral,0.005776377043161261
rico,0.005720727938699207
put,0.005709598117806796
wrong,0.005698468296914385
suppose,0.005665078834237152
than,0.00563168937155992
monde,0.005609429729775098
famille,0.005598299908882687
late,0.005587170087990276
doesn,0.005564910446205454
petit,0.005553780625313043
house,0.0055203911626358106
start,0.005487001699958578
die,0.005342314028357236
baby,0.005331184207464825
new,0.005331184207464825
nice,0.005331184207464825
deja,0.005320054386572414
live,0.005320054386572414
family,0.005308924565680003
someone,0.005231015819433127
travail,0.005231015819433127
beaucoup,0.005175366714971073
first,0.005153107073186251
keep,0.0051308474314014285
mother,0.005097457968724196
stay,0.005097457968724196
isn,0.005086328147831785
old,0.005086328147831785
believe,0.005008419401584909
heure,0.004975029938907676
leave,0.0049527702971228545
around,0.004941640476230444
laisse,0.004930510655338032
hear,0.004919380834445621
question,0.004919380834445621
ami,0.004874861550875978
dead,0.004863731729983567
maison,0.004796952804629101
hate,0.0047858229837366905
guess,0.004707914237489814
car,0.004696784416597403
connaître,0.004696784416597403
change,0.00465226513302776
dad,0.004630005491242938
wait,0.004630005491242938
gay,0.004607745849458116
doit,0.004585486207673294
aux,0.004540966924103651
arrete,0.004518707282318829
bonne,0.004518707282318829
big,0.004496447640534007
boy,0.004496447640534007
donne,0.004485317819641596
every,0.004485317819641596
reste,0.004485317819641596
papa,0.004463058177856774
stop,0.004463058177856774
celui,0.004440798536071953
which,0.004429668715179542
after,0.004418538894287131
parent,0.004418538894287131
else,0.0043962792525023085
excuse,0.0043962792525023085
regarde,0.0043962792525023085
ask,0.004385149431609898
minute,0.004385149431609898
might,0.004374019610717487
problem,0.004374019610717487
demain,0.004362889789825076
own,0.004362889789825076
happy,0.004351759968932665
won,0.004351759968932665
bonjour,0.004340630148040254
tomorrow,0.004340630148040254
again,0.0043295003271478436
their,0.004307240685363022
through,0.00429611086447061
brother,0.004284981043578199
aider,0.004229331939116145
moins,0.0042182021182237345
together,0.0042182021182237345
grand,0.004195942476438913
today,0.004129163551084447
desolee,0.004118033730192036
wasn,0.004118033730192036
super,0.004084644267514803
whole,0.004073514446622392
passer,0.004062384625729981
bad,0.0040512548048375705
comprendre,0.0040512548048375705
homme,0.0040512548048375705
mec,0.00404012498394516
yourself,0.004017865342160338
george,0.004006735521267927
show,0.004006735521267927
school,0.003995605700375516
cool,0.003973346058590694
wend,0.003962216237698283
actually,0.003951086416805872
ensemble,0.003906567133236229
bring,0.0038954373123438178
sens,0.003873177670558996
business,0.0038620478496665853
jesus,0.0038620478496665853
money,0.0038620478496665853
idea,0.0038509180287741745
serum,0.0038509180287741745
sex,0.0038509180287741745
woman,0.0038509180287741745
talke,0.0038397882078817632
envie,0.003806398745204531
point,0.0037841391034197087
room,0.0037841391034197087
demande,0.0037173601780652434
fille,0.0037173601780652434
mr,0.0037173601780652434
haven,0.0037062303571728326
peur,0.0037062303571728326
certain,0.0036839707153880105
gotta,0.0036839707153880105
job,0.0036839707153880105
pay,0.0036728408944955997
such,0.003661711073603189
another,0.003628321610925956
occuper,0.003628321610925956
rester,0.003628321610925956
pick,0.0036060619691411343
sleep,0.0035949321482487235
kroehner,0.0035838023273563127
three,0.0035838023273563127
vanessa,0.0035838023273563127
probleme,0.0035615426855714906
myself,0.00355041286467908
frere,0.0035281532228942578
important,0.0035281532228942578
person,0.0035281532228942578
week,0.0035281532228942578
hard,0.003517023402001847
attend,0.003505893581109436
away,0.0034947637602170253
miss,0.0034947637602170253
child,0.0034836339393246145
vivre,0.0034836339393246145
voiler,0.0034836339393246145
chance,0.0034725041184322032
remember,0.0034613742975397924
tant,0.0034613742975397924
serious,0.0034502444766473816
ass,0.003439114655754971
donc,0.003439114655754971
fun,0.00342798483486256
heureux,0.00342798483486256
dinner,0.0034168550139701487
lie,0.003394595372185327
nuit,0.0033834655512929163
find,0.0033723357304005054
weird,0.0033500760886156834
whatever,0.0033500760886156834
adore,0.0033389462677232726
entre,0.0033389462677232726
idiot,0.0033389462677232726
seem,0.0033389462677232726
coming,0.0033278164468308617
pretty,0.0033278164468308617
telleming,0.0033278164468308617
bebe,0.0033055568050460397
photo,0.0033055568050460397
devenir,0.003294426984153629
mourir,0.003294426984153629
next,0.003294426984153629
plan,0.003294426984153629
probably,0.003294426984153629
service,0.003294426984153629
couple,0.003283297163261218
already,0.003261037521476396
once,0.003249907700583985
raison,0.003249907700583985
world,0.003249907700583985
ecoute,0.0032387778796915743
morning,0.0032387778796915743
pendant,0.0032387778796915743
tonight,0.0032387778796915743
name,0.0032276480587991635
sometimes,0.0032276480587991635
bizarre,0.0032165182379067527
laisser,0.0032165182379067527
lose,0.0032165182379067527
left,0.0032053884170143414
somebody,0.0032053884170143414
totally,0.0032053884170143414
face,0.003171998954337109
girl,0.003171998954337109
while,0.003171998954337109
sortir,0.003149739312552287
puis,0.003138609491659876
partir,0.0031274796707674653
wife,0.0031274796707674653
commence,0.0031163498498750545
most,0.0031163498498750545
turn,0.0031163498498750545
cause,0.0031052200289826432
trois,0.0031052200289826432
listen,0.0030940902080902324
real,0.0030940902080902324
fils,0.0030829603871978216
idee,0.0030718305663054108
stuff,0.0030718305663054108
thinke,0.003060700745413
amour,0.003038441103628178
run,0.003038441103628178
mettre,0.003027311282735767
move,0.0030161814618433563
rentrer,0.0030161814618433563
art,0.002993921820058534
mind,0.0029827919991661234
tard,0.0029716621782737125
month,0.0029605323573813017
without,0.0029605323573813017
semaine,0.002949402536488891
spend,0.002949402536488891
dollar,0.002927142894704069
plait,0.002927142894704069
hope,0.002904883252919247
watch,0.0028937534320268364
marry,0.0028714937902420143
sing,0.0028714937902420143
hell,0.0028492341484571927
hour,0.0028492341484571927
aujourd,0.0028269745066723706
foutre,0.0028269745066723706
aide,0.00281584468577996
assez,0.00281584468577996
aucun,0.00281584468577996
hui,0.00281584468577996
genre,0.002804714864887549
sound,0.002804714864887549
wouldn,0.002804714864887549
arriver,0.002793585043995138
revoir,0.002793585043995138
possible,0.002782455223102727
taylor,0.002782455223102727
body,0.002771325402210316
chercher,0.002771325402210316
both,0.0027601955813179053
deal,0.0027601955813179053
tien,0.0027601955813179053
worry,0.0027601955813179053
voiture,0.0027490657604254945
combien,0.0027379359395330836
shut,0.0027379359395330836
belle,0.0027156762977482616
corps,0.0027156762977482616
enough,0.0027156762977482616
high,0.0027156762977482616
taking,0.0027045464768558508
argent,0.00269341665596344
nouveau,0.00269341665596344
different,0.002671157014178618
facon,0.002660027193286207
less,0.0026488973723937962
walk,0.0026488973723937962
cas,0.0026377675515013854
kill,0.0026377675515013854
donner,0.002626637730608974
since,0.002626637730608974
mrs,0.0026155079097165634
pie,0.0026043780888241525
petite,0.0025932482679317417
tete,0.0025932482679317417
20,0.0025709886261469196
feeling,0.0025709886261469196
soeur,0.0025709886261469196
everyone,0.002559858805254509
understand,0.002548728984362098
manger,0.002537599163469687
anyone,0.0025264693425772764
beautiful,0.0025264693425772764
read,0.0025264693425772764
dave,0.002515339521684865
plein,0.002515339521684865
revenir,0.002515339521684865
same,0.002515339521684865
tire,0.002515339521684865
buy,0.0025042097007924543
drive,0.0025042097007924543
six,0.0025042097007924543
boulot,0.0024930798799000435
christmas,0.0024930798799000435
diner,0.0024930798799000435
souvenir,0.0024930798799000435
decide,0.0024819500590076327
ready,0.0024819500590076327
stupid,0.0024819500590076327
until,0.002470820238115222
dormir,0.0024596904172228106
exactly,0.0024596904172228106
nikolai,0.0024596904172228106
nouvelle,0.0024596904172228106
must,0.0024485605963304
apprendre,0.002437430775437989
affaire,0.002426300954545578
nom,0.002426300954545578
ah,0.002415171133653167
book,0.002415171133653167
droit,0.002415171133653167
accident,0.002404041312760756
head,0.002404041312760756
wish,0.002404041312760756
ba,0.0023929114918683453
beau,0.0023817816709759345
fou,0.0023706518500835236
deteste,0.0023595220291911124
parfois,0.0023595220291911124
partie,0.0023595220291911124
enterreming,0.0023483922082987016
may,0.0023372623874062907
nathaniel,0.0023372623874062907
la,0.00232613256651388
sentir,0.00232613256651388
each,0.002315002745621469
funny,0.002315002745621469
honey,0.002315002745621469
matt,0.002315002745621469
sister,0.002315002745621469
many,0.002303872924729058
cercueil,0.002292743103836647
fini,0.002292743103836647
freak,0.002292743103836647
mari,0.002292743103836647
marier,0.002292743103836647
break,0.0022816132829442362
bye,0.0022816132829442362
julio,0.0022816132829442362
meilleur,0.0022816132829442362
cherie,0.0022593536411594146
end,0.0022593536411594146
importer,0.0022593536411594146
perdre,0.0022593536411594146
sort,0.0022593536411594146
attendre,0.0022482238202670033
content,0.0022370939993745925
cote,0.0022370939993745925
piece,0.0022370939993745925
type,0.0022370939993745925
demander,0.0022259641784821817
sick,0.0022259641784821817
open,0.002214834357589771
weekend,0.002214834357589771
yet,0.002214834357589771
crazy,0.00220370453669736
date,0.00220370453669736
hier,0.00220370453669736
age,0.002192574715804949
alone,0.002192574715804949
chambre,0.002192574715804949
jusqu,0.002192574715804949
regarder,0.002192574715804949
casket,0.002181444894912538
pardon,0.002181444894912538
vas,0.002181444894912538
journee,0.002170315074020127
movie,0.002170315074020127
œil,0.002170315074020127
aren,0.0021591852531277164
coup,0.0021591852531277164
mme,0.0021591852531277164
