Mot,Poids
you,0.4105290915395308
be,0.37149243227812245
le,0.3106184339249361
être,0.2641094108445122
je,0.212769118053518
un,0.17051161231839607
it,0.16787051820995094
to,0.15962515123724422
pa,0.1533767090782399
the,0.1504779472518977
de,0.1486742732266181
tu,0.14699943306028704
on,0.13218353928120466
and,0.11620814077158538
that,0.10126341313355444
que,0.10074807769776027
eat,0.09984624068512048
what,0.09501497097455013
have,0.0948217201861273
il,0.09005486740503124
do,0.08818677645027737
ca,0.0872205225081633
fuck,0.0872205225081633
aller,0.0867696040018434
get,0.0829690051628614
we,0.08245366972706723
faire,0.07858865395861095
he,0.07137395785749256
yes,0.06834636217220182
of,0.06441692947427127
my,0.06325742474373439
ce,0.062420004660568865
en,0.06151816764792906
in,0.060036578270020825
don,0.059005907398432485
this,0.058490571962638314
go,0.05584947785419319
no,0.05468997312365631
know,0.05462555619418204
your,0.05346605146364516
as,0.052242129803634005
vous,0.05159796050889129
tout,0.05024520498993159
just,0.05011637113098305
qu,0.04992312034256024
right,0.04966545262466315
for,0.0488924494709719
son,0.0488924494709719
she,0.04850594789412627
so,0.048312697105703455
can,0.047990612458332096
not,0.04786177859938356
moi,0.04638018922147532
all,0.046315772292001046
vouloir,0.046315772292001046
elle,0.0461869384330525
pour,0.04380351204250447
will,0.042193088805647684
they,0.04154891951090497
like,0.0414845025814307
avoir,0.04122683486353362
quoi,0.04096916714563653
ton,0.040711499427739446
ne,0.04045383170984236
ok,0.04000291320352246
pouvoir,0.03974524548562537
oh,0.03955199469720256
come,0.037748320671922964
up,0.0376839037424487
toi,0.03536489428137493
savoir,0.03517164349295211
with,0.035107226563477846
want,0.034591891127683676
bien,0.033690054115043874
but,0.03349680332662106
non,0.032659383243455534
good,0.031821963160290005
mais,0.031693129301341466
say,0.03162871237186719
sid,0.030984543077124484
her,0.03040479071185604
here,0.030275956852907498
qui,0.02930970291079343
look,0.029180869051844888
voir,0.029180869051844888
out,0.029052035192896345
si,0.027506028885513834
tony,0.02744161195603956
love,0.02737719502656529
see,0.027183944238142476
there,0.027183944238142476
plus,0.026990693449719664
think,0.02686185959077112
mon,0.026024439507605593
about,0.025637937930759965
avec,0.025444687142337153
now,0.024478433200223082
mama,0.024220765482325997
ou,0.0237698469760061
putain,0.0237698469760061
du,0.023705430046531827
aimer,0.023447762328634745
tell,0.023061260751789117
devoir,0.0228680099633663
dans,0.02235267452757213
oui,0.02235267452757213
dire,0.02164408830335515
venir,0.02112875286756098
if,0.021064335938086706
at,0.020999919008612436
well,0.02074225129071535
let,0.020677834361241078
comme,0.020549000502292535
why,0.020484583572818266
chris,0.020162498925446908
sorry,0.020033665066498365
how,0.01977599734860128
man,0.01971158041912701
se,0.019325078842281383
one,0.018938577265435755
etre,0.018874160335961482
dit,0.01868090954753867
effy,0.018616492618064397
make,0.018423241829641585
sur,0.018423241829641585
rien,0.01835882490016731
au,0.01822999104121877
then,0.01822999104121877
hello,0.017907906393847414
bon,0.017392570958053244
pourquoi,0.017392570958053244
off,0.0172637370991047
michelle,0.017006069381207616
who,0.016941652451733343
nous,0.0168128185927848
mum,0.016683984733836258
really,0.01661956780436199
gonna,0.01629748315699063
lui,0.01623306622751636
need,0.016168649298042088
where,0.016168649298042088
etait,0.016039815439093545
time,0.01520239535592802
take,0.015137978426453749
merde,0.014622642990659579
bite,0.014429392202236765
cook,0.014364975272762493
est,0.014236141413813951
alors,0.014107307554865408
back,0.014107307554865408
thing,0.014107307554865408
shit,0.014042890625391137
didn,0.013914056766442594
or,0.01372080597801978
a3,0.01365638904854551
some,0.013527555189596967
girl,0.013398721330648424
merci,0.012947802824328525
doing,0.012883385894854254
mean,0.012883385894854254
prendre,0.012818968965379983
something,0.012818968965379983
when,0.012754552035905711
croire,0.012561301247482897
jj,0.012496884318008626
jal,0.012432467388534355
quand,0.012432467388534355
vraiment,0.012368050459060084
never,0.012303633529585812
give,0.012045965811688727
ici,0.011788298093791644
because,0.011723881164317372
please,0.011723881164317372
juste,0.011659464234843101
dad,0.01159504730536883
thank,0.011530630375894559
could,0.011337379587471745
more,0.011337379587471745
too,0.011337379587471745
nice,0.011208545728523202
cool,0.010950878010626117
down,0.010950878010626117
his,0.010886461081151846
trop,0.010822044151677574
friend,0.010499959504306218
cassie,0.010435542574831947
comment,0.010435542574831947
freddie,0.010435542574831947
meme,0.010435542574831947
falloir,0.010371125645357675
truc,0.010177874856934862
dis,0.010049040997986319
stop,0.010049040997986319
choose,0.009984624068512048
any,0.009855790209563505
nothing,0.009855790209563505
penser,0.009791373280089234
would,0.009791373280089234
hein,0.009726956350614963
peu,0.009662539421140691
parce,0.009404871703243606
way,0.009404871703243606
again,0.009276037844295064
jamais,0.009276037844295064
try,0.009276037844295064
leave,0.009211620914820792
hey,0.009147203985346521
sure,0.00908278705587225
autre,0.009018370126397978
boy,0.008953953196923707
from,0.008953953196923707
little,0.008953953196923707
fine,0.008889536267449436
maintenant,0.008889536267449436
fille,0.008696285479026622
mere,0.008696285479026622
ah,0.00863186854955235
par,0.00863186854955235
day,0.00856745162007808
everything,0.008503034690603808
god,0.008374200831655266
thomas,0.008309783902180994
monde,0.008245366972706723
toujours,0.008180950043232452
mate,0.00811653311375818
encore,0.008052116184283909
fois,0.008052116184283909
voiler,0.008052116184283909
aussi,0.007987699254809638
tres,0.007987699254809638
emily,0.007923282325335367
vrai,0.007858865395861095
anwar,0.007794448466386824
parle,0.007794448466386824
maman,0.007730031536912553
over,0.007730031536912553
co,0.007665614607438281
only,0.007665614607438281
salut,0.007665614607438281
party,0.00760119767796401
should,0.007536780748489739
work,0.007536780748489739
etais,0.0074723638190154675
super,0.0074723638190154675
much,0.007407946889541196
petit,0.007407946889541196
thought,0.007407946889541196
accord,0.007343529960066925
trouver,0.007343529960066925
katie,0.007279113030592654
maybe,0.007279113030592654
um,0.007279113030592654
call,0.007214696101118382
arrive,0.007150279171644111
desole,0.007150279171644111
ever,0.007150279171644111
away,0.00708586224216984
people,0.00708586224216984
regarde,0.00708586224216984
very,0.00708586224216984
great,0.0070214453126955685
happen,0.0070214453126955685
help,0.0070214453126955685
quel,0.0070214453126955685
feel,0.006957028383221297
someone,0.006892611453747026
laisse,0.006828194524272755
maxxie,0.006828194524272755
parler,0.006828194524272755
by,0.006763777594798483
isn,0.006763777594798483
always,0.006699360665324212
coming,0.006699360665324212
essayer,0.006699360665324212
wanna,0.006699360665324212
mec,0.006634943735849941
ami,0.0065705268063756695
besoin,0.0065705268063756695
foutre,0.006506109876901398
listen,0.006506109876901398
quelque,0.006506109876901398
anything,0.006441692947427127
deux,0.006441692947427127
doesn,0.006441692947427127
gay,0.006441692947427127
quelqu,0.006441692947427127
wrong,0.006441692947427127
cass,0.006377276017952856
eff,0.006377276017952856
even,0.006377276017952856
late,0.006377276017952856
passe,0.006377276017952856
temp,0.006377276017952856
hear,0.006312859088478584
other,0.006312859088478584
keep,0.006248442159004313
arrete,0.0061196083000557705
pere,0.0061196083000557705
air,0.006055191370581499
personne,0.006055191370581499
naomi,0.005990774441107228
won,0.005990774441107228
change,0.005926357511632957
gotta,0.005926357511632957
meet,0.005861940582158686
peut,0.005861940582158686
talk,0.005861940582158686
everyone,0.005797523652684415
mieux,0.005797523652684415
vie,0.005797523652684415
before,0.005733106723210144
long,0.005733106723210144
sortir,0.005733106723210144
night,0.005668689793735872
wait,0.005604272864261601
etes,0.00553985593478733
mal,0.00553985593478733
mind,0.00553985593478733
our,0.00553985593478733
place,0.00553985593478733
attend,0.0054754390053130585
home,0.0054754390053130585
still,0.0054754390053130585
tone,0.0054754390053130585
appeler,0.005411022075838787
big,0.005411022075838787
life,0.005411022075838787
lot,0.005411022075838787
lovely,0.005411022075838787
pardon,0.005411022075838787
problem,0.005411022075838787
two,0.005411022075838787
anyway,0.005346605146364516
find,0.005346605146364516
put,0.005346605146364516
remember,0.005346605146364516
bad,0.005282188216890245
doit,0.005282188216890245
donc,0.005282188216890245
start,0.005282188216890245
stupid,0.005282188216890245
jour,0.005217771287415973
papa,0.005217771287415973
plait,0.005217771287415973
stuff,0.005217771287415973
bonjour,0.005153354357941702
chelle,0.005153354357941702
guy,0.005153354357941702
chez,0.005088937428467431
kid,0.005088937428467431
seul,0.005088937428467431
stay,0.005088937428467431
suppose,0.005088937428467431
apres,0.0050245204989931595
course,0.0050245204989931595
gin,0.0050245204989931595
jesus,0.0050245204989931595
sake,0.0050245204989931595
avant,0.004960103569518888
panda,0.004960103569518888
talke,0.004960103569518888
than,0.004960103569518888
three,0.004960103569518888
chance,0.004895686640044617
deja,0.004895686640044617
ring,0.004895686640044617
bonne,0.004831269710570346
baby,0.004766852781096074
fou,0.004766852781096074
care,0.004702435851621803
miss,0.004702435851621803
rentrer,0.004702435851621803
soir,0.004702435851621803
er,0.004638018922147532
pandora,0.004638018922147532
tit,0.004638018922147532
today,0.004638018922147532
christ,0.0045736019926732605
ete,0.0045736019926732605
baiser,0.004509185063198989
into,0.004509185063198989
minute,0.004509185063198989
new,0.004509185063198989
joli,0.004444768133724718
