Mot,Poids
be,0.3890898934394293
you,0.33899789336594854
le,0.3081409626979025
être,0.2189161029348778
the,0.21759874313946356
je,0.21186863212750842
de,0.19557539686643435
to,0.19309423455237198
un,0.1828543887806553
ne,0.17151539618577089
que,0.1680159066678914
tu,0.15409876821572394
pa,0.14330126707048835
it,0.1312106520156437
ce,0.1170429727434895
that,0.11327677848175313
il,0.11301007373789626
have,0.10552617698603386
of,0.08633151739027446
he,0.08628302561866412
on,0.08585468163610613
vous,0.08427061709683503
clark,0.0818945202879284
and,0.08110248801829285
avoir,0.07880721082873678
eat,0.07847585038939946
do,0.07320641120774257
what,0.07229314950908117
son,0.06995746250984981
faire,0.0690684466969936
in,0.06769451316803397
qu,0.06520526889203655
this,0.06461528567077741
pour,0.06161687779287142
en,0.061091550267092745
your,0.06067937020840486
ca,0.06034800976906754
we,0.05862655187690048
know,0.05789917530274539
pouvoir,0.056395930382824866
my,0.05600799620994215
for,0.052015507014024194
get,0.051449769678570234
aller,0.050673901332804805
lex,0.050552671903778955
as,0.049752557672208354
don,0.049049426983858425
tout,0.04555801942791398
but,0.04509734759761576
not,0.04383656153574693
mais,0.043464791286734326
qui,0.04259193939774821
can,0.04250303781646259
just,0.04200195617648908
savoir,0.04154936630812592
with,0.038429729001194075
ton,0.038284253686363054
lana,0.03720127078706547
vouloir,0.03649814009871555
will,0.036247599278728795
no,0.036005140420677095
moi,0.03593240276326159
si,0.03446148569108129
all,0.03339466671565382
dans,0.03327343728662797
bien,0.03311179804792684
about,0.032457159131187255
they,0.032449077169252195
out,0.03243291324538208
etre,0.030824602820305823
go,0.030719537315150088
if,0.03033160314226737
elle,0.03014571801776107
plus,0.030113390170020845
there,0.029879013273904204
so,0.029256702204904846
chloe,0.029216292395229562
like,0.029095062966203716
want,0.029054653156528432
she,0.028505079744944584
nous,0.028311112658503224
du,0.02823029303915266
mon,0.027907014561750397
sur,0.02764030981789353
voir,0.027510998426932623
here,0.027389768997906773
avec,0.02651691710892066
think,0.02626637628893391
see,0.025571327562519043
up,0.02479545921675361
etait,0.023906443403897384
toi,0.023720558279391082
one,0.02368823043165086
devoir,0.023672066507780743
right,0.023429607649729046
ou,0.023381115878118707
how,0.023049755438781388
her,0.02294468993362565
look,0.02284770639040497
choose,0.022419362407846973
au,0.02237895259817169
est,0.022184985511730333
penser,0.022184985511730333
tell,0.022079920006574598
come,0.02181321526271773
dire,0.021586920328536145
well,0.021215150079523543
from,0.020932281411796563
good,0.020932281411796563
at,0.020730232363420146
now,0.02053626527697879
yes,0.020463527619563278
say,0.019744233007343244
comme,0.019598757692512223
why,0.01911383997640883
gonna,0.01894411877577264
non,0.01866125010804566
who,0.018313725744838225
when,0.018273315935162945
se,0.018249070049357774
make,0.017893463724215283
time,0.01786113587647506
loi,0.017424709931982002
okay,0.017295398541021096
need,0.017246906769410757
didn,0.01721457892167053
take,0.016964038101683777
lui,0.016939792215878605
oh,0.016810480824917703
his,0.016794316901047587
could,0.01671349728169702
kent,0.016689251395891853
luthor,0.01624474348946374
would,0.016139677984308005
quelque,0.015767907735295402
let,0.015687088115944835
ici,0.015468875143698308
mama,0.015420383372087969
pourquoi,0.015363809638542572
back,0.014854646036634007
dit,0.014725334645673101
croire,0.01468492483599782
venir,0.014272744777309934
trouver,0.01399795807151801
thing,0.013949466299907669
quand,0.013860564718622048
really,0.013496876431544501
quoi,0.013456466621869218
never,0.01333523719284337
smallville,0.013278663459297972
ete,0.013173597954142238
juste,0.01316551599220718
some,0.012963466943830765
rien,0.012809909667064691
comment,0.012801827705129634
where,0.012640188466428502
meme,0.01259977865675322
way,0.012486631189662428
help,0.01247854922772737
par,0.01247854922772737
something,0.012405811570311861
autre,0.012300746065156127
jamais,0.012211844483870504
more,0.01219568056000039
pere,0.011928975816143522
vraiment,0.01176733657744239
happen,0.011549123605195864
passe,0.011476385947780355
hey,0.011379402404559674
find,0.011371320442624618
try,0.011338992594884393
alors,0.01110461569876775
sure,0.01110461569876775
only,0.011072287851027525
vie,0.011064205889092469
prendre,0.011031878041352241
or,0.0107975011452356
call,0.010740927411690204
thank,0.010740927411690204
people,0.010708599563949978
give,0.01056312424911896
by,0.01053887836331379
sorry,0.01044189482009311
life,0.010369157162677601
toujours,0.010288337543327036
mean,0.010199435962041413
dad,0.010175190076236244
seul,0.010142862228496016
thought,0.009989304951729942
secret,0.009916567294314433
quelqu,0.009892321408509262
our,0.009843829636898923
personne,0.0097549280556133
peut,0.009738764131743188
because,0.00964178058852251
el,0.009617534702717338
then,0.00947205938788632
maintenant,0.009326584073055302
maybe,0.009310420149185188
oui,0.009310420149185188
doing,0.009270010339509905
than,0.009221518567899566
mr,0.00921343660596451
down,0.009197272682094396
little,0.00918919072015934
temp,0.009011387557588095
etais,0.008906322052432358
essayer,0.008873994204692133
into,0.008841666356951907
keep,0.00883358439501685
anything,0.008825502433081793
guy,0.008793174585341568
aimer,0.008777010661471454
should,0.008752764775666284
