Mot,Poids
le,0.3890232649103441
be,0.33189620916770785
you,0.3072077333292818
the,0.24688475838426027
être,0.2238741401270865
un,0.2041393390523576
de,0.19471137740532113
to,0.1915154582029359
je,0.18520351777822502
on,0.1694636157064777
it,0.1338291165998822
pa,0.1299940135570199
il,0.12136503171057973
that,0.11673094886712113
we,0.1161716630067037
get,0.11041900844241026
que,0.10506584377841498
he,0.10354778215728198
of,0.0966765558721537
ce,0.09491880031084181
tu,0.09220226898881435
ca,0.09212237100875473
son,0.0894857376667869
this,0.08884655382630985
aller,0.08844706392601169
and,0.08389287906261271
eat,0.08221502148136046
faire,0.07933869419921374
what,0.0784598164185578
pour,0.0759030810566496
in,0.0756633871164707
do,0.0743850194355166
qu,0.06807307901080574
vous,0.06495705778848013
en,0.06367869010752603
know,0.06264001636675083
your,0.05848532140365001
have,0.05832552544353074
avoir,0.055529096141443655
go,0.055529096141443655
for,0.054889912300966605
my,0.05313215673965472
will,0.052652768859296935
savoir,0.04841817591613648
all,0.04658052237476496
with,0.046021236514347544
they,0.0453820526738705
vouloir,0.04482276681345308
out,0.0441036849929164
don,0.043224807212260456
tout,0.0428253173119623
up,0.041546949631008204
shit,0.041147459730710045
ton,0.04066807185035226
want,0.039869092049755944
clay,0.039709296089636685
just,0.039070112249159634
pouvoir,0.03851082638874222
no,0.03779174456820554
not,0.03771184658814591
moi,0.037631948608086274
can,0.0369128667875496
avec,0.03675307082743033
as,0.0366731728473707
dans,0.03555460112653586
qui,0.03515511122623771
about,0.03443602940570103
right,0.0341164374854625
here,0.03379684556522398
du,0.03243857990421025
good,0.03203909000391209
jax,0.030840620303017627
si,0.030680824342898365
ne,0.029402456661944267
mon,0.02916276272176537
need,0.02900296676164611
bien,0.027804497060751644
club,0.027804497060751644
voir,0.0269256192800957
quoi,0.026685925339916806
sur,0.026446231399737914
elle,0.026126639479499388
his,0.025807047559260863
ou,0.0256472515991416
nous,0.025167863718783816
lui,0.02492816977860492
toi,0.02484827179854529
how,0.024288985938127873
guy,0.023969394017889348
etait,0.023889496037829715
au,0.023809598057770085
man,0.023729700077710452
see,0.023729700077710452
take,0.023569904117591193
one,0.02349000613753156
plus,0.02349000613753156
if,0.023330210177412297
yes,0.023330210177412297
look,0.023250312197352668
make,0.023250312197352668
at,0.023170414217293035
mais,0.023090516237233405
devoir,0.02277092431699488
come,0.022451332396756354
etre,0.022451332396756354
gonna,0.022371434416696725
back,0.022291536436637092
crow,0.022211638456577462
she,0.022211638456577462
but,0.02157245461610041
tell,0.02141265865598115
there,0.021172964715802257
let,0.02085337279556373
opie,0.02061367885538484
se,0.02061367885538484
zobelle,0.020373984915205944
okay,0.020214188955086684
think,0.02013429097502705
her,0.019575005114609634
mama,0.01949510713455
falloir,0.019015719254192216
some,0.019015719254192216
so,0.018616229353894058
like,0.0184564333937748
rien,0.01797704551341701
now,0.01733786167293996
prendre,0.01733786167293996
gun,0.01725796369288033
thing,0.017098167732761068
give,0.016858473792582176
say,0.016778575812522543
dire,0.016698677832462913
charm,0.01653888187234365
sam,0.016219289952105125
kid,0.016139391972045492
time,0.016059493991985863
from,0.015979596011926233
our,0.015979596011926233
where,0.015979596011926233
choose,0.0158996980318666
est,0.01581980005180697
off,0.015660004091687708
venir,0.015340412171449182
little,0.01518061621132992
bon,0.015100718231270288
call,0.015020820251210657
happen,0.015020820251210657
kill,0.014940922271151026
sorry,0.014861024291091395
why,0.014861024291091395
donner,0.014781126311031765
down,0.014781126311031765
who,0.01446153439079324
hell,0.01374245257025656
sure,0.013582656610137297
comment,0.013422860650018034
deux,0.013342962669958403
ici,0.013342962669958403
merci,0.01310326872977951
something,0.01302337074971988
atf,0.012863574789600617
thank,0.012703778829481354
merde,0.012623880849421723
bobby,0.012543982869362091
old,0.01246408488930246
arme,0.012304288929183197
doing,0.012304288929183197
non,0.012304288929183197
trouver,0.012224390949123568
or,0.012144492969063937
two,0.012064594989004305
besoin,0.011904799028885043
way,0.011904799028885043
autre,0.011824901048825411
croire,0.01174500306876578
ope,0.01174500306876578
penser,0.01174500306876578
dit,0.011665105088706149
boy,0.011585207108646517
comme,0.011425411148527255
darby,0.011265615188407994
gemma,0.011105819228288731
pourquoi,0.011105819228288731
jesus,0.0110259212482291
love,0.0110259212482291
mayans,0.010946023268169468
keep,0.010866125288109837
quelque,0.010786227308050206
passe,0.010706329327990574
when,0.010706329327990574
putain,0.010546533367871314
try,0.010546533367871314
quand,0.010466635387811682
should,0.010466635387811682
didn,0.010386737407752051
doit,0.010386737407752051
help,0.010067145487513526
work,0.009987247507453894
into,0.009827451547334632
par,0.009747553567275
juste,0.00966765558721537
put,0.00966765558721537
then,0.00966765558721537
gar,0.00958775760715574
run,0.00958775760715574
aimer,0.009507859627096108
by,0.009507859627096108
could,0.009507859627096108
san,0.009427961647036477
anything,0.009348063666976845
over,0.009348063666976845
hale,0.009268165686917214
meme,0.009188267706857583
more,0.009188267706857583
maybe,0.009108369726797952
too,0.008948573766678689
never,0.00886867578661906
parler,0.00886867578661906
really,0.00886867578661906
pere,0.008788777806559428
luann,0.008628981846440165
temp,0.008549083866380534
deal,0.008469185886320903
otto,0.008469185886320903
peu,0.008469185886320903
encore,0.008389287906261271
family,0.00830938992620164
aux,0.008229491946142009
find,0.008229491946142009
guess,0.008229491946142009
talk,0.008229491946142009
nothing,0.008149593966082377
cause,0.008069695986022746
dis,0.008069695986022746
god,0.008069695986022746
appeler,0.007909900025903485
desole,0.007909900025903485
seul,0.007830002045843854
still,0.007830002045843854
would,0.007830002045843854
baby,0.007670206085724591
business,0.007670206085724591
mec,0.007670206085724591
aussi,0.00759030810566496
goddamn,0.00759030810566496
gotta,0.00759030810566496
before,0.007510410125605329
famille,0.007510410125605329
