Mot,Poids
be,0.37421813210968535
le,0.34856564337307866
the,0.27520388401893586
you,0.2390755913261785
être,0.21202217784060665
to,0.20875335342635457
un,0.20352323436355127
vous,0.18928049941573868
de,0.18864230036343232
we,0.1673949416707939
je,0.16087285867283382
it,0.15189137444891268
il,0.14340799680240135
ne,0.1413844388316739
pa,0.1301459091788644
on,0.12946101263492588
que,0.12075971336079776
that,0.1134593388356348
have,0.11210511157830182
of,0.10745092824562863
ce,0.09520061960745542
avoir,0.09478034218276586
nous,0.08488047395674532
eat,0.08310596927472277
and,0.07856074675585799
they,0.07829612763660901
son,0.07594568722445634
this,0.0757744630884717
what,0.07407778755916944
do,0.07280138945455673
en,0.07256790199639587
ca,0.06962596002356901
in,0.06495621086035178
qu,0.05972609179754847
faire,0.059243551050682686
pouvoir,0.058511957015111984
he,0.05810724542096649
not,0.05513417178705152
get,0.054324748598760526
aller,0.053748812868630404
no,0.052923823849795354
pour,0.04991961855479227
will,0.044782894475253306
bien,0.044238090406211295
can,0.044051300439682604
for,0.04389564213424203
know,0.043880076303697974
wraith,0.04233905907983629
mais,0.04157633338317747
but,0.04137397758610473
tout,0.040315501109108816
there,0.039506077920817825
go,0.039474946259729714
si,0.03698441337268052
don,0.036533004286902857
just,0.03620612184547765
all,0.03581697608187621
sur,0.035692449437523754
yes,0.03458727546889567
if,0.03415143221366206
with,0.03393351058604526
your,0.03338870651700325
savoir,0.03282833661741718
qui,0.032236835056743
so,0.03205004509021431
here,0.03180099180150939
as,0.03136514854627578
plus,0.031069397765938686
out,0.03092930529104217
dans,0.03086704196886594
my,0.030633554510705076
du,0.030337803730367985
non,0.029917526305678434
well,0.029746302169693803
right,0.029559512203165113
etre,0.029201498100651792
one,0.02792509999603908
sheppard,0.026960018502307517
how,0.02602606866966407
vouloir,0.02588597619476755
moi,0.025387869617357714
oui,0.025372303786813655
ou,0.02498315802321222
tu,0.02498315802321222
good,0.024952026362124104
up,0.024095905682200946
our,0.02333317998554213
