Mot,Poids
le,0.4851265111363599
être,0.2756578903515692
un,0.2712168187616058
be,0.26527616455684966
de,0.25278348785053717
vous,0.1982102159229616
ne,0.19108143087725418
the,0.18406799834037701
je,0.1800652662839685
pa,0.15707551127410627
il,0.1476281408009115
on,0.1448135395854542
que,0.13968035294250958
you,0.1349624353313537
ce,0.12831813082273322
to,0.12601108064612887
son,0.11529483257580173
avoir,0.10957334813782298
eat,0.09523503129022702
en,0.09030947916317676
we,0.0901133798981654
nous,0.08985960437873891
it,0.08100053170057826
ca,0.07609805007529405
of,0.07477149622374656
qu,0.0740563106689992
have,0.07257979855597244
that,0.07035349513554925
faire,0.06928071680342823
pouvoir,0.06376686688134386
pour,0.06271715905098889
tu,0.05667268758828553
will,0.05625741855649675
aller,0.0559113610300061
and,0.055000076210247384
du,0.049751537058472524
mais,0.04753676888893236
tout,0.046763907079769906
si,0.04629096179356602
this,0.045621917242350755
qui,0.045218183461445
in,0.04224208873362541
do,0.041469226924462955
savoir,0.04134233916474971
sur,0.04119238090327043
dans,0.04050026585028913
they,0.03857387895282451
what,0.03843545594222825
he,0.03776641139101299
etre,0.03595537700237859
bien,0.03585155974443139
plus,0.035401684959993546
no,0.035320938203812394
moi,0.0339943843522649
vouloir,0.03352143906606101
mon,0.032771647758664604
not,0.03137588240181898
au,0.03090293711561509
for,0.03029156881881494
colonel,0.0294725660061204
as,0.02919571998492788
se,0.028595886939010752
ou,0.02857281643724471
voir,0.02857281643724471
oui,0.028468999179297516
know,0.027926842387795497
non,0.027765348875433193
elle,0.02775381362455017
goa,0.026900205059206567
avec,0.02618501950445922
get,0.024350914614058774
etait,0.02433937936317575
but,0.02403946284021719
your,0.023393488790767976
can,0.02328967153282078
devoir,0.023128178020458474
dire,0.022793655744850847
teal,0.022724444239552718
ici,0.022355316211296022
par,0.022009258684805372
autre,0.021409425638888244
with,0.020936480352684354
go,0.0204289293138314
est,0.020313576805001184
there,0.020025195532925644
all,0.019782955264382188
general,0.01965606750466895
comment,0.019621461752019884
if,0.019494573992306644
quoi,0.019229263221997146
comme,0.018548683419898866
choose,0.018410260409302607
daniel,0.018306443151355413
lui,0.01822569639517426
just,0.018052667631928934
rien,0.01804113238104591
so,0.017960385624864763
venir,0.017914244621332676
my,0.01775275110897037
don,0.017648933851023174
pourquoi,0.01754511659307598
carter,0.017429764084245764
stargate,0.0173951583315967
croire,0.017383623080713676
yes,0.017152918063053243
ete,0.016899142543626768
one,0.01644926775918892
etes,0.01624163324329453
dit,0.016218562741528487
falloir,0.016068604480049205
trouver,0.01575715270620762
here,0.015584123942962295
out,0.015549518190313229
peut,0.015468771434132078
temp,0.015307277921769774
vaisseau,0.015191925412939558
well,0.015180390162056535
uld,0.015018896649694233
jaffa,0.014972755646162145
meme,0.014903544140864014
porte,0.014626698119671495
our,0.014499810359958256
tres,0.014407528352894083
from,0.014165288084350627
penser,0.014142217582584583
how,0.01391151256492415
sg,0.013807695306976954
quand,0.013657737045497673
neill,0.013461637780486304
prendre,0.013450102529603283
about,0.01335782052253911
alors,0.013254003264591915
jackson,0.013254003264591915
think,0.013254003264591915
say,0.013069439250463567
dr,0.013034833497814502
sir,0.013034833497814502
quelque,0.012873339985452198
time,0.012873339985452198
good,0.012757987476621982
ton,0.012631099716908744
ori,0.012515747208078527
now,0.012354253695716223
passe,0.012354253695716223
bon,0.012008196169225573
at,0.01199666091834255
right,0.011950519914810465
ulds,0.011823632155097226
see,0.011789026402448161
lls,0.011569856635670749
up,0.011258404861829163
aussi,0.011131517102115924
would,0.011062305596817795
arme,0.011050770345934774
san,0.011004629342402686
mama,0.010935417837104555
like,0.010923882586221534
deux,0.010739318572093186
avant,0.010693177568561101
take,0.010474007801783689
come,0.010439402049134624
merci,0.010381725794719516
make,0.010197161780591168
mort,0.010093344522643974
oh,0.010081809271760951
parler,0.01007027402087793
planete,0.00993185101028167
peu,0.009701145992621237
vie,0.009620399236440084
could,0.00959732873467404
toi,0.00944737047319476
encore,0.009435835222311737
essayer,0.009389694218779651
doit,0.009355088466130585
want,0.009228200706417347
jamais,0.009193594953768282
by,0.009078242444938064
seul,0.009055171943172022
who,0.009055171943172022
why,0.008916748932575762
she,0.008870607929043674
need,0.008824466925511587
way,0.008755255420213458
back,0.008743720169330437
look,0.008674508664032306
fois,0.008639902911383241
tell,0.008605297158734176
dieu,0.008466874148137916
his,0.008374592141073741
quel,0.0083515216393077
more,0.008259239632243525
celui,0.008213098628711439
aux,0.008178492876062374
arrive,0.008143887123413308
ship,0.008097746119881222
monde,0.008051605116349135
their,0.008028534614583091
comprendre,0.007855505851337766
jack,0.007705547589858484
aucun,0.0076709418372094195
terre,0.007659406586326398
serum,0.007624800833677333
accord,0.007544054077496181
when,0.007509448324847116
toujours,0.007463307321315029
mal,0.007451772070432007
jour,0.0074171663177829425
vraiment,0.0074171663177829425
or,0.007405631066899921
apres,0.007371025314250856
thing,0.007359490063367834
chance,0.0073364195616017905
force,0.0073364195616017905
people,0.007324884310718769
tok,0.0072441375545376175
trop,0.007221067052771574
possible,0.007186461300122509
donc,0.007174926049239487
some,0.0071287850457074
base,0.007105714543941357
besoin,0.007059573540409271
let,0.007059573540409271
depuis,0.0070018972859941615
sommer,0.0070018972859941615
aider,0.006955756282462075
juste,0.006955756282462075
aimer,0.0069096152789299885
grand,0.0069096152789299885
sam,0.006875009526280923
only,0.006840403773631858
work,0.006805798020982794
deja,0.0067481217665676845
personne,0.0067481217665676845
maintenant,0.0067365865156846635
mission,0.006701980763035598
then,0.006678910261269555
vrai,0.006678910261269555
anubis,0.006586628254205381
any,0.0065750930033223595
partir,0.0064943462471412075
long,0.006413599490960056
mourir,0.006355923236544948
ami,0.006332852734778904
where,0.0063213174838958825
ancien,0.006309782233012861
commandant,0.006298246982129839
sure,0.006252105978597752
moment,0.0062405707277147305
heure,0.006217500225948688
minute,0.006205964975065666
raison,0.006205964975065666
her,0.006182894473299622
ba,0.006125218218884514
mieux,0.006079077215352427
something,0.006079077215352427
use,0.0059867952082882534
other,0.0059752599574052325
ra,0.005952189455639189
try,0.005952189455639189
question,0.005940654204756167
plan,0.005906048452107102
should,0.005906048452107102
still,0.0058945132012240805
rester,0.005779160692393864
mitchell,0.005767625441510842
planet,0.005767625441510842
point,0.005721484437978755
believe,0.005675343434446668
parle,0.005629202430914582
before,0.00561766718003156
homme,0.005594596678265516
ok,0.005594596678265516
reste,0.005525385172967387
bonne,0.005513849922084365
part,0.005502314671201343
beaucoup,0.005467708918552278
humain,0.005444638416786235
place,0.005444638416786235
tuer,0.005444638416786235
appeler,0.005421567915020191
much,0.005421567915020191
must,0.005421567915020191
air,0.005410032664137169
attendre,0.0053869621623711264
moins,0.0053869621623711264
gate,0.005375426911488105
power,0.005352356409722061
certain,0.005317750657072996
entre,0.005317750657072996
apophis,0.005306215406189974
probleme,0.005306215406189974
really,0.005306215406189974
president,0.00527160965354091
gonna,0.005260074402657888
help,0.005237003900891844
symbiote,0.005213933399125801
systeme,0.00520239814824278
didn,0.005179327646476736
gen,0.005179327646476736
celer,0.005121651392061628
mean,0.005121651392061628
down,0.005110116141178606
hammond,0.005110116141178606
into,0.005110116141178606
equipe,0.005098580890295584
sauver,0.005063975137646519
through,0.005063975137646519
weapon,0.005063975137646519
arriver,0.005052439886763497
aide,0.005040904635880476
contact,0.005017834134114433
may,0.005006298883231411
thank,0.004994763632348389
contre,0.004914016876167237
laisser,0.004902481625284215
very,0.004890946374401193
sortir,0.004879411123518172
give,0.004833270119986085
too,0.004810199618220042
continue,0.004775593865570977
desole,0.004775593865570977
donne,0.004740988112921912
energie,0.004717917611155868
happen,0.0047063823602728466
little,0.004648706105857738
quelqu,0.004625635604091695
than,0.00459102985144263
find,0.004579494600559608
servir,0.004567959349676587
connaître,0.004556424098793565
demande,0.004556424098793565
over,0.004544888847910543
ancient,0.0045218183461445
because,0.004510283095261478
first,0.004510283095261478
sorry,0.004498747844378457
etais,0.0044526068408463695
peuple,0.004441071589963349
assez,0.004429536339080327
trois,0.004429536339080327
never,0.004383395335548239
extraterrestre,0.0043603248337821966
passer,0.004348789582899175
ordre,0.004337254332016153
major,0.004291113328484066
revenir,0.0042795780776010445
hear,0.004221901823185936
