Mot,Poids
be,0.34607114913383447
le,0.3321992382122645
you,0.32871474630220343
être,0.2522871227962202
un,0.20878877354929706
je,0.19708022016430524
the,0.18774970865158258
de,0.1815734054555502
it,0.1525249634185959
pa,0.1516001693571579
to,0.14459815717769875
ne,0.1442513594046595
tu,0.13970995999581218
il,0.1362089539060826
que,0.13298868887071813
ce,0.12757203793943842
on,0.12636650282363532
that,0.11043031944349835
vous,0.10826696190692016
we,0.10673114319774635
what,0.10060438254071959
eat,0.09806119887176509
he,0.08970502395948601
and,0.08876371571837947
ca,0.08808663435196952
of,0.07964788854134776
do,0.07722030413007301
this,0.07452849284410169
en,0.0736532413216693
have,0.07239816366686058
avoir,0.07213393679216401
get,0.07175411065978769
faire,0.06957423894354098
aller,0.06894670011613661
qu,0.06807144859370423
know,0.0664860873455248
son,0.06057401102418901
in,0.05926939083037469
dean,0.05814642661291426
no,0.056858320598768476
don,0.05416650931279715
savoir,0.052878403298651365
pouvoir,0.05215177939323579
tout,0.050351733809365404
just,0.05017007783301151
pour,0.04937739720892179
sam,0.04883242927986012
not,0.04742872400803458
yes,0.047379181469028975
they,0.04566170678350126
so,0.04562867842416419
bien,0.04376257612161965
all,0.04333320745023772
moi,0.04260658354482215
for,0.04240841338879972
quoi,0.04199555889708633
mais,0.04192950217841219
as,0.04120287827299662
but,0.04118636409332808
your,0.040889108859294435
vouloir,0.0404101976489069
can,0.040195513313215935
nous,0.03970008792315986
right,0.03966705956382279
non,0.039584488665480116
qui,0.03936980432978915
like,0.0367110214031549
my,0.036578907965806616
go,0.0360174258570764
there,0.03388709667983529
here,0.03358984144580165
out,0.03350727054745897
dans,0.03321001531342533
ou,0.03317698695408826
si,0.03269807574370072
oh,0.0325494481266839
sur,0.03183933840093686
choose,0.031476026448229076
du,0.031459512268560544
about,0.03099711523784154
etre,0.030022778637397933
voir,0.02975855176270136
etait,0.029742037583032826
elle,0.029675980864358683
dire,0.02934569727098797
will,0.02779336438214561
think,0.02772730766347147
want,0.027248396453083933
with,0.027198853914078325
say,0.02703371211739297
ouais,0.026819027781702004
okay,0.026703428524022254
gonna,0.026587829266342504
demon,0.026389659110320075
plus,0.02594377625926961
see,0.025630006845567432
ton,0.02559697848623036
look,0.025530921767556218
up,0.025233666533522575
comme,0.024705212784129432
she,0.02467218442479236
how,0.024606127706118218
well,0.024490528448438468
mon,0.024226301573741896
one,0.023929046339708254
if,0.023846475441365575
est,0.02336756423097804
now,0.023334535871640968
come,0.023119851535950003
toi,0.023037280637607325
alors,0.022740025403573682
avec,0.022261114193186146
tell,0.02201340149815811
good,0.02178220298279861
thing,0.021716146264124467
devoir,0.02128677759274254
juste,0.02120420669439986
why,0.020923465640034753
se,0.02085740892136061
penser,0.020229870093956253
au,0.020180327554950646
ici,0.020114270836276503
quelque,0.01947021782920361
pourquoi,0.01938764693086093
her,0.018793136462793646
lui,0.01854542376776561
mean,0.018248168533731967
croire,0.017835314042018574
rien,0.01758760134699054
comment,0.01742245955030518
kill,0.01738943119096811
let,0.01730686029262543
at,0.01719126103494568
dit,0.017108690136603003
where,0.017009605058591788
back,0.016794920722900824
ok,0.01672886400422668
vraiment,0.01669583564488961
something,0.016563722207541324
hey,0.016481151309198645
oui,0.01577104158345161
